t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.8793,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0836152587171597,1.334041082633961,-0.58018458366739,1.4867971882277633,0.4857072192828653,-0.24024451825348692
0.03,0.000975269508381099,0.0012008806350692048,0.8787784241182707,0.0006690586781559424,0.00021856823020465014,-0.00010811002407697965,0.9999997464502861,0.032508457761514786,0.04002123247901883,-0.0174055375100217,0.0446039156468329,0.014571216578485958,-0.007207335547604607,0.23262247536635794,-1.042047823909805,0.8637634538997352,-2.389838129193201,-0.7224595743572912,0.373777677933262
0.06,0.002160008811601887,0.0014632518919877307,0.8790334980943041,0.00026269192556766137,0.00011203340976639981,-4.8002570846792754e-05,0.9999999580686094,0.039487132022505526,0.008759797761724683,0.008507366106970355,-0.027091228228963135,-0.007102570652232777,0.004005994790393252,0.10480598324934565,-0.25015292590145455,-0.034193273873104335,0.49427519029926614,0.058059359584095915,-0.033279653727799285
0.09,0.00343898229793574,0.0015007665000793177,0.8792577742363341,7.874853552660367e-05,3.1618542072547434e-05,-2.8890099660893346e-06,0.9999999963952948,0.04263131151998589,0.001255209984681047,0.007481567890777225,-0.012262972519985151,-0.0053607898647098995,0.0030076051785592737,-0.02060728368714909,-0.1222669226326949,-0.02034322106266706,0.25434230086318266,0.12280221078341214,-0.05719839123133319
0.12,0.004699383921865028,0.0014283815680634,0.8794638580011861,9.258523145444336e-06,6.466363998931747e-06,1.6486008175047276e-05,0.9999999998003387,0.04201309300937142,-0.0024127976942998,0.0068712712588972135,-0.004632703494089671,-0.0016767235412075356,0.001291653441619278,-0.08595071080895236,-0.04786769618790565,-0.01230547163061213,0.10142078611846195,0.05735461448719903,-0.035017796375932164
0.15,0.00588242794734608,0.0013129610373631964,0.8796589057515035,-1.4592662980429292e-05,7.1246607007597436e-06,2.0102961753631265e-05,0.9999999996660821,0.03943457168510285,-0.0038488285799369694,0.00650210710997885,-0.0015900799105358129,4.391489340843527e-05,0.00024111955034131325,-0.10522954941308324,-0.007445823480850766,-0.009814866479206152,0.03373374687277497,0.008754619373082306,-0.014244478657191806
0.18,0.006970766582893276,0.0011908427060576268,0.8798451196965573,-2.326378788216371e-05,1.1722747744203805e-05,1.73097342894985e-05,0.9999999995108731,0.03627768520271035,-0.004072203284362493,0.006207661115602665,-0.0005780675043525637,0.00030655347460090447,-0.00018621480937444093,-0.09845943821225245,0.011550240953840607,-0.008141530566706523,0.00829634373565824,-0.008207672493057316,-0.0028980785613423876
0.21,0.007970491411540341,0.0010791115448053764,0.8800240035604484,-2.820150945846055e-05,1.2627416451044972e-05,1.3212413630638274e-05,0.9999999994353276,0.03332390205634278,-0.0037256960557472745,0.005963415198601469,-0.00032917719228281646,6.0323299809185004e-05,-0.00027315716621471257,-0.0810024105110243,0.018317603328594778,-0.006717926363693394,0.00022661854356975653,-0.009092492573088862,0.0015685893105104043
0.24,0.00889731231256136,0.0009838584390276062,0.8801968452639088,-3.303718971552818e-05,9.440484755631248e-06,9.82107226271486e-06,0.999999999361484,0.03089382974101205,-0.003176167955889431,0.005761877407690667,-0.00032237863597572375,-0.00021245147738348084,-0.00022609948689940044,-0.06172898748718458,0.018784602928302085,-0.00566448792780383,-0.0017124815832794127,-0.005542165351581474,0.0026341743507050097
0.27,0.009768574696832656,0.0009055067593382893,0.8803645976635558,-3.864345099862492e-05,3.75961024639361e-06,7.615199020194678e-06,0.9999999992172789,0.029041960116396513,-0.0026126298680403687,0.0055919427698565526,-0.00037375308347410615,-0.00037871643793092505,-0.00014707425637825014,-0.04468020755634167,0.016483350007987063,-0.004999300585074806,-0.0018960281466231521,-0.0022616227524530075,0.0024103365544867472
0.3,0.010599622343873061,0.0008419882762713102,0.8805278612146292,-4.5102913115896395e-05,-2.938959083621282e-06,6.494019762095858e-06,0.9999999989574587,0.027701553889706264,-0.0021181293678007567,0.0054419637523043084,-0.0004306339278728007,-0.0004465651205045153,-7.476415974364773e-05,-0.031109221301816536,0.013350585800217196,-0.004656063932831911,-0.0018243475008112853,-0.00027199153821300115,0.0018596176882574866
0.33,0.011402669295739713,0.0007904856318624057,0.8806869448894916,-5.238333326798306e-05,-9.759892193341958e-06,6.209671569887716e-06,0.9999999985610853,0.026768277250651767,-0.0017176117937942408,0.005302281834319351,-0.00048536435289713926,-0.00045472486665090533,-1.8975629095923135e-05,-0.020931229461285394,0.010333636228686771,-0.004575677493586117,-0.0019304135877131756,0.0006454157632056479,0.001341542031561005
0.36,0.01218687600766833,0.0007482850381924853,0.8808419204302684,-6.05324472233018e-05,-1.6290361979769626e-05,6.5289935980087545e-06,0.9999999980139096,0.026140340366813206,-0.0014076027069336377,0.005165011509511768,-0.0005432767605285346,-0.0004353623937547359,2.127063185090701e-05,-0.013552071066647575,0.007814520583681706,-0.004741471696366517,-0.0022926152312816583,0.0009036839282181575,0.0009594446335103868
0.39,0.012958884007726362,0.0007131203142857136,0.8809926379133495,-6.971324771203356e-05,-2.2414154598337373e-05,7.280024287207447e-06,0.999999997292335,0.02573377823481378,-0.0011731670894231864,0.005022767358620772,-0.0006120552174669843,-0.0004082518759081912,5.005397085621861e-05,-0.008276088686697658,0.005884438648283918,-0.0051786535337075,-0.0028921941777273474,0.0008147633632518136,0.0007221394203682507
0.42,0.013723441954492672,0.0006832551443184473,0.8811387033011907,-8.019554552080228e-05,-2.8171290522085828e-05,8.355962982061819e-06,0.9999999963526154,0.025485495574212848,-0.000996633929974669,0.004867407752609547,-0.0006988210427988047,-0.00038380897501063676,7.171815346726612e-05,-0.004474995569150486,0.0045059449620241665,-0.0059446759649739445,-0.0036992356213296773,0.000563719347727698,0.0006091974264155198
0.45,0.014483971090546192,0.0006574494893168307,0.8812794268170977,-9.234250918253367e-05,-3.367474466078431e-05,9.705973277425816e-06,0.9999999951223333,0.025351245707138332,-0.000861455581113944,0.004689067473660329,-0.000809798111438695,-0.0003668973945788058,8.999407625973172e-05,-0.0016354009737386543,0.003598241074433517,-0.007121856391576031,-0.004696789083478592,0.0002456721727206457,0.0005956915365743498
0.48,0.015243027307081594,0.0006348869186996119,0.8814137488794147,-0.00010660303800208954,-3.906764207593457e-05,1.1323963378784055e-05,0.9999999934906397,0.025302183677926172,-0.0007535083488809384,0.004475411781913048,-0.0009507017839430528,-0.0003595272293971864,0.00010786482235696221,0.0006482623050397818,0.003073832623843309,-0.00881452961758955,-0.00588225062703529,-9.778330581866612e-05,0.0006610397421287217
0.51,0.016002666179751823,0.0006150958548753102,0.8815401462009914,-0.00012351059067978917,-4.450454023120978e-05,1.3239322637238701e-05,0.9999999912946,0.025321631547077367,-0.0006612933701656391,0.004210975893385361,-0.0011271693027541116,-0.0003624607285717464,0.00012769601462082387,0.002700137457709806,0.002846150937165781,-0.011150237138369379,-0.007258457614435443,-0.00045369353104263155,0.0007908539485601551
0.54,0.016764734734944588,0.0005978715825261959,0.8816565170040681,-0.00014368446234333217,-5.014559974476957e-05,1.5510446015066618e-05,0.99999998829981,0.025402635670808662,-0.0005759088420506657,0.0038764687792342796,-0.0013449230311871748,-0.00037607153450302535,0.00015142163307762851,0.0047909186771292744,0.002820780787338606,-0.01428442852884948,-0.008815009993213607,-0.0008210432619470964,0.0009736779183100452
0.57,0.017531115127803604,0.0005831911055539887,0.8817600411320251,-0.00016782510462040918,-5.615612726489662e-05,1.8219578614331757e-05,0.9999999841746352,0.02554636323112254,-0.0004912854184305075,0.003447935923368795,-0.001609373330983583,-0.00040070283236143825,0.00018063197062692988,0.007158684943306848,0.0028793718956681147,-0.01840922864182315,-0.010488444648942163,-0.0011936704567894196,0.0011900328435352492
0.6,0.01830393899092582,0.0005711063288910194,0.881847007178695,-0.0001966855670719095,-6.270380255921352e-05,2.1464051072583964e-05,0.9999999784611574,0.025761123779421746,-0.0004049042615604641,0.0028956590641141004,-0.001924026670451848,-0.00043651294606512084,0.00021633295593298735,0.010017874871080967,0.0028659293659130114,-0.023769491522965036,-0.012061694933583667,-0.0015262179099053697,0.0013870197810312845
0.63,0.019085780545725496,0.0005616031501713386,0.8819125921917903,-0.00023097381631004017,-6.993826956963428e-05,2.5332477137586484e-05,0.9999999705589997,0.026061660025554174,-0.0003189263805830737,0.0021825743184251496,-0.002285877518459358,-0.00048229948336228195,0.0002579435493639259,0.013551633315439404,0.002590580936082887,-0.03069644574818564,-0.012887663299887109,-0.0016544993431146793,0.0014311133349460547
0.66,0.019879821608664118,0.0005544297273388579,0.881950563640973,-0.00027106153969900116,-7.791725932621361e-05,2.9844670509041987e-05,0.9999999597819182,0.026468209025017356,-0.0002412089525005871,0.0012616809459795805,-0.002672507417455971,-0.0005319344636557223,0.0003008769494123075,0.01787541667932091,0.0018801096527321093,-0.03968496838787594,-0.011159713046319908,-0.0011470625682505897,0.0010465273306579093
0.69,0.020689955749353017,0.0005489392438505881,0.881952833966841,-0.0003161711545229593,-8.641244929113264e-05,3.482754972843833e-05,0.9999999456778642,0.02700447152539698,-0.00018480566291862382,7.113189434330243e-05,-0.003007298808845568,-0.0005663463407032399,0.0003322727693320448,0.022934584489418652,0.0007545127117376538,-0.05155803007397952,-0.002273399942842147,0.0008372090703012702,-0.000215558981462749
0.72,0.021520739378757276,0.0005441060795979249,0.8819087193106842,-0.00036230380331587716,-9.453096130567393e-05,3.971321981752539e-05,0.9999999291113533,0.027692509060079543,-0.00016217028156649421,-0.0014756090078760832,-0.0030755008071308323,-0.0005412300685942018,0.0003258059998881623,0.028242591213858415,1.3435785329640737e-05,-0.06770025112074862,0.02369270358789599,0.005310645104835032,-0.0029627054163983146
0.75,0.02237695386080089,0.0005392442160423528,0.881803691287081,-0.00039777470449737547,-0.0001002597426464062,4.3265814527056765e-05,0.9999999149256652,0.028539786796495294,-0.000161767208006605,-0.003506616541498542,-0.0023647196994939527,-0.00038191071544915083,0.00023692483739621287,0.03233173456260863,0.0029901047480596077,-0.08941329724500968,0.08060338020292868,0.012561512543552311,-0.008109807615762854
0.78,0.023262283442407397,0.0005370113268851063,0.8816182001590656,-0.00039697396610021465,-0.0001003357260867426,4.317038417251975e-05,0.9999999152403615,0.02950973883337355,-7.206406556481677e-05,-0.006189015458848832,5.338170659390743e-05,-5.065339142581483e-06,-6.369391076672747e-06,0.03296155542244217,0.0029483007298232167,-0.09002194254481088,0.08040267586723182,0.012986476217896836,-0.008119218319375676
0.81,0.02417729293339093,0.0005373766388163895,0.8813516879561674,-0.00035999191204981565,-9.456768410144542e-05,3.942261623982412e-05,0.9999999299543144,0.030498585496046816,1.6384956329879732e-05,-0.008889673735193159,0.002465461982610862,0.0003845289473943236,-0.00024994594065794304,0.029977799315114018,-0.00013814198033212932,-0.06950069509119866,0.023249605209110236,0.006196556325384961,-0.0029781424984225424
0.84,0.025119289934796594,0.0005375919664195465,0.881022617022197,-0.00031254751891211395,-8.60112617851354e-05,3.433466978162836e-05,0.9999999468686194,0.03139791947550024,1.2240696919915852e-05,-0.010974694587929119,0.0031629501388841692,0.0005704256371558724,-0.0003392902156106193,0.025368665634388776,0.0004561715481594675,-0.054462259503421095,-0.002857388090642843,0.0017143275918485301,-0.00020066152964215433
0.87,0.02608412080141846,0.0005382120562784873,0.880644516714369,-0.0002663889683483408,-7.668346426671268e-05,2.915607385158441e-05,0.9999999611532429,0.0321589794445319,2.5925843364699874e-05,-0.012608562373031752,0.003077228496164884,0.0006218554649113283,-0.00034531006149988395,0.02056938051394741,0.001407417192067495,-0.04359245278417723,-0.011851714477337794,-0.0004870896873292452,0.0011173284857699528
0.9,0.027067462737916846,0.0005401038973125064,0.8802271675184752,-0.00022556372071761959,-6.757487850176003e-05,2.4479925077661436e-05,0.9999999719776881,0.03277606085995032,6.814835912672472e-05,-0.013916335956557068,0.0027216770618447503,0.000607242774291451,-0.0003117902069267854,0.01616649590074204,0.0019259664813944255,-0.03553628161526229,-0.013675043821354649,-0.0012560760944424487,0.00155798247019856
0.93,0.028065351141503575,0.0005437394465777175,0.8797778195781941,-0.00019089227582340596,-5.903151936202064e-05,2.050458001376982e-05,0.9999999798274902,0.033261055736972585,0.00012592735356855748,-0.014982424405014936,0.002311425747204111,0.0005695604914581775,-0.00026505073282082856,0.012361467084812006,0.0019920713275474178,-0.02951870809038476,-0.012941900874948509,-0.0013776448531999108,0.0015580089358859794
0.96,0.029074360351025903,0.0005491802123799714,0.8793018891946457,-0.00016204471466829904,-5.110808590860617e-05,1.7230113484762948e-05,0.9999999854162984,0.03363189974951695,0.00018568949339498001,-0.015867985647726478,0.0019231687209556557,0.0005282311458621802,-0.00021831046474424918,0.009199016638432367,0.0017705619152228458,-0.02509741332010658,-0.011469048061163889,-0.001277388949890934,0.001390873534191428
0.99,0.03009164353151454,0.0005562269885467296,0.8788033563236902,-0.00013835824702366505,-4.3759464937967804e-05,1.4581369398498504e-05,0.9999999893647441,0.03390787024866992,0.0002388063508516654,-0.016620908047329675,0.001579097279120739,0.0004899094773654521,-0.00017658425871850634,0.006662942291614349,0.0014360459481874699,-0.021993207524710928,-0.009914648838723394,-0.0011290871138562864,0.0011892827699719888
1.02,0.0311149178818581,0.0005645778197276883,0.8782850155860856,-0.00011913338724618431,-3.691892414999522e-05,1.2467677606753242e-05,0.9999999921443931,0.034107758517418346,0.0002818877292972895,-0.017280704273071004,0.0012816578139590372,0.00045603686394976356,-0.00014090577561934667,0.004720934025981727,0.0011214266328130051,-0.020012207398130255,-0.0085058473295474,-0.0009887598692763788,0.0010023391029090334
1.05,0.03214243543473462,0.000573948101308344,0.877748650669125,-0.00010373616979949548,-3.052331927281942e-05,1.0804950098740647e-05,0.9999999940951936,0.0342493865381978,0.00031553052828167964,-0.017881070495014913,0.0010264823940726153,0.0004263740678714722,-0.00011083560253207567,0.0033506286252193984,0.0009110848385867065,-0.019013464369372346,-0.007313126673958337,-0.0008670293801635864,0.0008411944104214086
1.08,0.033172962854686294,0.0005841468009587798,0.8771951611559858,-9.162986665071379e-05,-2.4517873897258773e-05,9.520700095264869e-06,0.9999999954560987,0.03434990539695438,0.00034286307343928086,-0.018451474426096084,0.0008070885938538651,0.0004003631864665646,-8.559977021943342e-05,0.002556020543500903,0.0008507282861698329,-0.01889458523002996,-0.006348591150097338,-0.0007551375301133589,0.0007043772082679922
1.11,0.034205784979921446,0.0005951177379824484,0.8766246546735156,-8.238043402860695e-05,-1.885223856038902e-05,8.553380925244617e-06,0.9999999963924484,0.03442658601325941,0.0003683849220243758,-0.019018311982996982,0.000616630859350945,0.00037770906056316386,-6.446845397139366e-05,0.00237503963832264,0.0009606870394511802,-0.019584357038226474,-0.005602561989471955,-0.0006292482054703896,0.0005899562827575977
1.14,0.0352407389116219,0.0006069579337765016,0.8760365109670383,-7.565215686751405e-05,-1.3469764607088723e-05,7.8515178782777e-06,0.9999999970168352,0.034497837202409086,0.00039720553320791123,-0.019605842694143776,0.00044855399966678633,0.0003588316143990522,-4.6769765488665726e-05,0.002875122314833778,0.001246563559048397,-0.021038305062544782,-0.005057758212538843,-0.0004467361314084428,0.0005021930249968776
1.17,0.03627827464912125,0.0006199226518048529,0.8754294218770323,-7.119987235621349e-05,-8.288322685068894e-06,7.375626242785407e-06,0.999999997403741,0.0345840908718541,0.00043460243997936313,-0.020236991846020118,0.00029682125329062107,0.0003454295304567989,-3.17039747387594e-05,0.0041291799232783255,0.0017053114213343434,-0.023235480517873608,-0.0046935512289869585,-0.00014050722142400218,0.0004570576918725422
1.2,0.037319520622788746,0.0006344226237946182,0.8748014100842321,-6.88596871280122e-05,-3.1701099461300177e-06,7.1053975639025605e-06,0.9999999975989036,0.03470796626955245,0.0004857617826193934,-0.020934056261556325,0.00015601471642101233,0.00034121431381407884,-1.7992243982583133e-05,0.0061579568017196,0.0023271178255299674,-0.026175488366675936,-0.004483862537501437,0.0003842214460760829,0.0004879235415058414
1.23,0.038366302220087786,0.0006510151807382482,0.8741498292701455,-6.85372419593382e-05,2.1210032256115153e-06,7.054716175688724e-06,0.9999999976241893,0.034892704973604034,0.0005555753173852924,-0.021719320912556603,2.1498840295969203e-05,0.00035274095719636133,-3.3545377374078928e-06,0.00881584816798231,0.0030948967731125876,-0.02987552248453329,-0.004386504367971167,0.0012425204971862058,0.0006498647722288364
1.26,0.0394210105067009,0.0006703888616877422,0.8734713483349993,-7.018872707358734e-05,7.971256737156203e-06,7.296439799239556e-06,0.9999999974783818,0.035157180418643505,0.0006484222205786701,-0.022615586587092604,-0.0001100962907431658,0.0003900165721119475,1.6141405429457198e-05,0.011586002115422822,0.0039843342185266195,-0.03436967330111118,-0.004307477371817914,0.0025319936754470973,0.0010176944283024625
1.29,0.04048613670107955,0.000693341585218045,0.8727619202949427,-7.377858165976295e-05,1.4960925399989216e-05,7.996061392371605e-06,0.9999999971344773,0.03550476048210619,0.0007679522471344686,-0.02364667678612594,-0.00023932061189770322,0.00046597638237536043,4.667223827853107e-05,0.013238536538917378,0.0049681102799779,-0.03972036282323299,-0.003980269031977679,0.004216032568642447,0.00167004197349363
1.32,0.04156316480018695,0.0007207562737274639,0.8720167256660883,-7.915956122560651e-05,2.384784983597934e-05,9.447088693736413e-06,0.9999999965378982,0.03590191657827371,0.0009169955555338056,-0.02483828767082293,-0.0003587286828570336,0.0005924573594346339,9.677349748333997e-05,0.01129819042199598,0.006029717932793943,-0.04606872223685232,-0.002599677668668754,0.005813286932159656,0.0026507287823732684
1.35,0.04265034339227916,0.0007535866083314009,0.8712300454035293,-8.571039199363793e-05,3.53508367507271e-05,1.2090764760371249e-05,0.9999999956289302,0.036240862290933595,0.0010978870935176238,-0.026220349337928498,-0.00043671901291709623,0.0007668559673994235,0.00017629536095453802,0.0012799080351562075,0.007213771030066152,-0.053770404090436985,0.002065667410467542,0.005654040374302838,0.003885150110075397
1.38,0.043738649283192994,0.000792898872967539,0.8703949423534455,-9.133164137080611e-05,4.939830290290671e-05,1.6482507431304727e-05,0.9999999944733329,0.03627925953198828,0.0013143002244196083,-0.02783346146064161,-0.00037474899060307,0.0009364771786285086,0.00029284986425679994,-0.024275383802854433,0.00887041238444053,-0.0636217879413925,0.015039944583087689,-0.000676982783140545,0.004905572782003542
1.41,0.044805076927898445,0.0008401914727961428,0.8695025502840041,-9.018480163285287e-05,6.314143996100426e-05,2.3081451334887136e-05,0.9999999936735533,0.035550998017902645,0.0015804125959528242,-0.029742115098883384,7.644934688956067e-05,0.0009161676951342922,0.0004400170477169062,-0.07669293256385878,0.012769143048091625,-0.07684548896149179,0.043440728728801004,-0.022960048367771435,0.0036663997615526966
1.44,0.04580245532615839,0.0008989968260321352,0.8685409871305733,-6.948929140502256e-05,6.655315529367023e-05,3.1329972593488336e-05,0.9999999948801743,0.03325021004098688,0.001963486887395573,-0.032047479767728135,0.0013796712087535907,0.00022736624410114913,0.0005500090405634871,-0.17107243264401673,0.025970492601100625,-0.09294862865322973,0.0815526001621123,-0.07877148489675534,-0.007592539936172926
1.47,0.04664588525309912,0.0009812465392057608,0.8674958170085912,-1.209422799292215e-05,3.4518614814539574e-05,3.616187160581457e-05,0.999999998677257,0.028118037061666382,0.0027426016654285915,-0.03483593862732503,0.0038262492136169595,-0.002135778302801511,0.00032223284247829935,-0.32145671339516735,0.059228615871226076,-0.07631264048832342,0.00988716503987419,-0.17026603249858852,-0.03374325848164439
1.5,0.047200151040332594,0.0011169066318927408,0.8663820845411286,4.97523062475405e-05,-7.413566302451734e-05,2.581007706428019e-05,0.9999999956812257,0.01847433565981136,0.0045194601415653735,-0.03712531784197473,0.004122864164813185,-0.007243759277759166,-0.0006900649119710323,-0.46331590440116033,-0.24323058449993273,1.2439157818218458,-0.17832098053982826,0.387968607597756,-0.005904986780146615
1.53,0.04733739953857679,0.0010335877419958696,0.8663878537531219,3.135009017819134e-05,-8.206006684798247e-06,1.2803775275765663e-05,0.9999999993929483,0.004574858527776551,-0.002777457393432608,0.00019215561268064174,-0.0012267652513816623,0.0043952989501735125,-0.0008672145153754307,-1.028190546154417,0.0036677434737213523,-8.461623961383909,8.831572835061948,4.452577884521992,7.852520517123537
