t[s],Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter,Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter
0.0,22.119972641799414,10.301706936827166,80.67774674773015,-5.641525295890224,18.01157510329848,0.25838289270365095,24.2122151821437,10.541470287280024,122.22497734341566,-5.848301243134032,18.176053374323,-0.33716550487963703
0.03,47.42579455662331,-19.501347676854373,295.8239806908149,-21.242292761725807,19.253151165067703,11.621970088649606,0.0,0.0,0.0,0.0,0.0,0.0
0.06,5.309086520506112,-1.1745917496566582,220.7369155161229,-23.27006191648271,5.194560401879887,0.33561046350871565,0.0,0.0,0.0,0.0,0.0,0.0
0.09,-4.17603612575094,-0.12450150811625262,218.10165747706137,-23.245852549254288,-1.8659137826850147,-1.2052160025452903,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-3.955524071519877,-0.266524376713791,217.15244739295696,-23.29157177936667,-4.07517036754285,-0.9853336425236079,0.0,0.0,0.0,0.0,0.0,0.0
0.15,-2.106316163629602,-0.3543831747682598,215.23162237404907,-23.109448732974446,-4.167671156911264,-0.7202168948856593,0.0,0.0,0.0,0.0,0.0,0.0
0.18,-0.17783227683208647,-0.5771496970198144,211.59310760489697,-22.386049393803297,-3.401553829348044,-0.6137788751043469,0.0,0.0,0.0,0.0,0.0,0.0
0.21,1.462079568054729,-0.6535316623075915,205.30291323713985,-21.102051959638878,-2.3646218354658473,-0.6475795106394782,0.0,0.0,0.0,0.0,0.0,0.0
0.24,2.6145747264327284,0.4239476362922038,195.39362137859916,-19.946551982316915,-1.58692125605416,-0.7544593972009628,0.0,0.0,0.0,0.0,0.0,0.0
0.27,2.899276934760935,-0.5458358846530172,204.43536896225885,-21.096696342918488,-2.551039396858196,-0.4667530727301781,0.0,0.0,0.0,0.0,0.0,0.0
0.3,2.341883268197027,-0.21664534649735492,210.10991355493005,-22.541567583952716,-4.367827856675427,-0.27458772385029745,0.0,0.0,0.0,0.0,0.0,0.0
0.33,0.5281397887650365,0.43170157818981747,213.5880539597501,-23.645576066038487,-7.099470212147297,-0.26819428760002917,0.0,0.0,0.0,0.0,0.0,0.0
0.36,-3.1432230614392185,1.1308116281861993,215.92816935776955,-24.48593346752503,-11.257406086849045,-0.5158821530878793,0.0,0.0,0.0,0.0,0.0,0.0
0.39,-10.15968354449415,2.183009490544044,217.8394930427243,-25.504243606744403,-17.88126148561343,-1.211443586796745,0.0,0.0,0.0,0.0,0.0,0.0
0.42,-23.692239142283537,3.465948895773372,221.78131579362235,-27.70693248374968,-28.54890503010031,-2.990431562178341,0.0,0.0,0.0,0.0,0.0,0.0
0.45,-54.33268241940778,-5.194317536226513,304.7350492438618,-31.35291588585661,-47.61135111806474,-5.808620934748265,0.0,0.0,0.0,0.0,0.0,0.0
0.48,17.431962366599056,0.5440687128726296,50.10963536672488,-0.04229597015920985,3.1102073010527564,0.017498278575699813,0.0,0.0,0.0,0.0,0.0,0.0
0.51,27.07998208414167,-11.845549526480053,152.08958472665353,4.336627811903434,15.935286061932102,0.4873813117042626,19.1739636314508,-11.798893378648957,63.1317126376444,4.148238439644286,17.454039753211685,0.4615403782761345
0.54,0.0,0.0,0.0,0.0,0.0,0.0,46.27438750546492,20.91346108536657,300.9752166355382,20.97590557514859,32.752248926819775,-12.685565674401222
0.57,0.0,0.0,0.0,0.0,0.0,0.0,8.80600563627991,1.8737204950411337,219.85298480801998,22.72885565487669,18.395275168381826,-0.8091541459394095
0.6,0.0,0.0,0.0,0.0,0.0,0.0,-2.239981861906906,0.555485378257517,217.00369078439385,22.82005628565807,9.71602856447579,0.966794350290375
0.63,0.0,0.0,0.0,0.0,0.0,0.0,-4.10022769362074,0.4314755172329395,215.94764751870608,23.03786905718376,5.661911671998673,0.9651308785267673
0.66,0.0,0.0,0.0,0.0,0.0,0.0,-4.5441777910966055,0.36344581640777374,214.1294973617631,22.980100626253,3.477195923321839,0.9494945507611895
0.69,0.0,0.0,0.0,0.0,0.0,0.0,-4.959559331631765,0.5459199555679782,210.72201419000393,22.319821264682147,1.952933561512725,1.0876271449074684
0.72,0.0,0.0,0.0,0.0,0.0,0.0,-5.172141808790704,0.689469116476425,204.68541867707643,21.026407209461563,0.8278202550753762,1.301992998872098
0.75,0.0,0.0,0.0,0.0,0.0,0.0,-4.398297474975065,-0.26493405946170484,194.9348125110332,19.806811538951322,0.3684985866084264,1.4618265014583065
0.78,0.0,0.0,0.0,0.0,0.0,0.0,-4.240580272482529,0.6882268254025509,204.7878491203599,21.055954436716465,0.3214611528448748,1.1980348094791922
0.81,0.0,0.0,0.0,0.0,0.0,0.0,-3.376241583008987,0.34156273796442516,210.79183542276604,22.54457556122598,0.4173876619487775,0.8957060311551128
0.84,0.0,0.0,0.0,0.0,0.0,0.0,-3.045918687355103,-0.28475841851044875,214.28426786791596,23.62830859722866,-0.05217214313040212,0.6930837712412211
0.87,0.0,0.0,0.0,0.0,0.0,0.0,-4.075587080005489,-0.9485083856512014,216.37174331153975,24.412620846729357,-1.6517294218424934,0.6816386549200426
0.9,0.0,0.0,0.0,0.0,0.0,0.0,-7.572561369973681,-1.9763931822711116,217.7295753041592,25.35036295866543,-5.032731583861628,1.031418112950456
0.93,0.0,0.0,0.0,0.0,0.0,0.0,-16.20952110837815,-3.2672679075371347,220.66882909861113,27.399224205192198,-11.09203898654798,2.304497197335573
0.96,0.0,0.0,0.0,0.0,0.0,0.0,-43.56676250457586,4.368402723581559,293.3456330078927,30.882327064536494,-23.515065004910397,4.5096389437851245
0.99,0.0,0.0,0.0,0.0,0.0,0.0,15.404699464805304,-0.32277822941662093,51.3899329490861,-0.02129874815517058,2.939100112879628,-0.14152074826037808
