t[s],Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter,Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter
0.0,21.844784277623486,10.641148351228203,82.78628517260579,-6.092772434982268,18.315587092649967,0.1716596970383866,22.446202114226857,10.888300983039377,129.96228002183182,-6.311574163514495,18.12881429139534,-0.46052152896215204
0.03,38.49718201594041,-15.744834919207259,246.70567710372552,-15.389355213077462,17.643478652839484,8.096066724028244,0.0,0.0,0.0,0.0,0.0,0.0
0.06,11.706885530390927,-5.328169846563044,222.7374949272115,-20.244523342688804,7.146127093265825,1.7625680364716807,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.4057704546357771,-2.0829984253803584,222.3750581023149,-22.54450262005233,0.23081613257661185,-0.17867392478176913,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-3.1908942889627556,-0.6506253134951108,222.57640222404515,-23.75472318717703,-3.522346236901531,-0.6145643042817452,0.0,0.0,0.0,0.0,0.0,0.0
0.15,-3.826644502875801,-0.004639006906351672,222.81239972353416,-24.369384674274603,-5.336396629863791,-0.5986000658381248,0.0,0.0,0.0,0.0,0.0,0.0
0.18,-3.4296126989232616,0.26549272728651335,222.9809708661225,-24.655725840367822,-6.143988039604873,-0.48220359584210115,0.0,0.0,0.0,0.0,0.0,0.0
0.21,-2.7450035886018735,0.34555742064503775,223.06960855592362,-24.76296862650912,-6.524815800429807,-0.3628520979630381,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-2.0659661911544074,0.33290769236367623,223.1008841202838,-24.77835062975727,-6.78945188016527,-0.26380118600207453,0.0,0.0,0.0,0.0,0.0,0.0
0.27,-1.5021065679260281,0.28235588405855433,223.09898202502785,-24.752621867302274,-7.080177237229858,-0.18887719441722642,0.0,0.0,0.0,0.0,0.0,0.0
0.3,-1.079689027536776,0.2235160828294868,223.07984103401418,-24.713472063541733,-7.447036107484248,-0.13618595030650277,0.0,0.0,0.0,0.0,0.0,0.0
0.33,-0.7866646412823439,0.1703925585619358,223.05164132816807,-24.674343669150858,-7.895327526421305,-0.10174320812902787,0.0,0.0,0.0,0.0,0.0,0.0
0.36,-0.5964892934156616,0.1280175430781657,223.01746161141645,-24.640535531389716,-8.412007607339135,-0.08105762471502811,0.0,0.0,0.0,0.0,0.0,0.0
0.39,-0.48060360156732645,0.09691689237064531,222.97741050193918,-24.61316122235501,-8.978926097249136,-0.07002758683985516,0.0,0.0,0.0,0.0,0.0,0.0
0.42,-0.4139026844180533,0.07577422999981066,222.92988548648566,-24.591459232688383,-9.57859158793597,-0.06532929411942316,0.0,0.0,0.0,0.0,0.0,0.0
0.45,-0.3761393283722747,0.0627808449259392,222.87220174039186,-24.573969615417187,-10.196021577268937,-0.06444792603244054,0.0,0.0,0.0,0.0,0.0,0.0
0.48,-0.3513307524536089,0.0561387205170688,222.80083918361473,-24.558999768255738,-10.818744116060476,-0.0655284059544601,0.0,0.0,0.0,0.0,0.0,0.0
0.51,-0.32647092072336575,0.05405754899487251,222.71146222954198,-24.544668042673784,-11.436100010878846,-0.06718283368140882,0.0,0.0,0.0,0.0,0.0,0.0
0.54,-0.29030444719629306,0.054462084746632146,222.59879065940422,-24.528703914722865,-12.03847734601695,-0.0683413137204497,0.0,0.0,0.0,0.0,0.0,0.0
0.57,-0.2326457487964493,0.05457682648025809,222.45633420236274,-24.508127031212485,-12.616856475288214,-0.06820350245704174,0.0,0.0,0.0,0.0,0.0,0.0
0.6,-0.14471067765500448,0.05064849349529622,222.2759031532459,-24.478936491016608,-13.162960752523459,-0.06633959256546995,0.0,0.0,0.0,0.0,0.0,0.0
0.63,-0.02111281772010751,0.038397333686546374,222.04662705308343,-24.436025933998565,-13.670338245787038,-0.06297282660222317,0.0,0.0,0.0,0.0,0.0,0.0
0.66,0.13566413643206088,0.015395865810976498,221.75303259367988,-24.37372755186556,-14.136819283418099,-0.05937297501938621,0.0,0.0,0.0,0.0,0.0,0.0
0.69,0.30827309197450864,-0.01303454655187819,221.372232859215,-24.287840167674453,-14.569031253156119,-0.057967938317310806,0.0,0.0,0.0,0.0,0.0,0.0
0.72,0.4591654204423487,-0.025086309296553238,220.8740304548256,-24.18151546104146,-14.990078166056753,-0.061278553868401774,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.5426592268891735,0.015640727048454046,220.24922383273795,-24.082663118292416,-15.452244015114278,-0.0691855331751248,0.0,0.0,0.0,0.0,0.0,0.0
0.78,0.5681195747928544,0.015490396904626611,220.20704743903661,-24.076432962149536,-16.06756707919891,-0.06653250077659915,0.0,0.0,0.0,0.0,0.0,0.0
0.81,0.5377086353859575,-0.026720241222352947,220.75438562466664,-24.163167361384218,-16.847410361965757,-0.05312153666100516,0.0,0.0,0.0,0.0,0.0,0.0
0.84,0.4303788419687963,-0.01778459490251264,221.19193473589888,-24.258861470143376,-17.691256662083102,-0.04472289368156982,0.0,0.0,0.0,0.0,0.0,0.0
0.87,0.28406812099997497,0.006846000462888167,221.528100296212,-24.336217421940038,-18.547966171064168,-0.04228081401058492,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.13675672302530686,0.026240057144179825,221.78834675187989,-24.392002465534336,-19.390256778143193,-0.04379059954971412,0.0,0.0,0.0,0.0,0.0,0.0
0.93,0.010695291141211764,0.03533752656739345,221.99063145531608,-24.429845047402047,-20.205194437855596,-0.04673160652574621,0.0,0.0,0.0,0.0,0.0,0.0
0.96,-0.08498753206554917,0.03639987780828523,222.14607143844984,-24.4546463215124,-20.988028010596416,-0.04927054164163631,0.0,0.0,0.0,0.0,0.0,0.0
0.99,-0.1483370172203135,0.0333530578536101,222.26171730340508,-24.47071552413385,-21.738113958864872,-0.050348594956817073,0.0,0.0,0.0,0.0,0.0,0.0
1.02,-0.17996218979571996,0.029496872089096828,222.34226701942623,-24.48124520575256,-22.45622554508286,-0.049373456700445253,0.0,0.0,0.0,0.0,0.0,0.0
1.05,-0.1801774112389457,0.02701013141754042,222.39079177648702,-24.488323211838587,-23.14280339904532,-0.04589307468022326,0.0,0.0,0.0,0.0,0.0,0.0
1.08,-0.1473708329033156,0.027106253691824615,222.40896494300202,-24.49312291617849,-23.796879789174,-0.03935484971929674,0.0,0.0,0.0,0.0,0.0,0.0
1.11,-0.07721141877624745,0.03029075891590016,222.3971297302255,-24.496094293246507,-24.41557122482871,-0.02896190762346794,0.0,0.0,0.0,0.0,0.0,0.0
1.14,0.037328271458820644,0.036512700527835236,222.35441159068768,-24.49708072697244,-24.994232666074808,-0.01364022186989551,0.0,0.0,0.0,0.0,0.0,0.0
1.17,0.20473443059073282,0.04514773877010021,222.27906205125754,-24.49534902915685,-25.527634196334173,0.00782853813502052,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0.43158907129159163,0.054806535985312765,222.16929114090118,-24.48956563643916,-26.012887600945007,0.03639002211953451,0.0,0.0,0.0,0.0,0.0,0.0
1.23,0.7155153445867088,0.06299994627579601,222.02498435575203,-24.477801869832625,-26.455341771140425,0.07181510229942167,0.0,0.0,0.0,0.0,0.0,0.0
1.26,1.0320517183206472,0.06577334090207272,221.85087351762533,-24.457718822846328,-26.87928453718439,0.11102212620403791,0.0,0.0,0.0,0.0,0.0,0.0
1.29,1.3121616709626323,0.05765360245985334,221.66181167274132,-24.427160191208305,-27.345968236010776,0.14527476607528977,0.0,0.0,0.0,0.0,0.0,0.0
1.32,1.4061246728188543,0.032875846020475094,221.49039623703274,-24.38545649002006,-27.98198718985675,0.15593099890050896,0.0,0.0,0.0,0.0,0.0,0.0
1.35,1.0282365775002436,-0.009686984323574644,221.3954359151051,-24.336035275142983,-29.020775118360913,0.1084096498692783,0.0,0.0,0.0,0.0,0.0,0.0
1.38,-0.3264160833532421,-0.052850758583525226,221.46575627209833,-24.292983374604937,-30.85752781435868,-0.056988269463477105,0.0,0.0,0.0,0.0,0.0,0.0
1.41,-3.509596159513473,-0.03133185907149297,221.8099334273732,-24.304102655219108,-34.110035323819396,-0.44429401097022286,0.0,0.0,0.0,0.0,0.0,0.0
1.44,-9.916332732251984,0.21498941544377212,222.5428739940637,-24.536146418980994,-39.65883816046515,-1.2546003114817208,0.0,0.0,0.0,0.0,0.0,0.0
1.47,-21.707926345020603,0.903754903368143,224.3414972386903,-25.520900046205437,-48.613295018311014,-2.905358272232557,0.0,0.0,0.0,0.0,0.0,0.0
1.5,-40.48914428224149,-1.4552028414199993,256.4385692745992,-27.584666604598436,-62.758187167778665,-5.391525049329481,0.0,0.0,0.0,0.0,0.0,0.0
1.53,20.952420766340293,0.5835584396437992,47.622091866498025,-0.035602803086949866,3.3995029834720567,0.02704752779619573,0.0,0.0,0.0,0.0,0.0,0.0
1.56,37.63548484865546,-13.063649929107772,183.93953128076507,2.5153747887852718,10.174977392280605,0.5342775766159839,14.644093428978275,-13.244532715142785,40.71163170445228,2.5938922604708363,12.77201394262561,2.820122923744381
1.59,0.0,0.0,0.0,0.0,0.0,0.0,26.703615129363985,17.595566126071954,260.69209377266225,16.70102461395621,45.95319351127844,-10.259952870639923
1.62,0.0,0.0,0.0,0.0,0.0,0.0,9.907517783461703,5.858528427394862,219.92930830176857,19.33813274752165,37.988929946279406,-2.4391941204416816
1.65,0.0,0.0,0.0,0.0,0.0,0.0,-0.7956567455521933,3.045174248323345,220.42220575249718,21.341690493041312,31.814463326193472,-0.07026361102651535
1.68,0.0,0.0,0.0,0.0,0.0,0.0,-3.780679418165561,1.4447161245611002,220.7607097672067,22.82326598985637,28.653139432308212,0.5175005983838852
1.71,0.0,0.0,0.0,0.0,0.0,0.0,-3.9240438286542334,0.47906701076584574,220.99887559655085,23.730557868499112,27.28658785884155,0.5721304098837758
1.74,0.0,0.0,0.0,0.0,0.0,0.0,-3.2022835440473525,-0.041938766708370726,221.28434019395908,24.225061695829577,26.79605962650959,0.4870631884164703
1.77,0.0,0.0,0.0,0.0,0.0,0.0,-2.325263090767107,-0.26878252249421913,221.583643998281,24.46511728846786,26.628737062405023,0.37431842299236523
1.8,0.0,0.0,0.0,0.0,0.0,0.0,-1.540572662661707,-0.327053598498827,221.85016820466572,24.561959617017816,26.500869459052957,0.2682830634912258
1.83,0.0,0.0,0.0,0.0,0.0,0.0,-0.9234220596947245,-0.30430123931929226,222.06311115745655,24.584969721422638,26.292302577205703,0.181127259950808
1.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.4778155710795119,-0.2521432568002718,222.22146524652777,24.5742723902119,25.969625575545415,0.11591006756769692
1.89,0.0,0.0,0.0,0.0,0.0,0.0,-0.17826342147838503,-0.1967234014006328,222.33266059239747,24.551340557272933,25.539087528024663,0.07091247822328192
1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.009174541377668825,-0.14906785575653944,222.40555998186593,24.526528916843567,25.02087260406756,0.04232978745409359
1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.1160574777443126,-0.11238193832220678,222.4474984309873,24.504023926545205,24.436518828229026,0.026069890349435288
1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.16696958230776254,-0.08637591773357091,222.46349092700154,24.484872269170776,23.803682001527502,0.018706021738614374
2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.17854328643415227,-0.06951993884697494,222.45632075665978,24.468680270664283,23.13465500765441,0.01780594845831568
2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.16023064946906218,-0.06003715086159279,222.42688137523936,24.454448528029964,22.436600939330596,0.021910356050823906
2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.11569879074974995,-0.05616626791838588,222.37451787675494,24.440865930127032,21.712445868098296,0.030359688734027956
2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.044351547688663395,-0.055995337117149505,222.29727877117384,24.42626713178969,20.961984447847215,0.043072213845233465
2.13,0.0,0.0,0.0,0.0,0.0,0.0,-0.057057383207366925,-0.05704372324063093,222.19203744158796,24.408377675031502,20.183127139190862,0.060300177487463046
2.16,0.0,0.0,0.0,0.0,0.0,0.0,-0.1923840986264905,-0.055793367511795665,222.054396044274,24.383943345776604,19.37346436383557,0.08233613402715269
2.19,0.0,0.0,0.0,0.0,0.0,0.0,-0.36289585937559576,-0.04765265645945057,221.87808823073627,24.348382739867088,18.53250111661559,0.10909220177424438
2.22,0.0,0.0,0.0,0.0,0.0,0.0,-0.5617256418088898,-0.02852427864970432,221.6531873474351,24.29578400350417,17.66504534642523,0.139425319914689
2.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.7647747722174205,-1.8544544461433513e-05,221.3621276175627,24.220186350676226,16.786291979805252,0.1701194109008879
2.28,0.0,0.0,0.0,0.0,0.0,0.0,-0.9197512058788595,0.020722681606590854,220.97455464446452,24.121211045605815,15.929074826120754,0.19502820234517415
2.31,0.0,0.0,0.0,0.0,0.0,0.0,-0.949676915095627,-0.0031111037967413422,220.461157226176,24.02351610267029,15.153183643744544,0.20746247555048733
2.34,0.0,0.0,0.0,0.0,0.0,0.0,-0.9230125862303593,-0.0023354632924105193,220.46052997486464,24.01915810170084,14.534325393083764,0.20585832322422418
2.37,0.0,0.0,0.0,0.0,0.0,0.0,-0.8410325680030327,0.023242014235323183,220.9746364542841,24.108493002169396,14.059585642539279,0.18965422565020779
2.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.6486303416187329,0.004429866732947489,221.362025287192,24.199089462396653,13.640850677235072,0.1609744423362618
2.43,0.0,0.0,0.0,0.0,0.0,0.0,-0.4300622361431157,-0.021705785677503153,221.65092788296369,24.26579616563977,13.217142904043538,0.1275888291233919
2.46,0.0,0.0,0.0,0.0,0.0,0.0,-0.23694927160096613,-0.0378280076662327,221.87265777297944,24.308916489733495,12.759580510813295,0.09636616713589019
2.49,0.0,0.0,0.0,0.0,0.0,0.0,-0.08877817355243449,-0.04214144220351619,222.04608829377526,24.334454052113436,12.258704928394957,0.0705358955805156
2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.013288072604521056,-0.03847079079477723,222.1823725883371,24.348312456807864,11.715637438405931,0.05076759373631558
2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.07616213489670585,-0.03100384124743814,222.28878904906745,24.35495264167888,11.136465555081298,0.036462215476407066
2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.10928608935956835,-0.022665898498022925,222.37055088786832,24.357352784047,10.528974982652805,0.026542332689537453
2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.12211107965112275,-0.015059335963781763,222.43155287310339,24.35730787221959,9.900952431372012,0.019834225247599493
2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.12314707249100196,-0.008812445225211806,222.4747214839335,24.35575880268445,9.259423457978503,0.01522139305505156
2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.11965458432072733,-0.0038967436989905007,222.5022309500102,24.353043279617204,8.610316869340078,0.01169619892954739
2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.11734126896866685,0.00020167280185313938,222.5156631467129,24.349038107599608,7.958123420487654,0.00839616076292179
2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.11948183354731572,0.004457706627430905,222.51613579735474,24.343199183747398,7.305114848613534,0.004702274616562258
2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.12476162736112534,0.010392664179754797,222.50441739066537,24.334529538443146,6.64959653492051,0.0004914685331291841
2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.12290639240494301,0.020195070654192345,222.48104754204908,24.3215337324694,5.982482001649714,-0.0033367728807209823
2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.08688561312449894,0.0367061708735371,222.446449324802,24.30225897151233,5.281219174634331,-0.003916338714459117
2.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.039712011267364754,0.06284473534823219,222.4008668429416,24.274585138851602,4.4998399156970645,0.00508841740243465
