t[s],q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,qd_LLHip1,qd_LLHip2,qd_LLHip3,qd_LLKnee,qd_LLAnkleRoll,qd_LLAnklePitch,qd_LRHip1,qd_LRHip2,qd_LRHip3,qd_LRKnee,qd_LRAnkleRoll,qd_LRAnklePitch,qdd_LLHip1,qdd_LLHip2,qdd_LLHip3,qdd_LLKnee,qdd_LLAnkleRoll,qdd_LLAnklePitch,qdd_LRHip1,qdd_LRHip2,qdd_LRHip3,qdd_LRKnee,qdd_LRAnkleRoll,qdd_LRAnklePitch,Tau_LLHip1,Tau_LLHip2,Tau_LLHip3,Tau_LLKnee,Tau_LLAnkleRoll,Tau_LLAnklePitch,Tau_LRHip1,Tau_LRHip2,Tau_LRHip3,Tau_LRKnee,Tau_LRAnkleRoll,Tau_LRAnklePitch
0.0,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2294954089659598,-3.1995256818169793,0.8164003672511626,3.004173424460305,1.8300459842421333,-4.6451527578281,1.2294910983786167,-3.1995302274862922,-1.2606461665283746,5.48616853644414,1.8300428639254278,-5.686535329879234,0.34025009061943884,-2.344595548150839,-2.1790269502242055,-13.212148326830391,4.914352340003535,-13.768912244074903,0.340258297079556,-2.3445882718873086,-0.0017194057528067482,-17.229807216586476,4.914357636167042,-12.104689832738854
0.03,0.0011065458680693638,-0.002879573113635281,-0.32926523966947396,0.6327037560820142,0.0016470413858179198,-0.30418063748204527,0.001106541988540755,-0.002879577204737663,-0.3311345815498756,0.6349375516827998,0.001647038577532885,-0.3051178817968913,0.036884862268978795,-0.09598577045450937,0.024492011017534877,0.09012520273380914,0.054901379527263997,-0.139354582734843,0.0368847329513585,-0.09598590682458877,-0.03781938499585124,0.1645850560933242,0.05490128591776283,-0.17059605989637702,-1.4079280544191306,3.7082879162474,4.822292576404038,-4.8992326801150625,-1.4491201402925071,1.5125679760815274,-1.3537093057408995,3.91370629587783,-9.215137519035517,5.3582206942480415,-1.727778917266951,5.942326211407273,-13.209323479379869,28.8609571999278,21.917721317925537,-19.559119099123556,18.518675925422556,-6.457831520352859,-6.120160093719041,-0.5782942903430558,-22.90001768114389,-3.76910160960743,0.011112587631924803,-0.8734507874099161
0.06,0.0009459564871615101,-0.0024216871026479024,-0.3241904160201843,0.630998202751925,0.0019898746453725835,-0.30699996378561717,0.0009947456019147006,-0.0022368187431852787,-0.34056278686688307,0.6446975019904227,0.001739076129525514,-0.3048876700035161,-0.00535297936359512,0.01526286703291263,0.169160788309656,-0.05685177766964272,0.011427775318488785,-0.09397754345239717,-0.0037265462208684805,0.021425282051746125,-0.31427351056691677,0.3253316769207654,0.003067918399754302,0.007673726445841161,-0.07625690792247042,-0.1366658109901664,0.48738073578988406,-0.16705621775338386,-0.35584723180181754,-0.5207080971491109,-0.22242840634623207,-0.3753836201720411,-1.1513488104520029,0.2566958405456461,-0.08155132876921467,0.20657320090684017,-3.22576254038446,25.07026494103946,6.324441989374515,-20.650463502230004,20.306899474631635,0.5511080240329483,-2.0072801761317907,-0.6764378256446387,-7.285077086846403,1.21594351297479,-0.014015189154886209,-0.29840660391316615
0.09,0.0007167358891234331,-0.002086800321551673,-0.3186769497086837,0.6291422988258576,0.0020124453963056115,-0.3102879273766233,0.0006827636495770373,-0.001931905539787732,-0.35102720611329735,0.6546884785545368,0.0017577174856258499,-0.30447154232932466,-0.007640686601269233,0.011162892703207639,0.18378221038335252,-0.061863464202244235,0.0007523583644342587,-0.1095987863668705,-0.010399398411255442,0.010163773446584893,-0.34881397488047683,0.3330325521371348,0.000621378536677862,0.013870922473046367,0.08880868417463716,-0.09260120326200649,-0.08682411870393025,-0.08717664686537319,-0.15523517641940998,-0.15143063167920445,0.1326410733441783,-0.11680335739144176,0.4174036161250889,0.19038927012176288,-0.07853837378835582,-0.3794288079900241,-0.48661362225068966,24.589684813136373,2.71120545057109,-19.64107959775886,21.598855603665417,6.287326994385618,-0.9479034171960502,-0.18254991750891358,-3.4963685516692324,2.69429358801591,-0.001729713137994011,-0.13831553261085422
0.12,0.0005674431068425296,-0.0018352546233912498,-0.31324162510401665,0.6272079359176115,0.0018953044884611702,-0.3137121785361407,0.0004901586632491345,-0.0017321153580424826,-0.3611159621051991,0.6648508054617605,0.0017056743053166655,-0.30439690058232427,-0.004976426076030119,0.008384856605347444,0.1811774868222346,-0.06447876360820542,-0.0039046969281480402,-0.11414170531724663,-0.006420166210930093,0.00665967272484164,-0.33629186639672415,0.33874423024078765,-0.0017347726769728123,0.0024880582333456445,0.0757177540608609,-0.04679801632960334,-0.1912142589824839,-0.026485332244931215,-0.05267967214695091,0.07626048304132382,0.12402011127452717,-0.034920305263115736,0.5658175645188877,-0.012731079902970066,-0.04886840948685389,-0.472355615218393,-0.09669939607930914,24.564123027039926,2.7369717566007754,-17.98046507780723,22.463209571661412,9.674735260817018,-0.8933156032543472,-0.06449346932472139,-3.381488244340639,2.7598572708570726,0.00011376530079263373,-0.1361093586417558
0.15,0.0004862963032164008,-0.0016258271399274696,-0.3079783933324339,0.6252497362103449,0.001730751875684473,-0.3170677952609209,0.0004091717770683062,-0.0015637534510340376,-0.3706954822890338,0.6750016743970714,0.0016096495564693126,-0.3047473788890205,-0.002704893454204292,0.006980916115459344,0.17544105905276008,-0.06527332357555336,-0.005485087092556567,-0.11185389082600691,-0.0026995628726942784,0.005612063566948168,-0.31931733946115753,0.33836229784369853,-0.003200824961578429,-0.011682610223206144,0.04025445229399338,-0.03168466938336678,-0.19578980635776588,0.009058213999537656,-0.0022447609253504197,0.17058381714718962,0.060055230105584556,-0.01736809868219069,0.37935970065889535,-0.1156385995797038,-0.02107095583510521,-0.30759540323254253,-0.29206633223616646,24.60818217636137,3.4053080105546614,-16.77336690853626,22.96798600156061,11.430146814527843,-1.0406611034596085,-0.03375878214588124,-3.983244089854735,2.5774653440721527,0.00015958773413292214,-0.1585430319735562
0.18,0.0004413785066548661,-0.0014449158589087195,-0.30289137238657304,0.6232996888956779,0.0015641789780749607,-0.3202698865502686,0.00038223459798250397,-0.001411022832839564,-0.3799335787422755,0.6850484685927606,0.001494660947370365,-0.30537469305862597,-0.0014972598853844907,0.00603037603395834,0.16956736486202711,-0.06500157715556723,-0.00555242992031708,-0.10673637631159122,-0.0008979059695267417,0.005091020606482447,-0.3079365484413907,0.3348931398563074,-0.003832953636631585,-0.02091047232018242,0.017831564833159064,-0.028008510898530403,-0.17852535796959046,0.018221680887222647,0.01957622288955463,0.1860660731229018,0.018020864111263357,-0.014679823204648557,0.206050942285934,-0.15409426052646324,-0.0031116586717878647,-0.1184347570189983,-0.5508160211992842,24.642319428259988,3.9668556357384506,-16.039487212453704,23.226189880515886,12.28383733874643,-1.1790640390388452,-0.02240462385735098,-4.530263307880928,2.4333142368790144,0.00010151683912145449,-0.17504709961929746
0.21,0.0004125091184431745,-0.0012892122376986467,-0.29796502426288485,0.6213660410938093,0.0014152246810660474,-0.32330451837380575,0.00037151619659683876,-0.0012715040555292744,-0.3889862293474599,0.694956577953976,0.0013768718454668083,-0.3061085985095485,-0.0009623129403897188,0.005190120707002428,0.1642116041229394,-0.06445492672895055,-0.0049651432336304405,-0.10115439411790417,-0.000357280046188841,0.00465062591034299,-0.30175502017281264,0.33027031204051355,-0.003926303396785221,-0.02446351503075237,0.00768445618473379,-0.026170104816117146,-0.15286115877256634,0.0162019181237838,0.02631956251389056,0.16384667348302173,-6.427185795843116e-05,-0.014649372975445552,0.10550467292548404,-0.17291007074137354,0.0064515570737384564,0.01742455599486803,-0.7675026021485514,24.660660125040113,4.361383801288961,-15.569311477355459,23.333708761847365,12.738093652786993,-1.2829822410935066,-0.01895640632726677,-4.9349263004066195,2.349243329193095,2.679216178123144e-05,-0.18429524888625867
0.24,0.00039055574079774336,-0.0011570617108230792,-0.29317625118209195,0.6194469750182522,0.0012899579903196358,-0.32619168819120814,0.00036073995053901095,-0.0011451697138968858,-0.3979439257470114,0.7047090682515242,0.0012648891449296164,-0.3068268218600757,-0.0007317792548477051,0.004405017562518914,0.15962576935976241,-0.06396886918523703,-0.004175556358213724,-0.09623899391341352,-0.00035920820192759397,0.004211144721079623,-0.2985898799850481,0.3250830099182723,-0.0037327566845730673,-0.02394077835090633,0.0038059974524458084,-0.023317266234414546,-0.12373947818099396,0.012133681802993124,0.025689917982163024,0.12935532256301485,-0.00509347704143881,-0.014406791076396086,0.06111825135148763,-0.190729916974675,0.010708303559471943,0.09930684242960552,-0.9369161285410759,24.668981833387114,4.649595512360505,-15.201699852087257,23.357393556244418,13.073861463682924,-1.3626174779837146,-0.020200613068158794,-5.240706032845462,2.302579604425055,-9.208538010186007e-05,-0.18929935282870541
0.27,0.00037202776085951345,-0.001045896723558485,-0.28849884363166195,0.6175388292563178,0.0011878122257571707,-0.32896243821830384,0.0003453795751438882,-0.0010318014842332535,-0.40684661572034647,0.7142899016237952,0.0011625439175959491,-0.3074556690524162,-0.0006175993312743308,0.0037054995754864776,0.15591358501433258,-0.06360485873114724,-0.0034048588187488332,-0.09235833423652308,-0.0005120125131707582,0.0037789409887877407,-0.29675633244450345,0.3193611124090321,-0.003411507577788909,-0.020961573078018166,0.0024012983810735022,-0.019428459782886875,-0.09569941754403999,0.009144068815714945,0.022023365097084024,0.09560645893861874,-0.004916482959935742,-0.013384590665936225,0.04991660722676272,-0.21201565994152816,0.011982259626326375,0.14541460719028798,-1.0680641341598887,24.67158630000232,4.878804554725257,-14.853294923778735,23.33898072781862,13.42281706585924,-1.427450836287465,-0.02358321942382157,-5.486851215272633,2.2761298792846145,-0.00023244863587260347,-0.19210191477397062
