t[s],Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter,Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter
0.0,4.31598403035971,22.44597514552791,60.25720952056652,-13.201549302066816,4.4277238949225275,-0.18817322910564974,4.045682000523003,22.563339858669025,164.241069096156,-13.30879939487846,3.6954049945936314,-0.4992550381695316
0.03,9.817127488155077,-8.125807306130627,247.5597804168588,-21.576960134970573,3.858168605594546,2.8156451980664348,0.0,0.0,0.0,0.0,0.0,0.0
0.06,3.560273027641475,-2.2661306791307787,223.71832810323377,-22.690675801544245,2.309957834803982,0.6086894821612641,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.43607273218180453,-1.1810600387195023,222.93136046595433,-22.707552433133856,0.8715451639100966,-0.005983589055243213,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-0.48828471143021246,-0.8712562914014201,222.81451313053654,-22.542111975637432,0.033943057658604774,-0.1354921980065337,0.0,0.0,0.0,0.0,0.0,0.0
0.15,-0.6413538141897893,-0.7934916223627305,222.81446186448164,-22.314556812174928,-0.429054676513821,-0.12625948342144167,0.0,0.0,0.0,0.0,0.0,0.0
0.18,-0.5742821873515527,-0.773925950828162,222.83494147643464,-22.064138850004145,-0.6914416647193743,-0.09355738550663886,0.0,0.0,0.0,0.0,0.0,0.0
0.21,-0.4618625168555549,-0.7693156773954213,222.846837674147,-21.802764246319484,-0.8584032205133209,-0.0656808139296122,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.3522246795141109,-0.774128125714062,222.84538632440479,-21.533801102149564,-0.9859481086756605,-0.04566983507850305,0.0,0.0,0.0,0.0,0.0,0.0
0.27,-0.2561653764552063,-0.7899889443128439,222.83181076010194,-21.258173645418324,-1.1007710989710637,-0.031634772301745454,0.0,0.0,0.0,0.0,0.0,0.0
0.3,-0.17390510153754388,-0.8187939536798515,222.80737346223182,-20.97587846829417,-1.2138592499002334,-0.021650890103735092,0.0,0.0,0.0,0.0,0.0,0.0
0.33,-0.10237851814703579,-0.8622544119371172,222.7722426963668,-20.686240153130534,-1.328410063750448,-0.01436946204646572,0.0,0.0,0.0,0.0,0.0,0.0
0.36,-0.037414512297765636,-0.9224072528169169,222.7255980259921,-20.387926576999085,-1.4440356411034823,-0.0088583627391071,0.0,0.0,0.0,0.0,0.0,0.0
0.39,0.025393162969596445,-1.0019525989421068,222.6658374160602,-20.078948337124693,-1.5588551169381497,-0.00444975043599769,0.0,0.0,0.0,0.0,0.0,0.0
0.42,0.0902870962304901,-1.104385658154179,222.59066907197504,-19.756672478795014,-1.6704740805126002,-0.0006623673275503245,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.16119566384016096,-1.2340100498254205,222.49710424843454,-19.41786471599088,-1.776414463696028,0.0028374847967868057,0.0,0.0,0.0,0.0,0.0,0.0
0.48,0.24169327830021284,-1.3958462772683724,222.38138884533484,-19.058797247447895,-1.8743046433563033,0.0062565963908481235,0.0,0.0,0.0,0.0,0.0,0.0
0.51,0.33495080685504497,-1.595369378950651,222.2388933757983,-18.675491253348678,-1.9620053217205924,0.009679979730414626,0.0,0.0,0.0,0.0,0.0,0.0
0.54,0.4435669067571729,-1.8379300242350718,222.0639608130857,-18.264204872856837,-2.03778101262396,0.013056403340894812,0.0,0.0,0.0,0.0,0.0,0.0
0.57,0.5691683332564849,-2.127600073866147,221.84968351526354,-17.82233261306561,-2.100598185314746,0.016159741991881353,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.7116484708429923,-2.464995704040903,221.5875276644963,-17.34994757577151,-2.150620423484518,0.01852945469960659,0.0,0.0,0.0,0.0,0.0,0.0
0.63,0.8679157018845294,-2.8433581704565407,221.26666310767692,-16.852276976063138,-2.1899658399298265,0.019424798541657677,0.0,0.0,0.0,0.0,0.0,0.0
