t[s],Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter,Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter
0.0,-10.263214952465383,12.8473760143618,342.1142564515104,-6.849314678259017,-7.541743820819737,-1.1726962992679084,-8.797181619422183,16.36678565949104,478.15765865950345,-9.567001685739069,-8.125090901253097,3.8964723729989723
0.03,-6.949104215018402,12.55851183773579,303.48408316359416,-6.076642275203427,-6.371706441010957,-1.1466757161095011,-5.7590618429724945,15.625229548260984,422.999000019267,-8.464145794613236,-6.887350399393666,3.3255625369210375
0.06,-5.1702769416233645,12.021677053676838,308.1168672254182,-6.168007618015152,-5.387038286794365,-1.491799193483395,-4.082690352675669,14.843172579646165,417.3573503982526,-8.350124219177154,-5.808081483343445,3.191301016647714
0.09,-3.64089703893954,11.450180499579611,312.27082608293887,-6.249892941400149,-4.4957155435576,-1.74396731218855,-2.6026177825282226,14.122948323952054,414.1415656869359,-8.2846839266525,-4.825901016483951,3.125210264020757
0.12,-2.4144822094990817,11.044857176407818,315.05777460040537,-6.3046928716575605,-3.7311259363344496,-1.926605606277636,-1.4244595923173053,13.651511845549855,412.11535954931173,-8.243271251147727,-3.9899230523924567,3.0640970594217243
0.15,-1.4190766410077456,10.835089611399209,316.39825300955187,-6.3308423952342014,-3.0614492070605412,-2.0586548666518056,-0.4890395153178907,13.460215015417688,411.30163208231005,-8.226363793970247,-3.2715197140169754,2.9988237233086887
0.18,-0.5829656174720598,10.822354729619141,316.1916883641165,-6.326338228395256,-2.4550707305372246,-2.1565922561146467,0.2703124331057093,13.479253834750311,411.8332840233109,-8.169299587704753,-2.6402917079793284,2.942343057949385
0.21,0.15389164186754603,10.996376997049289,314.2916325298173,-6.288255665714624,-1.8853906416208248,-2.2299619535137247,0.913177224945273,13.659165956390718,413.89324725180904,-8.0280842964349,-2.0688199628867583,2.906938460997608
0.24,0.8339186650129603,11.298693828709927,310.45213292212776,-6.2116530528765725,-1.3334254983313012,-2.239273186082303,1.5012675556308415,14.51702196139636,417.7090800219276,-8.260727802294282,-1.5249328559154165,2.816702999497147
0.27,1.5150758647628633,11.757407982895943,304.44666020322717,-6.092044679528394,-0.7734275036993108,-2.2276498321349667,2.076600749831048,15.635622441676647,423.5407816645222,-8.471117651892655,-0.991244893437862,2.7460917002060965
0.3,2.245947661339895,12.363482292374622,295.9493632043283,-5.922941300808009,-0.18341745737573315,-2.2014615763260985,2.687739900549718,17.02468977917717,431.707106250671,-8.63508797912149,-0.44444232684870094,2.7035095505534783
0.33,3.072544353160615,13.082056219658584,284.5444261832389,-5.696046520145904,0.4584353253234208,-2.151473758349781,3.392885647662278,18.838417541223485,442.60622412311284,-8.854003377701098,0.14409910180387872,2.6808122508342467
0.36,4.049976783977903,13.853733980698301,269.72372201752415,-5.401211781272746,1.1797288966623183,-2.066921881586553,4.275055612902039,21.123139458583907,456.7593185771499,-9.138289050131798,0.8128992966307688,2.6993821939907754
0.39,5.400463021698968,14.454591539424126,250.5642053084364,-5.019898182836955,2.0746259243548058,-1.8974420081439334,5.647437399906899,23.810924096677653,474.794936171837,-9.500415690701628,1.6904602655252208,2.845980310199911
0.42,7.650525267269575,14.66324307048487,236.2550266315577,-4.735385688939415,3.547101861826229,-1.5017904427774236,8.479652049902892,27.02990787591562,510.7551417782298,-10.220592307280096,3.3608886249348817,3.625406315903845
0.45,38.42962118990418,-37.750140979332926,804.7769554054564,-2.058210700468222,11.250571005510322,5.252869727183687,0.0,0.0,0.0,0.0,0.0,0.0
0.48,14.048057777527832,-31.52071057646819,727.2175654010252,-3.489262305660145,2.758769415560022,1.7332842663938672,0.0,0.0,0.0,0.0,0.0,0.0
0.51,4.594508450547658,-28.543062120275387,723.0222535072729,-4.0844401843637,-1.0210058058515807,-0.05757141251203693,0.0,0.0,0.0,0.0,0.0,0.0
0.54,2.5558780261684113,-26.549616374805613,723.2523515576523,-4.200721257006497,-2.190362213481231,-0.675153715195748,0.0,0.0,0.0,0.0,0.0,0.0
0.57,2.718616623069662,-25.014477156424515,723.655773375909,-4.080493141512701,-2.5111948015404852,-0.7950851873620722,0.0,0.0,0.0,0.0,0.0,0.0
0.6,3.286784658804625,-23.68299774192423,724.0549542085954,-3.8697739786250245,-2.6304807113239104,-0.7607468881614909,0.0,0.0,0.0,0.0,0.0,0.0
0.63,3.8318303191347582,-22.467016928152137,724.4160785214067,-3.6243956598541307,-2.7260481140419497,-0.6949299459591305,0.0,0.0,0.0,0.0,0.0,0.0
0.66,4.319883273460101,-21.345197684488607,724.7155354680052,-3.360467754628498,-2.8307074989856655,-0.6304584257064784,0.0,0.0,0.0,0.0,0.0,0.0
