t[s],q_BodyPitch,q_BodyRoll,q_BodyYaw,q_ALShoulder1,q_ALShoulder2,q_ALShoulder3,q_ALElbow,q_ARShoulder1,q_ARShoulder2,q_ARShoulder3,q_ARElbow,q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,qd_BodyPitch,qd_BodyRoll,qd_BodyYaw,qd_ALShoulder1,qd_ALShoulder2,qd_ALShoulder3,qd_ALElbow,qd_ARShoulder1,qd_ARShoulder2,qd_ARShoulder3,qd_ARElbow,qd_LLHip1,qd_LLHip2,qd_LLHip3,qd_LLKnee,qd_LLAnkleRoll,qd_LLAnklePitch,qd_LRHip1,qd_LRHip2,qd_LRHip3,qd_LRKnee,qd_LRAnkleRoll,qd_LRAnklePitch,qdd_BodyPitch,qdd_BodyRoll,qdd_BodyYaw,qdd_ALShoulder1,qdd_ALShoulder2,qdd_ALShoulder3,qdd_ALElbow,qdd_ARShoulder1,qdd_ARShoulder2,qdd_ARShoulder3,qdd_ARElbow,qdd_LLHip1,qdd_LLHip2,qdd_LLHip3,qdd_LLKnee,qdd_LLAnkleRoll,qdd_LLAnklePitch,qdd_LRHip1,qdd_LRHip2,qdd_LRHip3,qdd_LRKnee,qdd_LRAnkleRoll,qdd_LRAnklePitch,Tau_BodyPitch,Tau_BodyRoll,Tau_BodyYaw,Tau_ALShoulder1,Tau_ALShoulder2,Tau_ALShoulder3,Tau_ALElbow,Tau_ARShoulder1,Tau_ARShoulder2,Tau_ARShoulder3,Tau_ARElbow,Tau_LLHip1,Tau_LLHip2,Tau_LLHip3,Tau_LLKnee,Tau_LLAnkleRoll,Tau_LLAnklePitch,Tau_LRHip1,Tau_LRHip2,Tau_LRHip3,Tau_LRKnee,Tau_LRAnkleRoll,Tau_LRAnklePitch,q_ALShoulder1,q_ALShoulder2,q_ALShoulder3,q_ALElbow,q_ALWristRoll,q_ALWristYaw,q_ALWristPitch,q_ARShoulder1,q_ARShoulder2,q_ARShoulder3,q_ARElbow,q_ARWristRoll,q_ARWristYaw,q_ARWristPitch,q_HeadPitch,q_HeadRoll,q_HeadYaw,qd_ALShoulder1,qd_ALShoulder2,qd_ALShoulder3,qd_ALElbow,qd_ALWristRoll,qd_ALWristYaw,qd_ALWristPitch,qd_ARShoulder1,qd_ARShoulder2,qd_ARShoulder3,qd_ARElbow,qd_ARWristRoll,qd_ARWristYaw,qd_ARWristPitch,qd_HeadPitch,qd_HeadRoll,qd_HeadYaw,qdd_ALShoulder1,qdd_ALShoulder2,qdd_ALShoulder3,qdd_ALElbow,qdd_ALWristRoll,qdd_ALWristYaw,qdd_ALWristPitch,qdd_ARShoulder1,qdd_ARShoulder2,qdd_ARShoulder3,qdd_ARElbow,qdd_ARWristRoll,qdd_ARWristYaw,qdd_ARWristPitch,qdd_HeadPitch,qdd_HeadRoll,qdd_HeadYaw
0.0,0.2,0.0,0.0,-0.25,0.1,0.0,0.0,0.25,-0.1,0.0,0.0,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.870646469370847,-1.5423751820212708,0.0593671631428947,6.0429789346143625,0.8621587481783253,-0.1427459979255412,0.3377634950012509,-4.96413080687161,3.6994485907431782,-0.07608767110851931,1.832864077818204,-0.0932423828991773,0.34693993450042626,4.004275707124975,-9.1705703972832,-0.31907015743672673,3.4110697477999565,-0.09324236099871541,0.34694009169609785,4.088120046363258,-9.242976197549524,-0.3190701400303624,3.4478971224466477,-35.40612706015453,0.6494494019750432,5.166180604198639,10.258718186574246,8.194677984076021,-0.07963240010421453,4.644086206606584,-5.324492532879877,10.025766046494141,-0.015291935122260382,5.418934345451778,-1.5544926704259443,-4.846124232634255,8.409793109623468,-27.439077729079568,5.041581540252906,16.54918971138769,-0.398606491602311,-5.27434878461383,15.57795226782881,-38.91793988020942,8.81961365944075,21.36538565576243,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03,0.19561641817756625,-0.0013881376638191438,5.3430446828605225e-05,-0.24456131895884708,0.1007759428733605,-0.0001284713981329871,0.0003039871455011258,0.24553228227381554,-0.09667049626833114,-6.847890399766738e-05,0.0016495776700363835,-8.391814460925956e-05,0.0003122459410503836,-0.32639615186358756,0.6217464866424451,-0.00028716314169305405,-0.29693003722698,-8.391812489884386e-05,0.00031224608252648805,-0.32632069195827307,0.6216813214222054,-0.0002871631260273261,-0.296896892589798,-0.1461193940811254,-0.04627125546063812,0.0017810148942868408,0.18128936803843088,0.025864762445349757,-0.004282379937766236,0.010132904850037526,-0.1489239242061483,0.11098345772229534,-0.002282630133255579,0.05498592233454611,-0.002797271486975319,0.010408198035012788,0.12012827121374925,-0.27511711191849597,-0.009572104723101802,0.1023320924339987,-0.002797270829961462,0.010408202750882936,0.12264360139089774,-0.2772892859264857,-0.009572104200910871,0.10343691367339942,0.5013835713948751,-0.15535191526415204,0.34718398073647094,0.8158953916060128,0.3808578642351945,-0.009945901527256745,0.21163591356485095,-0.5636749924494513,1.0974654935038877,-0.0020432215076367083,0.6188943708735818,-0.06809959633289964,-0.06556323686555743,-0.21086379172714942,-0.02069797931892481,0.22621836068492485,0.1408419680337829,-0.06809565203940338,-0.06560204464233266,-0.004915265852730499,-0.28130912581718803,0.22626700989121673,0.23075458962193807,-32.09723600347604,1.8398232852722654,4.3464092743574225,3.9554886348312968,6.772079397173085,-0.04374008152463988,3.8419296222180006,0.014900916905158273,4.68233520429774,-0.04337132176896013,2.433545078108536,-1.246661107116953,-5.104790145147517,7.479713572557473,-23.170064643344556,4.343595415850652,14.563072975555437,-0.24196229502570735,-5.481428710996945,13.615587193142671,-33.14484077646934,7.658895349790603,18.7871859187439,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06,0.19168408156938788,-0.0029160920513760244,0.00041932647632003434,-0.23838833206524876,0.10189465782453266,-0.00026589410764050526,0.0007984466132106174,0.2405572570544266,-0.09235327359250878,-0.0001387967073522078,0.00385616027385899,-0.0002291259259181288,0.0005654849689217655,-0.32298208113972954,0.6134743451035032,-0.00037072975876967576,-0.2937333166827297,-0.00022912233663315078,0.0005654503248748767,-0.3226458076558136,0.6131094646311754,-0.0003706859431525572,-0.29358610604893626,-0.13107788693927913,-0.050931812918562684,0.012196534316380968,0.20576622978661124,0.03729049837240559,-0.004580756983583938,0.016481982256983056,-0.16583417397963185,0.14390742252741195,-0.0023439267784846804,0.07355275346075357,-0.004840259376962308,0.008441300929046065,0.11380235746193476,-0.2757380512980637,-0.002785553902554057,0.10655735147501219,-0.0048401403911435634,0.008440141411612955,0.12249614341531583,-0.28572855970100136,-0.0027840939041743696,0.11035955136205756,0.6880159340396474,0.0357572984644392,0.2551811321277846,0.32581408293930103,0.21494260378195307,-0.004271960724501145,0.11368397262475183,-0.11513178232932475,0.5969375089631108,-0.0019534901095382695,0.33133317026416925,-0.02662448641902415,-0.16822249541529288,-0.32649476303600977,0.26363150665827106,0.3297853704116278,0.051730971561482875,-0.026641770046694546,-0.16829576015987868,-0.1405057995164043,-0.010482413114232259,0.32984061494789785,0.15364224040513363,-33.20734752634009,1.4014827477501688,3.5237336129437242,2.265683076202286,6.3930430133806215,-0.024599302263672247,3.627659654949377,1.2178044583552312,2.6127911257026812,-0.03969344836146442,1.2837334850915048,-1.0292506906888972,-4.501833228631768,8.081724760591888,-23.319053017192985,4.386445420609537,13.901043405586774,-0.07364631112181504,-4.864736059491309,13.563981244227273,-32.32679011451543,7.5761343690925,17.711736503806232,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09,0.1883709593018452,-0.00441186487031491,0.0010148855247264694,-0.23192211249700506,0.10320682111910859,-0.00040716158180007444,0.0013952216562823857,0.23547861323094124,-0.08749880715861962,-0.00021087265180533266,0.00636094273091935,-0.00039829574500411976,0.0006673237509193839,-0.3198618557026039,0.6054394719205537,-0.00015748954247583245,-0.290490038264074,-0.00039830414140948274,0.0006671883830793745,-0.31909737857291887,0.6045281736683425,-0.0001573522068246802,-0.29013704149170993,-0.1104374089180897,-0.04985909396462951,0.019851968280214505,0.21554065227479027,0.04373877648586418,-0.004708915805318972,0.019892501435725612,-0.1692881274495116,0.16181554779630528,-0.0024025314817708284,0.08349274856867865,-0.005638993969533033,0.0033946260665872786,0.10400751457085447,-0.2678291060983156,0.0071080072097947766,0.10810928062185668,-0.0056393934925444,0.0033912686068165955,0.11828096942982369,-0.28604303209442833,0.007111124544262566,0.11496881857421157,0.5552044739998863,0.006053521272345819,0.19323420692447613,0.19062243059374673,0.18231992257039908,-0.0019067449021600846,0.09430032749523048,-0.001369468115225203,0.40632130326440685,-0.001471502060916341,0.22276744586095043,-0.011215632851360624,-0.17392762612581691,-0.2898686607242098,0.27747399517636495,0.3394518542188507,0.007789485719058575,-0.011544010643206093,-0.17389760962061018,-0.10679159120218173,-0.016133650192045934,0.3393034496580185,0.12421083899153018,-34.10776567697328,0.7306819130377424,2.8871287147009776,1.184736817929224,6.218359128246297,-0.013964825705330027,3.531720282805174,1.857529138620143,1.3729092619355177,-0.035720792905839474,0.6058184985155797,-0.8859913307612326,-3.8714662854060986,8.574914350834563,-23.440805619695045,4.452485348480196,13.292432830648837,0.03069058419444529,-4.224582373602427,13.582990438612146,-31.721640378449436,7.554439216495921,16.78608156340296,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12,0.1855575210609024,-0.005902189520108684,0.001784355359364933,-0.22528433274122697,0.10468307234399787,-0.0005501451263715876,0.0020768669940998616,0.2303987368861522,-0.0822786515517925,-0.00028427294811328224,0.009066215889254565,-0.0005775596336563354,0.000612627669403767,-0.31700251206013,0.5976543253332629,0.0003612573426149765,-0.2872397493082711,-0.0005778755557647003,0.0006124185926253233,-0.3156450619221061,0.5959323624203369,0.0003613546341954135,-0.2865761871793912,-0.09378127469809311,-0.049677488326459136,0.025648994487948787,0.22125932519260266,0.04920837416297615,-0.004766118152383775,0.022721511260582528,-0.16932921149296837,0.17400518689423747,-0.0024466765435983188,0.09017577194450717,-0.0059754629550738516,-0.0018232027171872283,0.09531145474912818,-0.25950488624302465,0.017291562836360297,0.10834296519342844,-0.005985713811840583,-0.00182565968180171,0.11507722169375824,-0.2865270416001897,0.01729022803400312,0.11869514374395747,0.4323968382909129,-0.06608766624008311,0.14948531141312316,0.0943423199794271,0.1729129711871622,-0.0006641896138070424,0.08868872868067357,0.0699859254669164,0.2886829522605985,-0.0014403979713894094,0.1561399865656658,-0.0035094677168956423,-0.16462000023997803,-0.25562914769290046,0.28811030849681174,0.33628108675634394,-0.03271705941961045,-0.004444310069828816,-0.16441871045165612,-0.06724219423892919,-0.030617275195481852,0.33580058836241733,0.09968301340813923,-34.6745836558725,0.08141924791485378,2.3659051829535067,0.4037946657721962,6.034386552643151,-0.0070386739906424705,3.4309623123780457,2.2608128323531824,0.507850103642739,-0.03091355559948967,0.13958323137916118,-0.7734901619134011,-3.356336847918772,8.900243488321289,-23.455164681516134,4.499085029373228,12.738223558903497,0.10950631712766176,-3.7018451289350116,13.560840171474366,-31.2175800212604,7.534981064464935,16.01110370084108,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,0.18313323997442144,-0.007451993069518533,0.0026883619742752076,-0.2185616448974674,0.10631494524295561,-0.0006937264415955272,0.0028383321877299434,0.22538184787428336,-0.07679868128793083,-0.0003589696025954823,0.01191201503549888,-0.000759982043253757,0.00040977358767217,-0.3143732346505798,0.5901284780236193,0.001182657205786495,-0.2840189057059459,-0.0007614468491827636,0.00040967196276478143,-0.3122532632461084,0.5873089956246552,0.0011822820047416827,-0.28292561815500517,-0.08080936954936573,-0.05166011831366163,0.030133553830342483,0.22408959479198548,0.05439576329859102,-0.004786043840797986,0.025382173121002733,-0.16722963372896088,0.18266567546205542,-0.002489888482740001,0.09485997154147714,-0.0060807469865807205,-0.006761802724386569,0.08764258031834117,-0.2508615769881203,0.027379995439050613,0.10736145341084012,-0.006119043113935447,-0.006758220995351394,0.11305995586659036,-0.2874455598560542,0.02736424568487564,0.12168563414620165,0.3308425789990679,-0.14637577426350035,0.11321560662749874,0.015546217721966293,0.1615701651099497,0.00023101255874324877,0.08197158294887086,0.12591762113228988,0.19922776487685323,-0.0013827883336005042,0.1054232967895889,0.002475891869721636,-0.1556444579705385,-0.2299058004104495,0.3022215782452804,0.33610015623003164,-0.06866514164630644,0.0005958481627885703,-0.15519917358506063,-0.031582493119941546,-0.04721593434794613,0.3351460844073699,0.08165643853271831,-34.983444938604634,-0.5329784007845868,1.923444451659609,-0.15602306833713295,5.8086735195463595,-0.0021631175560396436,3.3063291379562787,2.5083339807917526,-0.12970735432767425,-0.025178318980709956,-0.19893836697240724,-0.6791180944101839,-2.9748125637326157,9.083614073272514,-23.360476311574622,4.5158468560086416,12.21165444430327,0.17683234594459316,-3.315527129385075,13.512652064736248,-30.81402273170603,7.5127430153137995,15.364983433888186,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.18,0.18100671720903963,-0.009133534815765532,0.003694262635150231,-0.21182496545775806,0.10809223129051229,-0.0008370998455165978,0.003673571806014009,0.2204782847214336,-0.07113940603567999,-0.00043491076657792277,0.014852695148853824,-0.0009401761501684292,6.683949376708832e-05,-0.31195087246139896,0.5828746301343964,0.0023065472095650415,-0.28085986073110236,-0.0009444818792543174,6.724607667768506e-05,-0.30888988881391866,0.5786431344880605,0.002304840851254585,-0.2792015583359397,-0.07088409217939369,-0.05605139154156664,0.033530022029167446,0.22455598132364446,0.05924286825188951,-0.004779113464035689,0.02784132060946886,-0.1634521050949922,0.18864250840836103,-0.002531372132748016,0.09802267044516481,-0.006006470230489071,-0.011431136463502724,0.08074540630602768,-0.24179492964076188,0.037463000125951565,0.10530149916145093,-0.00610116766905179,-0.011414196202903213,0.11211248107299211,-0.28886203788649256,0.03741862821709674,0.1241353273021832,0.2456039736937612,-0.2324067342702918,0.08215003221710049,-0.05030160488597346,0.14602280853051353,0.0009283447105460918,0.07276940452140118,0.17245580452342146,0.1264167246879737,-0.00124150812633321,0.0640008685031882,0.007518449722283549,-0.14840210497528972,-0.2112165598620095,0.31987549395466885,0.3401110014704045,-0.1015820482180061,0.004273705415329232,-0.14762676035212507,0.001107906065442421,-0.06581416623737368,0.33851563599682777,0.06873640468165831,-35.108810672464394,-1.1477971611981852,1.540120432079982,-0.553308318005653,5.535537083309844,0.0012268692042207035,3.1547207693151442,2.651998448532743,-0.6242996652158866,-0.01904633238922283,-0.45736206287139514,-0.5936223889907913,-2.731564996961377,9.148960468226502,-23.15325613199676,4.495373907738245,11.685506703582039,0.22875660526206507,-3.0651158432740724,13.462398134952585,-30.516588024772254,7.435472365259446,14.828200206703572,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21,0.1791012380199822,-0.011024242622855793,0.004774098325020645,-0.2051335574624461,0.11000093786574644,-0.000979637739198177,0.004574303888367336,0.21572993179265493,-0.06536635573120998,-0.0005119692878740632,0.017850976043861638,-0.001113603652333046,-0.0004096564946157541,-0.30971860517609395,0.5759086701897328,0.0037365371146669524,-0.27779223959965504,-0.0011236705744520747,-0.0004080438937263239,-0.30552551726627,0.569918040601852,0.003732063770164632,-0.2754156357526607,-0.06351597296858086,-0.06302359356967539,0.03599452299568046,0.22304693317706525,0.06362355250780492,-0.004751263122719306,0.030024402745110895,-0.15827843095928956,0.19243501014900025,-0.0025686173765380126,0.09994269650026046,-0.005780916738820565,-0.015883199612761415,0.0744089095101674,-0.23219866482212181,0.0476663301700637,0.10225403771491075,-0.005972956506591913,-0.015842999013466967,0.11214571825495538,-0.29083646287361375,0.04757409729700157,0.12619741944263294,0.17091454162115838,-0.3297771596782475,0.057039863953161074,-0.10694504316888498,0.1299018839118793,0.0013958014315294531,0.06315090285123542,0.212500647567893,0.06763544435227109,-0.0011273681427710763,0.030408701728148857,0.010895800044067983,-0.14098805066949183,-0.19790950799801976,0.3401049431541878,0.3464450054623285,-0.13268256857350025,0.0057692061255920635,-0.13978324162386002,0.033178675718261275,-0.08788062461042045,0.3440117800528242,0.05991199174513895,-35.11489739460576,-1.813048770835639,1.202722690743748,-0.8396623817846426,5.21451785526904,0.0033719542971147984,2.976022815070468,2.733559069587919,-1.0337326053252782,-0.013099200776261411,-0.668158150917088,-0.5130337418141695,-2.625321793261704,9.114091318771653,-22.8268661080779,4.432564368374289,11.134993466660607,0.2608060234765004,-2.9457760175752163,13.434093282709163,-30.333696486328527,7.268357313331584,14.384981818915604,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24,0.17734958191838382,-0.013211749873656477,0.005905269892448904,-0.19853840000598613,0.11202655613650128,-0.0011209194115913796,0.005531871783286775,0.21117282944668733,-0.05953243352682293,-0.0005900424404986975,0.020876624770424786,-0.0012772249344580018,-0.0010130417286011392,-0.3076644564479871,0.5692488046939079,0.0054783275246849585,-0.27484403277992386,-0.0012976669841367992,-0.0010091387815918068,-0.30213128491047486,0.5611138541534942,0.00546889729112222,-0.27157579237681106,-0.05838853671994611,-0.07291690836002282,0.037705718914275294,0.2198385818819987,0.0675206090251613,-0.004709389079773423,0.03191892983064796,-0.15190341153225279,0.19446407347956837,-0.0026024384208211447,0.10085495755210493,-0.005454042737498526,-0.02011284113284617,0.06847162427022681,-0.2219955165274962,0.05805968033393355,0.09827356065770573,-0.005799880322824151,-0.02003649626218277,0.11314107852650322,-0.29347288161192636,0.0578944506985863,0.1279947791949871,0.1051566046036001,-0.42452316627007747,0.027850196848042685,-0.1584201613743561,0.1036489549967563,0.0021399539575445714,0.04738111196736783,0.2513207164638658,0.008254929163007851,-0.0005880054661520917,-0.003953010991448069,0.017921227750974822,-0.14365954358082433,-0.19014785260407052,0.36925010798290714,0.3687496580625975,-0.16617064017873417,0.010215632839333466,-0.1418862336958,0.06433301450636009,-0.11298250729828396,0.36521078673649754,0.054317972075295984,-35.05007572514987,-2.5706687114782394,0.8842381605597871,-1.0667185865224609,4.866296323156972,0.0054763876472837475,2.779300786208149,2.7844591082415877,-1.3805018409087466,-0.006787685459580051,-0.8466601916933543,-0.4731228526823204,-2.6064803784078303,8.984903596675526,-22.36762710939733,4.33822037046921,10.538137915522839,0.3372074415469655,-2.949377656009346,13.451218196710304,-30.279952016114873,7.384343411443042,14.016362543934509,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.27,0.17569256676092868,-0.015781327974100232,0.007061506637040402,-0.1920858206947631,0.1141454584667532,-0.0012602751254227923,0.006532082678976845,0.20684191574553723,-0.05369108188618917,-0.0006686447980428687,0.023898715787095633,-0.0014247171116070802,-0.0017457205518092661,-0.30578144078722397,0.5629212642952677,0.007551992626959303,-0.27204537953635355,-0.0014624693242661236,-0.00173793127978351,-0.29867915284162405,0.552207983448568,0.007534420520142657,-0.26768706282609367,-0.055233838581838106,-0.08565260334812515,0.03854122481971657,0.215085977040768,0.07063007767506399,-0.0046451904610470855,0.033340363189668994,-0.14436379003833683,0.1947117213544586,-0.0026200785848057074,0.10073636722236148,-0.004916405904969281,-0.024422627440270902,0.0627671886921047,-0.21091801328800897,0.06912217007581148,0.0932884414523437,-0.005493411337644147,-0.024293083273056768,0.11507106896169403,-0.29686235683087486,0.06885077430068123,0.129624318357246,0.04171533411429351,-0.5350477445396855,0.0025750653751330788,-0.20710843839222548,0.07663833275946264,0.0027645428332528643,0.03102012651510208,0.2906334052507997,-0.045600884458173674,-6.408278211136875e-05,-0.03535988823059272,0.02390664449339397,-0.147181936022605,-0.18602881650377867,0.4031406857681077,0.39539401187698786,-0.20165249044384836,0.012676127793156411,-0.14465807422678267,0.0978140006693593,-0.14236294882243783,0.39039512273984656,0.050574010942000314,-34.97090476337067,-3.4779036493459414,0.5828082167947227,-1.2714794266586698,4.456141463211922,0.007173176406771173,2.546889610116269,2.8475905890429773,-1.7333035129964198,-0.0008227231646411897,-1.029670398845458,-0.44075817136666845,-2.719875355355275,8.777542567805362,-21.762956703864635,4.193084281941078,9.868388542248201,0.40379148434794393,-3.0856235194591926,13.535872149085897,-30.364461933950643,7.4607402244356456,13.717101272844303,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
