t[s],Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter,Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter
0.0,-0.8458507315612289,22.164562578314943,31.650542835538296,-0.6427070815155285,1.5931162976872,-0.9605832444700521,53.72366230317511,51.06620476339833,742.561036479311,-14.860946531718808,37.13456862166668,1.965466664724866
0.03,-1.3716993953981225,20.6155674869593,29.438834067764763,-0.5977765006173379,1.4815161869615412,-1.0240207650045123,50.85420474060408,47.86272806706646,703.6934669360019,-14.082868041051185,35.190390495916446,1.3166235839057507
0.06,-1.1204374579014496,20.08727921862768,28.686130566402742,-0.5821864762291651,1.443079036450314,-1.184440555452302,51.955012124638195,46.25147628293741,701.9605364530075,-14.04750422706886,35.10296700941531,1.2608852050164971
0.09,-0.342525937236562,19.103907824227267,27.282977336195767,-0.5536431302923657,1.372270554771528,-1.1066078931577554,54.596525369264825,45.05436073087818,705.0540317048209,-14.108738925042033,35.25700633844837,1.7593066025036204
0.12,2.3710258462841005,18.449141734416873,26.350040955017597,-0.5345764032102723,1.3252860687069246,-0.305179765817248,63.75039432620882,45.04068790621437,746.1046558203375,-14.929042177122328,37.30907438203349,4.167743360641992
0.15,135.09182028103623,-42.15108037390862,851.9643376131962,-17.04327342966246,42.60421771452447,20.31121853766971,0.0,0.0,0.0,0.0,0.0,0.0
0.18,73.50241000272148,-36.48629071675545,711.6721533433774,-14.23734658781467,35.58636980745617,10.527074091390274,0.0,0.0,0.0,0.0,0.0,0.0
0.21,56.88802333571531,-33.8902316709255,701.3970432275968,-14.03142916857011,35.07056112401532,5.922919290781258,0.0,0.0,0.0,0.0,0.0,0.0
0.24,52.36004531203342,-32.40003767752199,700.4316775786419,-14.011645806029579,31.160376470652977,3.999861870924546,0.0,0.0,0.0,0.0,0.0,0.0
0.27,49.075903743508384,-31.38696475499023,698.4616393354244,-13.971787370600229,23.966158143678225,3.0355136082610223,0.0,0.0,0.0,0.0,0.0,0.0
0.3,48.38460353025091,-30.44391673778615,692.8802505538596,-13.859753036067021,17.913727126671283,2.5636228808628356,0.0,0.0,0.0,0.0,0.0,0.0
0.33,47.87782172442148,-29.50186157931073,686.0258657478895,-13.722325614645483,11.941719595859634,2.190863652215943,0.0,0.0,0.0,0.0,0.0,0.0
0.36,46.75820988755221,-28.53788975190351,677.8511453715705,-13.558570367511166,5.577428858122766,1.7706408629440193,0.0,0.0,0.0,0.0,0.0,0.0
0.39,44.4269735928432,-27.57433372298716,667.9629879508244,-13.360634788481207,-1.5669115379273628,1.237989754781599,0.0,0.0,0.0,0.0,0.0,0.0
0.42,40.36678115172271,-26.798412324033247,656.9507136687974,-13.140308092079762,-9.882644664870027,0.5583116747544749,0.0,0.0,0.0,0.0,0.0,0.0
