t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.87955,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.101998923804295,0.4318772384441836,-0.005379998342817771,3.566726689069469,-1.1638690943685503,7.967837193059552
0.03,0.011790304461976878,0.0004309662744037119,0.8795520024353773,0.0016050228085469293,-0.0005237397214508011,0.0035855173509203074,0.9999921468010708,0.3930599677141288,0.012956317153325507,-0.00016139995028453312,0.10700180067208406,-0.03491607283105651,0.23903511579178655,13.275751129662375,-0.0011831893727336507,-1.4018572267028304,1.2029365111543626,-0.7591785322592841,4.091460128933626
0.06,0.035525726516097096,0.0011242760590764328,0.8783338623900637,0.0037515746445327134,-0.0013901043992994703,0.009011799842945626,0.9999513891990132,0.791332501604,0.012920821472143497,-0.042217116751369445,0.14308989600671496,-0.05769142879883503,0.3617789196597953,5.621017615420861,-2.1504677201175912,-1.949429022966175,-4.104204125118656,-29.999620294167272,16.130315813234347
0.09,0.06440416069424885,0.0004827068135268951,0.8758001479773883,0.004162124796351421,-0.01579836039545133,0.021640604632134377,0.999632318783837,0.9599630300666259,-0.051593210131384244,-0.10069998744035469,0.01996377225315528,-0.9576800376238531,0.8456883940568257,7.370865579194774,-1.7555658912954506,-4.318872200637003,0.8086917717012909,-5.312152731119042,4.7797177836758635
0.12,0.10024698797205622,-0.0005193668481855747,0.8705995761446835,0.004952354647218332,-0.03258990027681896,0.03640543130410644,0.9987932804914924,1.181088997442469,-0.10426018687024777,-0.23026615345946477,0.044224525404194005,-1.1170446195574244,0.9890799275671016,4.382892453284098,-1.456447793393476,-4.689543065781969,2.4304213714759157,4.07923259848792,-0.14114820395921868
0.15,0.14061801746270464,-0.0013486498042719322,0.862639808192209,0.0067677875895115315,-0.04749276704417926,0.051134489379411396,0.9975389206068791,1.312575771040992,-0.14795362067205203,-0.3709524454329238,0.11713716654847148,-0.9946676416027869,0.9848454814483251,2.4833420920905205,-1.0406781391265554,-5.202480729430128,4.619084541969471,6.6464083816373005,-2.294378761196171
0.18,0.1840042134163425,-0.0015395882711927062,0.8513337779594602,0.01055003442546662,-0.0592805050358482,0.06493268005521004,0.9960714158920353,1.3870760338037076,-0.1791739648458487,-0.5270268673158277,0.2557097028075556,-0.7952753901536679,0.91601411861244,-0.08751362539723484,-0.8071817418886411,-4.675663964663535,4.789716761668444,8.283346002620796,-3.278139724607339
0.21,0.22813959715201546,-0.00104749728577346,0.8366823591442821,0.016321409843859516,-0.06718244261295539,0.07740940716150954,0.9945993739532362,1.3844506250417905,-0.2033894171025079,-0.6672967862557337,0.39940120565760895,-0.546775010075044,0.8176699268742198,-4.723078228308328,-0.2923599373449228,-1.2090400634144771,2.32542954745783,10.099805098989627,-4.33691448169132
0.24,0.2684407088743142,-0.00022475031142618813,0.8208374740528248,0.02290947939260647,-0.07043719335695689,0.08807340439939562,0.9933563474320053,1.2427582781925406,-0.21216021522285558,-0.703567988158168,0.46916409208134385,-0.24378085710535524,0.6875624924234802,-8.863580511821393,1.7229956253815848,4.614357842075576,4.652625002439166,14.15462755083673,-4.277253219025338
0.27,0.3000998652955973,0.001456410147207022,0.8080216819147028,0.031148084929283445,-0.06712473139910802,0.09710433166940008,0.9925194285306836,0.9768508628378988,-0.16047034646140804,-0.5651372528959007,0.6087428421545188,0.18085796941974663,0.5592448958527201,-10.928494776073912,-0.129490099355273,8.272835346387284,-13.025206384317357,16.828768199075466,-15.507163832174555
