t[s],Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter,Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter
0.0,250.22935262287734,33.407257613582935,178.04148230824717,-25.24565973448561,231.01290036135617,11.390885734115248,281.7688669955432,33.40472262695223,544.9384167733658,-25.237578240509404,245.28011107500316,11.416059410833096
0.03,242.0059307610999,28.938700035239563,140.40539442377835,-22.985373025932578,229.0342996456955,13.644471903128435,275.7494585245471,31.783793596285484,482.1180776939789,-25.25072750053741,242.77712549087096,7.674199198306558
0.06,516.7171419171417,-71.78055097978849,603.4195715609933,18.98766131490998,271.33519737386314,86.69009023059203,0.0,0.0,0.0,0.0,0.0,0.0
0.09,308.6598548044674,-46.578318326341574,482.0709798333523,2.936036937326216,246.18962737519752,47.66762590737672,0.0,0.0,0.0,0.0,0.0,0.0
0.12,222.3825069530679,-26.99941041336803,422.1756682558224,-8.178881804747444,235.48892825514554,25.3726528120518,0.0,0.0,0.0,0.0,0.0,0.0
0.15,186.16278578456723,-10.637156678097417,347.2838092012492,-17.027763636237534,229.49172129291378,12.037097835433816,0.0,0.0,0.0,0.0,0.0,0.0
0.18,125.44909449361816,-3.0797235393941573,332.83285714046684,-26.313934916067296,184.37647258659456,-0.9753803308761074,0.0,0.0,0.0,0.0,0.0,0.0
0.21,-16.898753905829658,-5.103065370895283,497.0883775823243,-39.13419122565103,43.24558384374443,-18.96674029762125,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-159.1867490529266,-7.105559252062085,811.0837797242131,-53.24573016178057,-110.74363744518128,-32.99997082189952,0.0,0.0,0.0,0.0,0.0,0.0
0.27,-284.26237776323217,-15.604152761624205,991.3857674269423,-61.64551149676909,-199.9114543989675,-49.47312362590938,0.0,0.0,0.0,0.0,0.0,0.0
0.3,236.13403610891618,-9.66418592503612,1143.0700036762425,-31.18537628011049,1.3388685390742805,16.98118151845016,-247.9960190572929,-15.086621403881729,326.70690508990623,-36.00099142082961,-12.239435327042122,16.946726702405442
0.33,479.74348435537246,-70.88978148989648,1428.0810965920323,-6.123080262603824,49.3009376993932,-1.8579905447573708,274.39759963373484,-105.82304746074894,-662.1680076661397,-1.0373445683288975,71.80488794430934,34.45942624659077
0.36,0.0,0.0,0.0,0.0,0.0,0.0,222.55775731288284,110.37011685873931,1335.4135385958814,-1.2816355711409102,262.8832123955206,-91.00637750815419
0.39,0.0,0.0,0.0,0.0,0.0,0.0,202.80128445405063,76.89314927860795,469.55272445662,-13.69542295723697,141.37472073546533,-80.90155565443743
0.42,0.0,0.0,0.0,0.0,0.0,0.0,-26.73791725591004,44.090028842896054,397.5738115043967,-8.852136804605186,4.162844789026931,-23.0768002318411
0.45,0.0,0.0,0.0,0.0,0.0,0.0,-141.62523977811875,21.92118203771163,364.9426376861372,-3.065438188203626,-80.47802232059455,8.398727105290579
0.48,0.0,0.0,0.0,0.0,0.0,0.0,-219.32443177429266,16.07678508557155,370.6455107858352,1.1706522622413538,-140.1995206561402,26.78272581749359
0.51,0.0,0.0,0.0,0.0,0.0,0.0,-293.16881451553263,22.783829382061658,471.1919860187493,4.574911030494482,-188.6201006003895,40.58850986194911
0.54,0.0,0.0,0.0,0.0,0.0,0.0,-364.7304692777649,29.127340463924664,631.2358457582278,10.351637615007094,-219.00615812757192,54.01043576784981
0.57,0.0,0.0,0.0,0.0,0.0,0.0,-446.4835420004369,51.463615133744895,776.4920840707886,10.760874633173204,-223.11228499764,71.57787452658548
0.6,-83.14605255399289,-2.6545769041804967,343.889416791944,4.144335844047004,-29.8152438590652,4.167337736329129,-47.84379966156832,-5.033832379010944,321.1511176221304,3.584467144052479,-25.749683584588375,2.3295818863683233
0.63,-18.777513362019732,-2.113569708596683,302.98656831210184,1.690420616770622,-11.625603214045464,0.4243916185135755,-17.32456601055265,-3.2856742134292873,290.0166191026807,2.0587177987142775,-11.504109659061843,1.580945886524695
