t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.88,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8803382169563818,1.280800798662483,2.712473968883648,-2.5798765417188463,4.096630664903685,0.4595593972715335
0.03,0.0007965625123840759,0.0011557171137424604,0.8824384201731921,-0.0011609435171481954,0.001843482327802311,0.00020680156371027692,0.9999976055052183,0.026410146508691452,0.03842402395987449,0.08137421906650943,-0.07739629625156538,0.12289891994711055,0.013786781918146005,0.11335117880627621,-0.29365034887659647,-0.08776715462436169,-3.242334446294449,-2.9619093555966227,0.6215185178438389
0.06,0.001699971705572872,0.002056616040309154,0.8847924596031268,-0.0037801334725798192,0.002354121244735524,0.0006975212053894928,0.999989841032529,0.02981068187287974,0.02961451349357659,0.07874120442777859,-0.17466632964039885,0.034041639279211874,0.03243233745346118,0.1382415525552485,0.15155146442556777,-0.07355485743108137,-0.15799952561412667,-0.2311153447943095,0.15635929461446096
0.09,0.0027283825252165652,0.003106903299946567,0.8870726220913673,-0.006470155561726333,0.00276095805012158,0.0012591569541124822,0.9999744640346659,0.0339579284495372,0.03416105742634362,0.07653455870484614,-0.17940631540882265,0.027108178935382587,0.037123116291895006,0.09536842906622756,0.10855380400027492,-0.06515530345904175,-0.04799950925152263,0.003538242753633014,0.015009982740259886
0.12,0.003842623471555833,0.004267685814541363,0.8892855669389609,-0.00918170981082115,0.003169382037769916,0.0018275865396879113,0.999951154381997,0.03681898132152402,0.037417671546351866,0.07457989960107489,-0.18084630068636834,0.027214326217991577,0.0375734157741028,0.04588318299959848,0.07218346799913888,-0.061442733939477634,-0.00932202827526396,0.03526445577904447,-0.039641579781232394
0.15,0.00499803166703715,0.005505667138027514,0.8914343152270793,-0.011897472208055938,0.003593477894189473,0.0023780315498447115,0.9999199378138384,0.038195476811511975,0.039583175586326035,0.07273661758289056,-0.18112596153462626,0.02827225989136291,0.03638416838066583,0.020467997598643706,0.04130656373740038,-0.06293175331407941,0.01710566183745188,0.01448543175605721,-0.05564240785555796
0.18,0.006171715266457666,0.006792288582623489,0.8935175852265709,-0.01460555006025807,0.004023783943769958,0.00290331569100718,0.9998810218362031,0.038809516739471285,0.04082237249844804,0.07084866498346817,-0.1806127916795027,0.02870682284404463,0.03471489614499909,0.009790998744452217,0.01492556883596663,-0.06523965733611092,0.040474111049609796,-0.011739979727597216,-0.057593316836516806
0.21,0.007354072375766364,0.008102951394667879,0.8955336875273009,-0.017295392831569903,0.004448450883992681,0.003402667394438612,0.9998347376072394,0.03910324670180485,0.04127013956352704,0.06889147526338485,-0.1793985683480144,0.028354623452216714,0.03298709663990359,0.005281539558225745,-0.007287362177625489,-0.06731476369354272,0.062139837334527215,-0.03259285393689737,-0.055794321522881773
0.24,0.008541057997395447,0.009416765077084497,0.8974814198494915,-0.019957208203373704,0.0048580807085702345,0.003877019353436793,0.9997815149388837,0.03926169288855162,0.04105151869819828,0.06687203235257856,-0.17753437322797858,0.027376837834109793,0.03131326699421714,0.0028588623449854467,-0.0257694665711643,-0.06910373918301538,0.08233280874066029,-0.0472190200144027,-0.0537115024594641
0.27,0.00973050811273374,0.010716165889198614,0.8993600572150864,-0.022581870142486533,0.005246092160355166,0.0043274219878988805,0.9997218668594038,0.03934745875890119,0.04027843470106335,0.0647989201770881,-0.17506438896575877,0.02596026723367771,0.029701921920433215,0.0010595234649812824,-0.04103504387783019,-0.07073399602304509,0.10135999400977269,-0.05679418486653631,-0.05216875404299515
0.3,0.010920822759530591,0.01198645817178771,0.9011691813726906,-0.025160785008359395,0.005608183351590412,0.004754662352714616,0.9996563791439385,0.03937924446285063,0.03904738338472844,0.06267690029639675,-0.1720235891454656,0.024256441687681624,0.02813685929914336,-0.0004678163168954086,-0.05356640805104895,-0.07233895317965633,0.11968298236703312,-0.0625866377834754,-0.05114571649293964
0.33,0.012110649751788985,0.013215382651431355,0.902908510218706,-0.027685685005380586,0.005941759065210434,0.005159269298958992,0.9995857043221931,0.039365209973343765,0.03744039114319697,0.06050673170100706,-0.1684330996744546,0.022378842554177363,0.02660248780435517,-0.0016921677846610805,-0.06376944528763584,-0.07403062777762148,0.13783529916440607,-0.06559451931158478,-0.05043623552708709
0.36,0.013298911472165088,0.014392752350086566,0.9045777526243959,-0.030148388133101955,0.006245482655472607,0.005541604616617644,0.9995105598529958,0.03931444493980393,0.0355273077845679,0.058285812867678415,-0.16429804069952242,0.02041100697482982,0.025089400738542558,-0.0024932723013666447,-0.07196893007894012,-0.07590019169021911,0.15636719827253387,-0.06653943340986501,-0.04985491326523572
