t[s],Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter,Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter
0.0,22.59448059452278,54.027537892635515,76.87477611193508,-78.87069972975804,40.072525165719114,5.784415131472473,17.18716554184899,129.11629381880243,709.0798021715975,-118.65063122031083,38.65153353085485,-6.7235999660389965
0.03,16.616300192518082,13.791566050652044,647.1581449621812,-88.09344198548553,30.101127642626206,2.9223529225088933,0.0,0.0,0.0,0.0,0.0,0.0
0.06,8.69498786336523,11.640100287734848,632.5371169420129,-81.03855457677062,25.83747729161356,1.3131854175022413,0.0,0.0,0.0,0.0,0.0,0.0
0.09,4.702200941953275,7.9727756764904285,631.9229136767168,-74.26873947980233,22.597383145319597,0.48738320517170086,0.0,0.0,0.0,0.0,0.0,0.0
0.12,2.745178805752332,4.700610196242062,631.8643204311484,-68.07710242350929,20.20279976564104,0.10052534534757641,0.0,0.0,0.0,0.0,0.0,0.0
0.15,1.7183456098006031,1.8834248436821521,631.851328675704,-62.43788275970422,18.31284465339603,-0.058744913975182396,0.0,0.0,0.0,0.0,0.0,0.0
0.18,1.084978560930073,-0.5138192490333167,631.9112755292452,-57.313477504041124,16.720980087990498,-0.1154697195823837,0.0,0.0,0.0,0.0,0.0,0.0
0.21,0.6315304834318883,-2.546543266622781,632.015397714447,-52.65781556026782,15.328847441192886,-0.1319473825924597,0.0,0.0,0.0,0.0,0.0,0.0
0.24,0.2799884068851504,-4.2704888684309,632.1367124503195,-48.42261109600316,14.090744309716312,-0.1352865102321415,0.0,0.0,0.0,0.0,0.0,0.0
0.27,0.0040672093855469715,-5.735419500897683,632.2591728465653,-44.56197636164194,12.983646911559902,-0.13559487757739153,0.0,0.0,0.0,0.0,0.0,0.0
0.3,-0.20432006009470924,-6.984176377331338,632.3730710355654,-41.034463806774944,11.993740304477459,-0.13571865629705812,0.0,0.0,0.0,0.0,0.0,0.0
0.33,-0.34796740693668887,-8.053285313310587,632.4716160325326,-37.80361066424607,11.110726463161736,-0.13585814267185156,0.0,0.0,0.0,0.0,0.0,0.0
0.36,-0.42902835631548764,-8.973771943103069,632.5493637642368,-34.83784379316449,10.3255268865396,-0.1355304201110602,0.0,0.0,0.0,0.0,0.0,0.0
