t[s],q_BodyPitch,q_BodyRoll,q_BodyYaw,q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,qd_BodyPitch,qd_BodyRoll,qd_BodyYaw,qd_LLHip1,qd_LLHip2,qd_LLHip3,qd_LLKnee,qd_LLAnkleRoll,qd_LLAnklePitch,qd_LRHip1,qd_LRHip2,qd_LRHip3,qd_LRKnee,qd_LRAnkleRoll,qd_LRAnklePitch,qdd_BodyPitch,qdd_BodyRoll,qdd_BodyYaw,qdd_LLHip1,qdd_LLHip2,qdd_LLHip3,qdd_LLKnee,qdd_LLAnkleRoll,qdd_LLAnklePitch,qdd_LRHip1,qdd_LRHip2,qdd_LRHip3,qdd_LRKnee,qdd_LRAnkleRoll,qdd_LRAnklePitch,Tau_BodyPitch,Tau_BodyRoll,Tau_BodyYaw,Tau_LLHip1,Tau_LLHip2,Tau_LLHip3,Tau_LLKnee,Tau_LLAnkleRoll,Tau_LLAnklePitch,Tau_LRHip1,Tau_LRHip2,Tau_LRHip3,Tau_LRKnee,Tau_LRAnkleRoll,Tau_LRAnklePitch
0.0,0.2,0.0,0.0,0.0,0.0,-0.353,0.642,0.0,-0.289,0.0,0.0,-0.352,0.627,0.0,-0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.548230587862477,-6.076358793643834,-0.655380584256477,0.0561301475459004,0.8520087999218049,5.237985649802681,-16.051708260450596,1.8026873682101723,6.731636083655758,0.028585481863956375,0.8534033777332297,7.784517434991358,-20.79900286531165,1.7939551274612313,8.910472999302328,-21.214910218429626,-73.04075928933078,-2.203549361254718,-3.183413039931489,31.708467324879344,-18.379009424743515,-33.010615189825145,72.35650384415186,-35.62569798129444,3.741588299540586,4.270836511537404,15.60697889833664,-86.96912576423952,100.57261489034933,-15.797520536259078
0.03,0.19320659247092378,-0.00546872291427945,-0.0005898425258308293,5.0517132791310355e-05,0.0007668079199296243,-0.3482858129151776,0.6275534625655945,0.001622418631389155,-0.2829415275247098,2.5726933677560736e-05,0.0007680630399599067,-0.3449939343085078,0.6082808974212195,0.0016145596147151082,-0.26698057430062794,-0.2264469176358743,-0.18229076380931503,-0.019661417527694312,0.001683904426377012,0.025560263997654147,0.15713956949408042,-0.4815512478135179,0.05408062104630516,0.20194908250967272,0.0008575644559186913,0.02560210133199689,0.23353552304974073,-0.6239700859593494,0.05381865382383694,0.26731418997906986,5.2992900436356205,3.7617820271433065,0.12337279407914536,-0.7741256357758175,3.5024050830124906,2.178730786619326,1.152887477035847,-0.2861372376391955,-0.5711195578954005,-0.7245774458365872,3.6753283724425696,-7.971165114490532,16.250094751899802,-0.25885898702651744,-5.114346699362777,-9.157081817029331,-0.44102121742608485,0.15774088420785343,-6.6083117431648555,76.35632505677077,12.947512077273576,-76.1871486125507,84.15276056622801,-9.162923268146075,-3.741408135014449,0.09504975073198035,-14.182462718875355,-0.00223402118375386,0.011256570033288324,-0.44358938136160564
0.06,0.1911825459811196,-0.007551842004129925,-0.001068649536990428,-0.0005956788066156151,0.00468578041457049,-0.34161076812239777,0.6141445238605212,0.002987313748903034,-0.2773970626515255,-0.000600665833897807,0.004843921615118126,-0.345161917220057,0.6041868801191488,0.0029961461411063504,-0.26356406063068233,-0.06746821632680569,-0.06943730299501584,-0.015960233705319953,-0.02153986464689751,0.13063241648802887,0.2225014930926602,-0.4469646235024425,0.0454965039171293,0.1848154957728107,-0.020879758919178926,0.13586195250527397,-0.005599430384975207,-0.1364672434023554,0.04605288421304141,0.11388378899818655,0.3184414605242849,0.13895791692247705,0.15894926944572063,-0.1009427970948309,-0.06379788612116499,0.15847010053767008,0.36634157905018583,0.2292269071112969,-0.31544239110428407,-0.1432555271109024,-0.23037700201072298,-0.36304389218435773,0.21802947810757445,0.17088710639583482,0.09843187636197825,-14.440016483227012,-0.8022726673759351,0.5531013862700016,-3.7279212008368736,72.09625026934802,9.000573176089496,-73.28970240141467,77.23792303150707,-6.157909950819056,-1.6425061019062857,-0.2216847816288629,-6.157527995524253,1.3970859513263938,-0.011129824108811564,-0.24620327858294158
0.09,0.1894450968057873,-0.009509898968750171,-0.001404402205648878,-0.0013327232634078882,0.008547334811702308,-0.33479310023913406,0.6010652925765931,0.00455851308281708,-0.272136495930335,-0.0013559885758729871,0.008712440888466694,-0.3456566396345722,0.6002890893473749,0.004531531063253844,-0.260058958272011,-0.05791497251107715,-0.06526856548734153,-0.011191755621948334,-0.024568148559742438,0.12871847990439392,0.22725559610879031,-0.4359743761309369,0.052373311130468204,0.17535222403968218,-0.025177424732505997,0.12895064244495227,-0.016490747150505938,-0.12992635905912817,0.05117949740491646,0.11683674528904589,-0.04496262775551507,0.010730652125843676,0.15560864654197815,0.009746204576003947,-0.09619792391845294,-0.06938281454608841,0.3548635477673088,0.14537712052333518,-0.283397235186726,0.03224982429438228,-0.12358319902166137,0.2328195566918847,0.20046812687320426,0.15109463835666403,-0.18639684716075777,-14.92744681115152,0.5818130449239609,0.3427568685757285,-2.447929307880006,69.27906154429516,8.163118524732097,-70.73963449466193,70.93669961234434,-3.348779014494491,-1.2138143847652691,-0.040763085997935336,-4.5290367600133825,1.987714432943207,-0.0010932855587736435,-0.1766253862003351
0.12,0.18766718126547502,-0.011458298346457159,-0.0016001070924195478,-0.0020609961360817577,0.012322311077307517,-0.3280378768889618,0.5883054384856556,0.006260551825202128,-0.2671309867208126,-0.002082286475983223,0.012469735282695767,-0.3459418244480647,0.596571719889787,0.006202901159922335,-0.2567216130757843,-0.0592638513437426,-0.06494664592356622,-0.00652349622568899,-0.024275762422462318,0.12583254218684034,0.22517411167240767,-0.42532846969791765,0.05673462474616826,0.1668503069840804,-0.02420993000367453,0.12524314647430243,-0.009506160449749397,-0.12391231525293203,0.05571233655561638,0.11124483987422315,0.010648992778520494,0.029402490179082363,0.09498671192084629,0.05021100193471284,-0.08115603549003936,-0.1256982042709751,0.3181644466765192,0.08948167420385289,-0.2122086324468455,0.05627569353288209,-0.08704142839297013,0.21442234279476047,0.11916148832211348,0.10555043637405959,-0.26619377279085654,-14.803566871490487,2.1130550538854522,0.16286329263906563,-1.855995159234141,66.7702727977465,8.287419688553243,-68.11007798206455,65.25734047800131,-1.1582155161615477,-1.215433859185008,-0.08314885192786188,-4.421103768946855,1.9904691841149298,0.0003294969167161066,-0.17506909862338282
0.15,0.18589884981866342,-0.013380235483002972,-0.0017103239384614558,-0.0027440791070143856,0.016024246910971693,-0.32139578192263346,0.575831932396727,0.008043124074370644,-0.26231646528049235,-0.002757936251913865,0.016148692391371167,-0.3460340291530419,0.5929615957716889,0.00796926664932748,-0.25362384227506934,-0.05894438156038699,-0.06406457121819376,-0.0036738948680636015,-0.022769432364420934,0.12339786112213916,0.2214031655442784,-0.4157835362976221,0.05941907497228385,0.16048404801067503,-0.022521659197688067,0.12263190362251333,-0.0030734901659065835,-0.12033747060326863,0.05887884964683817,0.10325902669049745,0.078068801435494,0.06864328147306598,0.04968674161862907,0.05481597833113483,-0.06573508447945642,-0.12596772313770543,0.30330462184656426,0.046190415810997365,-0.17546610610315838,0.05495600300829295,-0.07835190061046404,0.12569196736065358,0.09663192673289345,0.06693294019607166,-0.2364903086344583,-14.762153543731342,3.560869405698303,0.08048061021651588,-1.5768599036658517,64.46445034923208,8.696333846155262,-65.56221218874485,60.11308026579109,0.6252227823174127,-1.2883880522421018,-0.16920265099025553,-4.560342619497233,1.9094578469781989,-0.0001755461223126811,-0.18195045091759515
0.18,0.18420078029314377,-0.015240393666223024,-0.0017758227170465977,-0.003377827697448992,0.019667021168604356,-0.31486705790712904,0.5636314004674603,0.009867267697769057,-0.25765986333566493,-0.0033841256251370432,0.01975713278949715,-0.34601311108739446,0.5894384403876505,0.00979587178490909,-0.25073891275212545,-0.05660231751732217,-0.06200527277400178,-0.0021832926195047295,-0.02112495301448689,0.12142580858775547,0.21762413385014726,-0.4066843976422252,0.06080478744661377,0.15522006482758027,-0.02087297910743928,0.12028134660419941,0.0006972688549130236,-0.11743851280128183,0.06088683785272032,0.09616431743146371,0.10769114997439466,0.10400846727528812,0.02531796618421822,0.04748719177996463,-0.054725129115240634,-0.11092509777540727,0.2954853193962208,0.010807530343299732,-0.15852194303352007,0.05036196146114946,-0.0735714176003679,0.061399284989264835,0.10560579429062855,0.03547828232535721,-0.18509348420756666,-14.817255131036832,4.889418377466805,0.06184462096113858,-1.4262832069502187,62.33326641605233,9.13841433100358,-63.15392581373249,55.43919455552959,2.1534253107551766,-1.356544073703031,-0.25009888647904277,-4.685761372421812,1.84037569503407,-0.0006425152562465957,-0.187060394242936
0.21,0.18259963280260105,-0.01700694422889532,-0.0018185353260659432,-0.003968837815281631,0.023260542810033303,-0.30843816647962247,0.5516968053256501,0.01170113809847644,-0.2531459311395677,-0.003964989233045187,0.0232993589117828,-0.34593693366525674,0.5860103302184736,0.01165440737458352,-0.24802056736496836,-0.05337158301809033,-0.05888501875574314,-0.001423753633978183,-0.01970033726108795,0.11978405471429825,0.21429638091688505,-0.39781983806033855,0.061129013356912766,0.15046440653657467,-0.019362120263604794,0.11807420407618838,0.002539247404590969,-0.11427033897256297,0.06195118632248103,0.09061151290523671,0.11367671371638366,0.1323996309817983,0.014349733714581703,0.03848009972716682,-0.04790812406747591,-0.09548272305949013,0.2899154304361673,-0.018327004696402582,-0.14992105626106422,0.04516593091933885,-0.06938739123803472,0.02298756857496498,0.12142606493742392,0.00864053182908009,-0.14220174486897008,-14.903875228657155,6.104333527876399,0.07327835576707406,-1.3225966988335545,60.36232329617555,9.53139940464737,-60.88840653665184,51.18192535335751,3.5018166412162834,-1.4117095977986591,-0.3222105351102449,-4.7693979760354095,1.7897594425256313,-0.0008850704342533376,-0.19008758365851725
0.24,0.1811007943544031,-0.018654335123683995,-0.0018483331747421651,-0.004525215843359819,0.026810947139801523,-0.30209520950286944,0.5400231340712325,0.013518514194957061,-0.2487669278941054,-0.004505203503125926,0.02677913638195422,-0.34584006743140155,0.5826915035077403,0.013520719442904124,-0.24543020354819334,-0.049961281606598816,-0.05491302982628919,-0.000993261622540732,-0.018545934269272948,0.11834681099227397,0.21143189922510033,-0.3891223751472535,0.060579203216020686,0.14596677484874274,-0.01800714233602463,0.11599258233904733,0.0032288744618399184,-0.11062755702444026,0.06221040227735344,0.08634546055916761,0.10996106868558542,0.15450512731072974,0.01017261969623462,0.030998609803873478,-0.044539774987356395,-0.08401474153970412,0.2860077108449559,-0.04226970736817748,-0.14479237796308553,0.039890137121659563,-0.06649146040047427,0.0011081182010499457,0.13420374959379444,-0.014714303709549625,-0.11186188197252989,-14.983309806267885,7.2168220377610774,0.09579623515375861,-1.2334227615206284,58.53846081593342,9.855313875163496,-58.75553353165311,47.2946865104751,4.7072265876474555,-1.4570004332138446,-0.3884807399249916,-4.821791867851539,1.751826122904893,-0.0010047320784125596,-0.19181700207193053
0.27,0.17970092086802217,-0.020162671403893013,-0.001868975665691776,-0.0050536951226145205,0.03032126567208112,-0.2958278657935022,0.5286068697565753,0.015297847554806322,-0.2445182377888099,-0.005009516649797171,0.030199071537765215,-0.3457422038911654,0.5794934601716416,0.015373788637886132,-0.2429405154251936,-0.04666244954603126,-0.0502778760069673,-0.0006880830316536933,-0.017615975975156743,0.11701061774265327,0.2089114569789092,-0.3805421438219048,0.05931111199497536,0.14162300350985016,-0.01681043822237484,0.1139978385270331,0.0032621180078714167,-0.10660144453662643,0.06176897316606695,0.08298960409999172,0.1035138079174196,0.1711638895608596,0.008952022525562597,0.025549506672405187,-0.04413405144646276,-0.07709453920676879,0.28400813395580826,-0.06188228583050659,-0.1415404480669622,0.0349586846136134,-0.0655599064340251,-0.010757306677161349,0.14120112144946262,-0.03495561588822049,-0.09095545392378668,-15.040921271532946,8.237051680331028,0.12084139348968231,-1.1480745738674736,56.84816946098746,10.11151239537195,-56.743578787723465,43.73687205938157,5.789480874287012,-1.4956529145764097,-0.45078636994403226,-4.854168220792401,1.7217870869894814,-0.0010752653714823958,-0.19279418475612747
