t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.8793,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37722156590591815,0.11146542536174175,1.1680921077484623,-0.16359843951663322,0.6230691483258681,0.001735216727258404
0.03,0.00033979407163221853,0.00010039653774839359,0.8803511802634536,-7.361929675139782e-05,0.00028038111281971696,7.808475163299939e-07,0.9999999579830096,0.011316646977177543,0.0033439627608522525,0.035042763232453866,-0.004907953185498997,0.018692074449776042,5.205650181775212e-05,0.16959794246057847,0.14455949478807195,-0.019399952745089877,-0.19894391145232504,-0.01975115550751383,0.08433411427883897
0.06,0.0008327825301548284,0.00033115961744890936,0.8813845216764624,-0.00023675269381402778,0.0005518769032713128,3.95377995258726e-05,0.9999998189083876,0.016404585250994898,0.007680747604494411,0.03446076465010117,-0.010876270529068748,0.018099539784550627,0.0025820799301829213,0.035907860417836446,0.1824833501522436,-0.02995832092395112,-0.18890849808180832,-0.06856635444151493,0.0632820825390219
0.09,0.001358532283024608,0.0007266201337584194,0.8823903910733637,-0.00048487793482967215,0.0007925211580608833,0.00010682589770146031,0.9999995626958194,0.017481821063529992,0.01315524810906172,0.03356201502238264,-0.016543525471522998,0.01604254915130518,0.004480542406353578,-0.013031419342024009,0.20083333714015605,-0.03237964961521733,-0.1823017111655716,-0.056885707101002936,0.05537229305259217
0.12,0.0018728408435494317,0.0013034545136095751,0.8833664365377696,-0.0008150163540882474,0.00100757005934339,0.0001991089276205965,0.999999140452907,0.017090878483269272,0.019180248223266402,0.03259062553392612,-0.022012576806490144,0.014335977938275093,0.006141711197931343,-0.02847355955695896,0.2123312867904925,-0.03087889481300632,-0.17934367512085814,-0.049053311739839955,0.05230954732394899
0.15,0.002361640955143661,0.002072146928796951,0.8843137202578006,-0.0012258310829902984,0.0012005479109710433,0.00031503049998772304,0.9999984783881691,0.016236671696560505,0.025550186826981177,0.03166425868953593,-0.02739288706011589,0.012864378586079894,0.007710997617649813,-0.03176383301981467,0.2226113287111371,-0.0301028641501091,-0.1800344681634165,-0.042626364835562924,0.051244286531225924
0.18,0.0028217797939676095,0.003042066378185373,0.8852325222656828,-0.001717627149890397,0.0013743463647873306,0.0004541326599473027,0.9999974773431035,0.015283756705966064,0.03222852668831529,0.030761172765032655,-0.032793921105018387,0.011585587641013006,0.00924832621358659,-0.030803127364576355,0.2343770067375992,-0.02938361520198196,-0.1843448503677827,-0.037048355310155046,0.05126932305664944
0.21,0.0032539026126673634,0.004223905827435641,0.8861229273594552,-0.0022923383207777747,0.0015314745919839483,0.0006164484457840199,0.9999960098729949,0.014359662885028773,0.03925983689044326,0.029879664308973198,-0.038324266616051865,0.010474136981708355,0.010786405905286074,-0.028297400331451783,0.24879695375408462,-0.028925017632416505,-0.19234776084285699,-0.031889050935923535,0.05204532574873255
0.24,0.003660008656919856,0.005630736804108929,0.8869846173859945,-0.0029535599059663654,0.001674252462783086,0.000802349714883248,0.9999939147802389,0.01351074087508522,0.046723745503065794,0.029011913780000703,-0.04409469944133757,0.00951746545363065,0.01234776567774805,-0.025010405082085185,0.2661207806744983,-0.028736486812908524,-0.20424526695727252,-0.026981989399708084,0.053325310267165804
0.27,0.004042754047136338,0.0072782360080594615,0.8878168282765247,-0.003706639704568291,0.0018048847027830604,0.001012436514288542,0.9999909890522087,0.012760428722622664,0.05470736892330074,0.028149819175613447,-0.05022205745005575,0.008708005771639406,0.013947524985763024,-0.020683553858196646,0.28560587150640027,-0.028907068549028914,-0.2204857188141247,-0.02226350844794922,0.05474467246733283
