t[s],Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter,Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter
0.0,0.4829402835197716,8.053672611027755,276.4403930307743,-5.534317529904814,0.3013737940124105,-1.615453847486987,0.4474751267557075,11.91475587844705,427.1161024957935,-8.54457518433101,-1.0024314122375981,3.0379539616618483
0.03,1.287503665357172,7.860119723059731,252.0411093150015,-5.046019459672256,0.03912871421837714,-1.5649294604574864,0.9517376596097659,11.307684933705834,386.4899345888592,-7.732169144643669,-1.1816869781685828,2.2821309946215522
0.06,-0.10637019042633349,8.0564031232146,256.8734158904099,-5.141854771801773,-0.56761065969444,-1.5724118382521615,-0.4072411758202611,11.235300112940063,379.63407960939855,-7.594483602137829,-1.6236153848637565,1.9714752957878017
0.09,-0.5917985114900609,8.17959224692088,260.7221766026217,-5.218119327288649,-0.7323098651383145,-1.5732150751292362,-0.7868087219811535,11.19223526685192,375.0112975402001,-7.501471540961713,-1.628101280245666,1.8468147786472058
0.12,-0.7118139595897933,8.339126754004639,263.33356884067,-5.269824724047703,-0.723102589323017,-1.566344883500987,-0.807347326413215,11.280262182523648,372.1899681951433,-7.444620909074638,-1.485813777748825,1.7881750443395732
0.15,-0.6912150747615249,8.584994565461608,264.474276254943,-5.29234727878958,-0.6427515386378994,-1.5506207866897295,-0.717368679120302,11.55057817234251,370.9156483776157,-7.41889671050835,-1.3050999687624791,1.7512461957873744
0.18,-0.6125362538560429,8.942789372742908,264.0706797034782,-5.2842366882778435,-0.5291410919031952,-1.5259666143591981,-0.6054323268049483,12.037731739132441,371.2103259134052,-7.42476340877561,-1.1239205908626324,1.719850360116911
0.21,-0.5037544196438085,9.423307753619145,262.00104397117457,-5.243075087036588,-0.39485691892847863,-1.4925249896693316,-0.5002738057992815,12.76943822403254,373.1495249173101,-7.463747354530602,-0.9535623898202973,1.6878460412553922
0.24,-0.37161701255532154,10.027648868381688,258.10839712173606,-5.165738445839771,-0.24263699415068318,-1.4508958414894095,-0.4085674922162743,13.772850672275629,376.87194825272076,-7.5386351374842455,-0.7954591074014694,1.652577474422638
0.27,-0.2109141076163379,10.745852739931719,252.17916943672304,-5.0479701810060185,-0.0695863555049562,-1.4023099445855456,-0.3257325075271705,15.075588632243758,382.5746294161525,-7.6533778247586755,-0.6459140229743641,1.6127351638533853
