t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.8793,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39960277567224267,0.012088756432723446,1.2544883457190377,0.08002435098225646,0.6653693864120882,0.03614128643882886
0.03,0.000359980352857021,1.0845078309442386e-05,0.8804289321518672,3.601095739458062e-05,0.0002994162193337458,1.6263578650235777e-05,0.9999999543943162,0.01198808327016728,0.00036266269298170336,0.03763465037157113,0.002400730529467694,0.019961081592362647,0.0010842385931648657,0.17864426213672502,0.04124823924988008,-0.023331646276306017,-0.08285775517321348,-0.03426383252055132,0.038618166758087824
0.06,0.0008813775133903986,5.880446935715411e-05,0.8815365166872261,3.474137818258362e-05,0.0005834124573091192,4.991593871785666e-05,0.9999998279656553,0.01734741113426903,0.0016001098704781058,0.03693470098328194,-8.500212572871025e-05,0.018933166616746107,0.0022427835959075004,0.03448016446584212,0.05704519751164416,-0.03267550335009872,-0.06995482443713996,-0.08259914982711081,0.02429542607238222
0.09,0.0014343418980393798,0.0001581885857951888,0.8826143727726058,2.0003649598925732e-06,0.000830237091810541,9.45183092906052e-05,0.9999996508842686,0.018381816068244294,0.0033114657958274304,0.03595443588277898,-0.002183646858842909,0.016455192121932784,0.002971646378078967,-0.01820803431958673,0.05731200739956732,-0.035152560851504866,-0.058728581246519695,-0.0682659558422003,0.01800285057809603
0.12,0.0019713364503474223,0.00030930068183217485,0.8836603543021229,-5.715887098344088e-05,0.0010463394949554521,0.0001472438342180225,0.9999994401127322,0.017835575038656692,0.00503082601781445,0.034899859057233834,-0.0039455042962385,0.014407213446666775,0.003511731895421848,-0.03482947589790086,0.05271216456105643,-0.03321095202199764,-0.04911564917432365,-0.05936337177477213,0.01434012424914144
0.15,0.002477306686073843,0.0005080437674853551,0.8846762692878579,-0.00013840944826435682,0.0012357254589056242,0.00020644705732541775,0.9999992056021981,0.016790690761719667,0.006612190954646143,0.03390353049657391,-0.005418973771468209,0.01262631229342361,0.003941935622896091,-0.038440156805709336,0.04716758767706031,-0.03203427938853132,-0.041431050325794416,-0.05253207283085004,0.011696830219372956
0.18,0.0029489206786634924,0.0007494569082415332,0.8856632130601845,-0.0002382925926268442,0.001401468834584985,0.0002709401515686777,0.9999989528460419,0.01563748605754839,0.008027218584957953,0.03294250211491797,-0.006661905281242042,0.01105035010849811,0.00429284052947728,-0.03763639341574532,0.0421259042498775,-0.030789580629247304,-0.0354895778069273,-0.04700486713466745,0.009640469678180885
0.21,0.003386831167249721,0.0010290220512320784,0.8866223252851685,-0.00035413420975988197,0.0015460566926460155,0.0003397988639963934,0.9999986844163329,0.014508394255076029,0.009290995712454278,0.03201881469604055,-0.00772659261544986,0.009640204094458087,0.0045820546198227065,-0.03545425984770034,0.03808052374823767,-0.02965761178610382,-0.03105879808864831,-0.042231739280950364,0.008028191705231613
0.24,0.003792940742307466,0.0013431107872376189,0.887554632808316,-0.00048394021090495824,0.0016716367638929344,0.00041229858332163596,0.9999984007198611,0.013444766459645019,0.010433411424901408,0.031129086342457438,-0.00865835655810931,0.008373251916029575,0.004822900370979655,-0.032967412077942626,0.035177162538139295,-0.028598036369746893,-0.02786912044483758,-0.0380225730635928,0.0067945141223335614
0.27,0.004169433949564206,0.0016891175139286032,0.888461089074417,-0.0006262751122457223,0.0017801029505191968,0.00048788505797086587,0.9999981004887657,0.01245574409730674,0.011488726301045585,0.030271145251365032,-0.009494430171454437,0.007232574724121791,0.005026735794649661,-0.030540308790108384,0.03341128545399524,-0.027610530980958004,-0.025858319270358088,-0.034247650624735115,0.00591761770549093
0.3,0.004518447745435442,0.002065456932885766,0.8893425758793271,-0.0007802339518944044,0.0018731536464538638,0.000566164802422268,0.9999977809914448,0.011539534833603489,0.012491064864665443,0.029442829321936294,-0.01027017974956518,0.006205145205379737,0.0052042643258143895,-0.0282819060134738,0.032775051401903565,-0.02668654028236439,-0.02488691434173962,-0.030837908646915935,0.005363363024019074
0.33,0.004841972001682521,0.00247155828289063,0.8901999114099511,-0.0009453794698048451,0.0019523227833561174,0.0006468898376157681,0.9999974381101912,0.010691077653199274,0.01347431640672255,0.02864223311346536,-0.011016787179817368,0.005280007945972259,0.005365165216534962,-0.02621257535714072,0.0332892217028935,-0.0258178309691246,-0.024779569367428422,-0.027734463135985266,0.005091677480694834
0.36,0.005141829754668421,0.0029078850172597442,0.8910338572078066,-0.0011216631794503124,0.002019006316128706,0.0007299396638699398,0.999997066332344,0.009904700392485052,0.014472993057809354,0.027867698184391623,-0.011760174260840221,0.004447974051892701,0.005517915540955807,-0.02432051397733126,0.03496630708834586,-0.025007867739236467,-0.0256410812745127,-0.024904571190006664,0.005113894949995035
0.39,0.005419686390700512,0.0033759468713030496,0.8918451139865207,-0.0013094724655306153,0.002074476894727208,0.0008153265707192339,0.9999966585294464,0.009175084973165114,0.015521982270459731,0.027117462152214528,-0.012529406699075601,0.0037008369161925007,0.005671332389455658,-0.02258662109736953,0.03789607841476195,-0.02425275045694608,-0.02742010684029106,-0.02230940383579849,0.005418693043339695
0.42,0.005677065295107687,0.0038783813666212336,0.8926343233219721,-0.0015096074520303013,0.0021199013088359473,0.0009031905854545936,0.9999962056680755,0.00849748634024403,0.01665886462290259,0.026389879638506145,-0.013352009904284333,0.003031554801118546,0.005833893180755849,-0.02099598604464603,0.04221567412479804,-0.0235444108501488,-0.030143399369825907,-0.019876381118564268,0.005999351671912068
0.45,0.0059153595955204015,0.004419077824306959,0.8934020722858373,-0.0017232930356034083,0.002156373098228909,0.000993796508613966,0.9999956963330763,0.007867606758904648,0.017925334846646532,0.02568354731300168,-0.014256311885379111,0.0024352633675616183,0.006013873730913211,-0.01952040715319292,0.04811814052148372,-0.02289249429849427,-0.033906530662667134,-0.017615704689205813,0.006887779902586155
0.48,0.006135855523597573,0.005003351607657771,0.8941488810112874,-0.0019522218293405568,0.0021849079063515774,0.001087548423479885,0.999995116110972,0.007281994544308861,0.019368879062291042,0.02499677248404685,-0.015273507805259125,0.001906792226885444,0.006220507127990796,-0.018143431628846685,0.055874532311675995,-0.022296727147534057,-0.03883814868994162,-0.015474568865798233,0.008111287649362309
0.51,0.006339744792666082,0.005638188544225715,0.8948751977389411,-0.0021986120262905318,0.0022064671660842476,0.0011850021080391353,0.9999944466734837,0.006737691595443461,0.02104511503164132,0.02432787066962083,-0.016438652265957372,0.0014425551609114971,0.006463845757471665,-0.01684348656641177,0.06585268580843945,-0.02176206492780164,-0.045087467073319676,-0.013425012596840702,0.009713478313941759
0.54,0.006528140921861702,0.006332576415485673,0.8955813870592302,-0.0024652744989723135,0.0022219706029487987,0.0012868847932127067,0.9999936645778379,0.006232386998451108,0.023020695605894505,0.02367500872178678,-0.01779127627815696,0.001039804783006276,0.006755250106889918,-0.015600609353731087,0.0785230026351521,-0.021303013155725026,-0.05293257289443387,-0.011437270639653718,0.011764645874161817
