t[s],Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter,Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter
0.0,-0.5205765770880614,4.847140679044168,329.9036005942406,-4.298824576662842,-0.9959967603704578,-2.7687318138031483,-0.13732689313539384,2.3707367903660788,383.8582539877286,-2.085747973590186,-1.3064592039484368,3.6324948752991597
0.03,0.7064411175192801,4.698194269834697,296.5415197482998,-3.9153337088605866,-1.0371129199122295,-2.475666810486277,0.8183336868381966,2.6928062451995856,341.8663229848179,-2.117540309798979,-1.3449733638045496,2.7943196008828726
0.06,-0.7070193580439419,4.283783794238179,299.4176099021466,-3.4457917450707063,-1.5606397471807594,-2.323247045020069,-0.6430094166962976,2.4919960925673026,337.0641652671668,-1.8328473657261632,-1.8126223759022542,2.466551070477983
0.09,-1.1388121233696031,3.818421679789639,302.3293973915707,-2.988650640387436,-1.6227097714906613,-2.233320700711888,-1.0765808711796883,2.147267815080302,333.3401246254995,-1.4772110623985173,-1.815358075467506,2.3127042929979815
0.12,-1.1949034818263422,3.390245953716192,305.130167356552,-2.576088253762105,-1.5184137821310588,-2.170412385259845,-1.126384104751773,1.8034136078166558,330.4034956956721,-1.1339952922526764,-1.6579612613328087,2.2227989909438994
0.15,-1.123422950632149,3.0275554825591375,307.5886209639139,-2.215152453530841,-1.3593925650306211,-2.1188313850030758,-1.0490070782115215,1.5095962825714062,327.90352694863157,-0.8294711435410927,-1.453199339776823,2.1571074823313174
0.18,-1.0163219964943477,2.7356709934731143,309.7388686849632,-1.9042333160836344,-1.1870366298477424,-2.0724541206129254,-0.9380551108343745,1.2783972425923602,325.7710113905991,-0.568879341448595,-1.2416840017742652,2.1018140680800967
0.21,-0.9053944270081112,2.511922371101684,311.59964435649147,-1.6391321008486546,-1.0153714774950728,-2.0287824338823333,-0.8249689093157164,1.1098347543531475,323.94261354698995,-0.350582411964894,-1.0362954890182274,2.0519264739174052
0.24,-0.8012206958394161,2.3515684669774664,313.19714686833265,-1.4154429590250626,-0.8488844248060913,-1.9868193923480097,-0.7196775862113193,1.0002853677429357,322.38263294773895,-0.17117293167627676,-0.8404741047780805,2.005556821681674
0.27,-0.7066482668545394,2.250127759651247,314.5501206043347,-1.2294639019604312,-0.6885999470765366,-1.9461646142006928,-0.624531344903879,0.9459012947683194,321.0674583365526,-0.02739116991770061,-0.6543837086959338,1.961888488680669
0.3,-0.6218754296570157,2.2044347726857096,315.6694304863647,-1.0785387398098674,-0.5343735260817393,-1.9066556325259358,-0.5393083752123324,0.94404382746549,319.9845522859063,0.08318044255267378,-0.4771511273917143,1.920495662539035
0.33,-0.5462448080370328,2.2130317063617353,316.5567898478706,-0.9611904255934126,-0.38570342844881556,-1.868225718375045,-0.4629835910077796,0.9938236388003042,319.13139604381473,0.16185502003430075,-0.30763616937428695,1.8811052265445372
0.36,-0.4787702637785406,2.2763112639944554,317.2033501919277,-0.8771844672910327,-0.24199454711247564,-1.8308549551872573,-0.39436993940340703,1.0963262264482758,318.5156969149625,0.20872853010166947,-0.1446892061184367,1.8435049575159868
0.39,-0.4185406990328329,2.39677891834968,317.5894459831167,-0.8276014510204696,-0.10271213731861854,-1.7945321414433661,-0.3322830501843901,1.25494772024029,318.1564116040145,0.2225867797123746,0.012788165270061137,1.807532474757489
0.42,-0.36473136572489256,2.579217951138457,317.68271897687634,-0.8149473688119887,0.03259456891460681,-1.759264468963595,-0.27564017548204817,1.4756559775882236,318.0852457194172,0.20078248944882707,0.1658343131314869,1.773047198331068
0.45,-0.316532583777622,2.8309611576167395,317.4354507510304,-0.8433197320688057,0.1642962204670315,-1.7250710401323721,-0.2233520382239998,1.7673954693767204,318.34829149397484,0.1390596705879254,0.3154827773197506,1.7399392389692974
0.48,-0.2732717188894779,3.162284007721058,316.7822747298743,-0.9186482471558288,0.2926479333714674,-1.6919897331684726,-0.1744206773056908,2.1426771773866267,319.0094088251141,0.031296538327218376,0.462782338160366,1.7081148677658284
0.51,-0.23434473241804632,3.5868957758698494,315.6360711691774,-1.0490037997651769,0.4177757893787553,-1.6600926005363856,-0.12783749891207832,2.618346748836581,320.15359273953095,-0.13081830507383865,0.6088539802671455,1.6775025583954621
0.54,-0.19917605635130872,4.122575248977347,313.8826225800754,-1.245052792137235,0.5396815360809742,-1.6294959652409098,-0.08257799598461939,3.216638173745061,321.89180414907923,-0.35827128301202055,0.7549664998926308,1.6480419271740079
0.57,-0.1671984519582778,4.792065513046371,311.3743824577086,-1.5206498386489846,0.6582179135294943,-1.6004002785902127,-0.0375139671786075,3.9666690373218625,324.36725373776125,-0.6653511184376869,0.9026292475942097,1.619681996708366
0.6,-0.13782209390160038,5.624257606924868,307.9223517446902,-1.8936802411641542,0.7730715570169344,-1.573173984570468,0.008585945497670243,4.906522380711397,327.76357090162827,-1.0705492518508113,1.0536949360513361,1.592330498128713
0.63,-0.11010543534180935,6.655923093591275,303.2845142453017,-2.3872781652019888,0.8838330116132819,-1.5485845951540722,0.05722670631397162,6.086317084348199,332.31447937588246,-1.5978575173246843,1.2105445783152307,1.5656953160296647
0.66,-0.08217220154548865,7.934614169584123,297.15267122238583,-3.0318591274206894,0.9901774883982994,-1.5284556179518403,0.11019454616125202,7.573103246612367,338.31702863179197,-2.278907280307831,1.3762944189563826,1.5387685794676464
0.69,-0.04963117628550611,9.524337433465915,289.1352426599011,-3.8688169587244436,1.0924242051780697,-1.5175496003018034,0.16951565884512568,9.459532813146891,346.1490649656167,-3.156783668521914,1.5550636006666023,1.5082654893144924
0.72,0.0003244048259534027,11.517527534813274,278.7291272452006,-4.9581905332662135,1.1935777279902238,-1.5290144358869138,0.23802729677319154,11.88031597313658,356.28506688199724,-4.293746635608274,1.7525118841011151,1.4639505940094066
0.75,0.08497141233131769,12.789474003573863,266.5749864525971,-5.332180733326097,1.3065770726350907,-1.42016846571713,0.3109047266414982,15.017007264255504,368.08535719602656,-5.80013515224602,1.9703997026693518,1.3028883579536714
0.78,0.24717524624153628,13.400883502714704,251.98356282409023,-5.041862803981098,1.4471509284445847,-1.2228391122012956,0.4124780028719633,18.89630126914444,382.16797696648587,-7.643272445888203,2.2235264040758143,1.0269309391000159
0.81,0.5918962517825206,14.10710013964095,233.70773538999984,-4.678254438298149,1.6572380835875449,-1.1700735260142905,0.5882186093889435,21.518480542823355,399.9784276857388,-8.000923622651687,2.535271144050775,0.9596431558683326
0.84,1.3495254306593298,14.463375507105392,210.0802198350134,-4.207803738117052,2.0260009995627724,-1.1250466140931172,1.170124347905707,24.507456073223356,422.2700027297161,-8.448253472087305,3.055827767430474,0.9222698256756168
0.87,2.01856492459934,14.214497110756312,184.3272422370933,-3.69478954430938,2.551293659530179,-1.0285342008630614,1.5486708936645877,28.007694037344148,457.76468907969615,-9.159372959404786,3.816838172316203,1.038569012446571
0.9,1.3192538687998645,-27.83907472664265,693.6369274547861,-2.4855555528686395,2.6492334788204217,0.603194033070185,0.0,0.0,0.0,0.0,0.0,0.0
