t[s],q_BodyPitch,q_BodyRoll,q_BodyYaw,q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,qd_BodyPitch,qd_BodyRoll,qd_BodyYaw,qd_LLHip1,qd_LLHip2,qd_LLHip3,qd_LLKnee,qd_LLAnkleRoll,qd_LLAnklePitch,qd_LRHip1,qd_LRHip2,qd_LRHip3,qd_LRKnee,qd_LRAnkleRoll,qd_LRAnklePitch,qdd_BodyPitch,qdd_BodyRoll,qdd_BodyYaw,qdd_LLHip1,qdd_LLHip2,qdd_LLHip3,qdd_LLKnee,qdd_LLAnkleRoll,qdd_LLAnklePitch,qdd_LRHip1,qdd_LRHip2,qdd_LRHip3,qdd_LRKnee,qdd_LRAnkleRoll,qdd_LRAnklePitch,Tau_BodyPitch,Tau_BodyRoll,Tau_BodyYaw,Tau_LLHip1,Tau_LLHip2,Tau_LLHip3,Tau_LLKnee,Tau_LLAnkleRoll,Tau_LLAnklePitch,Tau_LRHip1,Tau_LRHip2,Tau_LRHip3,Tau_LRKnee,Tau_LRAnkleRoll,Tau_LRAnklePitch
0.0,0.2,0.0,0.0,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8647120319418775,-0.806322318559296,0.19730611288450106,-0.03186956806248986,-0.09727203773661586,4.617937909148907,-9.414838252705977,0.018085181488459057,4.123282265445823,-0.03186959880146567,-0.09727236776410564,4.574374165105411,-9.276622042821145,0.018085237953414435,4.045126747599625,-37.32192785471341,-4.617887608501905,0.41243423541936053,-0.18762734451192328,-0.0489734554979289,10.465289158154064,-27.872644097552335,2.852206790536267,10.644429881194158,-0.18761912027156802,-0.048964888311516526,13.173134642772862,-32.452027618000194,2.852212007972243,12.613089070619122
0.03,0.19742175917125232,-0.0007256900867033665,0.00017757550159605096,-2.8682611256240876e-05,-8.754483396295426e-05,-0.325843855881766,0.6215266455725647,1.627666333961315e-05,-0.29628904596109873,-2.86826389213191e-05,-8.754513098769507e-05,-0.32588306325140515,0.621651040161461,1.627671415807299e-05,-0.2963593859271603,-0.08594136095825632,-0.02418966955677888,0.005919183386535032,-0.0009560870418746958,-0.0029181611320984757,0.1385381372744672,-0.2824451475811793,0.0005425554446537717,0.12369846796337469,-0.0009560879640439701,-0.002918171032923169,0.1372312249531623,-0.2782986612846344,0.0005425571386024331,0.12135380242798874,-0.8939494654350568,-0.3300893869138477,0.049410867735847575,-0.022453562858061105,0.025821851029746767,0.2570344406808829,-0.021426598197990643,0.059571241903540795,-0.20715494319824757,-0.022434897014868227,0.025815835710147894,0.3482398381065366,-0.15701710213420483,0.059579254772188506,-0.15115182076669953,-30.53714574583936,-3.1670052640529383,0.12518164106459365,-0.0011335263576717864,-0.26875662419298413,8.661293174098525,-23.945775777637948,2.597885396235437,9.811807816826141,-0.0009559253481521348,-0.2687451625194719,10.822021556626213,-27.78507405222352,2.5979324719693304,11.4909185164244
0.06,0.19403896382361308,-0.0017484606216291957,0.00039962078415436476,-7.757342908473673e-05,-0.00015185000199913646,-0.3214563807669192,0.613034007206751,8.616744439241301e-05,-0.2927645313710759,-7.755668515601961e-05,-0.00015185600983625704,-0.3214527106485144,0.6131607649310011,8.617475761111564e-05,-0.2928548084930107,-0.11275984492130803,-0.03409235116419431,0.007401509418610459,-0.001629693927616529,-0.0021435056012060727,0.1462491704948937,-0.283087945527119,0.0023296927017599956,0.11748381966742727,-0.0016291348744900168,-0.0021436959616187323,0.1476784200963584,-0.2830091743486605,0.0023299347817680883,0.11681924780498776,-0.20898786711948247,-0.2061354016000374,0.011733458659328733,-0.0028325052312254684,-0.005586697658046091,0.028193353411978705,0.17776291722634596,0.07858276396234487,-0.12407513132257009,-0.0028235112342009927,-0.005584792673957395,0.10145211282576838,0.049428231846491144,0.07858013310953993,-0.06753531423396453,-28.425156753335028,-2.2977016479478065,0.04178169643052899,0.04525897906861061,-0.34777376464754817,7.988023872817419,-23.995873989786503,2.2411018393436097,10.275088710945726,0.04535229310868101,-0.34772744941207173,9.733715696150293,-27.15297788823217,2.2410896162539413,11.663048812651006
0.09,0.19046807939556631,-0.0029567530179950585,0.0006322261795060743,-0.0001290135016213355,-0.00022118319792756012,-0.31704353163400156,0.6047013554664412,0.00022678271301132324,-0.28935168439924336,-0.000128971891501501,-0.00022119320209138067,-0.31693105114408043,0.6047149751092031,0.0002267949208627442,-0.28941101284167164,-0.1190294809348925,-0.04027641321219543,0.007753513178390322,-0.001714669084553293,-0.0023111065309474555,0.14709497109725306,-0.2777550580103286,0.004687175620630341,0.11376156572775016,-0.0017138402115160465,-0.002311239741837454,0.15072198348113144,-0.2815263273932658,0.004687338775054286,0.11479318837796883,0.004552974130128007,-0.14605199021154025,0.003040549548813054,0.002407399186239445,-0.01602874208363403,-0.04513970391022326,0.16870786128777127,0.07747956615321527,-0.05465469428713732,0.002375008844778037,-0.01601703098575058,0.015011144139407406,0.05732650809977713,0.07745692608023091,-0.004661977077375923,-27.43260131045351,-1.6914554405541102,0.012998122103774613,0.049251669246195,-0.36384301267071295,7.709409355165177,-24.026045691168633,1.8808652243667485,10.379977631240342,0.049088506768410776,-0.3637358339435344,9.11974266428039,-26.591194346074037,1.880721495527629,11.509340571827353
0.12,0.18690129264423666,-0.004296492205551308,0.0008675680694517157,-0.0001782869148903188,-0.0003049422617312544,-0.31267130823460315,0.5965205408012904,0.0004371295911681272,-0.2859880266522693,-0.00017824958988668215,-0.0003049457222336798,-0.31239588160992104,0.596320779144695,0.0004371263175865806,-0.28597141296970224,-0.11889289171098866,-0.044657972918541636,0.007844729664854713,-0.0016424471089661096,-0.0027919687934564764,0.14574077997994636,-0.27269382217169547,0.0070115626052268,0.11212192489913604,-0.0016425899461727054,-0.0027917506714099714,0.15117231780531368,-0.27980653215027246,0.0070110465574612126,0.11465332906564756,0.08152901438285198,-0.11451134990769063,0.0020220272264142025,0.0033829897967621037,-0.019114606782657972,-0.06968145800351522,0.16057091443155969,0.07045589106542138,-0.030619113562806888,0.0032917785094745966,-0.019089140747531985,-0.0177277589957896,0.062299539676814675,0.07040479144683331,0.013970990618418,-26.854553975995636,-1.2224171135668467,-0.0046633265207620895,0.04088062815828369,-0.35598067369999514,7.57096996933325,-24.022538178811477,1.5509547273762794,10.353897518595604,0.04040726143201235,-0.3558083131843059,8.700356504680629,-26.077753734956854,1.5506624297922131,11.258687579758822
0.15,0.18340788200585156,-0.0057392916080244785,0.0011047297839011298,-0.0002245156373422162,-0.00040590447163934087,-0.30836179814740794,0.5884842399591279,0.0007108867712838105,-0.2826519261075017,-0.00022456468761333618,-0.0004058784690487577,-0.30787666705885786,0.5879826527658959,0.000710822026612567,-0.2825192392061762,-0.1164470212795031,-0.04809331341577235,0.007905390481647139,-0.0015409574150632465,-0.0033654069969362155,0.14365033623984091,-0.2678766947387487,0.009125239337189442,0.11120335149225183,-0.0015438365908884675,-0.003364424893835931,0.15064048503544,-0.277937545959968,0.009123190300866212,0.1150724587842001,0.10747425261995147,-0.09637686490904818,0.002653075946363437,0.0031473744914194413,-0.019243158338696276,-0.07632958764540376,0.15254513739114373,0.062408311227841295,-0.02283151452297716,0.002989390888998855,-0.019203707170120765,-0.030405348983975955,0.06493610941356565,0.06232716445350661,0.01726495943921691,-26.432457717159128,-0.8349247063674123,-0.021942937112729922,0.029471694541814756,-0.34053551074049493,7.476767790953842,-23.975965593167064,1.2604054312320845,10.276022938945376,0.028719964629512335,-0.34030891912847544,8.367389086495097,-25.592553380069894,1.2599864323592072,10.986928249380911
0.18,0.18001119819482442,-0.007268830188915792,0.001344279266702271,-0.0002679117227518361,-0.000524185524052254,-0.3041209846890936,0.5805852297406174,0.0010408114315045508,-0.27933637392580485,-0.00026818933353989124,-0.0005240945523169444,-0.3033848173218802,0.579702968885569,0.0010406121836467092,-0.2790515269791549,-0.11322279370090456,-0.0509846193630438,0.007984982760038043,-0.0014465361803206634,-0.003942701747097104,0.1413604486104788,-0.2633003406170144,0.01099748867402468,0.11051840605656252,-0.001454154864218502,-0.003940536108939554,0.14972832456592072,-0.275989462677561,0.010993005234471411,0.11559040756737661,0.1153516841322002,-0.08538599176856332,0.0033929465854822816,0.0026752458476551055,-0.01839336207213904,-0.07710653398530098,0.14607222691097377,0.055199295829083894,-0.021225711112265344,0.0024469871481400673,-0.018340235826357798,-0.035536690104748914,0.06640486781873278,0.0550883016495618,0.015546098142522169,-26.075720921755586,-0.502404769414227,-0.04050209976594517,0.01773912396300039,-0.3243571169505584,7.393818607809609,-23.89404724421335,1.0091261764316788,10.179243953861247,0.01679290416591178,-0.32409586466737716,8.08049684979707,-25.133323539019067,1.008624873615336,10.722904456726088
0.21,0.17671833089951627,-0.008875216162398813,0.0015868824014303464,-0.0003089000868985664,-0.0006590206023300922,-0.299949567111366,0.5728176845263269,0.0014204154579714667,-0.276039924884109,-0.0003096116910331202,-0.000658816847828853,-0.2989249506059969,0.571483049386279,0.0014199818121654571,-0.27556982326380536,-0.10976224317693856,-0.0535461991161007,0.00808677115760251,-0.0013662788048910102,-0.004494502609261275,0.13904725259091977,-0.2589181738096852,0.012653467548897197,0.10988163472319455,-0.0013807452497742998,-0.004490743183730288,0.14866222386277825,-0.27399731664299903,0.012645654283958266,0.11605679051165227,0.11655439656762923,-0.07877956291124022,0.003982578464431619,0.0022530835794611903,-0.01738719644302833,-0.0761525174660278,0.14091845833365824,0.04943112160145802,-0.0219033088476408,0.0019517816843119817,-0.01732080612380038,-0.03761168627443112,0.06678458906776541,0.04929084059864408,0.012601504291069432,-25.750547971458445,-0.21096760112884363,-0.060003608496286706,0.006385979372433809,-0.310371689943053,7.310936272767923,-23.78130427545995,0.794168202947801,10.074867192416699,0.005355156913545007,-0.3100987904266983,7.823359014715915,-24.69625047019184,0.7936390615984853,10.474351878252385
0.24,0.17353036256111898,-0.01055250374250195,0.0018330698567764101,-0.0003478606758237816,-0.000809504157406656,-0.2958466867993578,0.5651769659245366,0.0018445074938796947,-0.27276318882037603,-0.0003492774450104684,-0.000809127868852182,-0.29449893440776054,0.5633232360171501,0.0018437131972229848,-0.2720767781945938,-0.10626561127990967,-0.05590958600343791,0.00820624851153546,-0.0012986862975071746,-0.005016118502552125,0.13676267706693893,-0.2546906200596754,0.014136401196940937,0.10922453545776532,-0.0013221917992449403,-0.0050103673674443,0.1475338732745453,-0.27199377897096605,0.014124379501917588,0.11643483564038436,0.11532056447033767,-0.07534789561523714,0.00445005548195887,0.001962383265450285,-0.01665715594231898,-0.07490477579233357,0.13695321890281775,0.04526325285542043,-0.023465204901413017,0.0015843460563189637,-0.016577629040765984,-0.038299249997692186,0.0662787887599734,0.04509377210945331,0.00968588306818674,-25.444380290227798,0.04730791353904819,-0.07993826441256151,-0.004446071209957816,-0.2999101888861952,7.224738956154655,-23.641953814888787,0.612113878075934,9.967071754803277,-0.005444184746845705,-0.2996484907638422,7.588781849061571,-24.278978077605917,0.6116128601909729,10.242612987891482
0.27,0.170446182730745,-0.012297604428658801,0.0020832623620562368,-0.00038505511981009157,-0.0009749791528313068,-0.29181122078556276,0.5576595052197588,0.0023093364573578013,-0.26950757144105436,-0.00038751728753712956,-0.0009743587560122004,-0.2901073875345221,0.555223073557905,0.00230802897717902,-0.26857501583062093,-0.10280599434579954,-0.05817002287189502,0.008339750175994226,-0.001239814799543666,-0.005515833180821694,0.1345155337931689,-0.2505820234925909,0.01549429878260355,0.10852057931072294,-0.0012746614175553714,-0.005507696238667279,0.14638489577461455,-0.27000541530816685,0.015477192665201188,0.11672541213242996,0.11316022214580812,-0.07436547946529104,0.004866918436254641,0.0017882869013590152,-0.01624702744429385,-0.07394476617568557,0.13417509881992373,0.04266758410534521,-0.0254617461714588,0.0013273119091934404,-0.01615395237403039,-0.038171673461164346,0.06486921661917222,0.04246789081780378,0.007264906534373949,-25.152202370654127,0.27718852678160827,-0.09995851600348983,-0.014739658753733677,-0.2936758606853228,7.134390478539176,-23.479179664261913,0.46001175245910414,9.857150435462687,-0.015593242232463292,-0.2934455675540594,7.373130184994479,-23.879818902774566,0.459590604242774,10.026900678470492
