t[s],q_BodyPitch,q_BodyRoll,q_BodyYaw,q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,qd_BodyPitch,qd_BodyRoll,qd_BodyYaw,qd_LLHip1,qd_LLHip2,qd_LLHip3,qd_LLKnee,qd_LLAnkleRoll,qd_LLAnklePitch,qd_LRHip1,qd_LRHip2,qd_LRHip3,qd_LRKnee,qd_LRAnkleRoll,qd_LRAnklePitch,qdd_BodyPitch,qdd_BodyRoll,qdd_BodyYaw,qdd_LLHip1,qdd_LLHip2,qdd_LLHip3,qdd_LLKnee,qdd_LLAnkleRoll,qdd_LLAnklePitch,qdd_LRHip1,qdd_LRHip2,qdd_LRHip3,qdd_LRKnee,qdd_LRAnkleRoll,qdd_LRAnklePitch,Tau_BodyPitch,Tau_BodyRoll,Tau_BodyYaw,Tau_LLHip1,Tau_LLHip2,Tau_LLHip3,Tau_LLKnee,Tau_LLAnkleRoll,Tau_LLAnklePitch,Tau_LRHip1,Tau_LRHip2,Tau_LRHip3,Tau_LRKnee,Tau_LRAnkleRoll,Tau_LRAnklePitch
0.0,0.2,0.0,0.0,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.637151421777979,-0.2571232246523003,0.05220227235414754,0.13393509690240535,-1.2727814696177546,4.758354341411007,-8.866876392090035,0.8234804917731253,3.7859580609942896,0.13393468068341008,-1.272783357704327,4.295702610230876,-8.029272146573703,0.8234804988614997,3.3416755882080906,-37.39302365262878,-3.5257986871288636,1.1415717809711439,-0.33586691191091944,-5.63060075154303,8.085800364603257,-22.046105442274605,3.3083860464725148,8.105762438799978,1.002426308487812,-6.126398085772324,15.908406693254653,-37.07987793066427,7.682628958895726,15.144401296447104
0.03,0.19762656372039983,-0.00023141090218707026,4.6982045118732784e-05,0.00012054158721216481,-0.0011455033226559792,-0.32571748109273013,0.622019811247119,0.0007411324425958128,-0.29659263774510514,0.00012054121261506906,-0.0011455050219338944,-0.3261338676507922,0.6227736550680837,0.0007411324489753497,-0.2969924919706127,-0.07911454265333936,-0.007713696739569009,0.0015660681706244262,0.004018052907072161,-0.038183444088532636,0.1427506302423302,-0.266006291762701,0.02470441475319376,0.11357874182982869,0.004018040420502302,-0.03818350073112981,0.12887107830692626,-0.24087816439721108,0.024704414965844988,0.10025026764624272,-0.9192000165204774,0.0623024052317227,0.10644292934991029,0.02898826495635376,-0.21767306806509623,0.2251149358868645,0.09859546527718521,0.4386258462286605,-0.27108248241052024,0.030414492927945957,-0.21821403784693416,0.3929680759778478,-0.2140151529531522,0.4396333398958632,-0.14169777199595046,-30.643740755697046,-4.526670073908076,0.6801706216504307,-0.2748971468427087,-3.370726706235777,6.676048807920991,-19.995226865652953,3.383826719683682,7.922286629564729,0.7777372276705651,-3.764579938572012,12.885440144094726,-31.801543584917972,6.868697618064264,13.389590681960739
0.06,0.19442584742593122,-0.0004067496396655901,0.0001897627266523848,0.00026717261288504803,-0.0024869124065705446,-0.321232358743162,0.6141283584129874,0.00187702814679742,-0.2934292497243797,0.0002684554688652895,-0.0024874026779300295,-0.3219140640332044,0.6153546964985095,0.0018779349038569762,-0.2941125119360218,-0.10669054314895368,-0.005844624582617328,0.004759356051121735,0.004887700855762773,-0.044713636130485526,0.14950407831893614,-0.2630484278043855,0.03786319014005357,0.10544626735751308,0.004930475208340681,-0.04472992186653783,0.1406601205862617,-0.24729861898580563,0.037893415162720885,0.0959993344863642,-0.23184457625428934,-0.06039937628985115,0.020102379167749262,0.03831176197905961,-0.1612110013274446,-0.004631686776690458,0.28655960910180056,0.35459518656966793,-0.18854218002184098,0.03857895717874271,-0.16118662698394814,0.15320746621637227,-0.03301030790180448,0.3547127114657087,-0.04670728954488368,-28.41627424378322,-4.498779096532896,0.3425383129294737,-0.1958741999061477,-1.799269025895116,6.418097001193165,-21.336183552410077,3.802780386206445,8.749637184259248,0.6479864843668021,-2.1174584393700164,11.18308166132309,-30.263748507608074,6.633650304843752,12.795926053083383
0.09,0.19101647101283376,-0.0006364478158049759,0.00035063554943701115,0.00044828422433908487,-0.003973411391679811,-0.31675140491169296,0.6064948092270475,0.003332059518911728,-0.290435549665674,0.0004510907865763784,-0.003974368298211718,-0.3175563736960218,0.6079060286518237,0.0033339787990577406,-0.29127456846202127,-0.11364588043658236,-0.0076566058713128625,0.005362427426154212,0.0060370537151345615,-0.049549966170308865,0.14936512771563543,-0.2544516395313315,0.04850104573714361,0.09979000195685786,0.006087843923702962,-0.049565520676056275,0.14525634457275288,-0.24828892822285975,0.048534796506692145,0.09459811580001769,-0.01989020750117021,-0.11733927888286289,-0.015243226138840882,0.032754779175803606,-0.10815293898961897,-0.06616182235592305,0.2603031359135457,0.26626931820851496,-0.11883229283102992,0.032255731658011655,-0.10797237542777793,0.06306760459918337,-0.009495601500930206,0.2660556988371354,0.004912124653856154,-27.361160034314896,-3.968833308375108,0.15302741925098734,0.052874451653417094,-0.870837385170518,6.551151747842443,-22.473437090885824,4.035676566010444,9.150042856989044,0.2951139945972811,-0.962663281557186,10.020544204469168,-28.91440552739241,4.87348870934276,12.03180518206118
0.12,0.18758919341298524,-0.0009717513429389384,0.0004977894686966806,0.000658875137051345,-0.005557248021879733,-0.3123299967203442,0.5990955328634298,0.0050267332774137,-0.2875487986705162,0.0006627562627796777,-0.005558509056378407,-0.31314192251469997,0.6004488147637871,0.005029472823211927,-0.28843220407583225,-0.11424258666161746,-0.011176784237798748,0.004905130641988986,0.007019697090408669,-0.05279455433999743,0.14738027304495774,-0.2466425454539251,0.056489125283399055,0.09622503317192696,0.007055515873443312,-0.05280469193888961,0.1471483727107284,-0.24857379626788767,0.056516467471806206,0.09474547953963337,0.054876684774590956,-0.19450972374594588,-0.001133253126990752,0.00812451217515786,-0.03671321134078198,-0.0777701600864873,0.21253638655582563,0.14186558262269955,-0.0799725710412531,0.006938909342281363,-0.03635857020023536,0.022225182409499666,0.018776895854443865,0.14129717047649137,0.009889246180364353,-26.72308315840187,-3.133795928682662,0.06931172256736491,0.07686838016560142,-0.2542011381644027,6.840889843920339,-23.52471203377282,2.654035794365198,9.403269836675143,0.06794281191008605,-0.2508686556211535,9.047023441981832,-27.62547712352483,2.6483861468247545,11.260385475021335
0.15,0.18421130482943385,-0.0014821136214442521,0.0006439234601420586,0.0008767781107212471,-0.00717412654228636,-0.30797858167307335,0.5918875392477122,0.006849086060276101,-0.2847340229892955,0.0008806667573910303,-0.007175372527725307,-0.30870746866920956,0.5930085000820194,0.006852134300794955,-0.28558093936808093,-0.11259628611837974,-0.017012075950177126,0.004871133048179263,0.007263432455663405,-0.05389595068022089,0.1450471682423631,-0.24026645385725034,0.06074509276208004,0.09382585604068937,0.0072636831537117525,-0.053895449044896675,0.14781512818301337,-0.24801048939225434,0.06075538258610095,0.09504215692504431,0.083536455120516,-0.2105916033117139,0.004296037472744985,-0.005670885404612136,0.008679952903449362,-0.07206253692814357,0.17223752589723063,0.05233824407167731,-0.05909410529579873,-0.007079768584631552,0.009085789955580736,-0.0033438986401677084,0.04771964811027374,0.05164769544245473,-2.911755700552021e-06,-26.2406898923029,-2.1844010603561594,-0.0021713806600522703,0.00258395770759765,0.2065909409664974,7.111927383424427,-24.363448170820092,0.9983913455795684,9.570295978254434,-0.004587798042979996,0.20892892826259482,8.233953418428493,-26.489635909013465,0.9940753339333072,10.574942351126886
0.18,0.18090859905549092,-0.0021820083429301084,0.000793923885312907,0.0010895772875269983,-0.008783193105079882,-0.3036920229090378,0.5848345594053022,0.00871854326280301,-0.28197243200284106,0.0010922054602762145,-0.008784058788112184,-0.3042760243324953,0.5856111330835511,0.008721278704276192,-0.28272967728090975,-0.11009019246476426,-0.023329824049528543,0.0050000141723616125,0.007093305893525041,-0.05363555209311741,0.1428852921345188,-0.23509932808033343,0.06231524008423036,0.0920530328818154,0.007051290096172806,-0.053622875346229254,0.14771481122380833,-0.24657889994894613,0.062304813449374594,0.0950420695723733,0.09449912683612638,-0.18383122753106315,0.0005712882241513118,-0.009715152375079583,0.02944710582449961,-0.06244263100069247,0.14378208660093605,0.0006614735300090047,-0.048593529583058626,-0.011123987351268738,0.02983358510948264,-0.020194406731775416,0.07001767492613453,-1.7749525994759097e-05,-0.011695055124619103,-25.83551504521583,-1.3047116578666962,-0.062137919040216504,-0.04675196184208892,0.5424263309271935,7.3067859001194195,-24.958533232506603,-0.25616259725271656,9.676213290031399,-0.049847126615118705,0.5431581489075719,7.57652477544385,-25.5404028371711,-0.2579361385916963,10.013329115609272
0.21,0.1776909424957005,-0.0030473511691939213,0.0009444384698854915,0.0012936328271951779,-0.010365757272631355,-0.29946166251290285,0.577910983440833,0.010588595791506929,-0.27925457519301133,0.0012937325745452568,-0.010365894821900527,-0.2998627549618396,0.5782767819925162,0.010590407133184035,-0.2798889407433507,-0.10725521865968046,-0.028844760875460437,0.005017152819086152,0.006801851322272653,-0.05275213891838242,0.14101201320449805,-0.23078586548230534,0.06233508429013063,0.09059522699432365,0.006717570475634743,-0.05272786779294478,0.14710897902185507,-0.2444783697011621,0.06230428096359475,0.09469121791863472,0.09866562166013892,-0.14565521007188842,-0.003093055679470602,-0.010558718797469169,0.03822306559071009,-0.05380618780441182,0.12282450722113936,-0.029364814843745535,-0.04226413407968721,-0.011859260931373683,0.03855663955647515,-0.03161212840234384,0.08563039626903901,-0.02996753385696138,-0.0214752406561729,-25.472236567530377,-0.5635531442212163,-0.10254283308343416,-0.08716727809970118,0.8008930508731926,7.427776080689878,-25.352033186030624,-1.2109935154051175,9.74433795923582,-0.08457982904295361,0.7996762845189165,7.042207889551782,-24.74295903743479,-1.209479888597663,9.565299626635323
0.24,0.1745620849954042,-0.004043783684522434,0.0010921693043465526,0.001488185519945635,-0.011913920681151189,-0.29527972768579186,0.5710979495328629,0.012432219986851477,-0.27657475610385335,0.0014845863539760628,-0.011913029880088043,-0.2954779365067461,0.5710194982581235,0.012432564781620612,-0.2770675319223822,-0.1042952500098763,-0.03321441717761709,0.004924361148702034,0.006485089758348578,-0.05160544695066112,0.1393978275703657,-0.22710113026567116,0.06145413984481826,0.08932730297193303,0.006361792647693533,-0.05157116860625052,0.14616061516978476,-0.24190945781309092,0.06140525494788591,0.09404696069894954,0.10019439698810118,-0.1084164360201001,-0.005139451954445207,-0.010276563271922612,0.040716548563651145,-0.04734223588206987,0.10767647930742896,-0.045928657681088225,-0.038125132672576,-0.01140769487972193,0.04098439891335204,-0.03942556013612375,0.09601586527458039,-0.046425113967188736,-0.028783365147319273,-25.13695792554348,0.031052140549730052,-0.12763057715441714,-0.12289095463927059,1.007180392368904,7.486981216474953,-25.5815559455113,-1.9372058576432825,9.787794837117707,-0.11372113202060634,1.0038890667581837,6.605941389312842,-24.06666478135739,-1.9320636625170373,9.215245815284986
0.27,0.17152340245239722,-0.005137790992269037,0.0012352746320486128,0.0016734893057513622,-0.013425439195963736,-0.29114040087097476,0.5643818244562694,0.014234508390283045,-0.2739292496341007,0.001665173208015119,-0.013423278979253541,-0.29112860105577504,0.5638486288024779,0.01423293982748672,-0.2742720281300463,-0.10128941810023326,-0.036466910258220096,0.0047701775900686775,0.0061767928601909,-0.050383950493751585,0.1379775604939036,-0.2238708358864483,0.060076280114385615,0.08818354899175575,0.006019561801301875,-0.05034163663884996,0.14497784836570105,-0.23902898185485352,0.06001250152887025,0.09318345974452996,0.10054747332753067,-0.07649226059408587,-0.00583139621543971,-0.009573282225090907,0.03981763205185018,-0.04300157877020183,0.09705088182261079,-0.053745288276445535,-0.035346885390481475,-0.010518653549041801,0.040020250977718774,-0.04465702751184608,0.10232890477732326,-0.054131249933561776,-0.03378418336046707,-24.82346013399452,0.4940797653465892,-0.1426850962428271,-0.1549598148157196,1.176443056954525,7.498005979448025,-25.68031856900056,-2.489048498026864,9.815335522870253,-0.1388640591747821,1.1710995605669567,6.247299406616188,-23.484757729834186,-2.480229190816294,8.946648592424097
