t[s],Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter,Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter
0.0,23.729355248166705,51.98015017042063,73.95347794553905,-77.19160887160473,62.648506523033355,8.154050381310503,27.805300639867816,132.4051046795345,712.5088196047435,-122.08011980252333,60.47010323059462,-16.851553222605887
0.03,41.88059516460511,11.867792482173257,648.0500564404176,-86.44167870876905,59.164356245285724,5.404577417292599,0.0,0.0,0.0,0.0,0.0,0.0
0.06,22.6915813756466,10.529468333772524,631.2160595429507,-79.85063362577897,49.09223148412661,2.825418321952713,0.0,0.0,0.0,0.0,0.0,0.0
0.09,13.199839459083984,7.300258178361103,630.8985621820333,-73.3913447008763,41.93770116759753,1.3175141553688619,0.0,0.0,0.0,0.0,0.0,0.0
0.12,8.592336107880618,4.2197222103982,631.2142129553799,-67.38146571421962,36.79872104494003,0.6002861916064457,0.0,0.0,0.0,0.0,0.0,0.0
0.15,6.190851136659415,1.4826398790350983,631.3707940257733,-61.855856722683896,32.796070935131176,0.3238193448531279,0.0,0.0,0.0,0.0,0.0,0.0
0.18,4.7284438709340195,-0.873022858377014,631.4700866000037,-56.817124887153405,29.43410885202196,0.24786216895845667,0.0,0.0,0.0,0.0,0.0,0.0
0.21,3.6833450639630505,-2.874160640883125,631.5649580685016,-52.23842138201574,26.47720927424612,0.24623689716561903,0.0,0.0,0.0,0.0,0.0,0.0
0.24,2.857268016678542,-4.568166043273016,631.6712869350883,-48.07889666013887,23.817155709357213,0.26282378282885777,0.0,0.0,0.0,0.0,0.0,0.0
0.27,2.1817787811530502,-6.00350202733772,631.7886668344624,-44.29485390509812,21.401959437205868,0.2769393284530298,0.0,0.0,0.0,0.0,0.0,0.0
0.3,1.6367082132845843,-7.2234802763358905,631.9100723735415,-40.84511345353155,19.20300445554749,0.2835340851086887,0.0,0.0,0.0,0.0,0.0,0.0
0.33,1.2170978561470405,-8.265158420689943,632.0265645748084,-37.692981541132895,17.200761492800908,0.28338858966236946,0.0,0.0,0.0,0.0,0.0,0.0
0.36,0.9206596421746976,-9.159769686790563,632.1293729084052,-34.8066726938764,15.378877909260257,0.2787796413600238,0.0,0.0,0.0,0.0,0.0,0.0
0.39,0.7437888923497864,-9.933439053736306,632.2104386940272,-32.15914295273216,13.721931503607747,0.2718296718686706,0.0,0.0,0.0,0.0,0.0,0.0
0.42,0.6809148507215955,-10.607815264483861,632.262458329521,-29.72776886442604,12.21469295500494,0.26404952998957165,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.7249369280667116,-11.20052836264391,632.278630852083,-27.494049340158124,10.84193877966625,0.25634467364563623,0.0,0.0,0.0,0.0,0.0,0.0
0.48,0.8677988417318642,-11.725455709372616,632.2522792532758,-25.443399896424893,9.588390437856106,0.24915302864489355,0.0,0.0,0.0,0.0,0.0,0.0
0.51,1.1008323617071696,-12.192794903247732,632.1766184087663,-23.565063024429644,8.438601125731342,0.24257582504008604,0.0,0.0,0.0,0.0,0.0,0.0
0.54,1.414761553689176,-12.608951014037677,632.0442469280407,-21.852137118233305,7.376724876214753,0.23645639119174822,0.0,0.0,0.0,0.0,0.0,0.0
0.57,1.7992962826031496,-12.97623608077612,631.846742604332,-20.301717924403334,6.386129445302224,0.23039719058445252,0.0,0.0,0.0,0.0,0.0,0.0
0.6,2.2422667844427373,-13.292426733448124,631.5741535894825,-18.91511663668892,5.44883419211272,0.22373635739561262,0.0,0.0,0.0,0.0,0.0,0.0
0.63,2.7282426645777083,-13.550341225192323,631.213876020339,-17.698055130580926,4.544763193957214,0.2155409214592792,0.0,0.0,0.0,0.0,0.0,0.0
0.66,3.2367437095875733,-13.73796165562892,630.7493123034321,-16.66058107775622,3.650893847764333,0.20473421444357504,0.0,0.0,0.0,0.0,0.0,0.0
0.69,3.740980133968753,-13.840797843363378,630.1587299433056,-15.816074845122492,2.740690182404705,0.19053209811614458,0.0,0.0,0.0,0.0,0.0,0.0
0.72,4.2107301922418054,-13.851411894813932,629.4202618393175,-15.178025474838284,1.7850218669464857,0.17321292409184505,0.0,0.0,0.0,0.0,0.0,0.0
0.75,4.628952252498799,-13.79911777950168,628.5664175133634,-14.752283702546963,0.7569551508711164,0.15439384790811372,0.0,0.0,0.0,0.0,0.0,0.0
0.78,5.038626084797051,-13.859638527703053,628.6796394495709,-14.513206081923245,-0.35958723465821246,0.13760591996590155,0.0,0.0,0.0,0.0,0.0,0.0
0.81,5.442990999424404,-14.035346518564277,629.7329019952148,-14.45816021753203,-1.573993206161094,0.1215621358922046,0.0,0.0,0.0,0.0,0.0,0.0
0.84,5.785219502081153,-14.156645484738135,630.6435447204809,-14.606783795891358,-2.8917545712816906,0.10238676436317755,0.0,0.0,0.0,0.0,0.0,0.0
0.87,6.064571272525266,-14.199325099352185,631.3890937490421,-14.947633757074085,-4.306956225322015,0.0793173227187468,0.0,0.0,0.0,0.0,0.0,0.0
0.9,6.299188084010897,-14.175308502563759,631.9963711357088,-15.46193714015314,-5.808457130494671,0.052881238720916844,0.0,0.0,0.0,0.0,0.0,0.0
0.93,6.507887037731464,-14.103692001046996,632.4903194279971,-16.130892368161017,-7.38559886110348,0.024547538093564424,0.0,0.0,0.0,0.0,0.0,0.0
0.96,6.705151212851891,-14.001581582780917,632.8893845962317,-16.93863845610871,-9.030173704275535,-0.004019152302723041,0.0,0.0,0.0,0.0,0.0,0.0
0.99,6.901001367376375,-13.881883714339757,633.2068875810218,-17.873099564488612,-10.736633012197743,-0.03137212855807604,0.0,0.0,0.0,0.0,0.0,0.0
1.02,7.10204548904525,-13.753275787228377,633.4526104075558,-18.925955270470354,-12.50176513987482,-0.056362718310616594,0.0,0.0,0.0,0.0,0.0,0.0
1.05,7.312568561299165,-13.620731322009696,633.6337997215192,-20.09232569974148,-14.324303130084614,-0.07804614606112667,0.0,0.0,0.0,0.0,0.0,0.0
