t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.8793,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.043208830693253,-0.020096738619521576,-6.077265821131162,-0.1721813741863994,32.43666052598046,-0.25504289123349616
0.01,-0.0006053054791214533,-2.0071854319695057e-06,0.8786932546075944,-8.609064934847765e-06,0.0016218323152391062,-1.2752138970754716e-05,0.9999986847107392,-0.06043208830693253,-0.00020096738619521576,-0.06077265821131162,-0.001721813741863994,0.3243666052598046,-0.0025504289123349615,1.0072195510587996,-0.008314412467014476,-2.0335502576643893,-0.006024394300330416,-3.793785727127414,-0.014791654614596972
0.02,-0.001112691288648487,-4.849750076794899e-06,0.8778845369413182,-1.7522948185509867e-05,0.003053972015918179,-2.624170925131485e-05,0.9999953361187466,-0.050359892796344535,-0.0002841115108653605,-0.08110816078795552,-0.0017820576848672982,0.28642874798853046,-0.002698345458480931,0.6465986892837741,-0.0070432485505428355,-0.6133618678847288,-0.002176346779615812,-0.4542831903342517,-0.010049460919002162
0.03,-0.0015581762702030753,-8.404165199725196e-06,0.8770154438842331,-2.6547743544355747e-05,0.00446339151392159,-4.023296688626923e-05,0.9999900378567373,-0.043893905903506794,-0.00035454399637078885,-0.08724177946680281,-0.0018038211526634563,0.2818859160851879,-0.002798840067670953,0.5025842857016158,-0.005737191207008385,-0.22403007641788442,-0.0013876618668744456,0.4559631657445209,-0.0075876061120779825
0.04,-0.001956105619443012,-1.2541543380493979e-05,0.8761246979426316,-3.5642643664854444e-05,0.005895599900465111,-5.460381508514464e-05,0.9999826186738643,-0.03886806304649064,-0.0004119159084408727,-0.08948208023098166,-0.0018176977713322006,0.28644554774263314,-0.0028747161287917327,0.4344634961689877,-0.004569429176360884,-0.1093821582614325,-0.0010445124485172208,0.7090850277532184,-0.005775012103241051
0.05,-0.0023133190543737385,-1.7146801377508245e-05,0.8752235965459549,-4.478945979049679e-05,0.007363249479129955,-6.9264249471331e-05,0.9999728875091944,-0.03452342808480076,-0.0004576102002044816,-0.09057590181359598,-0.0018281428958173728,0.29353639802016535,-0.002932466249824143,0.39682922133143705,-0.003601180575138585,-0.07121729717552228,-0.0008895219659985631,0.7891758576385826,-0.0044156991386774536
0.06,-0.0026336496351851407,-2.2124923508398897e-05,0.874315796956604,-5.397954410142676e-05,0.00887034043490074,-8.414674901928127e-05,0.9999606527589485,-0.030555135871486387,-0.0004936220059558674,-0.09128807478535121,-0.0018370381154773584,0.30142815659655114,-0.0029766232412109174,0.3753289614242554,-0.002814144273982716,-0.055639123706020754,-0.0008260865635323356,0.8208974273526479,-0.0033864324628317677
0.07,-0.0029193339519301103,-2.7399114648767113e-05,0.8734026936565793,-6.320885304105757e-05,0.010418453885802014,-9.920021590929618e-05,0.9999457195181084,-0.026801846257243835,-0.0005217634486956946,-0.09184446602241142,-0.0018452989811126818,0.3096371308700776,-0.003010487565839235,0.3641162274397445,-0.002176584488888078,-0.04714622387977485,-0.0008126474840760567,0.8377890093731963,-0.002600337656563534
0.08,-0.0031715858906202613,-3.290762559505613e-05,0.8724849615693523,-7.247583538505392e-05,0.01200842879778864,-0.00011438567237437129,0.9999278870503511,-0.02316068398284639,-0.0005435292935845753,-0.09231592826120917,-0.0018534254559534422,0.31801502096380957,-0.00303649094240487,0.3600703426896281,-0.0016587309328060795,-0.04096178057518607,-0.0008294985910977104,0.8495612132240353,-0.001994650305881529
0.09,-0.0033909041082606887,-3.8600787078470985e-05,0.8715630290036482,-8.178043996163333e-05,0.01364084746247283,-0.00012967313728374667,0.9999069475592929,-0.019559980555950107,-0.0005601166029126361,-0.09272554606696103,-0.0018617204418644193,0.32651063309604994,-0.0030564374454636854,0.3612041439055389,-0.0012356167260983153,-0.035489735446935455,-0.0008662234796928958,0.8593702588532892,-0.0015234467359688253
0.1,-0.00357726864965265,-4.443852519109713e-05,0.8706372338387696,-9.112359483456603e-05,0.015316193252532893,-0.00014503933535906635,0.9998826855608275,-0.015947939116894717,-0.0005724727701736192,-0.09308044342143038,-0.0018703826766613481,0.3351043356845828,-0.0030716719128233735,0.3661461170477125,-0.0008869985544087411,-0.030145180843202724,-0.0009167605020524716,0.8684268050586894,-0.001152852167115137
0.11,-0.0037302769708971407,-5.03883462213547e-05,0.8697078794580041,-0.00010050690460582759,0.01703491109578115,-0.00016046600560220967,0.9998548774462132,-0.012286477946417592,-0.0005813427557177066,-0.0933818952298624,-0.001879550281681873,0.34378860373516973,-0.003083200434494525,0.37392266117853623,-0.0005966736300295761,-0.02468991317400082,-0.000977331492047262,0.8772948330040578,-0.0008577256846498127
0.12,-0.003849240554301824,-5.6423722301670276e-05,0.86877525655379,-0.0001099324606812171,0.01879743561142365,-0.00017593864531533925,0.9998232910744186,-0.00854725133463223,-0.0005873094920180023,-0.0936287943616024,-0.0018893235966023455,0.3525615520652103,-0.003091777691341023,0.3838400687052612,-0.0003517495746115651,-0.019014250401481192,-0.0010454866955100783,0.8862872207175769,-0.0006193083475696248
0.13,-0.003933253684381786,-6.252280578035801e-05,0.8678396523848091,-0.0001194027166969295,0.020604206686655708,-0.00019144557280813122,0.9997876853404414,-0.004708850647579618,-0.000590826987764118,-0.09381893686561721,-0.0018997784635574463,0.361424424272386,-0.0030979707748167193,0.3954096305213852,-0.00014199467155640022,-0.013059879298468857,-0.0011196135594098156,0.8955998729699672,-0.0004235294174044779
0.14,-0.003981241778386951,-6.866740847401835e-05,0.8669013550206621,-0.00012892040485813598,0.022455679199571955,-0.00020697722430374843,0.9997478097058496,-0.0007547543423657658,-0.000592246934479682,-0.0939495356586019,-0.0019109745991515445,0.3703804230020857,-0.003102206068990764,0.4082969916555079,4.071079578860104e-05,-0.006790330554379054,-0.0011986565441259867,0.9053638534875716,-0.000259774711316052
0.15,-0.003991994293136487,-7.484219198199561e-05,0.8659606553843371,-0.00013848847949796377,0.024352329494525468,-0.00022252562350183534,0.9997034036910537,0.003328215574189313,-0.000591839826521796,-0.09401743896414569,-0.0019229611645928044,0.3794340615369614,-0.0031048038161039246,0.4222877730369383,0.0002028288719301552,-0.00017859046045387572,-0.0012819436916374771,0.9156688277806495,-0.00011998454193024033
0.16,-0.003964185624808208,-8.103402457696855e-05,0.8650178482074513,-0.00014811007942772627,0.02629465978162616,-0.00023808397868654003,0.999654196333108,0.007551093304558696,-0.0005898115378024945,-0.09401922486875022,-0.001935780601509179,0.3885907498147679,-0.0031060036615232272,0.4372652760625222,0.00034953719666241945,0.006798795223991405,-0.0013690732038922349,0.9265749048163343,2.0105380378332427e-06
0.17,-0.003896386218580204,-8.723146826789407e-05,0.8640732323651755,-0.00015778850357451313,0.028283201052035207,-0.00025364637414224193,0.999599905614519,0.011923746065183918,-0.0005863161658358702,-0.0939512369165103,-0.0019494713335481014,0.39785649886293123,-0.003105983556142849,0.45319785452776173,0.00048503542657346577,0.014165118360029538,-0.0014598366577796007,0.9381188654900399,0.00011098168084139326
0.18,-0.0037870651410933415,-9.342436640367904e-05,0.863127110791973,-0.00016752719617824105,0.030318514820089158,-0.0002692075312479288,0.9995402378699156,0.016455724610461533,-0.0005814658115701356,-0.09380958573291001,-0.0019640697001258975,0.4072376875178316,-0.003104873739334435,0.4701346418375394,0.0006127982752919814,0.021946050857927446,-0.0015541659705838873,0.950317067472298,0.00021066741165559622
0.19,-0.0036345845330268607,-9.960350774411421e-05,0.8621797900593158,-0.00017732973897464666,0.03240119383716962,-0.00028476262092709325,0.9994748871794327,0.021157071028836925,-0.0005753378288172158,-0.09359012522433073,-0.0019796113598317365,0.41674085819255463,-0.003102767065217879,0.48820917884549786,0.0007357871783174597,0.030172124172846537,-0.0016520962489030566,0.9631659369213992,0.00030404643582043756
0.2,-0.0034371855668427448,-0.00010576034744072347,0.8612315796332537,-0.0001871998485724392,0.0345318618016845,-0.0003003071137611716,0.9994035347607909,0.026039162817291905,-0.0005679799570340412,-0.09328840398260227,-0.001996132322320767,0.42637251756176864,-0.0030997266008596746,0.5076512660556212,0.0008566312919700558,0.03888164286206219,-0.0017537392021127474,0.9766403497956446,0.00039354085015336215
0.21,-0.0031929647082068785,-0.00011188676901415657,0.8602827907870488,-0.0001971413777695806,0.03671117198418073,-0.00031583665753702,0.9993258483768098,0.031115675477848118,-0.0005594136441143407,-0.09289958755398164,-0.0020136697143418947,0.43613892105972507,-0.003095791192358141,0.5288081613432816,0.000977787050715856,0.04812446445482621,-0.0018592633565471806,0.9906898620227338,0.0004811665457425396
0.22,-0.0028998381385895743,-0.00011797487439631925,0.8593337351054511,-0.0002071583199240755,0.03893980457932582,-0.00033134697461502627,0.9992414817820249,0.036403757091280936,-0.0005496357736071821,-0.09241834290943338,-0.0020322623479073665,0.4460458196799524,-0.003090979526900716,0.5521771447100328,0.001101684232518635,0.05796712442729657,-0.001968877905714317,1.0052324818298786,0.0005686413171719362
0.23,-0.0025554910502888213,-0.00012401679164193713,0.858384722472403,-0.00021725481573494748,0.04121846247402662,-0.00034683377358622557,0.9991500742420809,0.04192552853838127,-0.0005386189312819958,-0.09183867166516041,-0.00205195112696451,0.45609814449825115,-0.0030852931137289965,0.5784525649337269,0.0012308651176111407,0.06849990166637365,-0.002082817455581365,1.020145404864536,0.0006574576152987566
0.24,-0.0021573070631863956,-0.00013000449227101374,0.8574360583734056,-0.0002274351619282431,0.043547864969736026,-0.00036229267141029716,0.9990512501738061,0.04771005418771854,-0.0005263102801058843,-0.09115367264849668,-0.0020727793015203233,0.4662995985468965,-0.003078718537576009,0.6085918783256616,0.001368121961081492,0.07984659225390622,-0.0022013243296437057,1.03525179630644,0.0007489216098016116
0.25,-0.0017022710940536312,-0.00013592961269995245,0.8564880402544696,-0.00023770382136872008,0.04592873880031353,-0.000377719123852172,0.9989446189741298,0.05379597297097515,-0.0005126290604950694,-0.09035520672595762,-0.0020947925448167606,0.4766521165099609,-0.003071229321477993,0.6439070296745939,0.0015166360313361993,0.09217798116306586,-0.0023246248285877513,1.0503022460187594,0.0008441576520852312
0.26,-0.0011868364487198292,-0.0001417832773100592,0.8555409525409521,-0.0002480654340379561,0.04836180552190229,-0.00039310836368605347,0.9988297751348908,0.06023504326772109,-0.0004974627001817074,-0.08943342691432696,-0.002118038793102638,0.4871551389701485,-0.0030627877449571407,0.6861900037204727,0.0016801190940994581,0.10573026150715492,-0.0024528939779758785,1.0649488644275493,0.0009440710812341768
0.27,-0.0006067434559134988,-0.00014755592499038402,0.854595059697278,-0.0002585248280806173,0.05084776398547757,-0.0004084553481128287,0.9987062987819888,0.06709694330492581,-0.0004806615092407128,-0.08837612429925541,-0.0021425677328823964,0.497804627614424,-0.003053347034144799,0.7378847649683493,0.001862954523064786,0.12082992517598079,-0.0025862015702862173,1.0787090209571772,0.001049257616117641
0.28,4.3227719829726165e-05,-0.00015323714736676153,0.8536505963447167,-0.0002690870296902277,0.05338726608806979,-0.0004237547193631851,0.998573756837095,0.07447579095460931,-0.000462031964010065,-0.08716782504749561,-0.002168429748585259,0.5085917178239958,-0.0030428544579836226,0.8023224960608495,0.002070329942919419,0.1379268938387268,-0.002724428843573823,1.0909143108424217,0.0011598389772787682
0.29,0.000769593826450127,-0.00015881555666139252,0.8527077528528545,-0.0002797572698977775,0.055980883264909576,-0.0004390007859478938,0.9984317050870632,0.0824990159152178,-0.0004413286645808708,-0.08578855610910834,-0.002195674037020997,0.51950086093242,-0.003031256068210835,0.8840436101164748,0.002308345658181915,0.15763782880951016,-0.002867140236021637,1.1006383331967413,0.0012751931806272501
0.3,0.0015806272959933958,-0.00016427871605299068,0.8517666538268301,-0.00029054098522420294,0.05862906013255353,-0.00045418753700491015,0.9982796915732537,0.09133945201638255,-0.00041824520799905166,-0.08421217782101323,-0.0022243454393812132,0.5305072442643874,-0.0030185041364045625,0.9892392795132459,0.002584071938716348,0.1808016849714189,-0.00301338672071616,1.1065942986431878,0.0013935314862334063
0.31,0.0024869814773479416,-0.00016961318819028697,0.8508273252955205,-0.00030144380745065466,0.06133205019541543,-0.00046930870947498585,0.9981172618985172,0.10123184481151501,-0.0003924044886118882,-0.08240416097129905,-0.0022544793065883747,0.5415731872508194,-0.0030045688215422283,1.1263583753259319,0.0029055122865399297,0.20855007487196797,-0.0031614034740399255,1.1069910733925354,0.001511250898092377
0.32,0.0035025432865485057,-0.00017480479196381755,0.8498896438672024,-0.0003124715350054513,0.06408982646616049,-0.000484357938554946,0.9979439673160335,0.11249542856477433,-0.00036334936574648893,-0.08031866022257937,-0.0022860933413287737,0.5526430979847448,-0.0029894563125613047,1.3069443335469408,0.0032814055170575784,0.24239760828534695,-0.0033081377272974333,1.0993369377158047,0.0016219613466138677
0.33,0.004645597138377123,-0.00017983920928907438,0.848953257419994,-0.00032363007356099946,0.06690195725958448,-0.0004993290375981809,0.9977593768283636,0.12556487190024374,-0.00033053531057591315,-0.0778946841397259,-0.0023191747186017482,0.5636364673619028,-0.002973236699095166,1.546792359017033,0.003720758188423573,0.28436771031435804,-0.0034484857254873935,1.0801934022759525,0.001715057588018487
