t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.8793,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.381024671235828,0.34726707393491196,0.6139634499930295,1.4029183652166353,1.0725861889804094,-0.14520789853203553
0.03,0.003943208755376638,0.0003119345845951079,0.8798508609628329,0.0006313131974503204,0.00048266373389567387,-6.534354741528053e-05,0.9999996821047432,0.13143074013707484,0.010418012218047359,0.018418903499790886,0.042087550956499055,0.03217758566941228,-0.004356236955961066,1.0532291062585593,-0.9914788407488988,0.11247282319154195,-2.17049426802582,-1.9231523327268008,0.3173956948852492
0.06,0.008834385982126195,-0.0002687145967739108,0.8805012721291446,0.00028591646924589793,9.988269589632855e-05,1.2066020024241743e-05,0.9999999540648143,0.16302761332483162,-0.019326353004419605,0.021793088195537144,-0.023027277084275537,-0.025516984312391744,0.005165633890596411,0.3615573597498134,-0.2607922701771991,-0.05835516218253822,0.3001849411814419,0.38842083538438743,-0.047354306067646235
0.09,0.014050676388625845,-0.0010830168083953596,0.8811022935629123,7.559865662604118e-05,-0.00010810128387318758,6.820263386892898e-05,0.999999988973678,0.17387433411732603,-0.027150121109735578,0.020042433330060998,-0.01402172884883228,-0.01386435925086012,0.003745004708567024,-0.02793635258373861,-0.13279724948270222,-0.05644508788161495,0.21169808473631946,0.34254372519429666,-0.06421035370887296
0.12,0.019241767662458765,-0.0020162082542503628,0.8816541340091425,-3.946241535389961e-05,-0.0001619319045212944,9.546653727402297e-05,0.9999999815534579,0.17303624353981387,-0.031134038594216644,0.01834908069361255,-0.007670786306742696,-0.0035880474950312213,0.0018186940973008356,-0.24750626143003007,-0.06265998791822369,-0.04622311665603629,0.1217490469461211,0.19260703617495523,-0.05076701270334638
0.15,0.02421014439513131,-0.003005581851190482,0.8821645892962237,-9.974099209593748e-05,-0.00012908503011005256,9.989073586790535e-05,0.999999981705315,0.16561105569691298,-0.033013838231763355,0.01696238719393146,-0.004018314898359063,0.002190163590217435,0.00029568371620044415,-0.3548245412558866,-0.020842487992780878,-0.03889676103470574,0.0652924499983012,0.07671627775849288,-0.029080803553675594
0.18,0.028859236233447366,-0.004013757417539965,0.8826395732395428,-0.00013063972558850046,-6.171420100765403e-05,9.122892203320551e-05,0.9999999854009515,0.1549663194592364,-0.033639112871546785,0.01579548436289029,-0.002059541398410027,0.004491651922972221,-0.0005767403904098237,-0.40113483899451596,0.005400297529455145,-0.03225410536522988,0.033354614289414664,0.010981476511047195,-0.011931810888327732
0.21,0.03314735079009013,-0.005017224951271589,0.8830849065068004,-0.00014652900160867154,1.0598960655366275e-05,7.719807359568586e-05,0.9999999862286855,0.14293227428940092,-0.03347710394566313,0.014827861201933393,-0.001058902969727587,0.004821096218303637,-0.0009346947170596556,-0.41515842415711646,0.022818052951779855,-0.026016981729875877,0.016138071559341327,-0.019704604206371434,-0.0017096820672506396
0.24,0.037061849389258106,-0.006000328250709558,0.8835062924145529,-0.00015515546843703618,7.40454984069318e-05,6.239909016211947e-05,0.999999983275199,0.13047752156468742,-0.032792562357109735,0.014047351750037117,-0.0005747608229473473,0.004229958092112494,-0.0009859851790771747,-0.41110157669770697,0.03490888228816491,-0.020486015788133027,0.007016652193238215,-0.03065673904346866,0.0032507884346273386
0.27,0.04060636938753603,-0.006952164861253937,0.8839088753216183,-0.00016062347214612028,0.0001236969275789985,4.906486793095375e-05,0.9999999782459043,0.11814447426375621,-0.03174529588846479,0.013432771276393127,-0.0003642612571502009,0.0033102559208084336,-0.0008884615260383546,-0.39605770191875933,0.043524126281885955,-0.015929859604163488,0.0021094701900352675,-0.0318082723547235,0.0050931532409492775
0.3,0.04379444099189695,-0.007864947875785034,0.8842969176615448,-0.00016514122816109667,0.0001590350489767686,3.802474620435029e-05,0.999999972995173,0.10626274320619343,-0.030439572100008208,0.012954875488268222,-0.00030097715144914285,0.0023560077501667285,-0.0007356669288098763,-0.3739609772515379,0.049729946182158535,-0.012480344916772967,-0.0006490242112633382,-0.028678961168845163,0.005362754049180296
0.33,0.04664594534613379,-0.0087330594772434,0.884673651651702,-0.00016995017038012135,0.0001814680254643959,2.9400041378553605e-05,0.999999968660966,0.09504391388864729,-0.028947673714543452,0.012580465140765032,-0.000320447877787043,0.0014956389151013737,-0.0005747843073344674,-0.34733560553915865,0.05420018362655199,-0.010151402956946054,-0.0023375433127341694,-0.024084091196266755,0.004963585342339982
0.36,0.049184841476237126,-0.009552449241557912,0.8850412618380156,-0.0001758102830259378,0.0001930635098589009,2.3010982652405133e-05,0.9999999656438595,0.08462384572247253,-0.027321668205746892,0.01227592305205665,-0.0003905741771690681,0.000773116179213371,-0.0004258767470642679,-0.3180029689802335,0.05739903175134131,-0.008883482596946157,-0.00350959277277596,-0.019349650426947917,0.004356692775417059
0.39,0.051437526154640416,-0.010320217206708285,0.8854009438138354,-0.00018324913347180803,0.0001959519601690169,1.8584271353124693e-05,0.9999999638386039,0.07508375665306552,-0.02559969725320665,0.012009418574148265,-0.0004958619603523469,0.0001926266664049335,-0.00029517596380175613,-0.28735554730971913,0.059664007565757515,-0.008582691949028165,-0.004453597873240511,-0.015034143366440489,0.0037498525538541827
0.42,0.05343158015610036,-0.011034309417158262,0.8857529967264182,-0.00019269164648492794,0.00019207531816555244,1.584662609847646e-05,0.9999999628629423,0.06646309023377395,-0.023809777026233925,0.01175193781567742,-0.0006294698965495623,-0.0002583976345882811,-0.00018268038718613066,-0.25646768115232565,0.061248380519943524,-0.009150108186773087,-0.005323434613000444,-0.011321723332118339,0.003222143546933509
0.45,0.055194801098489794,-0.011693288880453435,0.8860969200654657,-0.00020452934571508344,0.00018310414225477828,1.4560387229309693e-05,0.9999999622143068,0.05876905979920418,-0.02197232561063562,0.011477434570074227,-0.0007891729349395755,-0.0005980493345518312,-8.601608077812538e-05,-0.2261503310237376,0.06234589576254024,-0.010501692325706413,-0.00620152635974236,-0.008225467674169096,0.002793715545214681
0.48,0.05675447347331478,-0.01229616015102381,0.8864314956715906,-0.00021915744755206723,0.00017043172247139146,1.4532588347204264e-05,0.9999999613559217,0.051984549868492054,-0.02010194873775941,0.011162383800303035,-0.0009752187257318463,-0.0008448133647769041,-2.204614421684952e-06,-0.19698884309275755,0.06310766426217107,-0.012581123366319558,-0.007126128639431073,-0.005687617758040275,0.002460441886785958
0.51,0.0581368418000429,-0.012842232503962778,0.8867548431850824,-0.00023699208115377724,0.0001552000707658886,1.5613095715513658e-05,0.9999999597519605,0.046074884575709324,-0.01820871880989428,0.010784950099313448,-0.0011890025849147785,-0.0010154418975181123,7.160864218189379e-05,-0.16937612605212693,0.06365615814154424,-0.015368274542963078,-0.008096752779607641,-0.003626462597665636,0.002208570565951362
0.54,0.059366756999922846,-0.01333100914591619,0.8870644414498123,-0.00025847007347865156,0.0001383366895061117,1.7688412014967304e-05,0.9999999568716498,0.04099360079414552,-0.016299034065647953,0.010323901863024556,-0.0014319051683030076,-0.0011242357754480813,0.00013786575916043464,-0.14354424109792774,0.06409995982557248,-0.018886115405252202,-0.00905999449872752,-0.001956742567839953,0.0020181154016061242
0.57,0.06046746753437188,-0.013762089196190878,0.8873571099204574,-0.00028402492172150014,0.00012059293662460928,2.0672671780546706e-05,0.9999999521799129,0.036687273561207684,-0.014376035270880778,0.00975731840086699,-0.001703705003264833,-0.0011829380524832798,0.00019840922120861835,-0.11959484064801384,0.06455331323205904,-0.02320920691506645,-0.009866769753656968,-0.0005973307418454255,0.001858648789324846
0.6,0.06146052790095678,-0.014135064853159709,0.8876289426882266,-0.00031401970940475333,0.00010258053055790959,2.449393522192293e-05,0.9999999451344505,0.03309942834176727,-0.012439435873919007,0.009061042193414996,-0.001999708095874542,-0.0012008579747386425,0.0002541686848883637,-0.09752916081827889,0.06516569539068406,-0.028478284671722198,-0.010174790119855004,0.0005272572830410382,0.001677648023772349
0.63,0.062365797486787465,-0.014449387166128709,0.8878751822128595,-0.00034859308032228936,8.48055150315109e-05,2.9070535373046373e-05,0.9999999352228944,0.030173553517218902,-0.010484465012198485,0.00820669365326333,-0.0023049517994701923,-0.0011850402562474114,0.0003044981256015342,-0.07728075440922844,0.06616748687595475,-0.03492823817501778,-0.009239476250385792,0.0014882857497440227,0.001379135228965822
0.66,0.06320150031436718,-0.014704159375920924,0.8880900077310914,-0.0003873241815341725,6.770032337984657e-05,3.4267865426467233e-05,0.9999999221111759,0.02785513088494205,-0.008499440405919843,0.007158846508012797,-0.002582136086981766,-0.0011403916837550907,0.00034587218247050886,-0.058762124430896456,0.06793662814401813,-0.04293990700401862,-0.005490975609532711,0.0023541819626764493,0.0007859477604803544
