t[s],Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter,Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter
0.0,88.4623666764184,42.410183616908476,126.19153438309571,-53.54879062948267,126.99837707618045,4.729359988248441,127.40248236344397,49.331299132859364,538.0650168531884,-59.733368101178485,143.9940850753103,-13.15840126468796
0.03,71.91441383543784,-29.133931440757575,657.6723483820789,-43.017161618557104,100.24180185167087,8.826367709250434,0.0,0.0,0.0,0.0,0.0,0.0
0.06,34.59255088743209,-17.973048805355027,631.8491389794198,-48.392228004503146,68.40362893817051,4.536020425503039,0.0,0.0,0.0,0.0,0.0,0.0
0.09,12.981528675511619,-12.45549076331268,632.280687853554,-52.00507991781062,44.719974602652826,1.778573311276976,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.03513690341195928,-9.04345922428248,633.7650530983017,-54.704734675821214,26.890681054378728,0.1446699510232112,0.0,0.0,0.0,0.0,0.0,0.0
0.15,-8.073080789903877,-6.770596421772357,634.8505005540205,-56.81379743778697,13.237271468227986,-0.7990000025771598,0.0,0.0,0.0,0.0,0.0,0.0
0.18,-13.290781293510726,-5.150643987202359,635.5990368640365,-58.522871263674205,2.707072817541524,-1.3487472734849568,0.0,0.0,0.0,0.0,0.0,0.0
0.21,-16.605156130374073,-3.934923006621781,636.1223966224587,-59.93889579190754,-5.3816769414597365,-1.6698880700317293,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-18.56423966250759,-2.992892447818618,636.494888886215,-61.12284638165962,-11.51410525183159,-1.848338646278424,0.0,0.0,0.0,0.0,0.0,0.0
0.27,-19.51495189883903,-2.250728197713349,636.7595736835935,-62.113199632212115,-16.06571362199401,-1.9297869196795543,0.0,0.0,0.0,0.0,0.0,0.0
0.3,-19.705124991857726,-1.6620663833239133,636.9406022798327,-62.93792052785721,-19.342732667127535,-1.9412343894804576,0.0,0.0,0.0,0.0,0.0,0.0
0.33,-19.326472757994107,-1.1947100614418493,637.0523751327619,-63.61984199195988,-21.601078494880433,-1.9010973640681326,0.0,0.0,0.0,0.0,0.0,0.0
0.36,-18.53306704294105,-0.8244679637567414,637.1042910043064,-64.17885876244138,-23.056119476038553,-1.8234532947612783,0.0,0.0,0.0,0.0,0.0,0.0
0.39,-17.44997699579546,-0.5322084130366533,637.1029037816475,-64.63273513253931,-23.8886453747187,-1.7196844724859377,0.0,0.0,0.0,0.0,0.0,0.0
0.42,-16.178129009481005,-0.30234089659907176,637.0527041235683,-64.99737814176719,-24.24929467521909,-1.5991032530401554,0.0,0.0,0.0,0.0,0.0,0.0
0.45,-14.797774756648396,-0.12195076870992434,636.9562952005507,-65.28694084526798,-24.262328203391736,-1.4692387850389501,0.0,0.0,0.0,0.0,0.0,0.0
0.48,-13.371434703111655,0.019763135946608213,636.8143243854096,-65.51390072111043,-24.029065191025946,-1.3360406782466152,0.0,0.0,0.0,0.0,0.0,0.0
0.51,-11.946585485992578,0.13192151303105337,636.6253011796034,-65.68916820618514,-23.63107441044436,-1.2040769836822272,0.0,0.0,0.0,0.0,0.0,0.0
0.54,-10.558150807006891,0.22237772597495087,636.3853012862483,-65.82225092614785,-23.133137911782708,-1.0767384462334981,0.0,0.0,0.0,0.0,0.0,0.0
0.57,-9.230806377982654,0.2982142109358353,636.0874556048678,-65.9214982655971,-22.58599003852069,-0.9564411862413291,0.0,0.0,0.0,0.0,0.0,0.0
0.6,-7.9811249850906805,0.36645337053779997,635.7209855721828,-65.9944628771752,-22.02884262998291,-0.8448140643534223,0.0,0.0,0.0,0.0,0.0,0.0
0.63,-6.819635352338667,0.4351479105423107,635.2693178459596,-66.04842665204306,-21.491725696771727,-0.742850887865357,0.0,0.0,0.0,0.0,0.0,0.0
0.66,-5.752944962782463,0.5149434904798171,634.7065541843324,-66.09111919215121,-20.99770413812494,-0.6510030837977578,0.0,0.0,0.0,0.0,0.0,0.0
0.69,-4.786208491769457,0.6206113809147903,633.9920637526897,-66.13153535238887,-20.565108471352197,-0.5692240429354949,0.0,0.0,0.0,0.0,0.0,0.0
0.72,-3.9265689236834707,0.7695260856642892,633.0695694876982,-66.18036518618922,-20.21020403834932,-0.49714626821849295,0.0,0.0,0.0,0.0,0.0,0.0
0.75,-3.1892650102394025,0.9633184292207468,631.9455320995618,-66.24800261877073,-19.952274986691165,-0.4346078097273349,0.0,0.0,0.0,0.0,0.0,0.0
0.78,-2.58006496581767,1.0388041277585813,631.9116321023927,-66.31927532632854,-19.832351670248887,-0.3765836884293659,0.0,0.0,0.0,0.0,0.0,0.0
0.81,-2.087487917518965,0.9959693489160131,632.9634256229241,-66.39308564603817,-19.847597910748487,-0.3226876057999404,0.0,0.0,0.0,0.0,0.0,0.0
0.84,-1.6913029213066253,0.9970096954226498,633.8147768800227,-66.48196886209813,-19.953075755896876,-0.2765465176343393,0.0,0.0,0.0,0.0,0.0,0.0
0.87,-1.3654505909935801,1.0398210079721557,634.4598537698738,-66.57273951483677,-20.127489404682308,-0.23687339801417065,0.0,0.0,0.0,0.0,0.0,0.0
0.9,-1.0921088609269332,1.1065686235685843,634.951579528812,-66.65147779922327,-20.354699401092677,-0.2029203410173205,0.0,0.0,0.0,0.0,0.0,0.0
0.93,-0.8568133760562102,1.1813265404759181,635.3278386198144,-66.7050980120036,-20.620266049019566,-0.17396130376266186,0.0,0.0,0.0,0.0,0.0,0.0
0.96,-0.6467887199521786,1.2513001558709074,635.6126190366413,-66.72060872008446,-20.910617727847683,-0.14918949957320382,0.0,0.0,0.0,0.0,0.0,0.0
0.99,-0.4501726274345078,1.3050852377428608,635.8212071504289,-66.68401402174983,-21.212738565808632,-0.12781609785062362,0.0,0.0,0.0,0.0,0.0,0.0
1.02,-0.25555826280706206,1.3308852195145717,635.9635659413942,-66.57930116168492,-21.513986492380575,-0.10915521037215624,0.0,0.0,0.0,0.0,0.0,0.0
1.05,-0.05168038344204815,1.3151593905697412,636.0461096290941,-66.38758966850718,-21.801956431485436,-0.09266623398645749,0.0,0.0,0.0,0.0,0.0,0.0
