t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.8793,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2173484180372931,1.334461123476757,2.9401919636257627,-2.482538440208259,6.024417597128277,0.9752871860378605
0.03,-0.000188969260120749,0.0012038866439235143,0.8819453472207043,-0.0011171406614665597,0.0027109839470772015,0.0004388785907535815,0.9999956049645237,-0.0065204525411187925,0.040033833704302704,0.08820575890877289,-0.07447615320624777,0.1807325279138483,0.02925861558113581,0.2884014381541169,-0.33046319018406667,-0.1012063515346533,-3.314834461528932,-3.0417861497627783,0.6417696597282685
0.06,-0.0001092229546655825,0.0021199590225229404,0.884495539586332,-0.003724554266250021,0.004052815732771375,0.0011721209062986945,0.9999841641309801,0.0021315906035047133,0.030119937998780703,0.08516956836273329,-0.17392118705211573,0.08947894342096496,0.04851170537298387,0.2587516000958301,0.14513458501657794,-0.07378713250522395,-0.19408473827074957,-0.1852178937969846,0.08559129270429366
0.09,0.00020757721573197885,0.0031803096748658586,0.88697071803423,-0.006419015961313118,0.005311304287287321,0.0019445321067662255,0.9999634018681594,0.009894138606379617,0.034473975549278044,0.08295595438757657,-0.17974372920023823,0.08392240660705542,0.051079444154112676,0.19408651001041122,0.1068285530101063,-0.07273280960789297,-0.06512112171835227,0.0271637155986042,-0.0349697761748331
0.12,0.0007024139149980783,0.004350445711204973,0.8893702858931427,-0.00914282718288673,0.006581807432070415,0.002701266149186485,0.999932893589976,0.015716733906691954,0.03767883213958123,0.08077397009933977,-0.1816973628517888,0.08473731807501356,0.05003035086886768,0.1284477200121943,0.07114432717024322,-0.07016491319713314,-0.01769242004308147,0.04304572908830906,-0.0800039124208638
0.15,0.0013159061376149237,0.005597761461135606,0.8916960143642435,-0.011874800690707711,0.007871265788146727,0.003421850194473653,0.9998926558509642,0.01957016550705778,0.03981316195468853,0.07866902270342578,-0.18222813545308125,0.08602868994766283,0.047630233496241764,0.09034475548168963,0.03990414032548717,-0.07135204730546985,0.011042408574331475,0.010556948399955246,-0.09037152130676418
0.18,0.0020135501434581414,0.0068934057905005106,0.8939467829241674,-0.014602027910418426,0.009164932702939194,0.0041016430790376535,0.9998429683272799,0.02228050817150847,0.041010286164453146,0.07652846128426169,-0.1818968631958513,0.08634539839966149,0.04491908785703884,0.06934766093188038,0.013052691754794843,-0.07322901394330472,0.03451321742126545,-0.025440197946206666,-0.08815593139036082
0.21,0.002776246649968105,0.0082123630172122,0.8961212032764785,-0.017313904722243527,0.01044655081595144,0.004741757993361057,0.9997842837384728,0.02436093799946488,0.04140186691709699,0.07433159086596255,-0.18086146667321334,0.08558219246127528,0.042274409915328014,0.05619479690561491,-0.00948094878501582,-0.07496463009268428,0.0558779944775889,-0.05472345421328484,-0.08281350597187043
0.24,0.0035919475058300075,0.009533433365479358,0.8982183139572649,-0.020000753733498463,0.01170292576178489,0.005344734595777542,0.9997171826025633,0.02604678190663333,0.04111743845354652,0.07208265196318203,-0.17918512683888568,0.08394048883487674,0.0397900047361719,0.04640847027138584,-0.02810008285419041,-0.07648790635091007,0.07591400640722057,-0.07652899543668923,-0.07757076478831948
0.27,0.004451624393058852,0.010838885202991798,0.9002375960271927,-0.02265349550484373,0.01292425147460848,0.005913055144081581,0.9996423453636286,0.027439036014774904,0.0402744359679208,0.06978801477265473,-0.17690770664666908,0.08164461897177606,0.037462881792522315,0.03827611143265486,-0.04335382023813672,-0.07788453123392891,0.09502669263151375,-0.09207254612598348,-0.07319952216056436
