t[s],Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter,Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter
0.0,18.214292325652917,52.543270596452054,74.7550877321913,-77.85198486701015,57.814958830557394,7.880182800473159,22.283096550933465,133.6233547326611,714.5526305655266,-123.0725030530994,55.60747972531126,-17.10306092939457
0.03,25.531006332886484,13.069701140355093,650.6160741669443,-87.89755924180339,50.7743390853313,2.8629226520404933,0.0,0.0,0.0,0.0,0.0,0.0
0.06,15.653891811829906,11.313619527424377,632.1234496287173,-80.80915561735729,44.386386789079666,1.5498977206912605,0.0,0.0,0.0,0.0,0.0,0.0
0.09,10.26671230303786,7.812284326821601,630.9202442762037,-74.0069876349637,39.298966492378355,0.8121574634680996,0.0,0.0,0.0,0.0,0.0,0.0
0.12,7.129513435201409,4.5909003461143785,630.998979762309,-67.78524029970941,35.25394754794014,0.4559615289802056,0.0,0.0,0.0,0.0,0.0,0.0
0.15,5.107721528283407,1.7833590708063418,631.1235856901857,-62.12376691569538,31.890350506430245,0.30832943691383424,0.0,0.0,0.0,0.0,0.0,0.0
0.18,3.635721862323429,-0.6122881123826281,631.2526427425863,-56.985647241261155,28.980078884376955,0.25606484261109963,0.0,0.0,0.0,0.0,0.0,0.0
0.21,2.472963108677852,-2.6413387283830083,631.3918130984696,-52.32306828953766,26.40585450854042,0.24090291273195785,0.0,0.0,0.0,0.0,0.0,0.0
0.24,1.5202684148895618,-4.358263687782147,631.5402558026318,-48.08553247882843,24.106375153043906,0.23706914724519565,0.0,0.0,0.0,0.0,0.0,0.0
0.27,0.7350069140916216,-5.814026458631994,631.6927478766577,-44.22524445830476,22.045552045128545,0.23485157071006116,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.09603504429242918,-7.052863272574584,631.8422313854567,-40.69933194482175,20.198342025024278,0.23152146723894895,0.0,0.0,0.0,0.0,0.0,0.0
0.33,-0.4102644894473586,-8.112299865021813,631.9814044959752,-37.47034577953622,18.544610467582146,0.22693951671980936,0.0,0.0,0.0,0.0,0.0,0.0
0.36,-0.795257526424604,-9.023947403618829,632.1034468764456,-34.50606687391375,17.066563727657325,0.2216505740078697,0.0,0.0,0.0,0.0,0.0,0.0
0.39,-1.069798192220484,-9.81430795902045,632.2022116794686,-31.77911585305127,15.747713663761841,0.21616269485768444,0.0,0.0,0.0,0.0,0.0,0.0
0.42,-1.244597997977344,-10.505407673795869,632.2721347159599,-29.266570979409792,14.57247273760516,0.210747262022483,0.0,0.0,0.0,0.0,0.0,0.0
0.45,-1.3301595258404335,-11.115235583546502,632.3079797985689,-26.949665652404565,13.525975007827737,0.20543528442361808,0.0,0.0,0.0,0.0,0.0,0.0
0.48,-1.3366516829935375,-11.657989072344217,632.3046380637537,-24.81359791411274,12.593955015984704,0.2000696332623189,0.0,0.0,0.0,0.0,0.0,0.0
0.51,-1.2738769857445842,-12.1441394769702,632.2568259514359,-22.847447742019494,11.762607722548326,0.1943517115890448,0.0,0.0,0.0,0.0,0.0,0.0
0.54,-1.151368152531185,-12.580319075250559,632.1587434980771,-21.04420693185733,11.018406177440665,0.1878705007194974,0.0,0.0,0.0,0.0,0.0,0.0
0.57,-0.9786303882496051,-12.969037964930545,632.0037064674673,-19.400905366288974,10.347866923523608,0.18011704130648523,0.0,0.0,0.0,0.0,0.0,0.0
0.6,-0.765517081791844,-13.30827936951698,631.7835408593065,-17.918797182285516,9.737265278255647,0.1705081958857358,0.0,0.0,0.0,0.0,0.0,0.0
0.63,-0.5227105996958903,-13.591137609377116,631.4876913103045,-16.603507216162182,9.172318370886064,0.15847146660762151,0.0,0.0,0.0,0.0,0.0,0.0
0.66,-0.2621478593469756,-13.806031899841953,631.1019089159413,-15.46488548309137,8.637909585606364,0.14367107439702248,0.0,0.0,0.0,0.0,0.0,0.0
0.69,0.003189102338681913,-13.939138411764306,630.6072617608373,-14.515971245044717,8.118084147928226,0.12644458594051583,0.0,0.0,0.0,0.0,0.0,0.0
0.72,0.26183548036875093,-13.983820157492495,629.9844206283569,-13.769787250447225,7.596895510901412,0.10830720615240773,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.5119132999380754,-13.969944404030958,629.257959684098,-13.231638587960159,7.060993137101256,0.0917065831551555,0.0,0.0,0.0,0.0,0.0,0.0
0.78,0.7592926023777072,-14.072407143325611,629.4382559505796,-12.87525717716362,6.502383920280102,0.08107533795091142,0.0,0.0,0.0,0.0,0.0,0.0
0.81,1.0036845980916542,-14.293852534743,630.487228425301,-12.697820026177368,5.914926690439718,0.0756460395148644,0.0,0.0,0.0,0.0,0.0,0.0
0.84,1.2301918453499467,-14.466201748023062,631.3878991737116,-12.71939121294822,5.292515139989129,0.07088160225780357,0.0,0.0,0.0,0.0,0.0,0.0
0.87,1.4313148497933437,-14.565598494219504,632.1265637121522,-12.928971749457196,4.634902316192084,0.06481690718651825,0.0,0.0,0.0,0.0,0.0,0.0
0.9,1.6109442914499856,-14.604024083258846,632.7294030665977,-13.30815222104679,3.945522336551875,0.056458206254530546,0.0,0.0,0.0,0.0,0.0,0.0
0.93,1.7757858023829844,-14.600710140501182,633.2206591348414,-13.838349196190155,3.228487413809343,0.04588084110169129,0.0,0.0,0.0,0.0,0.0,0.0
0.96,1.931930076183008,-14.573156658002475,633.618791139122,-14.50370272497624,2.4872681350334203,0.0337025466251666,0.0,0.0,0.0,0.0,0.0,0.0
0.99,2.0840566153484184,-14.534943754921708,633.9375785301818,-15.291902060688567,1.7243421803963261,0.020658399164514184,0.0,0.0,0.0,0.0,0.0,0.0
1.02,2.235526831983658,-14.49567841754174,634.1874879042183,-16.194165570778605,0.9412144700106018,0.007404615473839252,0.0,0.0,0.0,0.0,0.0,0.0
1.05,2.3886994921026425,-14.461502894783873,634.3765949853313,-17.20493951258303,0.1385446862442785,-0.0055212185868994705,0.0,0.0,0.0,0.0,0.0,0.0
1.08,2.545258160849123,-14.435673060495812,634.5111586179913,-18.321544905347416,-0.6837142286379166,-0.01766523082615202,0.0,0.0,0.0,0.0,0.0,0.0
1.11,2.70649113522345,-14.41907921438287,634.5959961706567,-19.54385149400078,-1.5262003044248504,-0.02859945598812337,0.0,0.0,0.0,0.0,0.0,0.0
1.14,2.8734900627809816,-14.410718155814989,634.6347552580008,-20.873990530283532,-2.3900700478201102,-0.03787340905938953,0.0,0.0,0.0,0.0,0.0,0.0
1.17,3.0471907601959947,-14.408202337964315,634.6301461232372,-22.3160824395599,-3.277005605777781,-0.04500909476598288,0.0,0.0,0.0,0.0,0.0,0.0
1.2,3.228061787236389,-14.408474561951053,634.5842158852852,-23.875926444446474,-4.189384482196233,-0.04959936294557534,0.0,0.0,0.0,0.0,0.0,0.0
1.23,3.4150037309727086,-14.409025633010462,634.4988071308603,-25.560562538774906,-5.130789876254843,-0.05162714231458878,0.0,0.0,0.0,0.0,0.0,0.0
1.26,3.60255341665661,-14.410129712896056,634.3764839603326,-27.377559815274147,-6.107219888136483,-0.052219859446697624,0.0,0.0,0.0,0.0,0.0,0.0
1.29,3.774610188617534,-14.41896247881321,634.222453125057,-29.333795342224608,-7.129681782026285,-0.05518123750736573,0.0,0.0,0.0,0.0,0.0,0.0
1.32,3.891313714135586,-14.45696919412574,634.0483169805606,-31.43334022877485,-8.219428123128935,-0.06972002403642205,0.0,0.0,0.0,0.0,0.0,0.0
1.35,3.8630000903511963,-14.572386757859531,633.8784192808777,-33.67381643705904,-9.41801204230223,-0.11450441879831891,0.0,0.0,0.0,0.0,0.0,0.0
1.38,3.5012570949623547,-14.859883086512411,633.7578582226963,-36.04006952116644,-10.805533967719276,-0.22166029170308243,0.0,0.0,0.0,0.0,0.0,0.0
1.41,2.4346604739190836,-15.487036516157566,633.7532986436294,-38.49323431250751,-12.530596248632047,-0.43497638442877923,0.0,0.0,0.0,0.0,0.0,0.0
1.44,-0.004082536506181748,-16.712350183349464,633.864436784248,-40.95719530539857,-14.843708366336697,-0.7911190479983262,0.0,0.0,0.0,0.0,0.0,0.0
1.47,-4.649058849085154,-18.84281684593954,633.2923067417973,-43.36080202236327,-18.000530118152117,-1.3107598647324175,0.0,0.0,0.0,0.0,0.0,0.0
1.5,-6.35115311060944,-29.119740441346448,707.3177169364837,-45.08218131557867,-20.747798920854667,-1.902165138015063,0.0,0.0,0.0,0.0,0.0,0.0
1.53,29.85202012732283,3.0699606019673906,120.05259526607252,-0.24973769709498275,6.493598378449874,0.20139178629838242,0.0,0.0,0.0,0.0,0.0,0.0
1.56,49.185960093579155,-67.54625541909228,626.8886151797988,54.36896012701191,28.30222369294062,3.394937511772417,10.592577143623187,-26.988282344860107,38.36894048747566,32.507505525508165,19.49740473113385,-2.343942801310724
1.59,0.0,0.0,0.0,0.0,0.0,0.0,4.599103536995027,29.82230912486304,717.2442086666954,33.20162251531573,31.3154105146751,-4.299311788379016
1.62,0.0,0.0,0.0,0.0,0.0,0.0,-2.5132994679230864,21.47126962332389,633.4788410526511,31.967552581150805,25.760214788881232,-1.9877564696503152
1.65,0.0,0.0,0.0,0.0,0.0,0.0,-8.333668559123302,19.936198521349546,630.6460177897227,29.698825483874142,22.213006299583633,-0.6560694542211396
1.68,0.0,0.0,0.0,0.0,0.0,0.0,-10.193577836221149,19.040613647956356,630.728074336122,27.450974803716225,20.257091470250028,-0.03383889950900122
1.71,0.0,0.0,0.0,0.0,0.0,0.0,-10.25364930970721,18.337138238360936,631.1695457350315,25.274642106147603,19.103438050811793,0.18164000417221335
1.74,0.0,0.0,0.0,0.0,0.0,0.0,-9.650571230859804,17.69753193219971,631.6897342725588,23.19440899504154,18.30739076865749,0.2067791539559861
1.77,0.0,0.0,0.0,0.0,0.0,0.0,-8.873337433403742,17.08864335934209,632.1882947748709,21.21607557359992,17.659209712090846,0.16070159921105107
1.8,0.0,0.0,0.0,0.0,0.0,0.0,-8.109098075983447,16.50704181660949,632.629749008102,19.334909221556558,17.069461018732316,0.09923436231826004
1.83,0.0,0.0,0.0,0.0,0.0,0.0,-7.415353604496849,15.956478714662266,633.0045837664361,17.542314708010895,16.504190610752666,0.04432898212882055
1.86,0.0,0.0,0.0,0.0,0.0,0.0,-6.798335046439085,15.44144781267163,633.3129139424443,15.829224383025435,15.953087251274244,0.0020447303291121774
1.89,0.0,0.0,0.0,0.0,0.0,0.0,-6.247124234872093,14.965631040702007,633.5580511431182,14.187560376016672,15.41483601741296,-0.027992442261177877
1.92,0.0,0.0,0.0,0.0,0.0,0.0,-5.747613917883115,14.531543594281011,633.7441108645978,12.610817532459734,14.89076227314577,-0.04813246175352894
1.95,0.0,0.0,0.0,0.0,0.0,0.0,-5.287457081707902,14.140428385074259,633.8748446830507,11.094286154660564,14.382319560434647,-0.060850656000412645
1.98,0.0,0.0,0.0,0.0,0.0,0.0,-4.857228353258952,13.792177886472999,633.9531655923672,9.63514605971543,13.890275945266376,-0.06813251720869493
2.01,0.0,0.0,0.0,0.0,0.0,0.0,-4.4501726403575255,13.485219477453526,633.9810082838358,8.232540791650317,13.414586209577017,-0.07138068232223801
2.04,0.0,0.0,0.0,0.0,0.0,0.0,-4.061558738434149,13.216344092637042,633.9590819195083,6.887677685109545,12.954487289464861,-0.07150773539541302
2.07,0.0,0.0,0.0,0.0,0.0,0.0,-3.688081323480911,12.980419037941193,633.8868494441173,5.603987440045954,12.508624385738704,-0.06906371887403814
2.1,0.0,0.0,0.0,0.0,0.0,0.0,-3.327402701187552,12.769975759466483,633.7623121692639,4.387349782973288,12.075137114287298,-0.06435120736656011
2.13,0.0,0.0,0.0,0.0,0.0,0.0,-2.977865332522612,12.57465606992017,633.5817109971472,3.2463813241658097,11.651686045004556,-0.05752077570969885
2.16,0.0,0.0,0.0,0.0,0.0,0.0,-2.6383552484501442,12.380566714619958,633.338980767671,2.1927458997337044,11.235416681437359,-0.048665232076094654
2.19,0.0,0.0,0.0,0.0,0.0,0.0,-2.308319105904621,12.16974693940731,633.0247796120007,1.241371518077143,10.822854026097245,-0.037945217345790885
2.22,0.0,0.0,0.0,0.0,0.0,0.0,-1.9879583207803817,11.920406718653519,632.6249836906504,0.4102697921713275,10.409719138104146,-0.025782263075732958
2.25,0.0,0.0,0.0,0.0,0.0,0.0,-1.6786058804225572,11.609917383949501,632.1195121105924,-0.2807676654593486,9.99067917279858,-0.013115744452512129
2.28,0.0,0.0,0.0,0.0,0.0,0.0,-1.3830598634340803,11.226191296081915,631.4875150425198,-0.8141752401184188,9.55917761768081,-0.0015530901921635982
2.31,0.0,0.0,0.0,0.0,0.0,0.0,-1.1052651011623753,10.801868113838077,630.7520287774125,-1.1841198508026407,9.107955585070957,0.007145979199520539
2.34,0.0,0.0,0.0,0.0,0.0,0.0,-0.8590381202326155,10.514198564185882,630.7318384833949,-1.4194933967199352,8.636479608751758,0.011385048857473051
2.37,0.0,0.0,0.0,0.0,0.0,0.0,-0.6404078886451363,10.36240353130126,631.4345865368389,-1.520665308647434,8.140520977287347,0.011806765619540088
2.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.44189527014972996,10.167785641939554,632.0521846587486,-1.4591253143333107,7.610429439523001,0.009871262241905548
2.43,0.0,0.0,0.0,0.0,0.0,0.0,-0.2702589920395161,9.894122136012223,632.5583497247299,-1.2398386052495127,7.043035489746613,0.006546868695149424
2.46,0.0,0.0,0.0,0.0,0.0,0.0,-0.1287723334965709,9.547578131925496,632.9703648580053,-0.8782750701601555,6.437003704173878,0.0030348279982426187
2.49,0.0,0.0,0.0,0.0,0.0,0.0,-0.01849086004723119,9.144069613476312,633.3064208743012,-0.39157905987949043,5.7918889575453205,7.548583547289937e-06
2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.06067581007759314,8.698525465735644,633.5801341709688,0.20511156921658807,5.107664307663593,-0.0023877824036486204
2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.10936245366942164,8.222024834780557,633.8013328058839,0.899868414754883,4.384464543257758,-0.0043182434463242565
2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.12841498881553512,7.721483985314716,633.977273840342,1.6841499922711995,3.6224294122463405,-0.006098396203874481
