t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.8793,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48743172042297367,0.5295995940712737,1.139217060773123,0.4897009636839158,0.269989780090647,0.07474320282278413
0.03,0.00043879709446667997,0.00047642844489063273,0.880325347051137,0.0002203654312905477,0.00012149539973566058,3.3634440908944226e-05,0.9999999677733339,0.014622951612689209,0.01588798782213821,0.034176511823193687,0.014691028910517474,0.00809969340271941,0.0022422960846835236,0.19627729757414336,0.29224567409807456,-0.02633366087297251,-0.15835491647718847,-0.059048096463286015,0.062768081467242
0.06,0.0010543782006419877,0.0012155778241016684,0.8813271702714096,0.0003694754684297312,0.00021641053048103797,9.551731814930794e-05,0.9999999037653966,0.020511270539913508,0.02465535804508045,0.03338650199700451,0.009940381416201821,0.00632825050882083,0.004125338528700784,0.05180504521221607,0.20698544632149352,-0.035686929265800416,-0.13161656773741903,-0.08912247940815377,0.042693436897478065
0.09,0.0017165618104141992,0.0021409019076255036,0.8822970914611681,0.0004593660350746799,0.00027120778841234987,0.00017661023733799103,0.9999998421189902,0.02206542189627999,0.030864921434725252,0.0323158941190305,0.0059918843840792504,0.003654576126576217,0.005406141635625125,-0.00019892560702317041,0.11824140804885541,-0.036293248192422745,-0.0955734252284941,-0.06566656074144106,0.027858332546713882
0.12,0.00237841621793893,0.003172657640675063,0.8832345252620802,0.0005062571793628021,0.0002964417404323234,0.00027023749153856164,0.9999997913988088,0.022059454128069294,0.03441216367619091,0.031227096673257817,0.0031246816272244276,0.0016845793043329853,0.006241891612026542,-0.015706801635584355,0.05659551430040621,-0.03348463166966553,-0.06313142342369726,-0.05164097555702796,0.014887029465491253
0.15,0.00302590927950798,0.004255438308696857,0.8841419333953836,0.0005247474493322031,0.0002984261863675179,0.00037056056166234904,0.9999997491333664,0.021588250079001763,0.0361100291052031,0.03022255772316785,0.0012307389245135097,0.00013535003762214673,0.006688502495991279,-0.01814921158375249,0.02017453741323874,-0.03172008782571556,-0.039118985260299555,-0.042095495189215626,0.004338873434591939
0.18,0.0036568031381370874,0.00535650573872105,0.8850208528340728,0.0005256417770233561,0.00028146011335176795,0.00047283143349413387,0.9999997104556392,0.02104377373148919,0.03671526522760026,0.029270955088396382,5.716936670452301e-05,-0.001127514818054322,0.006818668699029037,-0.016618761601122856,-0.0018874126408686687,-0.030035064846575033,-0.021581716458165756,-0.03493840316921393,-0.0029190089442080874
0.21,0.004272460058961365,0.006456022070178853,0.8858727696467273,0.0005168313936098033,0.00024876785881304184,0.0005737832156410181,0.999999670886288,0.020545210883455504,0.0366586428483742,0.028369903142999132,-0.0005902821270404497,-0.00217566691313074,0.006731098430702794,-0.014241992854206131,-0.015044983908921616,-0.028568025013726128,-0.009197250395963863,-0.02929456716325518,-0.007474497318617601
0.24,0.004875019126340369,0.007542148838335951,0.886698991823042,0.000503888970103607,0.00020289241416268698,0.0006713656848967892,0.999999627099276,0.02011795109782932,0.03620729333110655,0.027512862392587347,-0.0008661996389193656,-0.0030545039280283955,0.0065068635111442666,-0.012049442421000478,-0.022358000474472894,-0.02727032750545444,-0.0008584333225654106,-0.024785715146670384,-0.010063759236127456
0.27,0.005466461890411643,0.008608298688360525,0.887500688122796,0.0004905668150189791,0.00014586542207005126,0.000764413914387175,0.9999995768693335,0.019756467825199304,0.03553655331687237,0.026694752567423714,-0.0008919526385963278,-0.003798075382428507,0.0062049507340604425,-0.01031379649746711,-0.025734940142787543,-0.026130562026425608,0.004403810929020757,-0.02118384238462312,-0.011292356287817107
0.3,0.006048362281436876,0.009651421595380537,0.8882788935223149,0.00047923291375635195,7.930971087643887e-05,0.0008523756108818642,0.9999995187506853,0.01944705393027529,0.03476450511258874,0.025910835706630945,-0.0007598383107257051,-0.004433590653967201,0.005866180045425929,-0.009052148559499429,-0.02647676054447623,-0.02512605662708367,0.0073567442829700624,-0.01830893032158798,-0.011610665099398787
0.33,0.006621868357829323,0.010670836614707085,0.8890345257456864,0.000471216148240614,4.520309754254836e-06,0.0009351082890691133,0.9999994517535478,0.019175489473490306,0.03397020229625445,0.025157054007818435,-0.0005391359822366033,-0.00498285856361484,0.005517860092443965,-0.008197203124698405,-0.025507555750156508,-0.024238324683834023,0.008634137759470306,-0.01603330790425872,-0.011344218280598284
0.36,0.0071877613052049386,0.011667401952643206,0.8897683991210172,0.0004670914603449444,-7.747803726305345e-05,0.0010127326426394182,0.9999993750974627,0.018929573379749355,0.03320497562374975,0.024429904267303414,-0.0002801118494524941,-0.0054638578007426015,0.005177533544026017,-0.007665934816600384,-0.023490831289705083,-0.023450513312563537,0.008776353741724918,-0.014245474240816236,-0.01072353303619522
