t[s],q_BodyPitch,q_BodyRoll,q_BodyYaw,q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,qd_BodyPitch,qd_BodyRoll,qd_BodyYaw,qd_LLHip1,qd_LLHip2,qd_LLHip3,qd_LLKnee,qd_LLAnkleRoll,qd_LLAnklePitch,qd_LRHip1,qd_LRHip2,qd_LRHip3,qd_LRKnee,qd_LRAnkleRoll,qd_LRAnklePitch,qdd_BodyPitch,qdd_BodyRoll,qdd_BodyYaw,qdd_LLHip1,qdd_LLHip2,qdd_LLHip3,qdd_LLKnee,qdd_LLAnkleRoll,qdd_LLAnklePitch,qdd_LRHip1,qdd_LRHip2,qdd_LRHip3,qdd_LRKnee,qdd_LRAnkleRoll,qdd_LRAnklePitch,Tau_BodyPitch,Tau_BodyRoll,Tau_BodyYaw,Tau_LLHip1,Tau_LLHip2,Tau_LLHip3,Tau_LLKnee,Tau_LLAnkleRoll,Tau_LLAnklePitch,Tau_LRHip1,Tau_LRHip2,Tau_LRHip3,Tau_LRKnee,Tau_LRAnkleRoll,Tau_LRAnklePitch
0.0,0.2,0.0,0.0,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5704201811167806,-0.26614404583395057,0.011849558829190698,0.13732235247840663,-1.1600619592622792,4.990480657392936,-9.089386375853564,0.7017301614816915,3.864458666544124,0.13732179564874514,-1.160063816990288,4.512347966073577,-8.246345632824614,0.7017300410216194,3.4284673162637773,-37.54840077158472,-2.6627026459778116,0.8775595532363855,-0.31789909560561325,-3.310090958282612,9.36363980455056,-24.58243699747692,3.962366506711972,9.412423362622736,0.7540356701686495,-3.707215366923984,14.768428540552048,-34.638721523683124,7.4660129255296805,13.95103152165064
0.03,0.1976866218369949,-0.00023952964125055552,1.0664602946271629e-05,0.00012359011723056597,-0.0010440557633360512,-0.3255085674083464,0.6218195522617318,0.0006315571453335224,-0.2965219872001103,0.00012358961608387062,-0.0010440574352912591,-0.3259388868305338,0.6225782889304579,0.0006315570369194574,-0.2969143794153626,-0.07711260543350341,-0.007984321375018517,0.00035548676487572094,0.004119670574352198,-0.03480185877786837,0.1497144197217881,-0.2726815912756069,0.021051904844450745,0.11593375999632372,0.004119653869462354,-0.03480191450970864,0.1353704389822073,-0.2473903689847384,0.02105190123064858,0.10285401948791331,-0.927921435574099,0.12075239001127613,0.05959426839985227,0.040780329693205886,-0.21508580253951948,0.2760344567166726,0.05722623751728406,0.387058600931141,-0.2629634106197045,0.04197056817864109,-0.21559408379059164,0.3888850680520477,-0.1721812632001729,0.38796200174783735,-0.16782266562358927,-30.717661185690723,-3.3700193609292595,0.5176515088852942,-0.24306656967161586,-1.7600314624144549,7.668465247707408,-21.910363008554157,3.8643921738657143,8.91116683080422,0.6014177964635481,-2.0755552100998558,11.962004805683952,-29.807475954089142,6.655734317526306,12.422404236523443
0.06,0.1945381143819731,-0.0003703821314909625,7.49640474524103e-05,0.0002838825311850172,-0.00228168874895767,-0.32076870380564776,0.6136906081372292,0.0016114670315050717,-0.29328064146977834,0.0002849527435285182,-0.002282149545994051,-0.3215277770998207,0.6150016147240356,0.0016122798754119685,-0.2939797992297864,-0.10495024850072639,-0.004361749674680233,0.002143314816871289,0.005343080465148375,-0.04125443285405395,0.15799545342328827,-0.2709648041500884,0.03266366287238497,0.10804485767773259,0.005378770914821586,-0.04126973702342639,0.14703699102376871,-0.2525558068807436,0.0326907612830837,0.09781933951920563,-0.24667296255688598,-0.029292522973696222,0.01621518530659216,0.029453980037374095,-0.13281589316935083,0.028385528995897857,0.24536638828215018,0.2737001762368436,-0.1763071631173716,0.029868612488257895,-0.13290573122833393,0.14076989929023398,0.017085074945612178,0.2739667363139233,-0.07575952074421366,-28.483063448331052,-3.302778371621339,0.2756902439921551,0.044766463192259985,-0.962283088616495,7.19863987461597,-22.77189450195714,4.065026241717561,9.480432493567921,0.2327391500172895,-1.0325577988795878,10.456764514047673,-28.728147125602522,4.697405320299189,12.10689964105374
0.09,0.1911676012606501,-0.000527597892407696,0.0001538571587344819,0.00047068352717310514,-0.003638856038431704,-0.3160032932268528,0.6057824937621805,0.00283770707628978,-0.290197972186252,0.0004731976222125979,-0.003639856814802343,-0.31698997445974647,0.6074403170850643,0.0028395727765870103,-0.29111340261288005,-0.11235043737743297,-0.00524052536389112,0.0026297703760690535,0.006226699866269597,-0.045238909649134476,0.15884701929316522,-0.2636038125016239,0.040874668159490285,0.10275564278421144,0.006274829289469323,-0.045256908960276405,0.15126008800247573,-0.2520432546323752,0.0409097633725014,0.09554655389687922,-0.028854169519220818,-0.12903373023407205,0.014840293759132095,0.0073303638326081,-0.053778727645422464,-0.04383877446832685,0.20642591090199858,0.15308145534436335,-0.09425457409724913,0.007376312615818392,-0.053785534873938445,0.044257595097974445,0.04037142910271996,0.1531717319380732,-0.020099828501088268,-27.38528164170046,-2.783951749871142,0.14994055432829523,0.06954134501456186,-0.4088708900767742,7.1752876202076745,-23.614765520632453,2.8436973137909725,9.704352603866068,0.06596254790963992,-0.40704225416765655,9.398699884679186,-27.68567227618816,2.8409685004793186,11.51676408433019
0.12,0.1877711193867598,-0.0008009440105350944,0.00024610653439977243,0.0006640818506105403,-0.005044424182786619,-0.3112773375450793,0.5980601627069436,0.004201720430884416,-0.2872001320194132,0.0006680811822509141,-0.00504597106499718,-0.312412339984084,0.5999153537322854,0.004204720236506318,-0.28826509584162463,-0.1132160624630096,-0.00911153727091328,0.003074979188843016,0.00644661078124784,-0.04685227147849715,0.1575318560591154,-0.25741103517456393,0.04546711181982119,0.09992800556129397,0.006496118667943874,-0.04687047500649456,0.15258781585541495,-0.2508321117592936,0.045504915330643596,0.09494355904184656,0.05306640400804241,-0.1599898734118934,0.01187082809614548,-0.003777014191413741,-0.006710509125795738,-0.062163303552750904,0.1750211230713603,0.07015170363581547,-0.06151360708554421,-0.003966315463703296,-0.006631356041083336,0.0013730479664673112,0.06157337417334929,0.07008039705715419,-0.00959622263781057,-26.71815943209884,-2.0915549731420753,0.060397288814151816,0.018016218671576573,-0.0038062387660601433,7.262749587344765,-24.300377986129668,1.4544509155496754,9.785482336744213,0.013968347121412423,-0.0021092320008265033,8.590942070921116,-26.761294692330136,1.4516465196095631,10.909911463495712
0.15,0.18442239727647675,-0.001218281014733197,0.00034903965535159384,0.0008540808612757031,-0.006456031785354749,-0.3066073288365033,0.5904953506624709,0.005628870318751285,-0.2842576540989514,0.0008593950583718974,-0.006458053535628992,-0.3078334697652518,0.5924458064162627,0.005632940053777065,-0.28542542567074325,-0.11162407034276832,-0.013911233473270083,0.0034311040317273806,0.006333300355505428,-0.047053586752271025,0.15566695695253288,-0.25216040148242314,0.04757166292889565,0.09808259734872764,0.0063771292040327755,-0.04706941568772706,0.15262900729440898,-0.2489849105340931,0.04760732724235822,0.09465567236271225,0.08306755767801377,-0.14734001482731784,0.005120665578569383,-0.007045245992976845,0.016474545924973327,-0.061535740622503,0.15052181348596605,0.021037285144245743,-0.04812374111520512,-0.007333462011303027,0.016577293063200216,-0.020042841873674888,0.07808866367281553,0.020906975170085218,-0.01346143716637016,-26.225811663538686,-1.4130336667417722,-0.005081594744754508,-0.01647680172743861,0.2920122144103919,7.338664123971374,-24.786289697663694,0.3924822947748441,9.798212222389608,-0.019707760527409794,0.2931526210424194,7.954404527579035,-25.969462065444826,0.3903481035258937,10.374993140348169
0.18,0.1811484359681039,-0.0017682240322758856,0.0004565813753241277,0.001037739150547187,-0.007852812296590404,-0.3019927022944876,0.5830660082501357,0.007074953763247975,-0.28135848754549325,0.001044108818682708,-0.007855216442503924,-0.3032726381041058,0.5850465388975454,0.007079976148700888,-0.2825978707933116,-0.10913204361242791,-0.01833143391808962,0.003584723999084462,0.0061219429757161225,-0.04655935037452182,0.1538208847338578,-0.24764474707784415,0.048202781483223024,0.09663888511527148,0.006157125343693685,-0.046572096895831055,0.15202772203819873,-0.24664225062390865,0.048234536497460775,0.09425182924772114,0.09429515284050183,-0.12079108228746638,0.0001225155147654977,-0.00773553255291759,0.027496411075225158,-0.056296338364177245,0.13176610694517876,-0.008566717637535248,-0.04203088583290082,-0.008041983853345869,0.027594829383229325,-0.03199992901127757,0.08998205468469678,-0.008704727499207365,-0.020460030246113092,-25.812584602251615,-0.8242564577219406,-0.04695948998592086,-0.04562500605484454,0.5213785084602365,7.376105143504877,-25.104517534355207,-0.4242085830829127,9.783227077811722,-0.04700881890508869,0.5216842163248536,7.437264667555025,-25.288859677541126,-0.42514148065163415,9.930376176140745
0.21,0.17795934029728752,-0.002426879023877294,0.0005642333592599505,0.0012144354605210447,-0.009224846037858355,-0.29742874245699963,0.575755255334051,0.008513327161870884,-0.2784971487892847,0.0012215847935255072,-0.009227544002933949,-0.29874060637907,0.5777282552280444,0.008519177988875425,-0.2797887299431015,-0.10630318902721286,-0.02195516638671361,0.003588399464527427,0.005889876999128595,-0.045734458042265065,0.15213199458293247,-0.2436917638694888,0.04794577995409697,0.09537795854028445,0.0059158658280933085,-0.04574425201433418,0.1510677241678604,-0.24394278898336774,0.04797339467248456,0.09363802834033776,0.09849756635720297,-0.0923848099417266,-0.0027055402340225854,-0.007573489236898823,0.03206849455885319,-0.0509619124056826,0.11751791138021872,-0.026047741100285293,-0.038797149915808404,-0.007844140158624668,0.03214670667438213,-0.039365473219987734,0.09813303070950496,-0.026162076557397995,-0.027019109973252853,-25.44189507336488,-0.3429613341056875,-0.0721745282697054,-0.07210450085032238,0.7063891544764099,7.37338500230492,-25.282556669575914,-1.052100032065372,9.757049591844241,-0.0709618718694392,0.7057179414297629,7.0101860312019895,-24.697778838274125,-1.0515281664999891,9.572504227855527
0.24,0.17485889243619263,-0.0031686803444262563,0.000669450356985153,0.0013843156301816936,-0.01056801813402334,-0.29291064834067676,0.5685502685382086,0.009928257593503536,-0.2756707274680004,0.0013920010422255442,-0.010570939527357031,-0.2942440035799322,0.5704982912861819,0.009934833960148303,-0.2770039062918673,-0.10334826203649677,-0.02472671068496541,0.0035072332575067492,0.0056626723220216295,-0.04477240320549947,0.150603137210762,-0.24016622652808223,0.047164347721088414,0.0942140440428102,0.005680541623334569,-0.04477985081410271,0.14988675997126077,-0.2409987980620826,0.047188532375762614,0.09282745504114016,0.09999506135097391,-0.06679902962716966,-0.003984006193497702,-0.007101855080577479,0.03305891952735962,-0.04682067703541293,0.10698359481159514,-0.035575258932624365,-0.036857286243730414,-0.007308459000455514,0.03311103855230613,-0.04412604711544077,0.10327119495889292,-0.03565186763034944,-0.03211070850147735,-25.099401484119664,0.03650961175619781,-0.0867865251338939,-0.0963059687733041,0.8599099261152846,7.336773853442435,-25.34622070419479,-1.534062593309363,9.727860186116075,-0.09227867829987088,0.85822276038775,6.653502572260886,-24.177383296652597,-1.5318683873131012,9.291128504922714
0.27,0.1718484401303136,-0.003970600791639672,0.0007710817491362075,0.0015478041302698228,-0.0118814372026137,-0.2884346928336858,0.5614415669776965,0.011311170292096826,-0.27287747770433546,0.0015558396778251713,-0.011884535117083038,-0.28978711422319825,0.5633612714197824,0.011318403250553867,-0.2742479822782844,-0.10034841019596756,-0.026730681573780498,0.003387713071701818,0.005449616669604305,-0.04378063561967868,0.1491985168996996,-0.23695671868373439,0.04609708995310968,0.09310832545549828,0.005461287853320903,-0.04378651965753353,0.14856297855779754,-0.23790066221331582,0.04611897634685213,0.09186413378609584,0.10032299370233488,-0.045585003215114384,-0.004326868885674351,-0.006510269145891812,0.031998161945061554,-0.04399943530901851,0.09938169462282076,-0.039769822905213914,-0.03557940802079429,-0.006643704894401026,0.0320241875309506,-0.047215913705969115,0.10606745600114209,-0.03980573863736936,-0.03564483638456295,-24.778738745507507,0.32833622408322144,-0.09498446841639123,-0.11824959994485248,0.9904115946758505,7.274192536819228,-25.31852035173906,-1.9042396511171782,9.700161680891302,-0.11122295213832224,0.9877373795359395,6.352328071499467,-23.711268885210828,-1.9004352620117089,9.074216291310533
