t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.8793,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.774878795643435,-0.02491880705928501,-5.854487814550724,-0.21279037642182674,54.075871756639266,-0.2663408342419338
0.01,-0.0011790651027460005,-2.4823923314220502e-06,0.878717737774748,-1.063950585721423e-05,0.0027037902933551745,-1.3317025485752705e-05,0.9999963446070727,-0.11774878795643436,-0.0002491880705928501,-0.05854487814550725,-0.0021279037642182677,0.5407587175663927,-0.002663408342419338,0.9234570604993202,-0.006883533346960791,-5.128010284375343,-0.007253522889066222,-8.35784992503676,-0.016064909927117732
0.02,-0.0022726236270567495,-5.6535520309450535e-06,0.8776278699656918,-2.164936010958486e-05,0.004989673969921087,-2.7431787220764628e-05,0.9999875508887478,-0.10851421735144115,-0.00031802340406245804,-0.10982498098926068,-0.00220043899310893,0.4571802183160251,-0.0028240574416905154,-0.06015340680185233,-0.007378619926187824,-0.95978366577868,-0.004299791441880529,0.4376906563726095,-0.011286205528072468
0.03,-0.00337837138426968,-9.559995990233563e-06,0.8764471401062071,-3.287630205207303e-05,0.007297415517599116,-4.211010779993207e-05,0.9999733720818025,-0.10911575141945967,-0.00039180960332433625,-0.11942281764704747,-0.0022434369075277354,0.4615571248797512,-0.00293691949697124,0.18753272783872532,-0.0059387921284307366,-0.28748010825689363,-0.002839879099176601,1.8310382148693805,-0.008145785606191058
0.04,-0.004471402788110855,-1.4058043332819568e-05,0.8752425659033468,-4.424416793460374e-05,0.009696665837127423,-5.7197445705207504e-05,0.9999529836160043,-0.10724042414107242,-0.0004511975246086436,-0.1222976187296164,-0.002271835698519501,0.479867507028445,-0.0030183773530331505,0.519643175226026,-0.004549727985637686,-0.15048413133889582,-0.0023613964802235987,1.962559107605884,-0.0058807643760177
0.05,-0.005518697320800772,-1.901343893258368e-05,0.8740271764702549,-5.572707022999201e-05,0.01219398104285863,-7.258166015541837e-05,0.999925646462137,-0.10204399238881216,-0.0004966948044650204,-0.12380246004300537,-0.002295449663321737,0.4994930981045038,-0.0030771849967933273,0.773866052181063,-0.003372481284079576,-0.10447422488620006,-0.0021924609219337032,1.918452352583941,-0.004166968002117688
0.06,-0.0064950892541469915,-2.4315358338854273e-05,0.8728046032487161,-6.731480352625149e-05,0.014787132379837776,-8.817774430457509e-05,0.9998906582268802,-0.09430533186700153,-0.0005304196173058161,-0.12484720229186737,-0.002317374272541074,0.5186776216303433,-0.003118854676814504,0.9557003937197912,-0.002363276039699047,-0.07692033571262513,-0.001973538642754624,1.8549157987815192,-0.002878743317529686
0.07,-0.007382650203328842,-2.987096104092306e-05,0.8715764314704855,-7.899468296904046e-05,0.01747291596252103,-0.00010392191777023822,0.9998473284296167,-0.08474832792980362,-0.0005540523777028066,-0.12561640564899362,-0.00233710965896862,0.5372267796181585,-0.003147642109989801,1.0879877676180207,-0.0015620244433158237,-0.05365431392048947,-0.002153937359177238,1.7944439890100483,-0.0018008594778924358
0.08,-0.008168387402721444,-3.5608915004052787e-05,0.8703436612016339,-9.077390160763594e-05,0.02024827735544698,-0.0001197605495197295,0.9997949713224439,-0.07386845025362342,-0.0005696726221359648,-0.12615294878819852,-0.0023586490325603923,0.555171219508259,-0.0031656507047687255,1.1912967430817432,-0.0008517285745772707,-0.030802011737923962,-0.0021999056968327046,1.739718456356428,-0.0009703082750069925
0.09,-0.008842179427184075,-4.146754706921785e-05,0.8691070999021484,-0.00010265293500633453,0.023110445505475117,-0.0001356524019867433,0.9997329035144032,-0.06195548282280598,-0.0005781899078817376,-0.12646096890557776,-0.0023806480895287195,0.5725684040718233,-0.0031753537875187955,1.282901256432858,-0.00023202826453216918,-0.006469000232005584,-0.0022622277790420586,1.6904648773544864,-0.0002928882032067204
