t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.8793,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.944040978621361,1.16723009575648,2.4043185545232433,-2.862448551804931,2.9822801309616978,0.39679647153445785
0.03,0.0008523507124023859,0.0010534442812247375,0.8814613883528544,-0.0012881010986105779,0.0013420252778461284,0.0001785583082658553,0.9999982539387976,0.02832122935864083,0.0350169028726944,0.0721295566356973,-0.08587345655414794,0.08946840392885093,0.011903894146033735,0.05130194647779468,-0.257600110473863,-0.09740613096240791,-3.1736135250305395,-3.113335248922361,0.6355924575337077
0.06,0.0017529199882504957,0.0018838207982776176,0.8835308856529827,-0.004003681957169699,0.0012831589689784651,0.0006468524560003912,0.9999909527669469,0.029860287752974668,0.02728889955847851,0.06920737270682506,-0.18108186230506412,-0.003931653538819899,0.030971667872044965,0.0330989888914921,0.1610403166020813,-0.046106072936987985,-0.12073571609212408,-0.3252242491448136,0.18002860242805951
0.09,0.002681508764255221,0.002870992336579761,0.8855529072808463,-0.00677336326003038,0.0010782224598994451,0.0011968092083574687,0.9999757630233812,0.03085325741971943,0.032120109056540946,0.06782419051871542,-0.18470393378782785,-0.013688381013164308,0.03637252594488675,0.0033886662438435966,0.11618942651398712,-0.06600849485044957,-0.04563342130400727,-0.04925524827290095,0.04019990023726194
0.12,0.0036107328729997243,0.003974028200324461,0.887508694139428,-0.009563478197115036,0.0008512108941482453,0.0017650180318598309,0.9999523488827525,0.030954917407034738,0.03560579185196056,0.06584393567320193,-0.18607293642694805,-0.015166038461351335,0.0375785229520046,-0.03236692948112241,0.08050156095201366,-0.0448180357461756,0.005995706237303722,-0.00322898275421446,-0.008602094588447073
0.15,0.004508317950797704,0.005160443574461954,0.8894168493916437,-0.0123508179923124,0.0006227071615292143,0.0023293533183225165,0.9999208186870749,0.029983909522601066,0.038020838680520974,0.06449939460081666,-0.18589306523982893,-0.015262907943977768,0.03732046011435119,-0.04330419816275244,0.04933421457965004,-0.05402065413797974,0.027184299630338415,-0.0028326009203567537,-0.03229442776515867
0.18,0.005364441203009568,0.006401305132324853,0.8912690073464781,-0.015125831925442453,0.0003927728214032551,0.002879146550204352,0.9998813756907449,0.028684783577718493,0.039500865117910476,0.06287877497667727,-0.18507753625091877,-0.015347885971588471,0.036351627281396424,-0.042055481771188674,0.02217695699484068,-0.05245898366997981,0.05496979126713342,-0.01650188485487014,-0.03632284055551338
0.21,0.006180343413722539,0.007671466720737423,0.8930668579620288,-0.017875976794807624,0.0001552343669123132,0.003412676103022366,0.9998343757831787,0.027423119124582833,0.0401661738277557,0.06130500546657787,-0.18342844251290477,-0.015842942517234577,0.035261942064731024,-0.035750878691277244,-0.0008189659411463879,-0.056686527936943065,0.07582966706518413,-0.024596477563791908,-0.038768240638489715
0.24,0.006961856474314997,0.008949364259955583,0.8948071888204154,-0.02059182948029035,-9.356728174492326e-05,0.0039289287960801505,0.9997802415142708,0.026350592763844514,0.040141604849521305,0.05960440962846958,-0.18115355250094925,-0.016580836844148333,0.034098894845576336,-0.029005937233839596,-0.020026751495827888,-0.057703925871486206,0.09713095109904035,-0.029755221145865818,-0.03891105397889305
0.27,0.007715244524286435,0.010216918563577834,0.8964899071182594,-0.023263772594403043,-0.0003559439542450072,0.004427925419631143,0.9997194924902962,0.025480414646829326,0.03954080230464647,0.057873291852324996,-0.17823962396797804,-0.017473493478524307,0.03293156322620954,-0.022864231252977874,-0.03583869761771208,-0.06004366780205661,0.11586808081270772,-0.031046216110937053,-0.03985160730291426
0.3,0.008446254524815847,0.011459043398276126,0.8981138945307033,-0.02588335140259391,-0.0006324712155046343,0.0049093050649078405,0.9996527151086576,0.02479448770923999,0.038465641376115106,0.0560719818182633,-0.1747635815435968,-0.01840487996185242,0.031736015007122115,-0.017712695458468986,-0.04883018187815402,-0.06165405021201664,0.1342168317643937,-0.030381286424926657,-0.04061026136582058
0.33,0.009159762764576763,0.012663202859175935,0.8996788009372715,-0.0284422936078655,-0.0009228373690521606,0.005372774119077575,0.9995805708414803,0.02426310684548592,0.03700073591977049,0.0542223603119028,-0.170737076590665,-0.01931631855460022,0.030517707166147497,-0.013324250485651667,-0.05940237584077135,-0.06373825419518475,0.1519359095293753,-0.028128854591837893,-0.04163488395914072
0.36,0.009859974639040009,0.013819002559219518,0.9011839183403881,-0.030932618402836554,-0.0012260155847303189,0.005817902634829923,0.9995037878935037,0.02386337933091637,0.03521866464454735,0.052310212686047255,-0.16617899930478375,-0.020160184192355355,0.029268660647373275,-0.009493597032730783,-0.06793354561814358,-0.06584785411449712,0.1699886550600933,-0.02502129933586872,-0.042533781269931126
0.39,0.010550604585109844,0.01491786972083656,0.9026285496434914,-0.03334620248984417,-0.0015405870922757148,0.006244305883738504,0.9994231666391107,0.023578571419934448,0.03318065827600304,0.05033477706261234,-0.16107933965298094,-0.020910823172431415,0.027992647209275343,-0.005980685402924735,-0.07467873617618981,-0.06832784078468102,0.18875248852529758,-0.02130291589215716,-0.043384712018294636
