t[s],Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter,Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter
0.0,-0.05141318996254451,8.092257501021464,280.7424674680353,-5.620008221360059,-0.043343625040548256,-1.6718651356600216,-0.07371969214806522,11.83814622329255,426.6653878195374,-8.535268800440063,-1.2922371495822305,3.0158692710915878
0.03,1.101290787618869,7.813003939277006,253.9540585510441,-5.08394952359532,-0.14953660397612134,-1.592584434976706,0.8099678341196934,11.161790243551643,384.3779203111387,-7.689649433061633,-1.3110970681087237,2.2852828926894206
0.06,-0.23882389575880042,7.99457634471071,258.5002545749833,-5.174081690112194,-0.7119165104226037,-1.5916741126437965,-0.5004229412057627,11.090345113326444,377.9239913172726,-7.560012785988292,-1.7130011950290958,1.98002428565683
0.09,-0.6933225777867162,8.11744190841557,262.0457585157315,-5.244310083427607,-0.8435379360651148,-1.5863707316731246,-0.8589924475929585,11.060025686417177,373.5964346739526,-7.4729277314543125,-1.6895759115632036,1.8547025567581816
0.12,-0.7928336115285928,8.28373802351576,264.38994129254337,-5.290702677367943,-0.8069707509948905,-1.574461837258974,-0.8695061678697835,11.166468384064279,371.0541392127213,-7.4216836233006545,-1.524599629327372,1.793397224046932
0.15,-0.7560762115665532,8.539056738882095,265.27289775247897,-5.308101675158559,-0.702224491452438,-1.5541523216143747,-0.7734333593767688,11.457422289196497,370.040104908188,-7.401191432833472,-1.323241453357487,1.7532317492232
0.18,-0.6638765862826554,8.907385795840232,264.6141496845668,-5.294919018308984,-0.5663679608382549,-1.5251844640293637,-0.6574441189271241,11.966841941796924,370.59282513449733,-7.412244753020431,-1.1224246211372715,1.7184686089871997
0.21,-0.5432427851180789,9.398784815856274,262.28152379431134,-5.248528061333289,-0.411591302453369,-1.4876449595441326,-0.5493923283550468,12.722723899216366,372.79723875753007,-7.456557898262424,-0.9328140291921385,1.6830855552584232
0.24,-0.40045774498850356,10.01417310953255,258.1065576030035,-5.165575617595356,-0.24050231529046898,-1.4420917360135788,-0.4556349743428238,13.75332700063564,376.8042189635317,-7.53716117524159,-0.7554429708413141,1.6444408256427219
0.27,-0.22995007662574946,10.743460050984234,251.86239087596505,-5.041540047243397,-0.05017530878324233,-1.3897420702716066,-0.3714442505571395,15.087772585715122,382.8239868832423,-7.658269779768097,-0.586232658534309,1.6011879541952398
