t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.8793,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9703030544269708,-0.0009582453630732346,-1.939027668499806,0.0023131103621133464,-0.8925679669943207,-0.00020204961781178365
0.03,0.0008739735941103866,-8.606840128155708e-07,0.8775552260400026,1.0408996349632438e-06,-0.0004016555743477089,-9.092232557057853e-08,0.9999999193358506,0.029109091632809125,-2.8747360892197038e-05,-0.058170830054994176,6.939331086340039e-05,-0.026777039009829622,-6.06148853435351e-06,0.2696511903450727,-0.0010616758007543914,-0.07999404189098591,0.00045584979623114474,0.38326150324665775,-0.00041500157311602504
0.06,0.001991807982869515,-2.6730807600726597e-06,0.8757392597053312,2.2870222580851128e-06,-0.0006308434518154523,-3.683334201563949e-07,0.9999998010155667,0.0371986273431613,-6.059763491482878e-05,-0.060570651311723754,8.306880475033473e-05,-0.01527919391242989,-1.851153572783426e-05,0.03776933454615339,-0.0003469382112693542,0.03330390875063394,0.00023056615762107047,0.3397783045041507,-0.0002584394062772333
0.09,0.003144149326812534,-4.793972391080184e-06,0.8739536538777811,3.6370292582965095e-06,-0.0007071311059807858,-7.616270764631866e-07,0.9999997499758642,0.0383317073795459,-7.10057812529094e-05,-0.05957153404920473,8.998578947896685e-05,-0.00508584477730537,-2.6264717916151255e-05,-0.06889250052596907,3.6370370315480516e-05,-0.01256897792467715,0.00010559486566763532,0.23809414345112145,-0.00015202783611989457
0.12,0.004234584252227536,-6.877984841225319e-06,0.8721567025543354,5.034683904094456e-06,-0.0006762764198518454,-1.222909958495976e-06,0.999999771311654,0.03626493236376683,-6.991467014344499e-05,-0.05994860338694505,9.315363544899591e-05,0.002056979526228273,-3.082555299974809e-05,-0.12831225805785706,0.00020321755818383802,-0.0022945493053256882,-2.6680715729199278e-05,0.13471056571016504,-8.877748027674714e-05
0.15,0.00520932101114094,-8.774779899753347e-06,0.8703574071275497,6.420433355031649e-06,-0.0005848019897704654,-1.723845609480555e-06,0.999999828981205,0.032415564622031115,-6.381814339792985e-05,-0.06001743986610482,9.235321397711993e-05,0.006098296497533224,-3.34888774080505e-05,-0.16003531516666314,0.00027937085878312895,-0.017959276653181533,-9.376084881107527e-05,0.06238184880964326,-4.03526987253211e-05
0.18,0.00603966332637314,-1.0415417680537187e-05,0.8685415914696365,7.764049367954846e-06,-0.00046525572586669794,-2.2427843925773725e-06,0.9999998917358935,0.02761450516703122,-5.5437017634435976e-05,-0.06055621816570027,8.954038851278767e-05,0.007969751961822522,-3.469945836981013e-05,-0.17519660070133725,0.00029557500975660456,-0.0179431562296255,-0.00014614086671382864,0.003176057108824182,-8.116986040362928e-06
0.21,0.0067119050584309,-1.1785075670997146e-05,0.8667092996686984,9.041906790610208e-06,-0.00034428022952316396,-2.7653952867308144e-06,0.9999999406908582,0.022358607145991104,-4.656976734173784e-05,-0.06109451285258903,8.515616251137282e-05,0.008065033675087247,-3.4942967951021024e-05,-0.17870415673412055,0.00028523518567069583,-0.023459569483040177,-0.00016874763250035452,-0.03757543519015627,1.4306609430594919e-05
0.24,0.007222913058774612,-1.289279205716208e-05,0.8648556490166707,1.0243778692563326e-05,-0.00024021367336915321,-3.281747204675104e-06,0.9999999710908427,0.01699748244396749,-3.801271177161696e-05,-0.061798299937080234,8.009373353636218e-05,0.006937770619382559,-3.4513769668103177e-05,-0.17435887574399445,0.0002580001334018117,-0.02418889831587201,-0.00017947034304222065,-0.06685345771037277,2.8249000130806112e-05
0.27,0.007576676884467234,-1.376294074544469e-05,0.862980073623133,1.1364787078234161e-05,-0.00016623117010140654,-3.7857146211086265e-06,0.9999999861118539,0.011766716171647656,-3.027270776956261e-05,-0.0625239668865564,7.470962324509557e-05,0.004932166888071377,-3.3666299664178995e-05,-0.16457364330985946,0.00022439871105785214,-0.025627832356463376,-0.0001769152335018842,-0.08498617614814918,3.648674942203188e-05
