t[s],Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter,Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter
0.0,32.550304005312235,-0.6190389296166038,263.7075798059145,0.5508644559172058,37.01415405321885,1.491566136173754,32.551809814420004,0.545897867471963,263.118488543917,-0.4903921902255031,37.01947700415684,-1.5201900754296938
0.03,14.111580244857606,-0.4675473684652094,314.8924255727923,0.40835667015885335,23.972967997153905,1.1001052129878652,14.112550475023765,0.4109610720904865,314.45316028786976,-0.37364395502292413,23.977646047722867,-1.1020651951265932
0.06,7.597207721219891,-0.25669073530755676,318.4874363189708,0.2233330947822578,16.194382869714094,0.5974491256472448,7.598424838183081,0.23596056085064,318.17254902518255,-0.2138253901795894,16.198404853566046,-0.6004797333776729
0.09,3.326192043837872,-0.05605832384831043,317.2579128870255,0.04672310530712194,10.333627230234669,0.13193355414294608,3.3277931541642105,0.05696411799256865,317.0310544051906,-0.053337441355004185,10.337148508683141,-0.13507303081720162
0.12,0.26965002487593653,0.12483722171763018,317.9073728535441,-0.11285863563772065,5.7891725130705955,-0.2730500169722611,0.27182395767439216,-0.11144890162995488,317.7408919621994,0.09596688493858006,5.792371384017349,0.2701735543237423
0.15,-1.867587812242731,0.2792019527862405,317.65258342685746,-0.2490093798599884,2.348887759457358,-0.603895330830331,-1.8648760012117156,-0.2588221402821159,317.5253355551132,0.22577692134391492,2.3518950286215476,0.6015135567113946
0.18,-3.3275379718157527,0.4096622640491194,317.8770519983698,-0.363975412034834,-0.21535913996997116,-0.8705717439303459,-3.324350365760184,-0.3859075470907144,317.7736900776831,0.3370996319657558,-0.21243533842764256,0.8686699005137852
0.21,-4.25019354987551,0.5177125263530824,317.8727503721905,-0.4589462311185261,-2.0521667257822527,-1.0798024498903585,-4.246652254799512,-0.4928705656328507,317.78222037298417,0.4303106815570514,-2.0492484684101546,1.0783591198405154
0.24,-4.762934519760939,0.606736296476531,317.98935015925775,-0.536864726893474,-3.309071338399613,-1.2419664829077828,-4.759150175740515,-0.5822947747661303,317.90405840415684,0.5077604806269955,-3.3060998319478148,1.2409139315318256
0.27,-4.961292652600945,0.679423581839113,318.04712295580595,-0.6000575263405686,-4.101838221612844,-1.36511740368757,-4.957370716923435,-0.6562722630435304,317.96202525944017,0.5713469519254303,-4.098773367800556,1.364398285742199
0.3,-4.927921079147094,0.7387109378816042,318.13379625407197,-0.6511060479859108,-4.534800063571446,-1.4572286048901135,-4.923942440450926,-0.7173478020977617,318.04577574548443,0.6233317630721681,-4.531615216304241,1.4567813317692835
0.33,-4.728398493950363,0.7870989854729555,318.2034863859271,-0.6922166428137754,-4.693051179379731,-1.524798894492992,-4.724424018509035,-0.7677377910305556,318.1108001310582,0.6656883945090472,-4.689730994585245,1.524571453740938
0.36,-4.416646135384076,0.8269252690306425,318.27821658876064,-0.7254674413792697,-4.648874370365766,-1.5735623722038912,-4.412714869053148,-0.8095946914969365,318.18009476590026,0.7003268079125644,-4.645411655948868,1.5735074905671764
0.39,-4.035015498664599,0.8601869995561369,318.34643307503364,-0.7526407182359832,-4.460755779979708,-1.6082099910416887,-4.03114975570905,-0.8447927169239079,318.2427564383406,0.728912371597873,-4.457149518290221,1.6082881488973375
0.42,-3.6167235659062436,0.888630032857066,318.4139134815508,-0.7752996710301446,-4.176247634904318,-1.6326592086031528,-3.6129317401969336,-0.875005713565299,318.3049801442865,0.7529301586781438,-4.172500973197701,1.632836820726632
