t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.8793,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9945408772358917,-0.0015816904000381937,-2.4017668350308696,0.0014819868821935867,-1.9685457167275473,-0.00036952283305735634
0.03,0.0008970011555776928,-1.4222292132093513e-06,0.8771392038868173,6.668940097659446e-07,-0.0008858454566701903,-1.662852531278354e-07,0.9999996076386003,0.02983622631707675,-4.745071200114581e-05,-0.07205300505092609,4.4459606465807595e-05,-0.05905637150182642,-1.108568499172069e-05,0.21724965642971839,-0.0013564841969342656,-0.12761688128790993,0.0003495772015049692,0.3921543165928796,-0.0005579674107066834
0.06,0.0019932571934807236,-4.062496100829752e-06,0.8748654716113463,1.4913490541714512e-06,-0.001595221025877384,-5.833985837067586e-07,0.9999987276328476,0.0363537160099683,-8.814523790917378e-05,-0.07588151148956339,5.494692251095667e-05,-0.04729174200404003,-2.782470731292119e-05,0.018455251536257933,-0.00044630977457960075,0.033117259064175286,0.00016848493038046364,0.35323109899510996,-0.00032325391248322344
0.09,0.0031088749491827703,-7.101737599836003e-06,0.8726229895770256,2.391946424484637e-06,-0.0021456421912951114,-1.1456177585448776e-06,0.9999976981036272,0.036907373556056035,-0.00010153453114656181,-0.07488799371763813,6.0001470422370576e-05,-0.03669480903418673,-3.752232468741789e-05,-0.0748529582007027,2.327486810563273e-05,-0.027627871174910723,5.7417761947342605e-05,0.2571104715368904,-0.00018556503444000505
0.12,0.004159451954046163,-1.0116938067525946e-05,0.8703564244427974,3.3186928740430846e-06,-0.0025803633970054455,-1.7910085463293293e-06,0.9999966708497173,0.03466178481003496,-0.00010083628510339283,-0.07571682985288546,6.172400328079085e-05,-0.028981494888080023,-4.308927572061804e-05,-0.13005104154416003,0.0002169440415295265,-0.007051824791326489,-6.083053188532528e-05,0.14934168799910452,-0.00010833011778965673
0.15,0.005094837898022876,-1.2933601081460189e-05,0.8680837092282706,4.2183112980907494e-06,-0.002947880653964628,-2.4849950448964283e-06,0.9999956549784007,0.030760253563710156,-9.432796385750704e-05,-0.07592838459662525,5.989908732423109e-05,-0.024501244248106888,-4.6339179254307745e-05,-0.16042955859444774,0.00030157418090789867,-0.025148751648362833,-0.00011879249560420302,0.07877585901493234,-5.412256356079892e-05
0.18,0.005887570738362601,-1.5475159339710483e-05,0.865788116295152,5.0646327056335825e-06,-0.0032799485687089037,-3.2033443370768633e-06,0.9999946209362701,0.025947366805876726,-8.528073843027008e-05,-0.07668284714607614,5.6335312456105e-05,-0.022137968477658917,-4.7962856161131715e-05,-0.17533124735498795,0.0003167019005361482,-0.021130170083508926,-0.00016264340648086684,0.01856538675223618,-1.8587741464556884e-05
0.21,0.006524145346368458,-1.772776927174507e-05,0.8634729407979886,5.8378186285643955e-06,-0.003603661751826553,-3.9302554697821625e-06,0.9999935067651446,0.020687429385227087,-7.577968141418564e-05,-0.07731675224858141,5.1456010261678995e-05,-0.021581006875091832,-4.852048840506842e-05,-0.17886033169864568,0.00030408129802234063,-0.025899247636985923,-0.00017870208734582782,-0.021572163779389086,5.492437207696432e-06
0.24,0.0070014472538222645,-1.9702553585385684e-05,0.861133661603372,6.53054144498779e-06,-0.003937081955655386,-4.655041058977462e-06,0.9999922496306444,0.015321619434267717,-6.665724247351542e-05,-0.07809372967769099,4.609494764130416e-05,-0.022228171788473503,-4.8355715288837526e-05,-0.17460810609389732,0.0002741734762296,-0.024265995877450486,-0.0001837436397270631,-0.05095642173278492,2.0771854957385427e-05
0.27,0.007323400401986077,-2.1426335455648896e-05,0.8587715801552509,7.14043594351192e-06,-0.0042934319010292845,-5.3709541138988474e-06,0.9999907831388638,0.010083376251450797,-5.843203818662742e-05,-0.0788217095540145,4.058263844949227e-05,-0.023756864440457052,-4.773255964011596e-05,-0.16489045399589575,0.000238966091031384,-0.02417388975434065,-0.00017663108646914782,-0.06868475542652419,2.978253642136816e-05
