t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0548,0.0172,0.8902,0.0,0.0067,0.016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7271011730021808,-2.552781538055264,0.29576857552834124,-0.2616575340657903,-0.045388646525637455,-0.4738425212580353
0.03,0.055530596544131984,0.014924546688197695,0.8904571968726379,-0.00011883017090110705,0.006678701663870604,0.015789998418612818,0.9998530175847896,0.021813035190065423,-0.07658344614165791,0.008873057265850236,-0.007849726021973709,-0.0013616593957691235,-0.014215275637741057,0.36390486088348695,-1.3246032300545174,-0.0369049173875613,0.5228328110989224,0.010444368911713298,-0.29661469299455234
0.06,0.056624021176212215,0.011467341739555117,0.8906767506489134,-3.385813225762076e-06,0.0066647931838264415,0.01544255950790311,0.9998585439331895,0.032730181016570034,-0.11632154304329342,0.007765909744223397,0.007835258310993964,-0.0010483283284177247,-0.023113716427577626,0.09752788440163052,-0.4809152111366721,-0.015150505938186676,0.3345060295897042,0.10984731013550686,-0.17691578671966823
0.09,0.057815486114773745,0.007579256131088216,0.8908799702824906,0.00026127101287340567,0.00670263196637771,0.01501451335814276,0.9998647762826728,0.03565601754861895,-0.1307489993773936,0.007311394566077796,0.01787043919868509,0.002247090975647481,-0.028421190029167674,0.0003498158223091963,-0.03674549130172977,-0.024510852209281175,0.1852602333243496,0.06756108020318408,-0.0731357774390613
0.12,0.059004493975500664,0.0036569528813091444,0.8910586037332546,0.0006086065153782564,0.006772127448671812,0.01455300527744139,0.9998709806396638,0.03566651202328822,-0.1318513641164455,0.006576068999799361,0.02342824619841558,0.004273923381743003,-0.030615263352339512,-0.03687980635204191,0.1964571097320329,-0.025953632455431475,0.07109789010567891,0.02641249040282645,-0.0014848913331788616
0.15,0.06015133119608358,-9.075978754796406e-05,0.8912116401770618,0.0009877542266496387,0.006853970653691506,0.01409061453591674,0.9998767434088395,0.034560117832726965,-0.1259576508244845,0.005797460026136417,0.025561182901585947,0.0050662980938277966,-0.03065981009233488,-0.048954597915768616,0.31130443836331434,-0.02410591583411037,-0.009892428351317761,-0.004419849687721467,0.04113240453492217
0.18,0.06124267521150008,-0.0035607393844364886,0.8913413092317205,0.0013626054350299936,0.00693374173629417,0.013646754649361225,0.9998819093370491,0.033091479895253906,-0.11661851767358508,0.005074282551113106,0.025264410051046415,0.004933702603196153,-0.029425837956287212,-0.049875950939020086,0.3566985299716632,-0.021083908521399408,-0.06293484525913229,-0.024600410851725485,0.06296189572442756
0.21,0.06227728721141493,-0.0067119937053894355,0.8914510245571741,0.0017094863995031427,0.007002016626811563,0.013231401172376474,0.9998864832781886,0.031595201367083305,-0.10591756177443519,0.0044417652954711236,0.023376364693272447,0.0041956902776443886,-0.027536981084554386,-0.045758236736119784,0.36061255416993365,-0.017823469220364707,-0.09415204087472517,-0.03584623283167332,0.07123575239285529
0.24,0.0632595378732183,-0.00954072715708286,0.8915443796407733,0.002014441188916011,0.007053545261747741,0.01284836565702168,0.9998905485231273,0.030222454264999712,-0.09509918514933718,0.0039070612188601824,0.020551803467030692,0.003120303292694189,-0.02539990851276873,-0.039537367976411275,0.3402334255957653,-0.014767094587767815,-0.10902067995116838,-0.04026736966984856,0.071180359582808
0.27,0.06419620216956427,-0.012064975085733695,0.8916246526326953,0.0022708003605735475,0.007086259183679309,0.012497664556559469,0.9998942127931013,0.029036333225707374,-0.08489218238146423,0.003464048381227148,0.017281183068495642,0.001912282202598732,-0.02326449772528449,-0.03273954710948601,0.30656603765781654,-0.012101549948397405,-0.1124027981481035,-0.03989919408262921,0.06632349971906137
