t[s],Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter,Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter
0.0,28.63812456427669,-56.452588288482445,565.4418790464958,46.92287591466434,0.34672092033662116,0.1291056003507463,-5.392760796419834,-61.78956519012721,88.26773089077301,44.09573148045273,-1.3204927350492743,3.821794854520202
0.03,22.980436306736568,-30.76887831209409,510.69413024995987,27.652976948290053,-1.3590479958853772,-0.45643711285632826,-8.733745638776076,-39.84899211837547,126.10996426631071,28.585459599074344,-2.616887921221547,3.336541440628968
0.06,18.25997554423042,-13.683985229950657,430.055747874138,14.592827768724604,-1.6183503112411877,-0.3612991657447792,-12.454741763582517,-18.363218464239456,206.1255708856749,15.385759977473533,-3.1685961610057727,3.0978734974906668
0.09,15.656554523536405,-3.038823604812329,371.94216129667086,5.8600673266831595,-1.3597438257234735,-0.21494322061723892,-14.065047890891552,-5.1658085983960875,263.8666712944868,6.615491033469148,-3.0714872176329933,3.176355173391398
0.12,14.177976574101,3.628860749844595,331.55851887996823,0.03894205060277967,-0.9485281939813572,-0.09928719598871943,-14.723381745977717,2.744123704130699,304.37161735016946,0.8118021618271286,-2.763940658948537,3.2920171277681023
0.15,13.380528716180265,7.642997527919161,304.7287457715408,-3.7340883573508203,-0.5241975347489809,-0.018339208262216473,-14.891049446101992,7.193700018889246,331.4560230946539,-2.922757713234753,-2.407783263226704,3.3736530238869173
0.18,13.019830970931578,9.814262453242234,288.0849819081998,-6.0432903432963405,-0.14361061573664535,0.03850851263795492,-14.800496028505004,9.369840053313245,348.36255997487945,-5.192850766635864,-2.070350676523773,3.4142147781417833
0.21,12.94264423242387,10.696858757911293,278.8992207604781,-7.311479372553355,0.1719001262745624,0.0804175714762103,-14.58125016434732,10.07326103801799,357.7769615351964,-6.431398413590344,-1.780127875958767,3.4226812776485853
0.24,13.044136326733017,10.697231192505795,274.98988536818143,-7.854834417646126,0.41704209964047856,0.11312527748410822,-14.309992027973426,9.853932068547621,361.86834443349903,-6.958022557100579,-1.5480131389546654,3.409531352051931
0.27,13.249700513449667,10.12234714378295,274.64808206438084,-7.9118105623945745,0.5941228375418134,0.13993342830366695,-14.03276600620745,9.09075402956257,362.3456363899862,-7.0108241323561575,-1.3760259584254582,3.383155337700221
0.3,13.506167293347822,9.203833712654143,276.56764913922507,-7.660957856967456,0.7091666055792428,0.16276169610905641,-13.776301463028352,8.04245828271369,360.5211299696274,-6.76615998909175,-1.261313644328412,3.3495335521866667
0.33,13.776494340571164,8.112984797945941,279.7774450216657,-7.233652265694946,0.7699217462612159,0.18281233451160842,-13.554603917462826,6.882326653236303,357.3739987957444,-6.3526011564326454,-1.198298740352093,3.3126852907513253
0.36,14.036107853926982,6.972127078860996,283.5785960553487,-6.724063368675057,0.7847827328232877,0.20089464451261466,-13.37327395702486,5.722645850145924,353.61153013286435,-5.8615804488269845,-1.1799860553413108,3.2752012455096104
0.39,14.269897283543765,5.8643883902051845,287.4882912076008,-6.197289827426495,0.7621064195538287,0.2175988052440981,-13.232416547963584,4.632406105784574,349.7239843300676,-5.355863859019473,-1.1988253045492823,3.2386798162024295
0.42,14.469830235132386,4.842230585891814,291.1905307047241,-5.696120134611538,0.7098016296133626,0.2333458604977413,-13.128870586300101,3.6501210485759445,346.03355053925026,-4.8764212534244225,-1.2473405568442282,3.2040194613354824
