t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0548,0.0172,0.8902,0.0,0.0067,0.016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5232282050268005,-2.2607269487409383,0.22628887483523474,-0.10856192767703021,-0.012487123027582925,-0.4006579619272088
0.03,0.05533809597556922,0.01518141350523873,0.8903970022924843,-4.9963759153336184e-05,0.006694607657563602,0.01582246506102285,0.9998524037733372,0.015696846173646754,-0.06782180845741909,0.00678866624477572,-0.003256857816117673,-0.00037461382675608946,-0.012019738903278352,0.19541787186529902,-0.9786300470075009,-0.011893468216568337,0.3494505250772164,-0.011919109057011212,-0.22800568259805942
0.06,0.05607850097915508,0.012287746163848886,0.890580657003518,5.669998704684818e-05,0.006685327182311577,0.015538882308870499,0.9998569129241284,0.02155938233742246,-0.09718070991777963,0.006431862200050266,0.0072266576837940015,-0.0007321871459797791,-0.0188599092251647,0.02593619108871259,-0.2837296465938781,-0.018821295468555377,0.2267693712424972,0.021096898163186495,-0.12490363086671863
0.09,0.05684804348820954,0.009139042209337509,0.8907460301771413,0.0002648720564943588,0.0066871269831466264,0.015198417344904932,0.99986210063474,0.022337468080007153,-0.10569259933518234,0.005867223341197229,0.014029738715332484,-9.928026144507391e-05,-0.022607018114035534,-0.03547204253555414,0.07596379588069002,-0.02456424930011991,0.11989610924664973,0.00043742797329571204,-0.03676652827881366
0.12,0.057581123744997034,0.0060571135117146735,0.89088831739603,0.0005268762558826506,0.006689946799058162,0.01484104628012057,0.9998673463807827,0.021273306775437782,-0.10341368543228265,0.005130295875162964,0.017626622053854495,-8.615724858543678e-05,-0.023710014250625494,-0.05470761658859047,0.2573364022119634,-0.024503358464494696,0.035972644879515014,-0.021157782052327434,0.021810780513744632
0.15,0.0582557226648202,0.0032046736310571014,0.8910079104585082,0.0008052728582048571,0.006683480631115888,0.014493372523088988,0.9998723042344879,0.019632078230215448,-0.09569359333848998,0.0043951951266154934,0.01870580155670295,-0.0007208904149021577,-0.023055690846343905,-0.05632968045955877,0.3387769587532723,-0.022263577339168172,-0.02399445841190584,-0.036543363684515384,0.05505955813705299
0.18,0.05886872172780113,0.0006550687562244745,0.89110724147262,0.0010732771209330865,0.006660394349518529,0.014170528608011558,0.999876834086229,0.01794218784934795,-0.08553028451938316,0.003727287770403595,0.017985968191145008,-0.0018171915076935362,-0.021403903966706377,-0.05064868537794531,0.36232617549432033,-0.019360289111455486,-0.06307002443091747,-0.04498797300014701,0.07059646338176506
0.21,0.05942520661222794,-0.0015702403918449897,0.8911893410303162,0.0013134016642766307,0.006616628626150036,0.013879614218922287,0.9998809186652307,0.01642272731111106,-0.07466049926927362,0.00314647907814165,0.01609386741470413,-0.003166830829387166,-0.019286009936585788,-0.042272334865256056,0.3522428433515654,-0.016439136633550788,-0.08546364285727748,-0.04763843237120824,0.0747874944581568
0.24,0.05993352217134396,-0.0034800021481453582,0.8912571778218107,0.0015155922064122428,0.00655084932146429,0.013622574731849683,0.9998846007470594,0.015154557285082769,-0.06409321392842461,0.0026533049626345654,0.01352995841223752,-0.00459598391058428,-0.017042384980471344,-0.03339249805435429,0.3233575326463196,-0.013775138231953754,-0.095410109474237,-0.04607636285369665,0.07216729209978823
0.27,0.060402845087372314,-0.005099895247364969,0.8913133732513956,0.0016753481993928118,0.006463703310904802,0.013398255285438847,0.9998879439733362,0.01415278233735579,-0.05439248800969833,0.0022400508145211696,0.010667654824531568,-0.005978274730113,-0.014877366087675394,-0.02509173819760413,0.28509142089207584,-0.011468405079140709,-0.0965441789115502,-0.04177843821674543,0.06576216331631457
0.3,0.060841950797972444,-0.006464078455659548,0.8913601109111581,0.0017921072249427671,0.006357126977008948,0.01320377382935036,0.9998910118832731,0.01340003013964429,-0.045839745423062725,0.0018959987058030938,0.007771329126890018,-0.007231627597281473,-0.012904501451162478,-0.017883537299061558,0.2434916144859507,-0.009534102886673779,-0.09185086491695316,-0.03597439253034196,0.05754986036481213
