t[s],q_BodyPitch,q_BodyRoll,q_BodyYaw,q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,qd_BodyPitch,qd_BodyRoll,qd_BodyYaw,qd_LLHip1,qd_LLHip2,qd_LLHip3,qd_LLKnee,qd_LLAnkleRoll,qd_LLAnklePitch,qd_LRHip1,qd_LRHip2,qd_LRHip3,qd_LRKnee,qd_LRAnkleRoll,qd_LRAnklePitch,qdd_BodyPitch,qdd_BodyRoll,qdd_BodyYaw,qdd_LLHip1,qdd_LLHip2,qdd_LLHip3,qdd_LLKnee,qdd_LLAnkleRoll,qdd_LLAnklePitch,qdd_LRHip1,qdd_LRHip2,qdd_LRHip3,qdd_LRKnee,qdd_LRAnkleRoll,qdd_LRAnklePitch,Tau_BodyPitch,Tau_BodyRoll,Tau_BodyYaw,Tau_LLHip1,Tau_LLHip2,Tau_LLHip3,Tau_LLKnee,Tau_LLAnkleRoll,Tau_LLAnklePitch,Tau_LRHip1,Tau_LRHip2,Tau_LRHip3,Tau_LRKnee,Tau_LRAnkleRoll,Tau_LRAnklePitch,q_ALShoulder1,q_ALShoulder2,q_ALShoulder3,q_ALElbow,q_ALWristRoll,q_ALWristYaw,q_ALWristPitch,q_ARShoulder1,q_ARShoulder2,q_ARShoulder3,q_ARElbow,q_ARWristRoll,q_ARWristYaw,q_ARWristPitch,q_HeadPitch,q_HeadRoll,q_HeadYaw,qd_ALShoulder1,qd_ALShoulder2,qd_ALShoulder3,qd_ALElbow,qd_ALWristRoll,qd_ALWristYaw,qd_ALWristPitch,qd_ARShoulder1,qd_ARShoulder2,qd_ARShoulder3,qd_ARElbow,qd_ARWristRoll,qd_ARWristYaw,qd_ARWristPitch,qd_HeadPitch,qd_HeadRoll,qd_HeadYaw,qdd_ALShoulder1,qdd_ALShoulder2,qdd_ALShoulder3,qdd_ALElbow,qdd_ALWristRoll,qdd_ALWristYaw,qdd_ALWristPitch,qdd_ARShoulder1,qdd_ARShoulder2,qdd_ARShoulder3,qdd_ARElbow,qdd_ARWristRoll,qdd_ARWristYaw,qdd_ARWristPitch,qdd_HeadPitch,qdd_HeadRoll,qdd_HeadYaw
0.0,0.2,0.0,0.0,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2572339761449882,0.19490098028632374,0.1062404915843107,-0.08126908844275249,1.266126330384708,0.6567903672970488,-0.9475248870189716,-0.6871907204556464,0.170668573380226,-0.08126846716584168,1.2661286778930503,1.197080884386878,-1.9976095002716647,-0.6871906708320239,0.7225305805952758,-31.897609827938584,1.2676641394252601,-0.7573523260461035,-0.1358595797092874,1.967735263073279,11.88177870861509,-30.030896179558276,-5.766128479706879,12.00481469288166,-0.13587137291494467,1.9677241657644178,8.438496683344997,-23.9747727066611,-5.7661360760790386,9.462302551594895,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03,0.19886848942146954,0.00017541088225769136,9.561644242587962e-05,-7.314217959847724e-05,0.0011395136973462372,-0.3294088886694327,0.629147227601683,-0.0006184716484100818,-0.29984639828395776,-7.314162044925752e-05,0.0011395158101037452,-0.3289226272040518,0.6282021514497556,-0.0006184716037488214,-0.2993497224774642,-0.037717019284349645,0.0058470294085897125,0.003187214747529321,-0.0024380726532825746,0.037983789911541235,0.01970371101891146,-0.02842574661056915,-0.020615721613669393,0.00512005720140678,-0.0024380540149752505,0.037983860336791506,0.03591242653160634,-0.05992828500814994,-0.020615720124960716,0.02167591741785827,-0.34373167226844004,-0.13955674872819746,-0.07853176728652045,-0.02668876607378934,0.19131232933520437,0.17258825668147892,0.028757836916270207,-0.2876009427598092,-0.1198902469229779,-0.025192041287027678,0.19073390821695568,0.10096692215921621,0.16382337198808727,-0.28656860888577285,-0.16990856586267,-29.14759921432535,1.9571710023732316,-0.4963448396198989,-0.05038204931871719,0.9488460756719628,10.38826171922519,-28.84766417397903,-3.8024167060203555,11.60724342506262,-0.04983258689130137,0.9491841272660113,7.798695805718745,-24.278562537476084,-3.8025801051758736,9.653644331197793,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06,0.19742762033789746,0.000225220690660005,0.00012055429429389085,-0.00017030424866336488,0.0024512084910941583,-0.328662447907852,0.6283203372565905,-0.001495784145303992,-0.29980069779014623,-0.00016895607805683994,0.0024506921376027503,-0.32775438417816033,0.6265517439343004,-0.0014948549554948385,-0.2988523626642049,-0.04802896945240284,0.0016603269467437894,0.0008312617289337075,-0.003238735635496255,0.04372315979159737,0.02488135871935583,-0.027563011503081044,-0.029243749896463667,0.0015233497937174436,-0.003193815253586081,0.043705877583300176,0.038941434196382824,-0.05501358384850732,-0.0292127783915339,0.01657866044197817,-0.065979081112161,0.022351662720348386,-0.05004875553986299,-0.006832248294756482,0.08229682694006613,0.05279237733779496,0.06358294677545473,-0.15444136064240865,-0.050200297789160686,-0.005645140188022424,0.08194943563238155,-0.010540470864896179,0.17289592285214894,-0.1537171046820731,-0.09295838974207982,-28.057740068567607,1.9317385355033596,-0.27226541346636307,-0.01602640462810184,0.3920778335943001,9.483727712997675,-28.389852854378088,-2.419421756128286,11.224916799484987,-0.016139155010954868,0.3928068898298186,7.6620489109467265,-25.150727381203275,-2.4201681882524295,9.815796414017225,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09,0.19592737008132444,0.00029514699551063224,0.00010044826617602538,-0.00027361534119353333,0.0038369704290881386,-0.3278684940066673,0.627550671563596,-0.0025120938667760697,-0.29980017756434496,-0.00026985116183364256,0.003835622957170899,-0.32659562757604726,0.625056942749412,-0.0025095837014547213,-0.29843866540171343,-0.05000834188576767,0.002330876828354241,-0.0006702009372621821,-0.0034437030843389492,0.046192064599799354,0.02646513003948968,-0.025655523099817404,-0.033876990715735925,1.7340860042623077e-05,-0.003363169459226754,0.04616436065227162,0.03862522007043594,-0.04982670616294285,-0.03382429153199609,0.013789908749715777,0.03043065860686056,0.07694566939992731,-0.026793786862921554,-1.102182301693233e-05,0.02831903665585145,0.0059472512000979805,0.06629444287909791,-0.07977118752279466,-0.02227843805781049,0.0009888963386401883,0.028065243118902572,-0.04211949460682263,0.14709395371107803,-0.07919595377700261,-0.05527413873551268,-27.503990840428983,1.6318814249900269,-0.132615929565348,0.002122038208682027,0.031528825535953084,8.868891775900064,-28.035452792540262,-1.388578333572272,10.781970765124575,0.001210708078535948,0.032456670226514016,7.677868657572672,-25.88671334440051,-1.389794057257432,9.823397080619669,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12,0.1944545074174976,0.00043432440282119403,5.622782988153052e-05,-0.00037693635336441707,0.0052482195000723856,-0.3270691875794025,0.6268406708691927,-0.003600197657018663,-0.2998197079327957,-0.000369856238905669,0.00524581249554606,-0.32547477851908035,0.6236945261228637,-0.0035955888058139063,-0.29807471486408393,-0.04909542212756186,0.004639246910352061,-0.0014740145431498286,-0.0034440337390294574,0.0470416356994749,0.02664354757549262,-0.023666689813444466,-0.03627012634141977,-0.0006510122816916916,-0.003333502569067548,0.0470063179458387,0.03736163523223126,-0.045413887551610514,-0.036200170145306174,0.012131684587650397,0.06387714282041657,0.08594025487514645,-0.012374480279961686,0.002302226370382243,0.0007190804367924741,-0.01296693860641085,0.067739160238375,-0.03568956787268007,-0.015652528948976396,0.003177639073456362,0.0005138712102841225,-0.04680475245132243,0.12409979779533842,-0.03520171019954432,-0.039605281569492945,-27.162132598603918,1.2703174531998167,-0.05196500179601929,0.01839970079856154,-0.22223528056984798,8.411424982795968,-27.757138304581005,-0.5996140100481849,10.369495340791431,0.016927219846616114,-0.22132460771401147,7.72475949697833,-26.485839192474288,-0.6010538554643382,9.77572799262862,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,0.1930391341822091,0.0006508480395193876,8.703613350701515e-07,-0.0004781853618019568,0.006660115743449746,-0.3262815513968835,0.6261916354190039,-0.004720422058346668,-0.29985332557730054,-0.0004670014408115847,0.0066564645180104765,-0.3243960537393196,0.6224437993143311,-0.004713275449352681,-0.297746409079867,-0.04717910784294936,0.0072174545566064535,-0.0018452489515486791,-0.0033749669479179903,0.04706320811257867,0.026254539417300292,-0.021634515006293216,-0.03734081337760017,-0.0011205881501609835,-0.0032381733968638573,0.04702173408214722,0.03595749265869159,-0.041690893617750364,-0.0372562214512925,0.01094352614056561,0.07413762546566716,0.07701318997202122,-0.004329624370266828,0.0030532575328692246,-0.01320705333198724,-0.020893654325220723,0.06799703120157119,-0.009006314335849197,-0.015968874869031424,0.003848718817963004,-0.013387645259983927,-0.04315821935125541,0.10470939849687966,-0.00856883958951471,-0.03221620379463275,-26.912043119317598,0.9329377249222677,-0.007529504424866945,0.035023483966748044,-0.4131911643356576,8.053361680083981,-27.54278737674983,0.01146091076667241,10.01838185819551,0.03328841387885663,-0.4124670305082466,7.762825606615724,-26.964964861954645,0.01001704230496784,9.713428143343407,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.18,0.19169048480983972,0.0009366835471924003,-5.8383769144630364e-05,-0.0005766864384599142,0.008060125638828318,-0.32551271950325716,0.6256037972968965,-0.005848752142576937,-0.2999013152091875,-0.0005606827957813337,0.008055067659740907,-0.32335617135697503,0.6212873109644458,-0.00583867404852202,-0.2974470978790652,-0.04495497907897934,0.00952785025576709,-0.001975137682656684,-0.0032833692219319133,0.046666996512619054,0.02562772978754367,-0.01959460407024608,-0.037611002807675646,-0.0015996543962319262,-0.003122711832324967,0.0466201047243477,0.03466274607815393,-0.03854961166284397,-0.03751328663897795,0.009977040026726627,0.0759492130777275,0.06233473228347286,-0.00015982102101430584,0.0032057342854443505,-0.01970997456595569,-0.024285627915020314,0.0669935847039369,0.0070590530991410105,-0.01784233204989505,0.003954867764448977,-0.019880460734977845,-0.03769640549535325,0.08859468200330411,0.007470656396201036,-0.027900583446353266,-26.707704993379007,0.6497176028556589,0.01576378734004873,0.05152394294399902,-0.5644679471527854,7.766002349666066,-27.38080583625927,0.4869118136764194,9.733252945865422,0.04976253127960723,-0.5640385462067097,7.782054852353626,-27.341860947324868,0.48561031293881474,9.652056306418132,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21,0.1904101897292403,0.0012786203139205387,-0.00011778173854324375,-0.0006723023542609716,0.00944239655709753,-0.3247657446747544,0.6250762534010227,-0.006970729079017979,-0.2999653629399194,-0.0006508047697630786,0.009435778386809857,-0.32235021573957623,0.6202105578283634,-0.006957349056934778,-0.29717289720336515,-0.042676502686647515,0.011397892224271277,-0.001979932313287113,-0.003187197193368583,0.046075697275640384,0.024899160950093063,-0.017584796529127974,-0.037399231214701414,-0.002134924357728778,-0.0030040657993914976,0.04602369090229837,0.03353185391329333,-0.03589177120274485,-0.03728916694709192,0.00914002252333603,0.07470468116086693,0.04712817451840623,0.001827421451951583,0.003091987534588725,-0.02206050659631842,-0.025688595603298836,0.06486021497198635,0.016299925823261674,-0.019418315271423126,0.003818306448707176,-0.022229410743918265,-0.032632259550041454,0.07534781651338562,0.01670133212749647,-0.02476691015954202,-26.53082374259959,0.42622072959753254,0.02694818714155723,0.06726441490334807,-0.6892718520491363,7.532465833052723,-27.260363303535595,0.8576845820442277,9.50898076906414,0.06561711034922775,-0.6891909537773928,7.782805826434095,-27.633703861165763,0.8565949888893694,9.597606237679809,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24,0.18919712886168563,0.0016629724377152425,-0.0001755350286351007,-0.0007651354812808993,0.010804813019430055,-0.3240418895822946,0.6246070836986236,-0.008078036082218087,-0.30004688715439554,-0.000737490267940987,0.010796482644209281,-0.32137362915577244,0.6192016177271431,-0.008060992866432788,-0.29692098674680867,-0.04043536225182151,0.012811737459823464,-0.0019251096697285655,-0.003094437567330921,0.04541388207775083,0.024128503081994098,-0.015638990079968385,-0.03691023344000356,-0.0027174738158714717,-0.0028895166059302825,0.04535680857998082,0.03255288612679209,-0.033631336707343286,-0.03678812698326702,0.00839701521854977,0.07242597156533037,0.033494270454426545,0.002632575746072341,0.002841728267682697,-0.022071653239898126,-0.026055259378523488,0.06183015007559334,0.021030013932261227,-0.02020170983200842,0.0035600652552680856,-0.022243420670983838,-0.02849880412432526,0.06455970883007467,0.021430398450661414,-0.022162361034588685,-26.373497145546594,0.257843517707806,0.03125121575300005,0.08191886540029533,-0.7958353277511087,7.341110582718006,-27.17178261330817,1.1479184701104543,9.337266197629054,0.08043708175622273,-0.7961158636176355,7.768606469899491,-27.856296993234867,1.1470479371329372,9.552282206556214,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.27,0.18804925136853978,0.00207746940491893,-0.00023091900055549256,-0.0008554110528599125,0.01214736499384667,-0.3233414842232754,0.6241935611312925,-0.009166416072879158,-0.3001465929077205,-0.0008209717073891542,0.01213716782300482,-0.3204226914956806,0.6182507813638699,-0.009145349317325203,-0.2966890224151833,-0.0382625831048616,0.013816565573456261,-0.0018461323973463953,-0.00300918571930044,0.044751732480553884,0.023346845300638394,-0.013784085577700585,-0.036279333022035724,-0.0033235251108317244,-0.00278271464827224,0.04468950595985131,0.03169792200306233,-0.03169454544244105,-0.03614521502974718,0.007732144387512109,0.06977174620992344,0.02223353012902729,0.0028209761861912597,0.002500625079647989,-0.02067797442907704,-0.025898067271100444,0.058204361946195604,0.022745106726574704,-0.020189269667298504,0.0032200435045810494,-0.020854715500490784,-0.025298077464384505,0.05570270158159474,0.02314971662570997,-0.019787627403502484,-26.231770354265837,0.13630567568824903,0.031694206282630304,0.09543515006987799,-0.8896876204107802,7.183007555910334,-27.10678969823301,1.376977207549089,9.209306995645203,0.09410259322468982,-0.8903157474459897,7.743511219446834,-28.02372502144021,1.3762893766595057,9.516702408383283,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
