t[s],q_BodyPitch,q_BodyRoll,q_BodyYaw,q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,qd_BodyPitch,qd_BodyRoll,qd_BodyYaw,qd_LLHip1,qd_LLHip2,qd_LLHip3,qd_LLKnee,qd_LLAnkleRoll,qd_LLAnklePitch,qd_LRHip1,qd_LRHip2,qd_LRHip3,qd_LRKnee,qd_LRAnkleRoll,qd_LRAnklePitch,qdd_BodyPitch,qdd_BodyRoll,qdd_BodyYaw,qdd_LLHip1,qdd_LLHip2,qdd_LLHip3,qdd_LLKnee,qdd_LLAnkleRoll,qdd_LLAnklePitch,qdd_LRHip1,qdd_LRHip2,qdd_LRHip3,qdd_LRKnee,qdd_LRAnkleRoll,qdd_LRAnklePitch,Tau_BodyPitch,Tau_BodyRoll,Tau_BodyYaw,Tau_LLHip1,Tau_LLHip2,Tau_LLHip3,Tau_LLKnee,Tau_LLAnkleRoll,Tau_LLAnklePitch,Tau_LRHip1,Tau_LRHip2,Tau_LRHip3,Tau_LRKnee,Tau_LRAnkleRoll,Tau_LRAnklePitch,q_ALShoulder1,q_ALShoulder2,q_ALShoulder3,q_ALElbow,q_ALWristRoll,q_ALWristYaw,q_ALWristPitch,q_ARShoulder1,q_ARShoulder2,q_ARShoulder3,q_ARElbow,q_ARWristRoll,q_ARWristYaw,q_ARWristPitch,q_HeadPitch,q_HeadRoll,q_HeadYaw,qd_ALShoulder1,qd_ALShoulder2,qd_ALShoulder3,qd_ALElbow,qd_ALWristRoll,qd_ALWristYaw,qd_ALWristPitch,qd_ARShoulder1,qd_ARShoulder2,qd_ARShoulder3,qd_ARElbow,qd_ARWristRoll,qd_ARWristYaw,qd_ARWristPitch,qd_HeadPitch,qd_HeadRoll,qd_HeadYaw,qdd_ALShoulder1,qdd_ALShoulder2,qdd_ALShoulder3,qdd_ALElbow,qdd_ALWristRoll,qdd_ALWristYaw,qdd_ALWristPitch,qdd_ARShoulder1,qdd_ARShoulder2,qdd_ARShoulder3,qdd_ARElbow,qdd_ARWristRoll,qdd_ARWristYaw,qdd_ARWristPitch,qdd_HeadPitch,qdd_HeadRoll,qdd_HeadYaw
0.0,0.2,0.0,0.0,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.245328418703103,-0.06631334394626265,-0.1443112528223871,0.07244227391959157,-1.6799600966634785,1.1933321507491996,-2.134588626357413,1.1446774222213207,0.8271224001689461,0.07244218689550053,-1.6799625189121343,0.7166453649319351,-1.1216823791639854,1.1446778470099161,0.2534039953152387,-31.78312239995931,-3.920041221904971,1.3495584842779431,0.2804712568153172,-3.536135341878182,6.469160492715686,-20.747664760764135,11.527418259056564,7.992500662537036,0.28049551527525163,-3.536111706892189,13.692633966135455,-33.537912348037025,11.52743370937986,13.414085560372289,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03,0.1988792044112852,-5.96820176228217e-05,-0.00012988012691526584,6.519804949936088e-05,-0.0015119640967830945,-0.32892600107667547,0.62807887023287,0.0010302096818384599,-0.29925558983561096,6.51979711774743e-05,-0.0015119662768069873,-0.32935501919308247,0.6289904858691001,0.0010302100641465584,-0.2997719364061014,-0.03735985295715984,-0.0019894005874273903,-0.004329337563842195,0.0021732683166453626,-0.050398803226103156,0.03579996411081765,-0.06403765890433305,0.03434032272794866,0.024813672146301542,0.00217326570591581,-0.05039887589356624,0.021499360230585865,-0.033650471029994834,0.03434033547155195,0.007602119796620173,-0.3345609186267211,0.12571761911884138,0.13487654493091483,0.03710088217144403,-0.29922533534215745,0.029347052963657916,0.25462119470785183,0.5222663546023796,-0.19977171786308645,0.0396474619832361,-0.29995933512097395,0.21196240269023292,-0.08093941765514501,0.5237625668660257,-0.06668621966082355,-29.056099461834812,-4.657994268122719,0.8803010221188918,0.11376683149587168,-1.806368106113233,6.346693908339838,-21.839146330877828,7.735854510728502,8.518934236401675,0.11290799668167675,-1.8048827116669048,11.736844967547164,-31.389725466044144,7.73424816701824,12.620695113678568,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06,0.1974573040166101,-6.218160041365733e-06,-0.0001383713630403406,0.00016378688896588758,-0.0032932309757388676,-0.32782558978699117,0.6263868995501262,0.00253045907947735,-0.2986909742258924,0.00016607865416377762,-0.0032938959355949034,-0.32851927218790467,0.6279081262432911,0.002531806435143517,-0.29960389040540986,-0.04739667982250296,0.0017821285860485322,-0.0002830412041691594,0.0032862946488842228,-0.05937556263185911,0.03668037632281084,-0.05639902275812971,0.050008313254629684,0.018820520323952223,0.0033626894328767773,-0.05939765529293055,0.027858233505926366,-0.03607865419363634,0.05005321236656528,0.005601533356384607,-0.05965619985652637,-0.13075802918764268,0.08542773468926335,0.007126622138628136,-0.12695867819275009,-0.05545894274933971,0.2373344068289498,0.2866411635475288,-0.11755868102090972,0.008533745109559732,-0.12713841350557686,0.0898464025432304,-0.01510616375344398,0.2872969665149867,-0.014463933846400323,-28.00595811598807,-4.205868536199004,0.4872343268429817,0.05086438967590923,-0.8439489635480857,6.653553123275435,-23.42683172598636,5.012416087711475,8.996173152897859,0.046704595562041096,-0.8411445481950502,10.434655083576075,-30.168055735964426,5.008569261488965,11.931029878416748,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09,0.19598171303068285,-7.043654757991045e-05,-6.997763904799615e-05,0.00026878969161345484,-0.005188760685107395,-0.32677509154967954,0.6249085298209323,0.004288685527561506,-0.29823216142150005,0.00027463971098833323,-0.005190250186571005,-0.3276026634413489,0.6268121710865431,0.004291970079245607,-0.29944886195129133,-0.04918636619757549,-0.0021406129179514905,0.002279790799744816,0.003500093421585575,-0.06318432364561759,0.0350166079103883,-0.049278990973130585,0.058607548269471864,0.015293760146412295,0.0036187018941518543,-0.06321180836587004,0.030553624885191085,-0.03653183855826455,0.05867212147006967,0.0051676151372839745,0.0331975194798062,-0.20407638566476916,0.04499387127175147,-0.002733196175597641,-0.041015893933419534,-0.06984175178470764,0.18964683769559088,0.15167380344951198,-0.07335790976480894,-0.0020084438449075037,-0.04094204113985711,0.035741345252063184,0.009528331579190308,0.15187956496072275,0.002417526337922027,-27.48014324414023,-3.353485066222706,0.23933501427675918,0.01587920694726449,-0.22381077243476688,7.032160018723023,-24.749585649241258,2.9544087680631903,9.268015451898187,0.009459030386513833,-0.2205569693104971,9.490638135104335,-29.183214247550975,2.9494008045287963,11.236578654447289,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12,0.19453599981479078,-0.00031832367266480094,3.8910569377573754e-05,0.00037133261662232545,-0.007121204690455948,-0.3257874508902819,0.6236008422500069,0.006183418397683658,-0.29783937073785927,0.00038139316730717067,-0.007123452266026233,-0.32665388747809176,0.625724791419678,0.006188825330771157,-0.2992916577192816,-0.04819044052973531,-0.00826290416949635,0.003629606947518997,0.0034180975002956874,-0.06441480017828512,0.03292135531325527,-0.04358958569751337,0.06315776233740508,0.013093022788025335,0.0035584485439612477,-0.06444006931517428,0.03162586544190589,-0.03624598889550384,0.06322850838418503,0.005240141066990419,0.0644476987655338,-0.20312689003557471,0.019949992472253264,-0.0060958494392338025,0.003011596499455038,-0.06326137790512121,0.14967788982744423,0.07003982691549027,-0.051520349652264485,-0.005748779045468666,0.0031994927260186046,0.009007668388846923,0.027552769471299143,0.0700158906141155,0.00141273826534416,-27.157812854606814,-2.45600937385273,0.09335758537449389,-0.01687220501474691,0.2082581509106537,7.370924988207954,-25.821501641709105,1.3633486558676273,9.438395363701062,-0.023530872263524776,0.2110465432073578,8.766974274316336,-28.39002943042504,1.3585880889009598,10.621291691334257,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,0.193148289534535,-0.0007490249917900186,0.00016575377203819326,0.0004683892761127297,-0.009050938249816516,-0.32485674546907106,0.6224278647867545,0.008141187110144029,-0.29749294837281653,0.0004829727214023396,-0.009053774792868948,-0.325697004604221,0.6246622092394452,0.008148694881925524,-0.29913318202061584,-0.046257009341859286,-0.014356710637507257,0.004228106755353984,0.003235221983013475,-0.06432445197868561,0.03102351404035999,-0.03909924877507989,0.06525895708201233,0.01154741216809043,0.0033859851365056312,-0.06434408422809053,0.03189609579569123,-0.035419406007761146,0.06532898503847889,0.005282523288858557,0.07355359563281638,-0.17498294539299158,0.006090479161161122,-0.007293547748886908,0.025356197366679822,-0.05208872132976694,0.11752141604870303,0.019324985347395796,-0.038903314525668975,-0.007115864871764188,0.025578531674831595,-0.005720733651173759,0.04030478968479656,0.019209106544749943,-0.004315110612424178,-26.92270905979902,-1.6496939449320966,0.009934227309546023,-0.050896452466764115,0.5277072807368818,7.641718134293713,-26.675508465311626,0.12218201746200692,9.552831121347888,-0.05585257513247648,0.5293029905619934,8.197630014252915,-27.759849887383716,0.11888133619010005,10.108853019825549,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.18,0.19182677749211025,-0.001337210988691845,0.00029807840538823683,0.0005588817476289634,-0.010957851259802004,-0.3239729198839097,0.6213606565773788,0.010116348313849043,-0.29718153898114696,0.0005781480022300051,-0.010961076669509158,-0.32474527040216083,0.6236359013908881,0.010125852633490133,-0.2989785899312741,-0.044050401414158245,-0.019606199896727544,0.004410821111668119,0.0030164157172077924,-0.06356376699951626,0.02946085283871184,-0.03557360697918795,0.06583870679016712,0.010380313055652549,0.003172509360922184,-0.06357672922134036,0.03172447340200592,-0.03421026161856843,0.065905258385487,0.005153069644725293,0.07476096241988017,-0.13978937949911763,-0.0009709092575524991,-0.007658527817239857,0.03596109560502647,-0.04159902524057202,0.09215818876839421,-0.012071279586166384,-0.03050146622194916,-0.007511955592605091,0.03617222071336812,-0.014483175798261527,0.048493445901272025,-0.012194311992914209,-0.010016557565222683,-26.731137003480633,-0.976306492460237,-0.03696994294964872,-0.08493217400846166,0.7743905201572197,7.845381958674,-27.345281844535307,-0.8483285194535547,9.632453832179722,-0.08671667632493948,0.7743022602632161,7.745161833382008,-27.26513570648592,-0.8493099174281201,9.696935703883515,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21,0.190572550304141,-0.002051207439730343,0.00042952921931423805,0.0006424815450840819,-0.012832399297048786,-0.32312653342999414,0.6203763907289588,0.012080645367931662,-0.29689758090241253,0.0006665625242335988,-0.012835823560892426,-0.3238065710776757,0.6226532376546549,0.012092035506417118,-0.29883301274676,-0.04180757293230826,-0.02379988170128327,0.004381693797533374,0.0027866599151706154,-0.06248493457489276,0.028212881797184928,-0.03280886161400132,0.06547656846942061,0.00946526929114725,0.0029471507334531207,-0.06249156304610892,0.031289977482838086,-0.03275545787444002,0.06553942909756613,0.004852572817135297,0.07320507030412671,-0.10602273538545415,-0.004206912678399011,-0.00759402965178424,0.03988069134861405,-0.03313281918684652,0.0724146024796255,-0.03072713530286819,-0.02434811375019308,-0.007396267522722155,0.04005700943613988,-0.019844202450258308,0.05294203131506947,-0.030809822821993293,-0.014274435750621706,-26.565926595447934,-0.43740321907929613,-0.06291841432807897,-0.11753041421458048,0.9713837723084225,7.991728519358207,-27.86291177124761,-1.6076261786867656,9.689062642575218,-0.1152130122050238,0.969330338878957,7.384255680685532,-26.880101088895973,-1.6057769739810466,9.37397816513502,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24,0.18938420767346612,-0.0028606243289660115,0.0005571938127648434,0.0007192467107727732,-0.014671054686483486,-0.32230996653396904,0.6194572980482895,0.014017287995970785,-0.2966355361372823,0.0007483204003101377,-0.014674519118146618,-0.3228857315334953,0.6217182217349312,0.01403048953446919,-0.29870028254832887,-0.03961142102249596,-0.026980562974522275,0.004255486448353509,0.0025588388562897096,-0.06128851298115667,0.027218896534170364,-0.030636422688973527,0.06455475426797079,0.008734825504341187,0.0027252625358846314,-0.061289851908473095,0.030694651472678917,-0.031167197324120932,0.0646151342684024,0.004424339947704539,0.07068512051871778,-0.07684663120344304,-0.005376375435538705,-0.007266570774390857,0.03996835706855961,-0.026802180445997692,0.057260169903770475,-0.04076166362006006,-0.019621057095946526,-0.006977681037255934,0.04010086922110645,-0.023021582673322882,0.05441241278867892,-0.04078258647768962,-0.01685614761686338,-26.419644149482583,-0.018479209927316446,-0.07691055912990234,-0.14789980989413679,1.133407981064972,8.092357677506524,-28.25763083405324,-2.2029632710022917,9.73044708709114,-0.14101195091886842,1.1292673191242137,7.095608283906223,-26.581540703252767,-2.198051378407882,9.125943045681225,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.27,0.1882594816577616,-0.0037392031766424684,0.000680019668933555,0.0007894719614951281,-0.016473738542494527,-0.3215175215966169,0.618589739526854,0.015917245124492774,-0.29639115032778685,0.0008237983620202572,-0.01647712388098472,-0.32198561140035065,0.6208321769757661,0.015932239232326974,-0.2985827228786743,-0.03749086719015018,-0.029285961589215228,0.00409419520562372,0.002340841690745164,-0.06008946186703473,0.026414831245072032,-0.028918617381183925,0.06333190428406624,0.008146193649847644,0.0025159320570039864,-0.06008682542793664,0.03000400443815494,-0.029534825305504452,0.06339165659525944,0.003918655655152179,0.06784060362599575,-0.05311257629260613,-0.00546600724644275,-0.006768672598710168,0.03787794158809987,-0.0222727202234978,0.045738435629004925,-0.04494213375198797,-0.015893901568460933,-0.006377794024785999,0.03796680736937219,-0.024671674017895384,0.05361371076185151,-0.04489696178688973,-0.017954912568029613,-26.288484919616664,0.3001792473997586,-0.08415449613418013,-0.17582400801426332,1.2706012870115475,8.15815352569307,-28.55519045538529,-2.6727854341443793,9.762256302877947,-0.16423197160349715,1.264356628692687,6.863630503868092,-26.34930669875922,-2.664772073540002,8.939025673293475,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
