t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.87955,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22340100950637343,0.5667017517150459,0.20199352299671336,0.6933632653542734,0.07202838820038693,0.12528699722017578
0.03,0.0002010380508676778,0.0005099861573524319,0.8797319467815249,0.00031201346412695175,3.24127741414172e-05,5.637914779456507e-05,0.9999999492091997,0.0067020302851912026,0.017001052551451377,0.0060598056899014005,0.0208008979606282,0.0021608516460116076,0.003758609916605273,0.07987384403422304,0.231946451590062,-0.021163150509669215,-0.08601504404925464,-0.09112093863254245,0.06236429372035346
0.06,0.0004738528592425343,0.0012286770181023877,0.8798953237228665,0.0005853233547491956,2.3810187094040124e-05,0.00014081068162952783,0.9999998185009822,0.009098245606217893,0.023959446099153237,0.005424911174611324,0.01822044663915056,-0.0005727765129646656,0.005629538728215876,0.01235302548021977,0.12433179143099071,-0.02295658683470503,-0.06865265050906721,-0.0685773886139458,0.04221442278216969
0.09,0.0007575992892535984,0.0020592667106245034,0.8800385815624168,0.0008277443120595728,-1.566768995059897e-05,0.0002442213640389943,0.999999627474832,0.009468836370624486,0.02768939984208296,0.004736213569570173,0.016160867123878545,-0.0026300981713830397,0.006895971411680967,-0.009846664003976713,0.06419548609465897,-0.020079984680931418,-0.05114670472215099,-0.049626437879389584,0.02611023866237705
0.12,0.0010322545096513465,0.0029476564763477823,0.8801642873004814,0.0010471544747542715,-7.749280112350955e-05,0.0003593627870968867,0.9999993841601899,0.009173436450505184,0.029615264424922728,0.00413381402914223,0.014626465982214015,-0.004118891307764727,0.007679278571552279,-0.014858949372392516,0.028773840763938574,-0.017613767972100902,-0.03616297279969527,-0.03787767819050458,0.014664215612066211
0.15,0.0012932905437062804,0.0038619795965845454,0.8802746111202981,0.001250296857172169,-0.0001563756099934729,0.0004810839704222532,0.9999990904309118,0.008727667969333408,0.030478479647840884,0.0036054009899792027,0.013541576798223157,-0.005255221653479865,0.008119205039914265,-0.01412877105153676,0.007347932649436922,-0.015505912340071148,-0.02401427329693044,-0.029648534829597395,0.007036986981763915
0.18,0.0015413648762667815,0.00478296018009487,0.8803713986308851,0.0014426386728028085,-0.00024860939567508504,0.0006059533941962074,0.9999987449029685,0.008303804837787306,0.03069891762732399,0.0031402236197770684,0.012821148599315244,-0.006144677698367787,0.008330314649367183,-0.011871897727504077,-0.005566768708087422,-0.01367908959509645,-0.014635681174128834,-0.02335423910716372,0.0021475408154295605
0.21,0.001778518945280425,0.005698979665784609,0.8804562498651848,0.0016284004802072352,-0.0003513579454967405,0.0007317723745251459,0.999998344682961,0.007947647905962184,0.03053191456608137,0.002729850931924175,0.012382078164091379,-0.006845304871582698,0.00839474087383007,-0.00955826827615347,-0.013014884616874778,-0.012089660511859002,-0.0076963048103304565,-0.018324341044511527,-0.0008672440157770911
0.24,0.002006849910394994,0.00660333779973221,0.8805305610943421,0.001810705028006613,-0.0004623543124587243,0.0008571864063996256,0.9999978864013943,0.00766089985767758,0.030141468027575127,0.0023671611165684047,0.012151189019781464,-0.007395035102918044,0.008368723553356758,-0.007637246261737118,-0.016842499238751585,-0.01070820781193671,-0.0027664113533347745,-0.014237490673707498,-0.0025981442024463064
0.27,0.002228102699525658,0.00749259168910134,0.880595551050289,0.001991770614152809,-0.0005797564581877706,0.0009814190464806063,0.9999973667709956,0.007431782469825466,0.02963619305041258,0.0020459148822103033,0.012068196679181421,-0.007822159823129268,0.008290779227283369,-0.0061892237214262735,-0.018266842912006198,-0.00951070363425277,0.0005205025655481421,-0.010898310344551021,-0.0034623007564040797
0.3,0.0024435955145845852,0.008365460571579676,0.8806522812069034,0.0021730760178381896,-0.0007020594612667654,0.0011040839617167033,0.9999967829206947,0.007246105758182678,0.029088187763052394,0.00176059377318272,0.012083811756147865,-0.008149109133465799,0.008186910204591247,-0.005167287819213939,-0.018115429323491417,-0.00847453063549608,0.0025796202501258136,-0.008180960601265497,-0.00375508305019423
0.33,0.0026542608942903717,0.009222081219157293,0.8807016745566865,0.0023555473601635543,-0.0008280388865583545,0.0012250518400234423,0.999996132490634,0.00709108712360626,0.028544724883347652,0.0015063578541178377,0.012161200363651639,-0.008394537951503763,0.00807425771308542,-0.00449186562389059,-0.0169837783856136,-0.007578492013244897,0.0037017487478392397,-0.00598127151353367,-0.0036723175667972008
0.36,0.0028607168774353675,0.010063472082980045,0.8807445331194503,0.00253968899728071,-0.0009567038870542121,0.001344362142318039,0.9999954136834328,0.006956331154889543,0.028035211531779243,0.001279003093720491,0.012272252826086816,-0.008573976096909774,0.007964088186081504,-0.004083054608205572,-0.015293101792491326,-0.006803592647033341,0.0041507511006706466,-0.004208660471547887,-0.0033602653556901174
0.39,0.0030633388974927564,0.01089115429257951,0.8807815536429547,0.002725702291156707,-0.0010872563623835333,0.0014621572216647002,0.9999946252439967,0.006833839516643375,0.027576418478004502,0.0010748953143094907,0.012396775359106936,-0.00870023591105621,0.0078632802254108,-0.0038690560825838105,-0.01333941931088578,-0.006132031629924484,0.004147485459363942,-0.002793038633335243,-0.0029190623988046838
0.42,0.0032623246388869087,0.011706885315571588,0.8808133424528903,0.002913585029777785,-0.0012190593173369007,0.0015786372370391356,0.9999937663911355,0.006717767834165861,0.02717623589867793,0.0008909343654117562,0.012521199922887853,-0.008784027070056268,0.007775708353446659,-0.003790896074079342,-0.011330637895017537,-0.0055476692312330655,0.0038325762292394927,-0.0016682107092265142,-0.002427254284770086
0.45,0.0034577474937047114,0.01251247190803488,0.8808404289927653,0.0031031947396588603,-0.0013516069762779565,0.0016940248050040998,0.9999928367848189,0.006604040951943481,0.026836316761827406,0.0007245042884747642,0.012636177209765037,-0.008834073391333063,0.007702890724903557,-0.003802955883722703,-0.009398683057601609,-0.005037493299269613,0.0033494259861264197,-0.0007767435929366684,-0.0019233026181906254
