t[s],q_BodyPitch,q_BodyRoll,q_BodyYaw,q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,qd_BodyPitch,qd_BodyRoll,qd_BodyYaw,qd_LLHip1,qd_LLHip2,qd_LLHip3,qd_LLKnee,qd_LLAnkleRoll,qd_LLAnklePitch,qd_LRHip1,qd_LRHip2,qd_LRHip3,qd_LRKnee,qd_LRAnkleRoll,qd_LRAnklePitch,qdd_BodyPitch,qdd_BodyRoll,qdd_BodyYaw,qdd_LLHip1,qdd_LLHip2,qdd_LLHip3,qdd_LLKnee,qdd_LLAnkleRoll,qdd_LLAnklePitch,qdd_LRHip1,qdd_LRHip2,qdd_LRHip3,qdd_LRKnee,qdd_LRAnkleRoll,qdd_LRAnklePitch,Tau_BodyPitch,Tau_BodyRoll,Tau_BodyYaw,Tau_LLHip1,Tau_LLHip2,Tau_LLHip3,Tau_LLKnee,Tau_LLAnkleRoll,Tau_LLAnklePitch,Tau_LRHip1,Tau_LRHip2,Tau_LRHip3,Tau_LRKnee,Tau_LRAnkleRoll,Tau_LRAnklePitch
0.0,0.2,0.0,0.0,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.228534384650601,-0.23500419477246304,-0.11367670305969213,0.10032019495395161,-1.4108730392178188,1.2895650282669067,-2.106897065987141,0.751934868461376,0.771028962602486,0.10031943650591302,-1.4108756880696518,0.6672838056616399,-0.9143100045746451,0.7519347605229996,0.1487936473231457,-31.910523899947123,-1.2063255756765432,0.8401178138676433,0.14610463656850423,-2.1687723386380147,8.32763950561142,-23.781885345030123,6.2260073226300845,9.389536282660183,0.14611729352786823,-2.16876051767963,12.007358892314945,-30.244822412345062,6.226015494556383,12.097121189567927
0.03,0.19889431905381447,-0.00021150377529521674,-0.00010230903275372291,9.028817545855644e-05,-0.001269785735296037,-0.3288393914745598,0.6281037926406116,0.0006767413816152385,-0.29930607393365777,9.028749285532171e-05,-0.0012697881192626865,-0.32939944457490455,0.6291771209958829,0.0006767412844706996,-0.29986608571740914,-0.036856031539518025,-0.007050125843173891,-0.003410301091790764,0.003009605848618548,-0.042326191176534564,0.0386869508480072,-0.06320691197961423,0.02255804605384128,0.023130868878074577,0.0030095830951773904,-0.042326270642089554,0.0200185141698492,-0.027429300137239352,0.022558042815689985,0.004463809419694371,-0.34410446219878565,0.1569931398903579,0.0843064965087077,0.02923175205512507,-0.21405251077172238,0.10452027388089391,0.1678323989837054,0.3135947130315344,-0.1730666659259441,0.031060601152049117,-0.21478560627865306,0.17665150648042527,0.029699876821950966,0.3148891533871847,-0.12266766666539297,-29.158008038765555,-1.972580217585061,0.5600064948013754,0.053138323525075616,-1.0632325997458463,7.711405044245965,-24.115478196844432,4.118264887897356,9.587212499183934,0.053904106121425384,-1.0628334794943308,10.484706580847547,-29.001240889260323,4.1181318872417965,11.67197022717595
0.06,0.19747894409165,-0.00028171372468911135,-0.00012874221864960888,0.00020688492776672543,-0.002732218730286624,-0.3275847147026268,0.6263586344403085,0.0016357180049588577,-0.29876790786664886,0.00020852952674748764,-0.002732883284176161,-0.3286399027939767,0.6283809718809055,0.0016368828069898654,-0.29984257233481715,-0.047179165405481595,-0.002340331646463154,-0.0008811061965295331,0.0038865584102723,-0.048747766499686235,0.041822559064434016,-0.05817194001010306,0.031965887444787316,0.017938868900296254,0.0039414011297388635,-0.04876983883044915,0.025318059364261958,-0.026538303832580823,0.032004717417305525,0.0007837794197325821,-0.06707986740327954,-0.01926165210694819,0.05403096795126494,0.007121957339080609,-0.09300452887435995,-0.010907655392713878,0.17823384664325204,0.16891726647804717,-0.09612343541607515,0.008601128518101575,-0.09346018408724888,0.055234863359174824,0.06345328403051553,0.1698473791611832,-0.0515446142953806,-28.063868428784595,-1.967606812022549,0.3176801828698748,0.016044116119298096,-0.45683785107681685,7.597675340954504,-25.032118477856113,2.6306617022057472,9.768348992212918,0.016078873494728488,-0.4559879853736251,9.550733355458991,-28.49760091108433,2.629856433897385,11.272458109032945
0.09,0.19600319724882262,-0.00036925916097925936,-0.00010654753338935643,0.000329891441680067,-0.004278355801264135,-0.3263398548205472,0.6247738867019843,0.00274672016813272,-0.2983162528915144,0.00033451257630594494,-0.004280092614768159,-0.3278306496360256,0.6276419307215555,0.002749886970754096,-0.299865449105091,-0.04919156142757998,-0.0029181812096715997,0.000739822842008415,0.004100217130444718,-0.051537902365917036,0.041495329402652596,-0.0528249246108055,0.03703340543912873,0.015055165837814,0.004199434985281911,-0.05157364435306662,0.026975105265037203,-0.024634705311665357,0.037100138792141024,-0.0007625590091288358,0.02947080218328324,-0.07994833662850986,0.029111736187821258,-0.0005811113960163539,-0.03260223409932195,-0.043749812194676,0.15170815879275779,0.0874641656582753,-0.05768257582712977,0.0006798050624627905,-0.0329442634881012,0.007416455941779532,0.06543579623075857,0.08821589233207305,-0.022588145513282143,-27.506661982361308,-1.66087345662396,0.16601068013210163,-0.0031322985078593274,-0.06197538617479298,7.632939455521824,-25.805978572441507,1.519755996624465,9.792581187798104,-0.004034985213990084,-0.06089050983994782,8.91059496150897,-28.104284085195903,1.518387635040141,10.81507987505215
0.12,0.19455397412796016,-0.0005287581002350662,-5.815228556006485e-05,0.00045237495533699383,-0.005853834882931036,-0.3251343697694429,0.6233256763065737,0.00393644008039903,-0.2979165122346244,0.00046110745042061876,-0.005856951782499449,-0.3270147216677269,0.6269617817788132,0.003942285437617193,-0.2999086552063268,-0.048307437362081485,-0.0053166313085268955,0.0016131749276430529,0.004082783788564227,-0.052515969388896695,0.04018283503681232,-0.048273679847022764,0.03965733040887699,0.013324688563000106,0.004219829137155795,-0.05256197225770966,0.027197598943290588,-0.0226716314247426,0.03974661556210322,-0.0014402033745273,0.06318988628794386,-0.09109228216253706,0.013588806505576034,-0.003190328800599218,-0.0015360446997689792,-0.04853238459503473,0.12778220289317233,0.039262953584000115,-0.041422709289463455,-0.00207998383154262,-0.001817105264539265,-0.01199896228811781,0.06673622032565163,0.039906689186935296,-0.0155295467511678,-27.162790198574452,-1.2825687827055612,0.07798114257582239,-0.020358971743599477,0.21738869557352974,7.695961779465706,-26.436192160539026,0.6679955499298342,9.758385704208587,-0.02195430514424687,0.21846108459403354,8.432392714604948,-27.79352665536742,0.6663349536439684,10.390228671395448
0.15,0.19316162190475686,-0.0007702400934371564,2.472888124245173e-06,0.0005719871730733813,-0.007430696404827729,-0.32397256386447404,0.6219924698937668,0.00516149665089094,-0.2975540520160949,0.0005858303390869042,-0.007435446344968824,-0.32620959276548744,0.626341695434364,0.005170599924748531,-0.2999658378996387,-0.04641174077344317,-0.008049399773403007,0.002020839122810334,0.003987073924546251,-0.052562050729889766,0.038726863498961275,-0.044440213760227595,0.040835219016396994,0.012082007284316203,0.004157429622209516,-0.052616485415645835,0.026837630074647054,-0.020669544814973052,0.040943816237711275,-0.0019060897770623339,0.07359610257892513,-0.08241107587866525,0.004889024665593045,-0.004031056732017646,0.014324639340686396,-0.044632843961039725,0.1075634357753188,0.01001575915579167,-0.033616258097936225,-0.003021456786271415,0.014076201428881774,-0.02019079223387621,0.06704543997420842,0.010594462693035211,-0.015696194560860022,-26.911621379211535,-0.9266556880057827,0.029217130227972926,-0.03821065747777178,0.4286484471840971,7.7469401996688525,-26.94023288424608,0.007071061977567285,9.706684920178999,-0.04016990980186691,0.42951323209233777,8.057594052768787,-27.552750191007668,0.005365389035330066,10.028817712425692
0.18,0.1918355061738746,-0.0010858920549300453,6.749818400758893e-05,0.0006879714397509529,-0.008994665751317804,-0.32285092751907013,0.6207560705731577,0.006395567404623062,-0.29722184642985355,0.0007078339166455454,-0.009001272326152205,-0.3254226355762585,0.6257819499858917,0.006408449428303601,-0.30003714716805535,-0.04420385769607542,-0.010521732049762964,0.002167509862778125,0.0038661422225857215,-0.05213231154966917,0.037387878180130084,-0.041213310686968034,0.041135691791070746,0.011073519541378116,0.004066785918621374,-0.05219419937277938,0.026231906307630767,-0.0186581816157468,0.04126165011850233,-0.0023769756138881347,0.07545841114838225,-0.0671552449109476,0.0003531779063452589,-0.004204425774362974,0.021884521708125604,-0.0388453167532532,0.09075532008353093,-0.007645155456074804,-0.028990672326699496,-0.00325695214699806,0.021651348368649792,-0.023734827493939292,0.06614830424746287,-0.007102570868141811,-0.017542090214647033,-26.706631629158018,-0.6266103630905767,0.0034970966259493916,-0.05617662273313121,0.5967786781707896,7.776145286942155,-27.33666999671244,-0.5081663044403797,9.65349518953135,-0.05823485073079205,0.5973112508648257,7.756797915629043,-27.369646710628874,-0.5097524980710052,9.735410366863658
0.21,0.1905773030130259,-0.001461983736842787,0.00013284134000664342,0.0008001717232315979,-0.010538939028270565,-0.32176425195874414,0.6196013510406239,0.007622757518444717,-0.2969157324487062,0.0008269062372718884,-0.010547612093803801,-0.3246570397317741,0.625281738011242,0.007639906618077343,-0.30012424431766516,-0.04194010536162395,-0.012536389397091391,0.002178105199968483,0.0037400094493548323,-0.051475775898425405,0.03622251867753249,-0.038490651084462105,0.040906337127388503,0.010203799371577131,0.003969077354211432,-0.05154465892171989,0.02551986148281259,-0.016673732488322913,0.04104857299245807,-0.0029032383203275456,0.07422264199796302,-0.051157832506770085,-0.0018412292654745865,-0.004085206807198816,0.024673650954607496,-0.033413326254049025,0.07683633153374103,-0.01783366626852967,-0.025565699297658284,-0.003171460698965234,0.024445085309039882,-0.02523401025990779,0.06414207456441545,-0.01730785911252042,-0.019149551054397307,-26.529266165240156,-0.38926567057490463,-0.008951555902736462,-0.07349182579308369,0.7360422620961303,7.784352291026874,-27.643551660167915,-0.9107834641978191,9.605255508569924,-0.07549009009244831,0.7361812170977493,7.512494982224365,-27.2325856805342,-0.9121733533082645,9.504682681436314
0.24,0.18938590022997534,-0.0018841174680116217,0.00019652738966677077,0.0009086953205857639,-0.012061006019364181,-0.3207076483920468,0.6185157842064704,0.008833897332624695,-0.2966326275969268,0.0009431242432691627,-0.012071951284677262,-0.32391415449652367,0.6248392539037003,0.008855786734649818,-0.30022857606322395,-0.03971342610168506,-0.014071124372294495,0.0021228683220042453,0.003617453245138868,-0.05073556636978718,0.03522011888991102,-0.036185561138449875,0.04037132713933261,0.009436828392647383,0.0038739335332424753,-0.05081130636244869,0.024762841175015357,-0.01474947025139045,0.04052933721908246,-0.0034777248519594645,0.07190983062346845,-0.03670909959713642,-0.0027500689225536945,-0.003813703337559815,0.02478780551596671,-0.02897720619023403,0.06548127989799468,-0.023085740385170084,-0.022713345931833828,-0.002914932247165325,0.02455795010759232,-0.025689968968094945,0.061221678283573056,-0.02256481321683168,-0.019974216020045787,-26.371484591568297,-0.21025603406426174,-0.013817569086746063,-0.08970647284496217,0.8553581936814924,7.775521559080597,-27.87747407918066,-1.2265999735816027,9.564548966258462,-0.09158672635351653,0.8550898320776842,7.312500762918218,-27.13108004784838,-1.227788724281428,9.328071924079456
0.27,0.18825921629448591,-0.0023392893888178794,0.0002577383772965998,0.001013786584936126,-0.013560763985493426,-0.31967712431092066,0.617489150524225,0.010024259980458021,-0.296369964756486,0.0010567188102439881,-0.01357418832045389,-0.3231943902333445,0.6244518693066138,0.010051358519327144,-0.30035088460320075,-0.037556131182981005,-0.015172397360208588,0.0020403662543276345,0.0035030421450120736,-0.049991932204308184,0.034350802704204,-0.034221122741510034,0.03967875492777751,0.008755428014692368,0.0037864855658275155,-0.05007456785922092,0.02399214210597251,-0.012912819902883258,0.039852392822577506,-0.004076951332560838,0.0692532166326032,-0.024615938925112157,-0.0029772545686164165,-0.003463263897636182,0.023406931646288598,-0.02556790176018353,0.05627701504852212,-0.02505591934078666,-0.020190142378623932,-0.0025683176883433134,0.023173114247036608,-0.025547405923475708,0.05763892051447783,-0.02453334260530937,-0.01998386609557201,-26.229223966646423,-0.08103633935397432,-0.014392819900701202,-0.10468817900774136,0.960730837044726,7.754114872049047,-28.05324911458583,-1.4763804973955028,9.532331584165123,-0.10646993980720576,0.9600728031698954,7.147410237312375,-27.056082617746572,-1.4774137067044337,9.196492553042582
