t[s],Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter,Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter
0.0,0.4058937152952474,12.20949647730991,288.8200205073103,-8.369417701351543,-0.9057829911987533,-2.712025386409351,1.0980740013537955,10.082785198354337,363.0709444350383,-6.467527381097566,-1.2572202576478,2.7893281693509775
0.03,-0.18444050337332857,7.8653716508615865,291.123341102597,-5.690946195148362,-1.0894019388717073,-2.3666179648828236,0.06770751116380723,6.002763468664134,346.5140101020476,-3.9970055899024493,-1.4423433272258006,2.551261662182002
0.06,-0.6204043430849965,5.297662442992562,298.9078209015399,-3.8801053612841754,-1.0757905693847887,-2.2265096292642403,-0.45907092837285013,3.571422653306568,337.7820213555022,-2.287976483808593,-1.3651995838352589,2.405900660032422
0.09,-0.6204788801672723,3.601506895163137,305.6389776586022,-2.5629275715441517,-0.8929894506076178,-2.1674886740925094,-0.5286566834640302,1.9439177368791514,330.8561007109793,-1.028075288468046,-1.1277951613925896,2.3013112834302736
0.12,-0.483316165929041,2.444049847341932,311.1661074048126,-1.570037510463033,-0.6747282897848011,-2.13360469105537,-0.44097605033407083,0.816546830477434,325.3120892021601,-0.07259490041987868,-0.86429732351348,2.223959219216115
0.15,-0.3243667611246537,1.6482113820594668,315.5977071464514,-0.8091609760143321,-0.47046954454094736,-2.1070763744763803,-0.3171015847213921,0.027353745192879503,320.92283204187544,0.6608397016635473,-0.6250264818364946,2.164492608446676
0.18,-0.18210581917886234,1.1085046850214655,319.0893494651184,-0.2224843933351091,-0.29538329298915944,-2.0828077215794814,-0.20036529855078586,-0.5201484797244539,317.4911856571824,1.2258638184817807,-0.4250363846126177,2.117139158364257
0.21,-0.06666659609213146,0.7551329047275409,321.80390896378844,0.23085506192910002,-0.15193290058681266,-2.0596248163036592,-0.10416186288168855,-0.8899480156772824,314.8392560834719,1.661405343702931,-0.26584698440017707,2.078397819661682
0.24,0.021933418334241797,0.5381998750769708,323.89467190069655,0.5820544906117331,-0.037999484356374624,-2.0374355058494475,-0.03057198516071247,-1.1281469781069742,312.80859648282336,1.997650669228142,-0.1439836752995232,2.046076137741442
0.27,0.08694648942652175,0.42033513952055424,325.497989509694,0.8558719961225482,0.05000551593150439,-2.0163502321878375,0.022340255927536076,-1.2697423198942435,311.2612487646415,2.258757095478629,-0.05439966233479484,2.0187202570961094
