t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.87955,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22134607043274102,0.5536762388759255,0.20732640491876886,0.6905217911127757,0.07167484030038196,0.13069008525331682
0.03,0.00019918818092690667,0.0004982623178684516,0.8797367421718674,0.00031073480073296275,3.225367760936482e-05,5.88105374297253e-05,0.999999949472451,0.006640382112786387,0.01661028716563781,0.00621979214758249,0.020715653731101256,0.002150245210173196,0.003920702561349518,0.08259904355745995,0.2316005595633026,-0.022746810714223464,-0.07235277607743562,-0.09937096817235869,0.06115594534389679
0.06,0.00047260331942240144,0.0012049174693095765,0.879903485359204,0.0005889143438105163,1.9779953203664683e-05,0.00014512839822512498,0.9999998158631817,0.009118353419978024,0.023558303953433703,0.0055373878260812056,0.018545070454957194,-0.0008308838378494701,0.005755380923203219,0.01397658796063439,0.12542068360542102,-0.02417606257308247,-0.062262164959437705,-0.07159164063067891,0.0416340368453012
0.09,0.0007584081304643742,0.0020244512462350124,0.8800490203658321,0.0008390809174435061,-2.4925104480555724e-05,0.0002501631419650098,0.9999996163701041,0.009537651059074326,0.027320924462263026,0.00481210594884514,0.016677205509953413,-0.0029786330584273915,0.0070044020272095504,-0.009195684057903719,0.06508783757715964,-0.020925767394496475,-0.04854538445330636,-0.05034454557820567,0.025907352277061868
0.12,0.0010357048965118649,0.002902588338695655,0.8801762571168386,0.0010674073925010916,-9.230044405790582e-05,0.00036683661762239506,0.9999993587762857,0.009261780536620082,0.02927355958827323,0.004184332927120904,0.015220843970214134,-0.004488969421391787,0.007781622600417463,-0.014670219387584282,0.029125829658091462,-0.018270874884107613,-0.03576761194068201,-0.03793969257979768,0.014560467485137174
0.15,0.0012995505003300756,0.00380697618611788,0.8802875370992573,0.0012796440375475678,-0.00017676152611810074,0.000490042564835082,0.9999990455619369,0.008821673955127805,0.030147334478481634,0.0036362066805719364,0.014147815614067282,-0.005627160199553529,0.008218436622622111,-0.014095288704822906,0.007220345403103859,-0.01604902983621237,-0.024959212930177055,-0.029636243319153266,0.00690288851814802
0.18,0.001550463818839238,0.004717907840978895,0.8803848070814462,0.0014806549486876372,-0.0002745683719894783,0.0006163357251866531,0.9999986762008267,0.00839881529409439,0.03036394484073416,0.003154735785463796,0.013399039226714473,-0.00651624749975781,0.008425523277035333,-0.011854797930357819,-0.006014846325517076,-0.014138543542487447,-0.016340808339329937,-0.023435442482437452,0.0019489035818122113
0.21,0.0017904727311810452,0.0056234768562681454,0.8804697396416086,0.001674318667688495,-0.00038292696556557006,0.0007434882165567728,0.9999982486230713,0.008043171356196711,0.030183499450793592,0.002730579479186668,0.012908814974358975,-0.007219310774276124,0.008483990381361885,-0.009513150001033921,-0.013639307793849087,-0.01247964882212571,-0.00977804445052044,-0.01851526816826521,-0.0011063883525437301
0.24,0.002021700736908398,0.006516824749632802,0.8805437904533873,0.0018635885501333397,-0.0004996198279635868,0.0008701271502096697,0.9999977601457344,0.007757776856778004,0.029774320216888753,0.002356190014437898,0.012615473639212626,-0.007774768823022668,0.008450798727801913,-0.007564176489960772,-0.017536655879624052,-0.011036991202047375,-0.005007606798994146,-0.014488838492560774,-0.002857967276835627
0.27,0.0022459188918918746,0.007394446236625228,0.8806082303450411,0.0020506112078581386,-0.0006228321841517086,0.0009954666680234362,0.9999972080560312,0.007530851561334283,0.02924822053909564,0.002025080278495635,0.012465245428933529,-0.008209433973276389,0.008365059716359941,-0.006098700054543826,-0.018950378072708163,-0.009785096278056571,-0.0016838636796840944,-0.011181870291103735,-0.0037227122794609713
