t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.87955,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22224677123786307,0.5525537889052008,0.1997308088383214,0.662457655892549,0.08108169024318101,0.12590108892302432
0.03,0.00020000048323132308,0.0004972561266900031,0.8797298986695327,0.00029810594051071966,3.6486760041403846e-05,5.66554891333456e-05,0.999999953295859,0.006667403137135892,0.016576613667156022,0.005991924265149642,0.01987372967677647,0.00243245070729543,0.0037770326676907296,0.07878797512292124,0.22556733919692262,-0.020434293406983883,-0.08804896123277395,-0.0881584461260232,0.061382193904202964
0.06,0.0004708046779332332,0.001197480483025533,0.8798918451491418,0.0005565930822652616,3.329173964942337e-05,0.0001409225787662173,0.9999998346183001,0.00903104239082353,0.0233436338430637,0.005378895462940125,0.01723226083979325,-0.00021230267648526552,0.005618498484816818,0.011746423560946795,0.1205416117500615,-0.0223738875204349,-0.06883445196259697,-0.06746340051561361,0.041416088607303614
0.09,0.0007520012548132129,0.0020061951161944114,0.8800341505258196,0.0007841095869668804,-2.765464318711933e-07,0.00024381102933873747,0.9999996628640737,0.009383435097651932,0.026959882195565547,0.004707678837327078,0.015167227280915343,-0.002236204691953674,0.006860981143035926,-0.010094723127476612,0.06214050941394644,-0.01965236895168143,-0.050652868230830705,-0.0493349432743031,0.02553927883215934
0.12,0.0010238915173200124,0.0028708614565396352,0.8801592421490108,0.0009888376710103796,-5.606011819464341e-05,0.0003581747225662789,0.999999445383942,0.009080593403827634,0.02882409747798394,0.004118107768776635,0.013647641233990423,-0.003716252990182767,0.007627159508000706,-0.014938690119599585,0.027866176133750253,-0.017277079370439985,-0.03537395905153762,-0.03785600198693828,0.014328600133084901
0.15,0.0012820994551294806,0.0037606443007174297,0.8802692115651654,0.001177653166462446,-0.00012889095550674658,0.0004789685244841975,0.9999991835543135,0.008632432700239646,0.02966008276199645,0.003599795387663436,0.012586422462444295,-0.004851933049790915,0.008057017511993253,-0.014149567651102757,0.007169884863916412,-0.015230502100855858,-0.023158530060474608,-0.029688164737514455,0.006891553030567765
0.18,0.0015273353881322216,0.004656923636215424,0.8803658533831672,0.0013560532663081902,-0.00021509009246424452,0.0006028464200669437,0.9999988757153604,0.008207945670706564,0.029875179307913943,0.00314288032463776,0.011891666560630057,-0.005742577991916349,0.008263764102910286,-0.011883852098380387,-0.005302457921715742,-0.013450193671628696,-0.013834436047562182,-0.023380580859637234,0.0021344899898824155
0.21,0.0017616480948640099,0.0055484784498617355,0.8804507298022143,0.001528233939064532,-0.00031181552267691207,0.0007276691957125634,0.9999985188837276,0.007851430107755153,0.02971610557026247,0.002739374514488899,0.011476633479203191,-0.006443995417705466,0.008327798802606758,-0.009574521265044211,-0.012491984336838458,-0.011898953603561857,-0.006935214731510264,-0.018344651281338997,-0.0007875477803327424
0.24,0.0019871300590685904,0.0064288407982556785,0.8805252062397829,0.0016972998035055427,-0.000416797745899151,0.0008521239466287376,0.9999981096671111,0.007564194469803827,0.029341346040157316,0.0023824059063820434,0.011268577037257883,-0.006994334956145635,0.008304172369196776,-0.0076616445478094874,-0.016194025292010084,-0.010549005865774674,-0.0020792059034073773,-0.014247606567089122,-0.002464503108741134
0.27,0.0022055180479293433,0.007294680497721032,0.8805904759151887,0.0018654358584256918,-0.0005281902716876462,0.0009754583538698946,0.9999976448197739,0.007334345133369542,0.028855525281397013,0.0020659357304088034,0.011206200860155661,-0.007421763153158309,0.008230237275934542,-0.006220596958819158,-0.017583797337489604,-0.00937726104209613,0.0011061287977351952,-0.010897918808808527,-0.0033108860864796696
0.3,0.002418123239279681,0.00814474767855823,0.8806475792514246,0.0020340751356470814,-0.0006444835547112536,0.0010972939256058318,0.9999971215585228,0.007147727224604967,0.028328011361272325,0.0017846178991459195,0.011239384724087717,-0.007748700717422565,0.008130910693340153,-0.005200616935042035,-0.017451794612489357,-0.008362087408681163,0.0030781697511539363,-0.008184917653203172,-0.0035980843237681803
0.33,0.002625875788735401,0.00897916149081225,0.8806974218410242,0.002204104553791038,-0.0007644551897127834,0.0012175037019908452,0.9999965376020632,0.006991708716553706,0.027804457522897643,0.0015337552768854845,0.011331729816622334,-0.00799424824701866,0.008022968163627107,-0.004524707674555373,-0.01637590460283489,-0.007483517492599567,0.004108538153484886,-0.0059915864498236715,-0.003521896226455379
0.36,0.002829393696728223,0.009798890100706104,0.8807407909258487,0.0023759871735634245,-0.0008871172405854392,0.0013361240303106775,0.9999958912318231,0.006855967486317045,0.027313180384812598,0.0013092497521074976,0.01145498596122688,-0.00817399584051337,0.007917311276833445,-0.00411219891754655,-0.01475920200765879,-0.006722750248290943,0.004471934642965358,-0.004231466961385877,-0.00323002397535177
0.39,0.003029055387155733,0.010605388001356866,0.8807783710328513,0.002549885848886699,-0.0010116772490275448,0.0014532880358325347,0.999995181260983,0.006732601518790649,0.026870404324582833,0.0011075672446587692,0.011589144000515842,-0.008300939849354948,0.007820410557572892,-0.003892651324012064,-0.012880218433916735,-0.006061684880732443,0.004431758379380923,-0.0028322775396460997,-0.0028055722105548853
