t[s],q_BodyPitch,q_BodyRoll,q_BodyYaw,q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,qd_BodyPitch,qd_BodyRoll,qd_BodyYaw,qd_LLHip1,qd_LLHip2,qd_LLHip3,qd_LLKnee,qd_LLAnkleRoll,qd_LLAnklePitch,qd_LRHip1,qd_LRHip2,qd_LRHip3,qd_LRKnee,qd_LRAnkleRoll,qd_LRAnklePitch,qdd_BodyPitch,qdd_BodyRoll,qdd_BodyYaw,qdd_LLHip1,qdd_LLHip2,qdd_LLHip3,qdd_LLKnee,qdd_LLAnkleRoll,qdd_LLAnklePitch,qdd_LRHip1,qdd_LRHip2,qdd_LRHip3,qdd_LRKnee,qdd_LRAnkleRoll,qdd_LRAnklePitch,Tau_BodyPitch,Tau_BodyRoll,Tau_BodyYaw,Tau_LLHip1,Tau_LLHip2,Tau_LLHip3,Tau_LLKnee,Tau_LLAnkleRoll,Tau_LLAnklePitch,Tau_LRHip1,Tau_LRHip2,Tau_LRHip3,Tau_LRKnee,Tau_LRAnkleRoll,Tau_LRAnklePitch
0.0,0.2,0.0,0.0,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2396883562708325,-0.21326326688983244,-0.11276464978567802,0.09420585255224978,-1.3636148995962287,1.253538169541116,-2.0590804978405686,0.7339443364162435,0.7488434636525199,0.09420514714787487,-1.3636174400946572,0.6608154634605512,-0.9181646699696557,0.7339442523571051,0.15188587541661036,-31.90804369903793,-1.18752341326155,0.8210653836026067,0.14492029934403047,-2.124334700516493,8.360763020000947,-23.83433813127043,6.107371908214837,9.406621838250848,0.14493271599152593,-2.124323091826348,11.971834467210485,-30.17949928554215,6.107379921796386,12.065691893264555
0.03,0.19888428047935627,-0.0001919369402008492,-0.00010148818480711021,8.47852672970248e-05,-0.0012272534096366059,-0.328871815647413,0.6281468275519435,0.0006605499027746191,-0.2993260408827127,8.478463243308738e-05,-0.0012272556960851915,-0.3294052660828855,0.6291736517970273,0.0006605498271213946,-0.299863302712125,-0.03719065068812497,-0.006397898006694973,-0.0033829394935703406,0.002826175576567493,-0.040908446987886864,0.03760614508623348,-0.061772414935217054,0.0220183300924873,0.022465303909575594,0.0028261544144362457,-0.04090852320283971,0.019824463903816536,-0.02754494009908967,0.022018327570713155,0.004556576262498311,-0.3447737655619889,0.15378213163442034,0.08321052870712364,0.02782297135627232,-0.20420788985319405,0.10073061574081521,0.16678411665373005,0.3052719303580034,-0.17144391557235394,0.029537505430184297,-0.2048850392173449,0.17522443180703817,0.02489494401038428,0.30647390953777176,-0.11889226673156372,-29.15229279062541,-1.9474868423052016,0.547665998865285,0.05158620138398051,-1.0377053256173114,7.73565816089284,-24.166491849981206,4.0324120128961525,9.609414063006833,0.05227627311145119,-1.037318374167129,10.454865117830462,-28.956941240964326,4.0322674597307655,11.653775969359282
0.06,0.19745826456970672,-0.0002454699619307201,-0.00012808689377780913,0.00019461120881469467,-0.0026382939201410865,-0.32765297374065927,0.6264437608088753,0.0015958445428714413,-0.29880638128944054,0.0001961530197533406,-0.002638907927465993,-0.3286528301771447,0.628369709043664,0.0015969261728267835,-0.29983360846430845,-0.04753386365498464,-0.0017844340576623624,-0.0008866236323566315,0.0036608647172556626,-0.04703468368348269,0.04062806355845794,-0.05676889143560515,0.031176488003227403,0.017321986442404978,0.003712279577341775,-0.04705507437936006,0.02508119685802768,-0.026798091778778142,0.031212544856846308,0.0009898082605513995,-0.06650849505273726,-0.020639845306169136,0.05331369462416813,0.006474532353195173,-0.08815340895299073,-0.01150040932256502,0.17571286220947968,0.1639677018366683,-0.09428422621999744,0.007840057121796917,-0.08856461041985852,0.054984702382000705,0.06049597819992414,0.16481636829348645,-0.04924822202838186,-28.0598489969733,-1.9391884699926645,0.3102365553824078,0.015266771132692255,-0.4449923286025486,7.616171681919509,-25.070971194280713,2.573159586617533,9.785094571831998,0.015238781163571512,-0.4441754722184901,9.529499308395692,-28.465716089517546,2.572368282783627,11.2586151486117
0.09,0.19597239101450972,-0.0003175788444361432,-0.00010670327758675676,0.0003102642294502402,-0.004128672498703259,-0.3264444822022958,0.6248988356417957,0.0026787101146212647,-0.2983715774997664,0.00031457745848321105,-0.0041302683082246675,-0.32785090803926004,0.6276202126706806,0.0026816372499963107,-0.29984823761631746,-0.04952911850656676,-0.0024036294168474364,0.0007127872063684123,0.0038551006878515177,-0.04967928595207241,0.040283051278780985,-0.05149750556932076,0.036095519058327453,0.014493459655805056,0.0039474812909956825,-0.04971201269195581,0.0267307379294877,-0.024983212432780417,0.0361570359056509,-0.0004876384003000562,0.030057734364433486,-0.07992288699760275,0.02865282065508712,-0.0008075003226082345,-0.030565751757677617,-0.043135158054752765,0.14931978521406108,0.08478542963268865,-0.05628860507317768,0.0003474818073918584,-0.03086979045686533,0.0076210297663408255,0.06379849825509609,0.08546436328339269,-0.021392171151092043,-27.504789567853315,-1.6332238018329541,0.1617940021514198,-0.003182557905667533,-0.06096976367162794,7.646777194058312,-25.834248271081346,1.4855787547996067,9.803979441750322,-0.0040987724091494735,-0.059934172456811416,8.897098106265355,-28.083234861055903,1.4842589832128907,10.804523710902338
0.12,0.1945135694202407,-0.00046161832523940877,-5.9532122806125985e-05,0.0004251904997954383,-0.005646560253847341,-0.32527481230618166,0.6234882982814087,0.003837882573040508,-0.2979874334546581,0.0004333146308397342,-0.005649411500394521,-0.3270421269745857,0.6269281349461268,0.003843266254120891,-0.29988211972236245,-0.048627386475633756,-0.004801316026775519,0.0015723718260210258,0.0038308756781732707,-0.05059625850480274,0.0389889965371384,-0.04701791201289893,0.03863908194730811,0.012804801503609726,0.003957905745217438,-0.05063810640566177,0.026959368822477923,-0.023069257485127535,0.03872096680415268,-0.0011294035348328175,0.06357269586489878,-0.09031727931531974,0.013301959432559851,-0.003216756509104357,-0.0011567671348409192,-0.04760410623316602,0.12567155276883568,0.03808045769102364,-0.04032478066801559,-0.0022028307486223753,-0.0014047422374012797,-0.011736451458119745,0.06580517927943674,0.03865922800351029,-0.014908811224586316,-27.162182561404002,-1.2578870553007504,0.07589098900662557,-0.019800248371619714,0.20982667349172532,7.70580067813318,-26.455863424513737,0.6524588772666027,9.765570221402944,-0.02134991041112442,0.2108413709471933,8.425138001771893,-27.781607137796502,0.6508797431300369,10.382615968229661
0.15,0.1931119632522501,-0.0006869433574264621,-3.892045361913413e-07,0.0005372216892824425,-0.00716548909941278,-0.32414798610567735,0.6221908653185138,0.005031327443381673,-0.29763958171215105,0.0005500692555224972,-0.007169818960578035,-0.32624390871622366,0.6262952818829244,0.00503968856344863,-0.29992941975850956,-0.046720205599686794,-0.007510834406235112,0.0019714306089978215,0.00373437298290014,-0.05063096151884797,0.03756087335014342,-0.043247765429833857,0.03978149567803882,0.011595058083569258,0.003891820822758767,-0.05068024867278381,0.02660727527873433,-0.021095102106744434,0.039880743644257984,-0.001576667871570407,0.07386151167978738,-0.08138489365690207,0.004714634384886174,-0.003965122843069935,0.013699842882082258,-0.043694522129214874,0.10570240462095626,0.009799324317299352,-0.03268565323060102,-0.0030425697472651336,0.01348070161161985,-0.019998545729919215,0.06652761934174123,0.010319748993168787,-0.015376610130488189,-26.91160035248616,-0.9056889780262658,0.02846420034302375,-0.037124277264878235,0.4142191768441226,7.753533806409729,-26.953142760073177,0.006175094655864077,9.710726540561286,-0.0389792316326924,0.41502450951438513,8.055248102606702,-27.548189643176062,0.004579930732857561,10.023740794723565
0.18,0.1917768324447713,-0.0009855147939047274,6.299688468014086e-05,0.0006456842682106838,-0.008672088086384346,-0.3230604849750893,0.6209885645197776,0.006233591705608407,-0.2973211470575515,0.0006640855674327216,-0.008678093789311092,-0.3254636891490186,0.6257223036771297,0.0062453986468702215,-0.2999905587437741,-0.044504360249293176,-0.009952381215942174,0.002112869640544407,0.003615419297608042,-0.0502199662323855,0.03625003768626698,-0.04007669329120517,0.0400754754075578,0.010614488486651226,0.003800543730340813,-0.050275827624435214,0.026007318906836753,-0.019099273526492197,0.040190336114053045,-0.0020379661754850527,0.07565407368721822,-0.06611455768516095,0.0002582164014587329,-0.0041041442256926075,0.020728735864205206,-0.03805688728553491,0.08916174315936587,-0.007271685447548748,-0.02818348442997376,-0.0032355345084056353,0.02052203777479633,-0.023654870488911683,0.06585855699893273,-0.006782040580390003,-0.01736429137736195,-26.706874428440944,-0.6092582437987736,0.00353066689254529,-0.05461769449936008,0.5767488878641572,7.780286331354598,-27.34442112459354,-0.49769910656600097,9.655249326956351,-0.05651616577195326,0.5772243626773771,7.758294098466428,-27.370819341802886,-0.499148181947517,9.732384980733212
0.21,0.190509790303611,-0.0013435893322996375,0.00012661536865778595,0.0007504531173358017,-0.010160031211078125,-0.3220072350430583,0.6198665092898848,0.007429311450932347,-0.29702807753893895,0.0007751898982853809,-0.01016789878404683,-0.32470475896525347,0.625208598172634,0.007445004893769462,-0.3000673255912783,-0.04223473803867663,-0.011935817946497002,0.002120616132588169,0.003492294970837264,-0.04959810415645934,0.035108331067700935,-0.03740184099642419,0.039857324844131334,0.009768983953752013,0.003703477695088644,-0.04966016649119132,0.025297672792169403,-0.017123516816524215,0.03998687489664134,-0.002558894916805911,0.0744249053819388,-0.05023125265674144,-0.0018786360580325123,-0.003976858765293301,0.0232800800416868,-0.03277875841362743,0.07553318937198128,-0.01712734300087959,-0.02488705836117333,-0.003135466559086808,0.02307599868659338,-0.025225751575732147,0.06401606075019117,-0.016650497822240595,-0.019061847700868384,-26.5296565090862,-0.3750270617710449,-0.00850652732849799,-0.07150500645391819,0.7113443498656097,7.786786820883858,-27.647469721270493,-0.8915817182387191,9.605373115214379,-0.07329031923280947,0.711430071561291,7.5170083715157565,-27.238072602617617,-0.8928077978404764,9.503209962939188
0.24,0.18930973057729444,-0.001746871998085615,0.00018854308018320174,0.0008516427935721556,-0.011627022263734388,-0.3209834859935995,0.618812433930427,0.008609616587555496,-0.2967574063728515,0.0008834723092348621,-0.011636935379964637,-0.32396853195790654,0.6247525071228134,0.008629625692628685,-0.30016124810171324,-0.040001990877218466,-0.013442755526199245,0.0020642570508471935,0.0033729892078784647,-0.04889970175520874,0.03412496831529211,-0.03513584531526475,0.039343504554104944,0.009022372202916813,0.0036094136983160397,-0.04896788653059352,0.02454090024489744,-0.01520303499401848,0.039487359961974125,-0.0031307503478319627,0.07212789708035672,-0.035968260867098145,-0.0027603597423446757,-0.003715878357336777,0.02330988025169134,-0.028485651748411556,0.06441462128464082,-0.022213934844387495,-0.022133619480655398,-0.002884293967412077,0.023103072046637863,-0.02574514955574614,0.061213582480036166,-0.02173899033255111,-0.01994254213491331,-26.372015815421626,-0.19845409267075007,-0.013215360663159844,-0.08732831367169067,0.8266709241664217,7.776890042598478,-27.87866922206231,-1.2007164288064618,9.563547652864372,-0.08894284479593377,0.826352700827075,7.319382324800105,-27.139727237643886,-1.2017124065387963,9.327713972546112
0.27,0.1881745859583502,-0.0021825260986519804,0.00024798646794050737,0.0009494881792869065,-0.013073034424164128,-0.3199853740307143,0.6178163317301252,0.009769929182818696,-0.29650665546429655,0.0009891588556136723,-0.013085179211040469,-0.32325547558515977,0.6243515082972249,0.009794681400188613,-0.30027311890006964,-0.03783815396480776,-0.01452180335221219,0.001981446258576853,0.0032615128571583615,-0.048200405347658,0.03327039876283976,-0.03320340667672553,0.03867708650877332,0.00835836361849715,0.0035228848792936774,-0.048274794369194386,0.023768545758225054,-0.013366627519617395,0.038835190251997595,-0.003729026611879362,0.06945749076429308,-0.024043994686206993,-0.0029683584237871763,-0.0033763539865319103,0.021979975416062558,-0.025219013978329485,0.05541986263654053,-0.02413625791166396,-0.01970076419047473,-0.0025449070838305943,0.021768254382692476,-0.025653112486395457,0.057679731831058234,-0.02365764221997324,-0.019969603185245433,-26.229970595215665,-0.07099436152494616,-0.013804354571391623,-0.1019437403984985,0.9285443266738393,7.754944599284816,-28.052585587522685,-1.4453796009504791,9.530590995582706,-0.10340502346383987,0.927837907820884,7.156185060294483,-27.066995723982206,-1.4461868499480828,9.196885278050221
