t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.8793,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9660746991107754,1.1661266969937998,2.4107627981151767,-2.9024134929214824,2.937576291910297,0.32698791428276763
0.03,0.000872178413189267,0.0010524738304624327,0.8814671614383668,-0.0013060853153827228,0.0013219085657635008,0.0001471444762070987,0.9999982625221885,0.02898224097332326,0.03498380090981399,0.0723228839434553,-0.08707240478764447,0.0881272887573089,0.009809637428483028,0.05596015413851735,-0.2584874702128861,-0.0967860961720346,-3.17621252574893,-3.112186663416189,0.6330403795361939
0.06,0.0017967427215397202,0.001881138754741305,0.8835429725299667,-0.004040871117468971,0.0012434908116875038,0.0005828738854868561,0.9999908926331513,0.030661045597478783,0.02722917680342741,0.06941930105829426,-0.18235878056011237,-0.005238311145176769,0.02880084881456884,0.03556812865045944,0.16053349045069432,-0.046284368099099193,-0.12118606989358227,-0.32506444590008776,0.17751469953684307
0.09,0.002751551371839736,0.002866214170552507,0.8855711558766454,-0.006829973429847081,0.0010190767909340774,0.0010991383532213768,0.9999755521213117,0.03172808945699257,0.03204518151694824,0.06803077001532129,-0.18599436265691985,-0.014990244522179402,0.03412628980067413,0.004876396679716732,0.11571106612488968,-0.06623007258136182,-0.045862975914559456,-0.049083364262539675,0.03927915454341502
0.12,0.003708355630691578,0.003966793440499017,0.8875329173121993,-0.009639615401237088,0.0007726655472273012,0.0016332408823883707,0.9999519055070041,0.031874381357384074,0.03551651350069493,0.06604386783788044,-0.18737025193435664,-0.01646274545005559,0.03530466443697658,-0.03131968316072253,0.08015509383802133,-0.045042171564137146,0.005940375079148907,-0.0029962204512266055,-0.009290232964978884
0.15,0.004634493235421427,0.005150517313840225,0.8894468530340927,-0.012446506026877349,0.0005248637767916928,0.0021631605031745015,0.9999200616761202,0.030934790862562397,0.03792116631583557,0.06469260269095632,-0.18719204068198217,-0.01655263206359239,0.035025957448027216,-0.042485172351724554,0.04905911926519657,-0.05422055900876588,0.027109694508016702,-0.00259797980198595,-0.03271345367185319
0.18,0.005519942810202358,0.0063885177316257095,0.8913046167852,-0.01524110170135027,0.00027573187718773486,0.002678350726547275,0.9998802224407914,0.02966023569201066,0.039392939893791466,0.06306598592069335,-0.18637874984674166,-0.01663057145765197,0.03404455383787162,-0.04134126714526598,0.0219637272130786,-0.052654705234441934,0.05486747998540942,-0.01631080118989736,-0.03673171637548478
0.21,0.006365851374775864,0.0076557034453714045,0.893107903001011,-0.018010872069773864,1.9072981702324812e-05,0.00317709715445863,0.9998327431011542,0.028419997677652683,0.04005185171018382,0.061486344763660085,-0.18473272544717936,-0.01711989549334889,0.03294260234660708,-0.035087428612466276,-0.0010004638960641188,-0.05687896408695092,0.07566649729294461,-0.024457220574310767,-0.03912541237790634
0.24,0.007178003509848431,0.008930534355938213,0.8948535065609307,-0.020746421625919536,-0.0002487988940141399,0.003658412640080388,0.9997780454209748,0.027367374819278693,0.040021837793301894,0.05977997584105156,-0.18246273052839102,-0.01785361211057821,0.031768839975269886,-0.028356728635761108,-0.020184654323306184,-0.05790159596986655,0.09691688490065253,-0.029666243243578805,-0.03927506179309148
0.27,0.007962645694494662,0.010194946929382788,0.8965413364350382,-0.023438156139516917,-0.0005302228173991392,0.004122318076115805,0.9997166489532036,0.02651667296020586,0.03941629816360271,0.058042927961955565,-0.17955522398137144,-0.018743599407885576,0.030590588121477143,-0.022211168628464506,-0.03598116952468633,-0.06024788225327704,0.11560613564432165,-0.03099756129086373,-0.04021531796038147
0.3,0.008725522113637769,0.011433861817469056,0.8981702765256988,-0.026077642267307515,-0.0008257974666119303,0.004568455802441681,0.9996491403707121,0.025850337901351925,0.03833686307786212,0.056235491494357255,-0.1760870399120418,-0.01967352624661149,0.0293841285826657,-0.01704187169093707,-0.0489587840548289,-0.06186841191987469,0.1339168860982758,-0.03036252930231953,-0.04099373833729203
0.33,0.009471517323368702,0.012634747996311273,0.8997399766217236,-0.028656624434459634,-0.0011352303516225242,0.004996526510074103,0.9995761821146526,0.025339081750623813,0.036868099556217254,0.054379439136761014,-0.17206953332909353,-0.020584402125681075,0.028154316432546938,-0.012626647991738515,-0.059517934740590306,-0.06396430565460154,0.15160525333235153,-0.028130034174274954,-0.04204203361447156
0.36,0.010204852448425885,0.013787214338179862,0.9012497278924565,-0.031167134994883043,-0.0014575099969631926,0.005406092798814867,0.9994985040116219,0.02496028231087166,0.03508256151399954,0.05246050996712297,-0.16752137572912298,-0.021428303150909322,0.026893055424112793,-0.00876063242186298,-0.06803439715954251,-0.06608699512616223,0.16963851013497155,-0.0250371048684066,-0.042978959849236276
