t[s],Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter,Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter
0.0,1.7982939780038272,53.845561150097076,76.61042034679797,-79.25423525454715,4.891866048647146,3.8743095091182544,13.342420706038835,128.03840015420778,706.0490260540595,-117.86771641303278,5.619632015042842,-0.24536799928276498
0.03,7.052409373243572,14.61556035066964,644.8994700554197,-88.83221637676,-1.4401344758269348,1.8696073089605565,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.23440975140167403,12.042276383815656,634.9974093868572,-81.57933707449325,-3.1512874256946977,0.6354975903455097,0.0,0.0,0.0,0.0,0.0,0.0
0.09,-2.213265989346539,8.398476609503236,632.358133549216,-74.75522955402997,-3.8256419670797435,-0.05778486956306661,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-2.752667501061689,4.99661405015067,633.1324864177268,-68.46648034155396,-3.8900403413516993,-0.3603161168264771,0.0,0.0,0.0,0.0,0.0,0.0
0.15,-2.517619079786309,2.1335273398276517,632.3810647906696,-62.750152865034735,-3.6395048025051886,-0.46265472214992953,0.0,0.0,0.0,0.0,0.0,0.0
0.18,-2.0604130745399565,-0.3433321093038581,632.5594152895613,-57.54179112684641,-3.2955785027903075,-0.46409315125390277,0.0,0.0,0.0,0.0,0.0,0.0
0.21,-1.574845175131526,-2.424357574630723,632.4330877517855,-52.815026756938266,-2.9279790402854364,-0.4316052991750863,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-1.1280919765067579,-4.193435765417641,632.5440053621405,-48.51480926071163,-2.5722370758913833,-0.38879365797346116,0.0,0.0,0.0,0.0,0.0,0.0
0.27,-0.7290377255728725,-5.6886028319501944,632.5735410530942,-44.59886736531437,-2.2334172462169013,-0.34803317451451404,0.0,0.0,0.0,0.0,0.0,0.0
0.3,-0.3722443689900674,-6.961591987186111,632.6517142522986,-41.023157348480794,-1.9124460470692264,-0.31133344625041576,0.0,0.0,0.0,0.0,0.0,0.0
0.33,-0.04636941328213044,-8.047798995894968,632.6975619022618,-37.751357235292886,-1.6060362019999683,-0.27920715587987854,0.0,0.0,0.0,0.0,0.0,0.0
0.36,0.25839604825155443,-8.981138946797481,632.7402765353763,-34.75071460992692,-1.311694965628584,-0.2505293809003806,0.0,0.0,0.0,0.0,0.0,0.0
