t[s],q_BodyPitch,q_BodyRoll,q_BodyYaw,q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,qd_BodyPitch,qd_BodyRoll,qd_BodyYaw,qd_LLHip1,qd_LLHip2,qd_LLHip3,qd_LLKnee,qd_LLAnkleRoll,qd_LLAnklePitch,qd_LRHip1,qd_LRHip2,qd_LRHip3,qd_LRKnee,qd_LRAnkleRoll,qd_LRAnklePitch,qdd_BodyPitch,qdd_BodyRoll,qdd_BodyYaw,qdd_LLHip1,qdd_LLHip2,qdd_LLHip3,qdd_LLKnee,qdd_LLAnkleRoll,qdd_LLAnklePitch,qdd_LRHip1,qdd_LRHip2,qdd_LRHip3,qdd_LRKnee,qdd_LRAnkleRoll,qdd_LRAnklePitch,Tau_BodyPitch,Tau_BodyRoll,Tau_BodyYaw,Tau_LLHip1,Tau_LLHip2,Tau_LLHip3,Tau_LLKnee,Tau_LLAnkleRoll,Tau_LLAnklePitch,Tau_LRHip1,Tau_LRHip2,Tau_LRHip3,Tau_LRKnee,Tau_LRAnkleRoll,Tau_LRAnklePitch
0.0,0.2,0.0,0.0,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.569071822570926,-5.861244419562183,0.8293992258434741,0.16216841044206376,1.3390856121186516,5.694729245737108,-14.500945547762058,1.6364727173895517,5.9106295831591495,0.16217477381269418,1.339095771621487,8.231122138828937,-19.483060858079853,1.6364758818599512,8.272405615354273,-48.15540585961877,-73.74834515003141,1.13945920212397,-4.775826096371848,32.068816650492394,-2.5703339760044432,-8.636420826385816,72.01875099261468,-2.6027129400745808,4.097343269247368,4.361859949234442,32.24832056275777,-62.62808640256736,101.02121526669123,16.746018732864183
0.03,0.1922878353596862,-0.005275119977605965,0.0007464593032591267,0.00014595156939785738,0.0012051770509067864,-0.3248747436788366,0.6169491490070141,0.0014728254456505964,-0.29468043337515676,0.00014595729643142476,0.0012051861944593384,-0.32259199007505396,0.6124652452277282,0.001472828293673956,-0.2925548349461811,-0.2570721546771278,-0.17583733258686549,0.024881976775304224,0.004865052313261913,0.04017256836355955,0.17084187737211323,-0.4350283664328617,0.04909418152168655,0.17731888749477448,0.004865243214380826,0.04017287314864461,0.2469336641648681,-0.5844918257423956,0.04909427645579854,0.2481721684606282,5.001845920909018,3.7269270346689147,-0.25927612635929975,-0.774154394699508,3.3872597375789155,2.304806003649901,1.0460657400635682,-0.23722693284071283,-0.4418303801135153,-0.722488442983483,3.5243302431650037,-7.578425150605632,15.743652827939087,-0.1742832933881786,-4.769879685805513,-23.213253269962767,-0.5653754227566079,-0.11895340879906871,-9.287460590709758,76.28994289413384,27.745852676912396,-52.25709289127047,84.22730042607402,21.32203164807153,-3.510921057478157,0.06639156227331823,-13.274581567634623,0.2643056842546884,0.00886423844394013,-0.44000556734918633
0.06,0.18907733204819047,-0.007196005624009906,0.0012595700927948835,-0.0004048358164338424,0.005458887865634597,-0.31767516195438833,0.6048397571800855,0.002732146651744551,-0.2897585140924157,-0.00035832500582228514,0.005582269607767179,-0.322004562785653,0.6090997780006014,0.0027888016232985513,-0.2894025616095872,-0.10701677704985726,-0.06402952154679804,0.017103692984525232,-0.018359579527723324,0.14179036049092703,0.23998605748161025,-0.40364639423095466,0.04197737353646516,0.16406397609136902,-0.01680941007512366,0.14590278044359473,0.019580909646699146,-0.11218224090422296,0.04386577765415318,0.1050757778864628,0.2555274548018929,0.12129349199981831,0.025198001255585467,-0.10273166057822891,-0.11521210489900113,0.12893012166159679,0.34159892468460384,0.2522198082806426,-0.16596221474628692,-0.1580337677714283,-0.24657965028630713,-0.418319110052078,0.23036468826042267,0.16694377969665908,0.1725863135019381,-27.429386055241057,-0.684233890994464,0.45264647708486294,-6.476499582531596,72.16396116059686,22.566611197370506,-51.85475932724574,77.26963381625951,22.02940796271132,-1.470534986594416,-0.15332230761673843,-5.540741997414801,1.605904389203732,-0.008938810486286442,-0.24840169337831855
0.09,0.18609680344601645,-0.009007727127614011,0.0017953590834606675,-0.0010480816967859481,0.009608907785953306,-0.31035954312044456,0.593037804385373,0.0042184656852910845,-0.2849859608029463,-0.0010048376990702804,0.009737431335817344,-0.3217936226952989,0.6059416389929091,0.00425502435465014,-0.2860949605908416,-0.09935095340580048,-0.060390716786803494,0.017859633022192796,-0.021441529345070192,0.138333997343957,0.24385396113145816,-0.39339842649041656,0.04954396778488444,0.15908510964898043,-0.02155042310826651,0.13850539093500552,0.007031336345136807,-0.10527130025641028,0.04887409104505295,0.11025336729152094,-0.09003276166598972,0.02850083485755306,0.0799311662800335,-0.02855207820175565,-0.10412845303017093,-0.07696763940089113,0.2280632466543011,0.14612229121485143,-0.10935855958632601,0.008747825494104688,-0.1429531906465371,0.16541154144440995,0.21505659850177494,0.15798736737421848,-0.09737960586627992,-27.13396596703363,0.677887441169394,0.1662277316572339,-5.0845917182805165,69.24780724754888,20.547805685978147,-51.03195155615441,70.9613910937994,22.372950848002,-1.0467488073853026,-0.0380596669107498,-3.898132678464101,2.1985460559361774,-0.0015528749043761045,-0.1772810598671164
0.12,0.18303524535834303,-0.010793797879846318,0.0024030861237784814,-0.001717024447519634,0.013665212098544863,-0.3031131951619616,0.5814411085126494,0.005836294780930984,-0.2803118302171046,-0.0016434773493735815,0.013763935192285626,-0.3214338122176448,0.6029770509238683,0.005863435716638525,-0.28287500121737563,-0.10205193625578017,-0.0595356917410769,0.0202575680105938,-0.022298091691122863,0.13521014375305185,0.2415449319494314,-0.3865565290907875,0.05392763652132999,0.15580435286139066,-0.021287988343443368,0.13421679521560942,0.011993682588469105,-0.09881960230135703,0.053613712066279504,0.10733197911553254,0.0040970651003329195,0.03349761123387651,0.026726071267106022,0.02957769496106266,-0.11147067865886129,-0.15514478333830084,0.24039614613843696,0.1076498724250996,-0.0713830571339713,0.03181285262988709,-0.10846468280578137,0.15805708860242973,0.12611944924317342,0.1135415330386742,-0.18015814219659632,-26.392227937396633,2.2375265667122495,-0.13995334765075626,-4.382095051667817,66.72835228675305,19.69401701562662,-50.17267108051011,65.23921423075834,22.404189730231746,-1.0474570934346694,-0.05378075577246644,-3.808396392396459,2.2066505529893927,0.0007361210073091862,-0.17557794276047145
0.15,0.17997737462925992,-0.012549720781968136,0.0030348666282366907,-0.0023593472727883634,0.01762119280034344,-0.29600647750848313,0.5700607691714503,0.0075510087617534725,-0.2757019443826835,-0.002253485432309984,0.017692820834228705,-0.3209317503602485,0.6001259703591465,0.007574034458361717,-0.2798171841718866,-0.10192902430277018,-0.05853076340406061,0.021059350148606982,-0.021410760842290984,0.131866023393286,0.2368905884492824,-0.3793446447066344,0.05715713269408298,0.15366286114737152,-0.020333602764546755,0.13096285473143598,0.016735395246541995,-0.09503601882406183,0.05701995805743973,0.10192723484963465,0.07771133201039238,0.07172550364644792,-0.012584316253310135,0.028233000818545406,-0.08672727501539157,-0.150203621362607,0.21222984919381815,0.05580754123366205,-0.0509574243787938,0.03193855986115324,-0.10094846875479746,0.07367771258618383,0.09562515441144726,0.07638495911742282,-0.16047360769168506,-25.772469633443713,3.6715187855924074,-0.3599238356313221,-3.9908472644885378,64.3633297780968,19.20154773581057,-49.12018536305837,60.05936099568979,22.155714293925534,-1.1208435855558836,-0.15157038506504572,-3.956253267813093,2.1260608667886975,-0.0001998340009930281,-0.18184617254909224
0.18,0.17698944409898618,-0.014241090730808151,0.003655321248066921,-0.002976260397320402,0.02149911895462817,-0.289034943114231,0.5588714366945258,0.009315949529686257,-0.2711379202302032,-0.002834748811371349,0.021530852854292466,-0.3203633785615247,0.5973609524333949,0.00935337966329059,-0.2769037933733201,-0.0995976843424584,-0.05637899829466717,0.02068182066100768,-0.02056377081773462,0.12926420514282427,0.23238447980840418,-0.3729777492308199,0.05883135893109284,0.1521341384160077,-0.019375445968712157,0.12793440066879205,0.01894572662412751,-0.09216726419171842,0.05931150683096242,0.09711302661888409,0.12326382728020491,0.09841486624156204,-0.03818388134095585,0.02791079727921897,-0.0807891573872439,-0.1397448219496482,0.2218471108508311,0.022900930664036423,-0.0562528055538678,0.029347228485697485,-0.09611783718030154,0.014210434880052247,0.09643208727768737,0.04393448585998527,-0.1186997800637215,-25.318686001744485,5.018301487893214,-0.5014857696392845,-3.750801608395099,62.197806421003534,18.847818416896356,-48.13304811504459,55.346402265353504,21.86426980093803,-1.1917536134298676,-0.22584313422022773,-4.105835749686526,2.0554504479860807,-0.00042728495969344895,-0.18705621378492543
0.21,0.1741124510132646,-0.01584388730003076,0.004241410374690291,-0.0035680538043011433,0.025304334867264376,-0.28218917905973356,0.5478817666173669,0.011101501135216674,-0.2666245236027215,-0.0033895996847955858,0.025282378820893955,-0.31978221737140883,0.5946827233861933,0.011172265905493448,-0.27409723237681094,-0.09589976952405226,-0.053426552307420314,0.019536304220779004,-0.01972644689935805,0.12684053042120697,0.22819213514991474,-0.36632233590529495,0.05951838685101393,0.15044655424939166,-0.018495029114141234,0.12505086555338302,0.019372039670529077,-0.0892743015733878,0.06062954140676197,0.09355203321697245,0.13615697927018822,0.12413947566751382,-0.04759511813242767,0.018950540857076703,-0.07104335736948997,-0.1225589434700396,0.21711291033625457,-0.009601603866030928,-0.0633966226391749,0.02615139562414015,-0.09206999451052056,-0.021005503323428876,0.10610549032113425,0.016653904676299902,-0.08524402748714621,-24.937791094490855,6.248940665276155,-0.6015660719632734,-3.569056654026016,60.17981476276699,18.513730532336815,-47.138023295844064,51.057412994852555,21.54314164499088,-1.2502738488679153,-0.30196083829605963,-4.210477132470242,2.0025701225558064,-0.0008145964850292784,-0.19001308007362275
0.24,0.17135799920888622,-0.017334958341152607,0.004784663894994476,-0.004142791724510516,0.029045611758268045,-0.27545371805435914,0.5370874981595106,0.012878411297267665,-0.262168183935615,-0.0039209143021580965,0.028951041792435975,-0.319219961134284,0.5920999892802807,0.013006140661904978,-0.2713673910050402,-0.0918150601459466,-0.049702368037394896,0.018108450676806172,-0.01915793067364575,0.12470922970012227,0.22451536684581355,-0.3598089485952073,0.05923033873503301,0.1485446555702164,-0.01771048724541703,0.1222887657180674,0.01874187457082621,-0.08609113686375378,0.06112915854705097,0.09099471239235805,0.14007295626546323,0.14319501793961287,-0.050698562593318286,0.01443029725123779,-0.06812601715307665,-0.11130559955529407,0.22028527524116726,-0.033836387849078164,-0.07330880605240964,0.022685446902585227,-0.08882175806989423,-0.03943520121761779,0.11394858796188245,-0.007486475151843308,-0.0634008153821739,-24.59411804085703,7.386887902456941,-0.6788555467842841,-3.414774180314062,58.31496910394856,18.18070180336109,-46.17852359569622,47.14204054353278,21.236884214250086,-1.299329963023763,-0.3674246909346868,-4.2868160297196996,1.9622217879387442,-0.0009065741182010934,-0.1917939176103094
0.27,0.16872961306514675,-0.0186971538661288,0.005282288708964675,-0.004704542377193774,0.032725575233833945,-0.2688184320885845,0.5264914864493715,0.014624868710254485,-0.2577778221939557,-0.004431812017308281,0.03253976518171509,-0.3186931965782551,0.5896198089035338,0.014833277590679848,-0.2686946103671134,-0.08761287145798272,-0.04540651749920651,0.016587493799006623,-0.018725021756108618,0.12266544918552998,0.22117619885915474,-0.3532003903379723,0.05821524709956066,0.1463453913886441,-0.017029923838339473,0.11962411297597057,0.01755881853429768,-0.08267267922489731,0.06090456429249567,0.08909268793089284,0.13815833007623546,0.15893553892483414,-0.049600381078242606,0.010049577070731175,-0.06634371805512274,-0.10314280152670108,0.22114126815063173,-0.0549100390599051,-0.08219624971934536,0.019365782245436947,-0.0874383444189899,-0.048311008980688186,0.11735199084015946,-0.02831020298486564,-0.050288022889894535,-24.26274753442383,8.431407122546753,-0.7452587555225263,-3.2721449235890088,56.58197092445285,17.83699075680429,-45.23152220817846,43.56132192595236,20.940216739883187,-1.341791678866819,-0.4310087934494231,-4.342001264013577,1.9296151092481362,-0.0010251723232590135,-0.19276473992664947
