t[s],Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter,Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter
0.0,-0.5837037419502371,19.076883436995175,246.48326971318738,-15.770379719845016,0.0842266830773304,-2.180155032848322,0.01194596051684352,16.687173030226454,466.4158408302043,-13.637083392727998,-1.4565646512525405,3.9899133428811964
0.03,0.9393404401302057,18.99661080727748,217.89119444458126,-15.045366584264436,0.0681125906237183,-2.1289671380850637,1.1848898794408902,17.085292294453893,419.9065422173425,-13.29642937658753,-1.3531566101668457,2.999210410038487
0.06,-0.3885916781855665,18.59170544939168,223.13974292577873,-14.31005417974328,-0.5006221868968146,-2.073269743442348,-0.2077748506055132,16.971146573759963,413.43011647143555,-12.729321520830847,-1.7637724236370704,2.629562803391659
0.09,-0.7871147992530523,18.45002892225042,225.06179350697693,-13.83923884056986,-0.6049567812402206,-2.02656057014656,-0.5961122316716767,17.095905338941137,409.8644907342321,-12.351479160946393,-1.7298036335097016,2.472541913086063
0.12,-0.8294837385420565,18.7953575191009,224.52765368898557,-13.73413931941426,-0.5345921664552167,-1.9910994238379456,-0.6096999027222824,17.74985650394703,410.3074447910913,-12.310464183813066,-1.5520118265124832,2.3979381766301278
0.15,-0.7282744078813381,19.73245599603856,220.37728039700193,-14.053444243296049,-0.37837112996816247,-1.969992701141599,-0.48966026238609556,19.08990227672249,414.11332614774466,-12.684015137217106,-1.323409194476328,2.3533488325048975
0.18,-0.4558775742978086,21.231605974406087,212.19029372283003,-14.790272138799487,-0.13929014315266036,-1.9642684892064166,-0.20176508626610556,21.144936079341292,421.42737879697086,-13.470658774608456,-1.0414686627679879,2.3328524167851454
0.21,-0.05617874920041748,23.378080485507255,200.25006542275761,-16.029906880447754,0.19649964203426182,-2.016176387015905,0.1681546926556509,24.082825096578418,434.0539951884106,-14.7517830051692,-0.7050005412526518,2.3229065184545874
0.24,1.1583286032872637,25.677728354234198,181.87194588861217,-17.553377811271957,0.8780036073818105,-2.1255536886142115,1.3558791890323745,27.516246526882824,449.808617805836,-16.29693942857596,-0.04916141893737748,2.393396715490257
0.27,2.1780953065239226,28.469218072737455,168.1754662017964,-19.624464066715085,1.8044565098155467,-2.4603788669113067,2.0773755111542074,31.95082783068764,485.0674215882618,-18.31923223809148,0.7562317374548917,2.5873335348761253
0.3,3.3973045922562273,-35.22209173802886,706.9697760341853,-5.724732615410412,-1.5638446446933785,1.0052777039425644,0.0,0.0,0.0,0.0,0.0,0.0
0.33,1.0155662541535933,-29.159185723894627,633.957396470732,-6.484809956428806,-1.7831677406902406,0.20402570373492337,0.0,0.0,0.0,0.0,0.0,0.0
0.36,-1.3166230437643607,-26.85489713458078,630.2597276273907,-6.52915828073162,-2.44024715801802,-0.23228981827987025,0.0,0.0,0.0,0.0,0.0,0.0
0.39,-1.9672104924917249,-25.02694995131347,630.5113942167281,-6.49867454669997,-2.5092134892612883,-0.444189108042058,0.0,0.0,0.0,0.0,0.0,0.0
0.42,-1.8963373943055062,-23.334353723489667,631.1950498584611,-6.409553633623529,-2.2818570512682093,-0.49540356780863215,0.0,0.0,0.0,0.0,0.0,0.0
0.45,-1.5575309329525011,-21.758237285548216,631.8115807293208,-6.271595165223076,-1.9362250765651798,-0.4707454799201144,0.0,0.0,0.0,0.0,0.0,0.0
