t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.8793,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3315112981230026,0.38204767755752167,1.2845526052155867,-0.41259058244337155,0.8059049724066298,0.07285898143182123
0.03,0.00029876811543702066,0.00034406732730478694,0.8804559251759527,-0.00018566575692974678,0.0003626572274849738,3.278654073139468e-05,0.9999999164664989,0.009945338943690079,0.01146143032672565,0.0385365781564676,-0.012377717473301146,0.024177149172198896,0.002185769442954637,0.16862618787993533,0.38737386628560966,-0.03434964800637097,-0.3848419573489359,-0.02330443103398494,0.1556014397748271
0.06,0.0007499869422630467,0.0010374438020319108,0.8815801162549828,-0.0005444845923358162,0.000714834700971223,0.00013565846450217352,0.9999995870722447,0.015004124580088138,0.02308264631529394,0.03750608871627647,-0.02392297619376922,0.023478016241179348,0.00685381263619945,0.03649067871294065,0.39641601417118943,-0.03169751698460033,-0.36565912374584286,-0.07876847643130702,0.12525809457597603
0.09,0.0012344128989753653,0.002088671951865714,0.8826742330602245,-0.001067804664896535,0.0010315745004699384,0.00029503337981433205,0.9999988543006199,0.016098844941476356,0.03497512674042962,0.03655516320673846,-0.03489274990614451,0.021114961948240137,0.01061155547347873,-0.009936038085834653,0.39888574768443474,-0.04500463694247525,-0.3508734442657797,-0.06112140225682339,0.10830640817991366
0.12,0.001709788583435028,0.0035002695558311275,0.8837252955801008,-0.0017489586538021605,0.0013208146409422522,0.0005033382149492604,0.9999974716182801,0.015800763798901316,0.046941699170962664,0.035205024098464203,-0.0454189532341179,0.019281319880535434,0.013860747718876139,-0.023545795075985865,0.400418178107365,-0.03921142473539163,-0.34365148768890563,-0.05411984977008899,0.09888665603821067
0.15,0.002163343129527235,0.005273872136444568,0.8847371632709358,-0.0025846830941377305,0.0015856999512147015,0.0007563884088843116,0.9999951164108465,0.015094389946621739,0.058954244514183615,0.034028681356402454,-0.055728497864785065,0.017657724387432766,0.01682734740002246,-0.022172481165311453,0.4013340121603557,-0.0372926834157461,-0.3476426791402041,-0.0418811689169587,0.09245085550350751
0.18,0.002595712166478775,0.007410519935048716,0.8857098377449574,-0.0035767631412819173,0.0018317264618617133,0.0010513372991188402,0.9999913730795299,0.014429215511662395,0.07099426487899428,0.03290990085393007,-0.06615777823899119,0.016401289319924003,0.019600873065127686,-0.008067413399254875,0.3950859431892604,-0.04699935063544647,-0.35510055109958216,-0.04274004232920703,0.08418030247318598
0.21,0.0030188957441072695,0.009904714272955055,0.8866325053357584,-0.0047285426638644015,0.0020584852023437543,0.0013845270870667503,0.9999857432022183,0.014187193109684748,0.08284684317467209,0.03149992033486668,-0.07681079477197865,0.015119088050047793,0.022126282139323265,0.023839478174121354,0.37025967105174606,-0.025047319973571902,-0.38505053439474324,-0.023693446478148417,0.0829410723604127
0.24,0.0034610256269605893,0.012734520001355153,0.8875225821729529,-0.006053492615578903,0.00227451508608691,0.0017554445098873427,0.9999775498594201,0.014902377454908388,0.09395463330622447,0.03074850073565952,-0.08836231080382095,0.014408284655703341,0.024614514310135647,0.11568418362376853,0.287180261482042,-0.07061920956620327,-0.4019542200505768,-0.04312274593706178,0.07697726760775936
0.27,0.004004102979904802,0.015825151944496324,0.8883369021719094,-0.00755919151063063,0.0024710273105973822,0.0021615258892579395,0.9999660396501303,0.018372902963621443,0.10257004115068573,0.028629924448673422,-0.10042093740533825,0.013114602277591488,0.02692383233836843,0.18983409848157606,0.03776807488342815,0.380831574793735,-0.8058065087786517,0.8156176696351167,0.14295187816174604
0.3,0.004717635082769485,0.01895961132586431,0.8894815460353782,-0.009428100198340025,0.003034249166049577,0.0026300478479114133,0.9999474921749472,0.024067925918068726,0.10370308339718858,0.04005487169248547,-0.1245951326686978,0.03758313236664498,0.03121238868322081,-0.10448804453239902,-0.7335144460576453,0.9584023003333808,-4.090693517390591,-1.7864441774059614,0.4427760574821633
0.33,0.005342774905948282,0.02146016441038695,0.8914862349695195,-0.013134911642400583,0.0027906236719022377,0.003310947938582583,0.9999043574959637,0.020933284582096756,0.08169765001545921,0.06880694070248689,-0.24731593819041553,-0.01601019295553386,0.044495670407685706,0.06739344638934774,-0.168427367091307,-0.05199715866754584,0.26941262984384196,-0.18256247503835965,-0.015953964537473553
0.36,0.006024826175037856,0.023823649375266508,0.8934304257097049,-0.016720066020651562,0.0024651215500064456,0.003985364465644782,0.9998492283529976,0.02295508797377719,0.07664482900272,0.06724702594246051,-0.23923355929510026,-0.021487067206684647,0.0440170514715615,0.025499922313414913,-0.19812985742614098,-0.0995207167986365,0.4535823757342001,-0.0462021864425779,-0.07139430791337986
0.39,0.006726481137670498,0.02602023468937775,0.8952755200147702,-0.02010092450940968,0.0021190765424692667,0.004627452509783072,0.9997850014036737,0.023720085643179636,0.07070093327993578,0.06426140443850142,-0.22562608802307427,-0.022873132799961983,0.041875222234160105,-0.01583768288484322,-0.20780151129112623,-0.09517669249631577,0.41652514760130543,-0.010127252195474057,-0.0983172499707905
0.42,0.007411343322950365,0.028039090270849953,0.8970292233360755,-0.023294233073178214,0.0017684292204520789,0.005224949530799243,0.9997134345731407,0.02324495515663434,0.06446688794120199,0.061406103663611954,-0.2131303335950351,-0.023176950365826204,0.03892570473503639,-0.0319021796480925,-0.20533096389282646,-0.08700809421336153,0.3690553678919031,-0.013253902873408663,-0.10090385783644251
0.45,0.00806568573046983,0.02988085667143378,0.8987018788876421,-0.026321328044693497,0.0014116113809229732,0.005776845259161089,0.9996358452467201,0.022287889767191565,0.058306959024417196,0.05879586083721111,-0.20205867255827803,-0.023574567452028464,0.035898588999943117,-0.0333211831046345,-0.19782376766157483,-0.08252477586327878,0.3274037436292474,-0.022793790229250988,-0.0943465317061083
0.48,0.008688814056135447,0.031550940886385784,0.900299912626511,-0.0292009055634991,0.0010442607355085028,0.006286309819581034,0.9995532496783951,0.02128825427405253,0.05237224599456995,0.05632011756131275,-0.1922365602494006,-0.024258381158905995,0.03306819304875987,-0.029438676508618755,-0.18726052620846367,-0.07837141368808886,0.2963066892493984,-0.029653091462982673,-0.08458199305388803
0.51,0.009284670803796219,0.033057751777333826,0.9018289511136188,-0.03194691855432779,0.0006632902208118823,0.006757927812686784,0.9994665001152587,0.02040509397879397,0.046754430208316045,0.05396897515067008,-0.18334735957191867,-0.025147973902795474,0.030530733257143228,-0.024201774344245308,-0.17503052291496646,-0.07553127475568022,0.271719695770706,-0.03306293230258461,-0.07537160033683676
0.54,0.009858304174505533,0.03441131988690418,0.9032930200075938,-0.034570403240292834,0.00026718704058364447,0.007195989778317724,0.9993763222940591,0.01967904074846661,0.04150351452086705,0.051703036907999676,-0.1751957686987975,-0.02613986187187301,0.028269585247038126,-0.01923421119576929,-0.1618853209815483,-0.07315318852539221,0.2531084664510459,-0.03358828513989209,-0.0672725922452031
0.57,0.01041443126200665,0.035622606848808275,0.904695365774523,-0.037079719929792684,-0.0001442502417779986,0.007604240181154726,0.999283367765652,0.019102014412593533,0.0366469548914206,0.04950844125223791,-0.1676025147052661,-0.027147510426069773,0.026251407479682035,-0.014849370901792724,-0.1483342631096547,-0.07148283472073658,0.23921563862717932,-0.0321651646012171,-0.060515150062997236
0.6,0.010957175827121949,0.03670299556718126,0.9060382841786213,-0.03948111679085176,-0.0005703417525217346,0.007985782122637354,0.9991882422302227,0.01865653328553975,0.03219692699813096,0.047363956210615815,-0.16042604554645074,-0.028112465364106286,0.02443595297779212,-0.011024020433662685,-0.13455744793332602,-0.07032429027020548,0.22991395178330976,-0.029442474269245622,-0.054859380289201454
0.63,0.011490103305599755,0.03766411224502331,0.9073233281340594,-0.04177878555964625,-0.0010098167441957358,0.008343192768268974,0.9990915395907103,0.01832581267252987,0.02816020356013118,0.04525422750250965,-0.15352862699295144,-0.028995739592183656,0.022790171569116075,-0.007588849903427786,-0.12050832928569744,-0.0697299569643679,0.22505811730446368,-0.02590499556063719,-0.05021639456850835
0.66,0.012016381984922674,0.038517843153845356,0.9085512761226447,-0.04397492563516932,-0.0014610321100426563,0.008678571028812624,0.9989938707046468,0.018098147175427036,0.024544953681560257,0.04316232879357862,-0.14677688347381754,-0.02977288945900277,0.021283679732060825,-0.004393248487991386,-0.1059081848097998,-0.06968562925473343,0.22486159982624798,-0.02183486182523353,-0.04656758393535654
