t[s],Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter,Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter
0.0,-0.22733813457557395,10.468744432706506,292.8245402952243,-8.843832366555977,-0.20880871275525673,-2.380888189133827,0.3176405047038341,8.09503364137078,413.78591867888315,-6.72345239892055,-0.9898720798336774,3.752063052890822
0.03,0.8896634642663833,10.346418216025393,265.32899031467815,-8.318925233227786,-0.3197151102774312,-2.2649656226307373,1.0844576701038728,8.405790349584485,373.0126062173663,-6.572262610968792,-1.065336240181073,2.849409128046637
0.06,-0.4082727187475025,9.892054229547,269.5255691908937,-7.704561993957883,-0.8569043603232934,-2.1823104698714224,-0.2816480236388247,8.162387421868333,366.9281441630982,-6.122536947747357,-1.5077759674022164,2.506408219854669
0.09,-0.8196674692166211,9.499924690526527,272.74815238696704,-7.190476794708593,-0.9649378270815827,-2.123276673707698,-0.6908080661277708,7.908537024700852,362.9365213494336,-5.697635660262794,-1.5224432479022791,2.3557361336362064
0.12,-0.8876970868013768,9.327896844839946,274.7468726858682,-6.845020665976217,-0.9110582429307069,-2.076410254051928,-0.7406361244192383,7.855295520548106,360.7498220936381,-5.4129065145771715,-1.3899211536286613,2.2755663446916428
0.15,-0.8361732116481865,9.440666232289741,275.23995598940013,-6.694922300428733,-0.797195438798255,-2.0345258941825217,-0.667798558722308,8.09056751058817,360.13987037597366,-5.312726487333367,-1.2134182192072447,2.2229961313441042
0.18,-0.7478838981050865,9.872907808641981,274.123284375115,-6.756098646354951,-0.6610882549848002,-1.9948039449604595,-0.5568113477857214,8.663778802590958,361.1674247493205,-5.4194801896134805,-1.0290213270530402,2.1834227139516007
0.21,-0.650664763044331,10.654303759647947,271.22305125170897,-7.0457031864564055,-0.515119411945077,-1.9568803035422726,-0.43453333686253354,9.62049118106793,363.95660508764564,-5.753038583637332,-0.8470594991819849,2.151562804738516
0.24,-0.5508248007424777,11.821126660386582,266.3022017976188,-7.588128577803315,-0.36175749735522156,-1.9229326784723542,-0.306975016616904,11.018775497792568,368.72236232492185,-6.339280010963516,-0.6684725734895652,2.12454046988325
0.27,-0.4411017704084131,13.424221396916472,259.03282480789403,-8.420037223168526,-0.19726645990549307,-1.8999601876989154,-0.17037184513715709,12.941323529738437,375.7710470130655,-7.215974390731301,-0.4894692369256359,2.0977374867267344
0.3,-0.2905475964588426,15.54062401602334,248.9605928993381,-9.598657612538346,-0.007965054073545677,-1.9074188880408771,-0.008684303100801668,15.512004400875016,385.5050170704321,-8.440976409802705,-0.3003644772264241,2.058315743048549
