t[s],q_BodyPitch,q_BodyRoll,q_BodyYaw,q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,qd_BodyPitch,qd_BodyRoll,qd_BodyYaw,qd_LLHip1,qd_LLHip2,qd_LLHip3,qd_LLKnee,qd_LLAnkleRoll,qd_LLAnklePitch,qd_LRHip1,qd_LRHip2,qd_LRHip3,qd_LRKnee,qd_LRAnkleRoll,qd_LRAnklePitch,qdd_BodyPitch,qdd_BodyRoll,qdd_BodyYaw,qdd_LLHip1,qdd_LLHip2,qdd_LLHip3,qdd_LLKnee,qdd_LLAnkleRoll,qdd_LLAnklePitch,qdd_LRHip1,qdd_LRHip2,qdd_LRHip3,qdd_LRKnee,qdd_LRAnkleRoll,qdd_LRAnklePitch,Tau_BodyPitch,Tau_BodyRoll,Tau_BodyYaw,Tau_LLHip1,Tau_LLHip2,Tau_LLHip3,Tau_LLKnee,Tau_LLAnkleRoll,Tau_LLAnklePitch,Tau_LRHip1,Tau_LRHip2,Tau_LRHip3,Tau_LRKnee,Tau_LRAnkleRoll,Tau_LRAnklePitch
0.0,0.2,0.0,0.0,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.665388502910126,-1.18654037225863,0.3435507851540791,-0.02963357403768896,-0.02129969025818923,4.024313409688546,-8.383489474339058,0.11850746115669608,3.6703668981324427,-0.029633202759953292,-0.021299427535353743,4.136995830675346,-8.540214696129851,0.1185077309855842,3.7297491045605966,-36.242462920480065,-9.214613647820899,0.7118836816838948,-0.20665251478010052,-0.467887656294167,8.341399777931178,-25.05157270530664,6.803540428774255,8.77520600625732,-0.20663422648283072,-0.46786823517831183,14.306931122128587,-35.37634623657436,6.803551876643781,13.241414917443597
0.03,0.1976011503473809,-0.001067886335032767,0.0003091957066386712,-2.6670216633920062e-05,-1.9169721232370307e-05,-0.3263781179312803,0.6224548594730949,0.00010665671504102647,-0.2966966697916808,-2.666988248395796e-05,-1.916948478181837e-05,-0.3262767037523922,0.6223138067734831,0.00010665695788702578,-0.29664322580589547,-0.07996165508730378,-0.0355962111677589,0.010306523554622372,-0.0008890072211306687,-0.0006389907077456769,0.12072940229065636,-0.25150468423017175,0.0035552238347008823,0.11011100694397327,-0.0008889960827985987,-0.0006389828260606122,0.12410987492026038,-0.25620644088389555,0.003555231929567526,0.1118924731368179,-0.7930526099288926,-0.6263317778497495,0.07826617349222431,-0.02596107480763976,0.0028341609731228345,0.15721969235096367,0.10482836787298311,0.20305873452343803,-0.2479732688977947,-0.026022306414233753,0.0028470332638335094,0.37134908283451296,-0.24541614590998506,0.20302854738565657,-0.09840382570109796,-30.072442555987088,-7.051895857757661,0.2652620864541842,0.06652546771919507,-0.816990563782356,6.901761413882462,-21.721816712760898,6.3605601872553414,8.176942335576877,0.06566160952459164,-0.8167786971458433,12.001809448194365,-30.85232642821653,6.360133858108557,12.173191420212198
0.06,0.1944885533458258,-0.002699471270130309,0.0006888309694203442,-7.67054005947159e-05,-3.5788697588930065e-05,-0.32261473813944475,0.6150040644772754,0.0003960662911531472,-0.2936165155253696,-7.675984074072631e-05,-3.5776639626186574e-05,-0.32221919333023336,0.6144067390156472,0.00039603960842114245,-0.2933750150549219,-0.10375323338517056,-0.054386164503251386,0.012654508759389102,-0.0016678394653598615,-0.0005539658785519919,0.12544599306118526,-0.24835983319398225,0.009646985870404023,0.10267180887703943,-0.0016696652752256113,-0.000553571828145607,0.13525034740529576,-0.2635689252611951,0.009646088351137224,0.10894035836578496,-0.16876644507195238,-0.4494309455036465,0.021542879244321966,0.0032374097546608027,-0.043412078288668,-0.04191522010279414,0.281144880243005,0.23283459270214735,-0.17101279253597568,0.002823719329171581,-0.043334082402168406,0.1448366538093353,-0.05722511605017644,0.23264412819412428,-0.02096335707392427,-28.163490166701596,-5.807529776118996,0.13526618868722862,0.13873756382905328,-0.9641253393750578,6.41547456737216,-21.9120903495555,5.849673626928141,8.705510820805046,0.13551680803786187,-0.9634327156115895,10.916200305333989,-30.069829079673433,5.848129852493731,12.291541827175191
0.09,0.1912240665437059,-0.004735544056181132,0.001087854823521907,-0.00012382691577631703,-9.147854440529102e-05,-0.3188890820457017,0.6078062998736746,0.0008950270006972005,-0.2906902727723408,-0.0001243084516012402,-9.138446863250635e-05,-0.31803132991964606,0.6064481686533663,0.0008948019743299711,-0.2901256713253149,-0.10881622673732913,-0.06786909286836078,0.01330079513671876,-0.0015707171727200374,-0.0018563282272120317,0.12418853645810143,-0.2399254867866921,0.016632023651468444,0.09754142510096016,-0.001584953695350464,-0.001853594300210659,0.13959544701957582,-0.26528567874270037,0.016625412196960954,0.10831145765356723,0.02600045289723596,-0.3727711074762734,0.008470265357171769,0.011788620628919944,-0.062337395275761764,-0.10709047930555471,0.2755829545621964,0.23892004549952617,-0.1095581371280332,0.010786196939591264,-0.062137717718599106,0.06697200769710321,-0.051157469997406224,0.23845782696844253,0.03727756994885567,-27.27587141885262,-5.029624737730662,0.09008709539817181,0.15043536301400795,-1.0393148686607105,6.232542188478889,-22.00728179756943,5.420457820324404,8.867781634120458,0.14361115841822733,-1.0378872350389785,10.316914145399076,-29.444223377877687,5.417231077487006,12.144248829514833
0.12,0.18798298014919354,-0.007107110838960601,0.0014945019164449244,-0.0001603386723918902,-0.00020327204696983758,-0.31525980738333365,0.6008565599291799,0.0016090157511908273,-0.2878626323427272,-0.000162149485216122,-0.00020291624358556533,-0.31378319170213137,0.5984435565680876,0.001608176384510398,-0.2868427777827539,-0.10803621315041205,-0.07905222609264898,0.013554903097433913,-0.0012170585538524392,-0.003726450085484885,0.12097582207893479,-0.2316579981498262,0.023799625016454228,0.09425468098711916,-0.001261367787162726,-0.003717725831768632,0.14160460725048893,-0.26682040284262254,0.02377914700601423,0.1094297847520329,0.09590903152563612,-0.3441122689046239,0.007170263239196117,0.014308248212671515,-0.07222543143993221,-0.13144664596040911,0.27410447384306735,0.24163690218438205,-0.09066675744156782,0.012505062747578677,-0.07186610769500135,0.039993153644587665,-0.05181550947645519,0.24081695511677026,0.05687564525351263,-26.762494612096525,-4.5410469192239935,0.06384792943095689,0.14656712602651203,-1.102882294627015,6.124797797115551,-21.986816871972554,5.128102036700507,8.866829692082867,0.1349800302219108,-1.1004854607989345,9.942685447215322,-28.95171072193838,5.12268867970909,11.940973999966676
0.15,0.18482821188305426,-0.009788378663754232,0.0019076022462832182,-0.00018397300561605903,-0.0003800684378303231,-0.31174883470232995,0.5941535140111438,0.002540477713650398,-0.28511659199481104,-0.00018873596235818296,-0.0003791275154641255,-0.30949905964633656,0.5903923105242801,0.002538286054295918,-0.2835086961594648,-0.10515894220464296,-0.08937559415978769,0.013770010994609796,-0.0007878111074722938,-0.005893213028682851,0.11703242270012251,-0.22343486393453418,0.03104873208198569,0.09153467826387213,-0.0008862159047353657,-0.005873709062618672,0.14280440185982657,-0.2683748681269162,0.031003655659517338,0.11113605410963827,0.11971078463194118,-0.3423509084455034,0.008508294523021931,0.015526575549188237,-0.0799741796288913,-0.1426414235125435,0.2775082685018333,0.24884989100519306,-0.08874504402410821,0.012670532627652165,-0.07941019005595251,0.0334167586681815,-0.0589458553320128,0.24757230040381728,0.06435783765937231,-26.388161950754988,-4.271087559409384,0.04018868823795087,0.14160999942974203,-1.182881296407124,6.004992624088147,-21.83871760174812,4.994914441556254,8.77309854212938,0.12386252593838085,-1.1792363406062798,9.695092302209595,-28.57812619007436,4.986724688276096,11.753716671145881
0.18,0.1817811833230837,-0.012777762306148816,0.0023283600411922317,-0.00019363342084595842,-0.0006288415903568108,-0.3083662393024876,0.5877002255347594,0.0036959045780146425,-0.28245042218651656,-0.00020391896013535697,-0.0006268079583930429,-0.3051848525077404,0.5822880132106738,0.0036912107944448735,-0.2801166924822822,-0.10156761866568473,-0.0996461214131528,0.014025259830300455,-0.0003220138409966467,-0.00829243841754959,0.11275317999474621,-0.2151096158794792,0.038514228812141484,0.08887232694314888,-0.0005060999259058008,-0.008256014764297248,0.143806904619872,-0.2701432437868766,0.03843082467163186,0.11306678923941944,0.12737204644564315,-0.35953744876258753,0.01003372744862574,0.017059546420625793,-0.08890226071866891,-0.15139132853806814,0.28759630993567953,0.2641109963258259,-0.09502100964800775,0.012810373079872761,-0.08807341702531346,0.03613525872290779,-0.07196339212759995,0.26224180655162854,0.06929111791168907,-26.070497201883832,-4.195422545971033,0.01619593898984951,0.14069331999833654,-1.2950367389847441,5.840302168653542,-21.562210715683754,5.0342070594096056,8.612630564003583,0.11476790069961654,-1.2897454020832435,9.540328000810755,-28.32732282172893,5.022397988199045,11.611636062198555
0.21,0.17884878960491424,-0.01609072965242973,0.0027581481908050083,-0.0001879402442972946,-0.0009576267775301006,-0.30511989609832946,0.5815057737373172,0.0050890313390721306,-0.2798697712869053,-0.0002075726221406455,-0.0009537544766447425,-0.30083812363629364,0.5741189488441527,0.005080153160490295,-0.2766623267989791,-0.09774645727231543,-0.11043224487603041,0.014326271653759227,0.00018977255162212704,-0.010959506239109656,0.10821144013860416,-0.20648172658140881,0.04643755870191626,0.08602169665370865,-0.00012178873350961796,-0.010898217275056651,0.14489096238155924,-0.2723021455507046,0.046298078868180714,0.11514552277677012,0.12906098074741834,-0.3929148141920926,0.010876787682192912,0.019626374296024096,-0.10077285756702281,-0.16161357820749345,0.305111694008815,0.2895385636222727,-0.10658597194424146,0.013495239235311374,-0.09959225970331431,0.04447442259979084,-0.0913856031013438,0.2868847629008542,0.07526907408464467,-25.779059780152362,-4.3125445518313485,-0.008684455403535806,0.14672105361630536,-1.4512234524126801,5.6154691381864446,-21.149725832633,5.260201142786268,8.389723311179509,0.10951684319953915,-1.4436797526952232,9.468748463024452,-28.205546812235557,5.243482150011758,11.526015382208612
0.24,0.17603255076941746,-0.019757320331483526,0.0031977254493317587,-0.0001645833308822091,-0.0013771075365137109,-0.3020190051145581,0.5755859224644828,0.006742742807389663,-0.27738504776204387,-0.0001990805688341538,-0.0013703340286294247,-0.29645136778450704,0.5658676374348404,0.006727291813146486,-0.2731402189489998,-0.09387462784989288,-0.1222196893017932,0.014652575284225014,0.0007785637805028499,-0.01398269196612034,0.10336303279237936,-0.19732837576114437,0.05512371561058444,0.0828241174953814,0.00028306844354972324,-0.01388598506615608,0.14622519505955298,-0.2750437136437449,0.05490462175520634,0.11740359499930945,0.12794015804638548,-0.44183882792289,0.009719864169344561,0.024011993212070593,-0.11701214780663349,-0.17469599987532547,0.33117502095052487,0.3271529302671752,-0.12314035371446153,0.015283026793525778,-0.11535252141614194,0.057545460050477004,-0.11793345977537228,0.32343199336764883,0.08358814287430505,-25.50370444809782,-4.634029854183113,-0.03697317090367041,0.16335937536256254,-1.6635386685064155,5.320548178653949,-20.58844148115789,5.692766237221004,8.099083826533809,0.11007663458419872,-1.6528143851414314,9.481444284963425,-28.224524962893,5.669148829338342,11.503624961497966
0.27,0.1733314580761624,-0.023821565955667923,0.003646050585610919,-0.00011961562357626007,-0.0019018992285232913,-0.2990753405306745,0.569964128710504,0.008690891912947654,-0.27501115055552544,-0.0001768337914134889,-0.001890730849888635,-0.29201282101867504,0.5575101859117302,0.00866551925983356,-0.2695428817704337,-0.09003642310850132,-0.1354748541394799,0.014944171209305352,0.0014989235768649678,-0.017493056400319344,0.0981221527961196,-0.18739312513262862,0.0649383035185997,0.07912990688394755,0.0007415592473554966,-0.017346560708640338,0.14795155886106728,-0.2785817174370061,0.0646075815562358,0.11991123928553861,0.12335271529051539,-0.5057850422100714,0.0026931151042752788,0.0318812045023833,-0.13948932195691555,-0.19056846347024248,0.367407082069235,0.3797809188563406,-0.14602483168710023,0.019490779787560086,-0.1371624215363454,0.07568906507657402,-0.15255056907358266,0.37457483319008134,0.09443276095953479,-25.2446325232822,-5.179039012925157,-0.07812969272576596,0.19792628316794927,-1.9470505509323963,4.947443273760583,-19.858428533622316,6.360956153574301,7.72789379108365,0.12118117958726297,-1.9317344037559419,9.585815904915517,-28.401540739478676,6.3274027802413215,11.550259062567596
