t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.87955,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1485285492995798,-7.373792017682761,-9.513200801164706,-29.62118888819139,-22.434595018232073,-14.13452301505175
0.01,0.00011539723796691068,-0.0007388683826400732,0.8785999027341932,-0.00148105846906385,-0.0011217290122010036,-0.0007067256853409334,0.9999980243623685,0.011485285492995798,-0.0737379201768276,-0.09513200801164706,-0.2962118888819139,-0.22434595018232073,-0.1413452301505175,4.457953015214895,-4.656342822135716,-9.445205320532697,-2.857458253205799,-19.441735323723094,-2.0429837074265507
0.02,0.0006815664265100253,-0.0019518100051492421,0.8767120483746407,-0.003105552270738488,-0.0032155847261465245,-0.0015143162254228318,0.999988861141129,0.05606481564514475,-0.12030134839818477,-0.18958406121697402,-0.3247864714139719,-0.4187633034195517,-0.16177506722478302,5.1368585293887,-3.2704682554806452,-8.16800296814144,-0.782868099527736,-16.304135982034666,-1.3878844665086163
0.03,0.0017751083358339714,-0.003507377326066584,0.8740216877492293,-0.004770168577217168,-0.006124759617521754,-0.0023888788043366907,0.9999670124906275,0.10743340093903175,-0.1530060309529912,-0.27126409089838843,-0.3326151524092492,-0.5818046632398983,-0.17565391188986917,3.8991484766317477,-2.793112885851537,-3.1829364432803215,-0.6009449757081633,-4.766570771896468,-1.4140483511389625
0.04,0.0032752134663551888,-0.005359040184256436,0.8710341486905793,-0.006464905679607409,-0.009272440694497222,-0.0033331575661500737,0.9999305560381481,0.14642488570534923,-0.18093715981150657,-0.30309345533119164,-0.33862460216633083,-0.629470370958863,-0.1897943954012588,2.8748867876394293,-2.2327073829604003,-1.8561115126849845,-0.3655707583457506,-1.5510941413047377,-1.4404643480233226
0.05,0.005080378255641773,-0.007451942501711962,0.8678865373659705,-0.008177419829543718,-0.012497945218037956,-0.004349075626853621,0.9998790010353503,0.17517375358174353,-0.20326423364111057,-0.32165457045804147,-0.34228030974978835,-0.6449813123719105,-0.20419903888149205,2.0307561585738494,-1.7809248899339742,-1.3664203690518146,-0.17332305156074135,-0.24036163849730485,-1.4194306215567245
0.06,0.007106481120628746,-0.00974189807367273,0.8646302445584675,-0.009897645687493255,-0.01573582765428748,-0.005435903385099232,0.9998124180526401,0.19548131516748202,-0.2210734825404503,-0.3353187741485596,-0.34401354026539577,-0.6473849287568835,-0.2183933450970593,1.4602877379778434,-1.422344968089817,-1.2139202987856121,-0.039197550666983716,0.24412743387741642,-1.406089041194715
0.07,0.009296806419337613,-0.012194099873387626,0.8612818418362322,-0.011618513160328163,-0.018961960311095483,-0.006593094118949649,0.9997309564693105,0.21008419254726046,-0.23529693222134848,-0.34745797713641574,-0.34440551577206563,-0.6449436544181093,-0.23245423550900646,1.0558692209702158,-1.1398634916074843,-1.1714434962659706,0.03249078377823622,0.45264673036955827,-1.4147269223689385
0.08,0.01161134581333997,-0.014781357694051016,0.8578462062065431,-0.013336094942769272,-0.02216602012561289,-0.007821137061367561,0.9996347562677759,0.22064288475696262,-0.24669556713742333,-0.35917241209907547,-0.34408060793428324,-0.6404171871144138,-0.24660150473269585,0.7359564458633727,-0.924703636105504,-1.1409863419227069,0.07952362661882084,0.602119109658787,-1.4221751272033067
0.09,0.014018480304732014,-0.0174830902710231,0.8543264700626397,-0.015047694037891336,-0.02534063817408152,-0.009120460844187795,0.9995240047918118,0.22800244921559634,-0.25594260349847836,-0.37058227551830253,-0.34328537166809503,-0.6343959960178259,-0.2608232560047289,0.5166418852211745,-0.7710678553347656,-1.1559798271353268,0.126679269756224,0.6525498556516283,-1.4026557660009278
0.1,0.01649678468489091,-0.020284953888831173,0.8507210852134885,-0.016750666402626253,-0.02848338525066345,-0.01049008036586312,0.999398854388801,0.2331688680678081,-0.26365328205182603,-0.3821420737896558,-0.3420185789705328,-0.6278704974613096,-0.27484981366473815,0.3567381277856647,-0.5170999412300293,-1.1404681481539205,0.14718967848822917,0.7262621353354177,-1.4089416450836918
0.11,0.019030907321168727,-0.023162457593633987,0.8470309565296981,-0.018443650986201928,-0.03159068134973887,-0.011930349511644968,0.999259489497442,0.23673624934566473,-0.26882428146412635,-0.39354675527119504,-0.3405466821856505,-0.6206078761079554,-0.2889392301155751,0.23199033576559103,-0.24223049254476037,-1.110004570919946,0.13202495858998287,0.8046355013494662,-1.401987840115269
0.12,0.02160909355052317,-0.02608892815857789,0.8432580560899704,-0.020127075805930855,-0.03465868652552399,-0.013441025477549766,0.9991061080295424,0.23905615270332065,-0.27124658638957394,-0.4046468009803945,-0.33922643259975066,-0.6125615210944607,-0.3029591085167278,0.14650001731257944,-0.020967128686710246,-1.0883458303150295,0.11680064774308718,0.8577932559930304,-1.369314990851438
0.13,0.02422356203639061,-0.029043078958985884,0.8394034651803446,-0.0218014242358502,-0.03768479384990933,-0.015020571541834695,0.9989389053612512,0.24052115287644643,-0.27145625767644105,-0.4155302592835448,-0.3380584261223198,-0.6039835885345304,-0.3166522584252422,0.0907700897355408,0.17338888064816993,-1.0663917758609278,0.10418897597414478,0.9064244529718337,-1.3243672772555752
0.14,0.02686955424447914,-0.03200631735521908,0.8354682668480686,-0.02346707766433656,-0.040666605690246785,-0.016666840326701203,0.9987580987812085,0.24142885377380183,-0.2697223688699594,-0.42619417704215407,-0.33701653636257833,-0.5949193440048121,-0.3298959311977979,0.060576789449841684,0.3577790044513763,-1.0411264642626188,0.09263449395664258,0.9546205074491212,-1.2675688462084223
0.15,0.029544930655597424,-0.034961051616049364,0.8314538433304501,-0.02512439511358049,-0.04360172620426416,-0.018377101022364364,0.9985639370617181,0.24203462166830025,-0.2661445788254456,-0.43660544168478027,-0.3360901914230119,-0.5853731389303208,-0.34257161965988214,0.054616426262128925,0.5481258990580467,-1.0112417489546308,0.07955305470854213,1.0028000045847563,-1.1987337450518254
0.16,0.0322500861200331,-0.03788911343116175,0.8273619927642999,-0.02677384720431517,-0.04648773536977191,-0.020148036157041905,0.9983567038914921,0.24258078593092156,-0.2606633198348652,-0.4467178591743266,-0.33529466087592646,-0.5753451388844733,-0.3545589571104004,0.07328736644588751,0.7654556428675907,-0.9769365762500213,0.06051117336230094,1.0466950386276537,-1.1186612189329566
