t[s],q_BodyPitch,q_BodyRoll,q_BodyYaw,q_ALShoulder1,q_ALShoulder2,q_ALShoulder3,q_ARShoulder1,q_ARShoulder2,q_ARShoulder3,q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,qd_BodyPitch,qd_BodyRoll,qd_BodyYaw,qd_ALShoulder1,qd_ALShoulder2,qd_ALShoulder3,qd_ARShoulder1,qd_ARShoulder2,qd_ARShoulder3,qd_LLHip1,qd_LLHip2,qd_LLHip3,qd_LLKnee,qd_LLAnkleRoll,qd_LLAnklePitch,qd_LRHip1,qd_LRHip2,qd_LRHip3,qd_LRKnee,qd_LRAnkleRoll,qd_LRAnklePitch,qdd_BodyPitch,qdd_BodyRoll,qdd_BodyYaw,qdd_ALShoulder1,qdd_ALShoulder2,qdd_ALShoulder3,qdd_ARShoulder1,qdd_ARShoulder2,qdd_ARShoulder3,qdd_LLHip1,qdd_LLHip2,qdd_LLHip3,qdd_LLKnee,qdd_LLAnkleRoll,qdd_LLAnklePitch,qdd_LRHip1,qdd_LRHip2,qdd_LRHip3,qdd_LRKnee,qdd_LRAnkleRoll,qdd_LRAnklePitch,Tau_BodyPitch,Tau_BodyRoll,Tau_BodyYaw,Tau_ALShoulder1,Tau_ALShoulder2,Tau_ALShoulder3,Tau_ARShoulder1,Tau_ARShoulder2,Tau_ARShoulder3,Tau_LLHip1,Tau_LLHip2,Tau_LLHip3,Tau_LLKnee,Tau_LLAnkleRoll,Tau_LLAnklePitch,Tau_LRHip1,Tau_LRHip2,Tau_LRHip3,Tau_LRKnee,Tau_LRAnkleRoll,Tau_LRAnklePitch
0.0,0.2,0.0,0.0,-0.25,0.1,0.0,0.25,-0.1,0.0,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.418007935759668,12.964513617125526,16.531443680654263,-45.22002000574252,-10.522386738239211,0.43976946932913114,50.193505418574446,-19.82605072469654,-0.2630175726347732,11.384971525148018,39.76345888005691,-15.681241574041124,86.8493494248572,-10.616717821519842,-45.78679228476423,11.38498011869902,39.76358187694438,0.4528227816017676,35.67405469173866,-10.616741130745481,-16.638872513455183,-76.9435981670246,-84.54407605845827,-13.388485196588704,-48.95150655933974,-24.225927075021843,1.6006901593567129,51.197728476407065,-32.449582662215484,-1.6984531382988601,0.34225413404494354,45.40084660821013,31.041046327414655,16.831407244090585,-0.24717568116409802,3.5800262712610516,1.7576140364727832,41.45114481260445,35.92639442483759,14.541244183382275,4.378929979181705,0.44136928102412226
0.01,0.20224180079357598,0.0012964513617125526,0.0016531443680654263,-0.25452200200057423,0.09894776132617608,4.397694693291312e-05,0.2550193505418574,-0.10198260507246966,-2.630175726347732e-05,0.0011384971525148018,0.003976345888005691,-0.3315681241574041,0.6386849349424857,-0.0010616717821519842,-0.3045786792284764,0.001138498011869902,0.003976358187694438,-0.3299547177218398,0.6335674054691739,-0.0010616741130745483,-0.3016638872513455,0.22418007935759668,0.12964513617125525,0.16531443680654265,-0.45220020005742523,-0.10522386738239212,0.004397694693291311,0.5019350541857445,-0.1982605072469654,-0.002630175726347732,0.11384971525148017,0.3976345888005691,-0.15681241574041124,0.8684934942485719,-0.10616717821519842,-0.45786792284764233,0.11384980118699019,0.3976358187694438,0.004528227816017676,0.3567405469173866,-0.10616741130745481,-0.16638872513455183,9.188145335223062,-15.523294191586114,-1.4883411286551391,-18.709450430049692,-3.041427855426374,0.6422007308672948,21.804527262506465,-4.274515595748934,-0.7220635177836845,-0.5496827252591174,9.170721368582512,-6.176075587553001,61.25001171400757,-6.630139151503727,-35.80837232551727,-0.25845865806840607,9.05857990987117,-5.383666410447432,58.85854354832563,-6.479995039938103,-34.00096297490555,-70.19209738076194,-80.4615435191887,-16.250835428316158,-30.866923486556864,-19.39992854601312,1.0146910425201363,27.93745041766297,-24.099453799141976,-0.9426698817073482,-1.8636240408698534,38.136499025727915,35.03047226364955,14.81814875114386,-1.0260119273424444,0.033022423358997265,-0.2984742109307752,37.54813206503892,31.338277387161416,13.830789689746796,3.9631474818237797,0.0116469451079264
0.02,0.20540241612067425,0.0010405733042664937,0.003157454623265339,-0.26091494904415347,0.09759137986680952,0.0001521739669525557,0.2622191538099655,-0.10439266170451421,-0.0001248098663053231,0.002222026032503692,0.008869763912869633,-0.33375385587356354,0.6534948710563722,-0.0027863574794543414,-0.31273819568950456,0.002251150157932963,0.008858574366375993,-0.3304478020847244,0.6430206652931804,-0.0027713477301429066,-0.3067278708001816,0.3160615327098273,-0.025587805744605896,0.15043102551999127,-0.6392947043579221,-0.13563814593665585,0.010819702001964259,0.7199803268108091,-0.24100566320445474,-0.009850810904184578,0.108352887998889,0.48934180248639425,-0.21857317161594125,1.4809936113886475,-0.17246856973023567,-0.815951646102815,0.11126521460630613,0.48822161786815554,-0.049308436288456645,0.9453259824006428,-0.17096736170683585,-0.5063983548836073,3.3683465241572534,-12.929503212568141,-1.6039412785331244,-10.192008080743499,-4.609121164865606,0.3407376916411454,11.033028875017811,-4.53010861102865,-0.3821271311757881,-1.375737900650961,5.47251322045571,-0.8724859259419162,46.35636610663367,-5.0573141342588315,-29.5097569156419,-1.0770189075725227,5.382273123022628,-2.0857990345986366,48.98953477455305,-4.898757281807505,-30.30105606549668,-66.34898413888004,-60.15017672867017,-14.744902693042421,-24.166269982278084,-16.10195269178874,0.7947820771453638,19.882638572871656,-21.65191807771828,-0.6755138482195353,-2.166387623048125,32.133052228218475,33.83211406042463,0.19918663434865186,-4.1294956618679475,-5.224550587063445,0.13086721047050484,31.29198209012648,27.237378666614987,11.872295879578633,3.0558319512907124,-0.19396083484990403
0.03,0.20889986610018826,-0.0005082550744363796,0.004501370750611939,-0.268327096895807,0.0957740862909564,0.00029444475613631284,0.2705222599655754,-0.10725572919766162,-0.0002615306884647477,0.0031679811224274855,0.014310433259779147,-0.33602683618231716,0.672940443780922,-0.0050167745901825815,-0.3238486878420969,0.0032561004132387722,0.014279017857359811,-0.33114946635106884,0.6573728785946421,-0.004970897075392016,-0.31482195995556733,0.3497449979513998,-0.1548828378702873,0.13439161273466002,-0.7412147851653571,-0.18172935758531192,0.014227078918375713,0.8303106155609873,-0.28630674931474126,-0.013672082215942459,0.09459550899237938,0.5440669346909514,-0.2272980308753604,1.9445572724549842,-0.22304171107282397,-1.111049215259234,0.1004950255305809,0.5420443490983818,-0.07016642663444302,1.4352213301461734,-0.2199549345249109,-0.8094089155385742,-8.026039266695015,-10.54601416974771,-1.033674195255891,-4.640667656370162,-4.227641211387777,0.14758594002993575,4.950180762394494,-3.4863732215611454,-0.17663231974285676,-1.5727012991255265,4.698198068132172,4.266545359334771,11.187982076242633,-4.604108628602717,-11.027224032127151,-1.2554401620282647,4.614516385273646,3.017623371583511,13.977261389553576,-4.4257463690621535,-11.84648747770916,-61.828183927533075,-46.311486030617864,-13.104783216316685,-20.733643734229446,-12.249407909750301,0.6797383942673232,16.394955304339657,-19.89319382684335,-0.5563582710170244,-1.782229904490794,24.688342131540413,25.466013241956755,-29.38656001843232,-8.610173918889739,-14.964308199923435,0.21470073329094308,24.000685057504956,18.162506046158494,-17.40904083371733,-2.6935430095883994,-10.075072411296057
0.04,0.21159471215303277,-0.003111684870114024,0.00574191945843295,-0.2762033115130976,0.09353402859396451,0.00045147413932306355,0.2793203841974247,-0.11046743401296515,-0.00041591474259845796,0.003956666082438727,0.020220922413501877,-0.3378731619551373,0.6935048147130961,-0.007707602563771093,-0.33606190239790196,0.004135506652341755,0.020160912986870994,-0.33154936828025494,0.6731228180350592,-0.00761302105754734,-0.324100697858724,0.2694846052844496,-0.2603429795677644,0.12405487078210112,-0.7876214617290587,-0.22400576969918967,0.015702938318675072,0.8798124231849322,-0.3211704815303527,-0.015438405413371027,0.07886849600112411,0.5910489153722731,-0.1846325772820127,2.0564370932174105,-0.26908279735885116,-1.2213214555805054,0.08794062391029825,0.5881895129511183,-0.039990192918607906,1.5749939440417091,-0.26421239821553244,-0.9278737903156657,-8.339483142023674,-8.408645485558036,-0.8659794170777175,-3.576431632130987,-3.1910748171242864,0.11282987019568713,3.8908276485645086,-3.49250805878378,-0.13840380808925823,-1.4512743357463478,3.7076192122615055,3.939302993696515,3.2736388843933923,-3.936279333305265,-5.928375211768071,-1.1085904542591152,3.6273799879400315,2.7545811725502176,5.755280760559458,-3.7354249853337933,-6.579228709327481,-52.56698743552407,-34.86920608488372,-11.945216004467271,-18.039193050861705,-9.339467092836141,0.5930831516240547,13.712633737623346,-17.672870681280735,-0.4617878532755964,-1.1937579746097162,18.697287374209466,19.21032346694279,-39.73595213683339,-9.848019556594727,-17.660237463853083,0.5229414378639581,18.14944777272783,11.718860075654508,-28.14755367076234,-5.04174928635908,-13.161762133067132
0.05,0.2134556098916749,-0.006555979214347472,0.00689587022454619,-0.2844371692936013,0.09097486341526018,0.000619786509529383,0.2885075911941305,-0.11402838963414705,-0.000584139177541094,0.0046002236088753335,0.02650217348845076,-0.3393255574285878,0.7143965495337096,-0.010792058470690131,-0.34886795447488383,0.004904053846018826,0.026405546115176183,-0.331673812092186,0.6894482855515323,-0.010628687538236044,-0.33403735863281336,0.18608977386421288,-0.3444294344233448,0.11539507661132395,-0.8233857780503685,-0.2559165178704325,0.016831237020631943,0.9187206996705773,-0.3560955621181905,-0.01682244349426361,0.06435575264366063,0.6281251074948881,-0.14523954734504757,2.0891734820613443,-0.3084455906919038,-1.2806052076981862,0.0768547193677071,0.6244633128305186,-0.01244438119310573,1.6325467516473038,-0.30156664806887035,-0.9936660774089405,-6.824796816735663,-6.6330866398472565,-0.6356955208033455,-3.012502029903903,-2.419467066563072,0.0942223085871805,3.3069864409802037,-3.2918768687712694,-0.11754559319234958,-1.427652867513757,2.916973681586711,3.2485703143342732,0.15108578641996928,-3.4169316608476947,-3.3800851446205797,-1.068352631661412,2.8435488511737503,2.012250291453995,2.6788910282098186,-3.1980711907194745,-4.048217916670637,-43.96419721482795,-25.173292516968726,-10.735140518430809,-15.295958185457799,-7.38199315838525,0.5034232659062761,11.085642993908097,-15.316715966469854,-0.37085441337544284,-0.6054437163393795,14.357595213492445,14.634300352786763,-44.204040983408596,-10.51771761364805,-14.621137604820127,1.0276862013583188,13.879483900333561,7.1713229747666025,-32.65224737035195,-6.170759446018394,-14.066202142860924
0.06,0.21463402794864345,-0.010663582222565644,0.007986251438579095,-0.29297227727709535,0.08817375152989955,0.0007975211105944205,0.2980254968349343,-0.11791853294220608,-0.0007641181718029651,0.005101015848560564,0.033075121931558316,-0.34045309587060485,0.735303392932965,-0.014218207543693939,-0.36201201506632774,0.005565765776529757,0.032934534128598744,-0.33159703087497167,0.7060416421708263,-0.013964161137996695,-0.3443788411985698,0.11784180569685625,-0.41076030082181736,0.1090381214032905,-0.8535107983494076,-0.2801111885360632,0.017773460106503748,0.9517905640803794,-0.3890143308059032,-0.017997899426187104,0.05007922396852306,0.6572948443107552,-0.11275384420170484,2.090684339925544,-0.34261490730038074,-1.314406059144392,0.06617119305109298,0.6528988013422561,0.007678121721434221,1.659335661929402,-0.3335473599760651,-1.0341482565756468,-5.162603283179891,-5.2118695107738064,-0.3915723920092127,-2.401784879672583,-1.8951120360634015,0.07428910905431041,2.702646725954054,-2.8937333170416686,-0.09655488851061067,-1.4166350355694703,2.3062173102109114,2.6329649569897526,-0.8402524034989938,-3.0186075271831214,-2.2142719087162277,-1.0485699417442333,2.2427220742074496,1.3695553644427036,1.700229293296161,-2.785635987839214,-2.8824082338239805,-36.947100293060075,-17.354276735510243,-9.631590444761342,-12.910801468949476,-6.016089385463306,0.4249659598490336,8.868209177988172,-13.148304105287995,-0.29457185990763957,-0.11620213662742877,10.805854354021788,11.169368042885893,-46.42160892910374,-10.822606215376073,-11.219808914980854,1.4427024292280775,10.391450438962897,3.923664994984387,-35.08968146139785,-6.867353987940515,-14.339228989352012
0.07,0.21529618567729403,-0.015292372181861198,0.00903747541341108,-0.30174756374855666,0.08518312844093258,0.0009826846225648891,0.30781366714833347,-0.12209804958196928,-0.0009537526549158972,0.005460144584688848,0.03987869210568696,-0.3413173378169229,0.7561262110918705,-0.01794621736941606,-0.3753775028486433,0.006122620712866263,0.03968779434944205,-0.33138329412131307,0.7228050217194499,-0.017578198336541267,-0.3550085645877087,0.06621577286505734,-0.46287899592955545,0.10512239748319838,-0.8775286471461334,-0.2990623088966972,0.01851635119704685,0.9788170313399199,-0.4179516639763199,-0.01896344831129321,0.035912873612828355,0.6803570174128644,-0.08642419463180731,2.0822818158905543,-0.37280098257221195,-1.3365487782315544,0.05568549363365065,0.6753260220843306,0.02137367536586126,1.6763379548623636,-0.36140371985445724,-1.0629723389138865,-3.775865439889891,-4.1078244038284915,-0.1666954920512076,-1.825626656751366,-1.4992339101572072,0.05580414218889351,2.168475162757683,-2.41925633811463,-0.0778668049304051,-1.4043328693654757,1.856631834191404,2.15417788825377,-1.1386738585848093,-2.722365859918682,-1.6013055704540307,-1.030719488528291,1.8048049919374591,0.8854772501040316,1.3588077171358464,-2.476885040059642,-2.235579103476084,-31.44107507128333,-11.352153606456154,-8.709200421915549,-11.01653717128467,-5.021472071035091,0.3624482334938807,7.1547241521150235,-11.307172274380822,-0.2356126848368366,0.23081662881305928,7.518799179456692,8.429090146464745,-47.56330054159175,-10.810080122990314,-9.126521838190428,1.6130743507056053,7.194741329103937,1.5717483116287276,-36.95569388084247,-7.494720264064213,-13.390028772739553
0.08,0.2155807568619556,-0.020331944581539602,0.010072029839037943,-0.31070541288569314,0.08204258196094989,0.001173428548754247,0.3178186849780084,-0.12651949185554395,-0.0011511738185218698,0.005678840033880583,0.04686792546323475,-0.3419661619744156,0.7768351618649175,-0.02194646378113005,-0.38890312118800424,0.00657640370034994,0.0466215350694791,-0.33108100964264403,0.7397042820397871,-0.021439924039091805,-0.36586184588719517,0.028457118466158428,-0.5039572399678404,0.1034554425626863,-0.8957849137136471,-0.31405464799826927,0.019074392618935787,1.0005017829674967,-0.44214422735746617,-0.01974211636059726,0.021869544919173596,0.6989233357547784,-0.06488241574926962,2.0708950773047063,-0.40002464117139874,-1.3525618339360947,0.04537829874836774,0.6933740720037052,0.030228447866901577,1.6899260320337222,-0.38617257025505364,-1.0853281299486475,-2.697466994822861,-3.2898573755353486,0.06084565206614201,-1.3778397401981124,-1.1567448825723101,0.041289819942168626,1.7543091076817632,-1.9425579154047372,-0.06347256736861617,-1.4076341836313304,1.5143594168869754,1.7794848426202634,-1.3258242207978128,-2.512883288160083,-1.147829744467515,-1.0301695586621236,1.475632855091817,0.5253369061433091,1.1068447482035708,-2.2557358230669706,-1.7379230110888102,-27.169960753598076,-6.752092556393244,-7.872040632735027,-9.557554927662835,-4.283113560168975,0.31365094261865445,5.914197290385303,-9.817811406054991,-0.1932345317420873,0.45451121381919857,4.528614456046746,6.192822317698329,-48.21835961135862,-10.631346764591058,-7.820785053896194,1.5992369190061178,4.3055768553458815,-0.14989676357388315,-38.63770411153841,-8.07498097965708,-11.623284020217925
0.09,0.2155955813471349,-0.025700502718771542,0.01111266882987142,-0.31980104599684944,0.07878636099270997,0.0013683014569378217,0.3279991337184516,-0.1311351899206591,-0.001354942238864704,0.005756772064709186,0.05400859476247123,-0.34243703764764627,0.7974115302158848,-0.026197998521660045,-0.4025435225018119,0.0069271697319674055,0.053702839075025335,-0.3307261914733607,0.7567142268349447,-0.02552722332394904,-0.3768889194877905,0.0014824485179298179,-0.5368558137231938,0.10406389908334772,-0.9095633111156283,-0.32562209682399235,0.019487290818357473,1.0180448740443144,-0.4615698065115135,-0.020376842034283423,0.007793203082860292,0.7140669299236482,-0.04708756732306699,2.0576368350967282,-0.4251534740529996,-1.36404013138077,0.0350766031617465,0.7081304005546233,0.035481816928334665,1.7009944795157579,-0.4087299284857233,-1.1027073600595356,-1.8660042784662068,-2.7159679400557866,0.3300156405128227,-1.0712877035348995,-0.8036545890207225,0.030765373634845217,1.3945369186286758,-1.4541520742414937,-0.051822411604816376,-1.4625031283395629,1.2473955011940063,1.4768168342696981,-1.2396471286187989,-2.385551841312463,-0.9522785440030646,-1.0837224928063733,1.223512076319622,0.2632483017268896,1.145787236665683,-2.117490887155327,-1.5145291087347914,-23.85742467562647,-3.127401360988149,-6.994167949410803,-8.50270897709569,-3.6723007873555673,0.277201818227357,5.116258281086902,-8.60595185237427,-0.1668701504911741,0.5878318431190659,2.0179862929692693,4.305679440431571,-48.72177440600068,-10.365730202111695,-6.971631128881297,1.5056460004041385,1.8836964267089984,-1.4221312967545154,-40.18025500872751,-8.486544374387249,-10.354907312124716
