t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.87955,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8267211881047398,0.00417626441283879,-2.568099994885374,0.00189301258178394,-3.409452849042456,0.00026945338650202766
0.01,8.271589628192197e-05,4.1765186182965724e-07,0.8792932040988609,9.465062863075774e-08,-0.00017047264162644047,1.3472669259846664e-08,0.9999999854695345,0.008267211881047398,4.17626441283879e-05,-0.02568099994885374,1.89301258178394e-05,-0.03409452849042456,2.694533865020277e-06,0.16809168395719354,0.0006908881914860499,-0.4227768408971704,-0.00021522306775423328,-0.9783698505320757,0.00035056119672818853
0.02,0.00018236475675615293,9.044545907251303e-07,0.8789941722077532,1.7853777117046355e-07,-0.00038986376755650734,4.446693274971326e-08,0.9999999240031016,0.009948128720619334,4.86715260432484e-05,-0.029908768357825445,1.6777895140297066e-05,-0.04387822699574532,6.200145832302162e-06,-0.01638446503115354,0.0002958427128617602,-0.08682319971806685,2.1475404524129438e-07,-0.16192071677910747,0.00034889559238329704
0.03,0.0002805175373390372,1.4209032794630585e-06,0.8786865009119313,2.624292013629347e-07,-0.0006173509090408886,9.290453088116026e-08,0.9999998094388706,0.009784284070307799,5.1629953171866004e-05,-0.030777000355006114,1.678004268074948e-05,-0.045497434163536396,9.689101756135132e-06,-0.04413171617999723,0.000199565315626149,-0.03494972169292687,3.0564909837937915e-05,-0.03726855786751315,0.00029546333919017176
0.04,0.00037440281343790647,1.9573725794196064e-06,0.8783753730587485,3.478399159311756e-07,-0.0008467014458077294,1.5611574261898945e-07,0.9999996415481939,0.009342966908507826,5.362560632812749e-05,-0.031126497571935384,1.708569177912886e-05,-0.04587011974221153,1.264373514803685e-05,-0.0436274489409918,0.0001397627841457083,-0.027025557123497634,2.7036117478007604e-05,-0.019750141664097498,0.00023706750822005684
0.05,0.00046407356371693594,2.5078851252490373e-06,0.8780615774530901,4.3459253538981066e-07,-0.0010770394445515077,2.311811182435716e-07,0.999999419992728,0.008906692419097908,5.502323416958457e-05,-0.03139675314317036,1.7356052953908935e-05,-0.046067621158852504,1.501441023023742e-05,-0.039158744231803766,9.095484728023628e-05,-0.026031223842264417,1.869800629344942e-05,-0.019271342461387064,0.0001871053545081658
0.06,0.0005499795110555812,3.0675625352768402e-06,0.8777452108207817,5.222701782181094e-07,-0.0013083409524550808,3.1560233192700327e-07,0.9999991441214235,0.008515104976779871,5.593278264238693e-05,-0.031657065381593,1.754303301684343e-05,-0.04626033458346637,1.6885463775319077e-05,-0.035169346489110964,5.123265666664989e-05,-0.02616364831324347,1.0779703065649793e-05,-0.021425634929279624,0.0001467079645594005
0.07,0.000632522674040482,3.632434401465245e-06,0.8774262576809011,6.104775185520542e-07,-0.0015407136708412896,4.0735906620176925e-07,0.9999988130997185,0.008163411511888761,5.6445109209053434e-05,-0.03191870186472543,1.765083004749993e-05,-0.04647459093275917,1.8352543420913082e-05,-0.03224806715465789,1.9551536362974464e-05,-0.0264901713646557,4.101474371076552e-06,-0.023867282436071946,0.00011446189365146853
0.08,0.0007119984332327635,4.199333887615003e-06,0.8771046833431193,6.988815676948609e-07,-0.0017742796682813438,5.048384536342404e-07,0.999998425964219,0.007840930840342182,5.664062457268318e-05,-0.03218360357837199,1.7691844791210694e-05,-0.04671326375711989,1.9497162357427768e-05,-0.03027090140502864,-5.469200256347229e-06,-0.026854316963506264,-1.3388980766027014e-06,-0.026227986555838356,8.877943961485557e-05
0.09,0.0007886079148551006,4.765759747340019e-06,0.8767804494054623,7.872114197569937e-07,-0.0020091569656144706,6.067557430221281e-07,0.9999979816416129,0.007538221826291896,5.658593257011971e-05,-0.03245214674800705,1.7678455810444665e-05,-0.04697554362267828,2.0384956753576324e-05,-0.029025883677372022,-2.5177469863635338e-05,-0.02722733051346804,-5.679348000442452e-06,-0.028468936252565413,6.831519475247738e-05
0.1,0.0008624791821134166,5.32974160800233e-06,0.8764535165429476,8.752512621796111e-07,-0.0022454575953364995,7.120870604448715e-07,0.9999974789562793,0.007247962989518176,5.6334157871483355e-05,-0.03272442005314173,1.7621662330440242e-05,-0.04726023298520393,2.1068108701101098e-05,-0.02832921432797164,-4.072499604101942e-05,-0.027602758590907328,-9.059513211590042e-06,-0.03060364235162183,5.198612894577459e-05
0.11,0.0009336856133131401,5.889724861065428e-06,0.8761238451009798,9.628333338777633e-07,-0.0024832882770810596,8.200152812732379e-07,0.9999969166341132,0.00696467084623846,5.592690791107316e-05,-0.03300044763905081,1.753106719832434e-05,-0.04756626940872015,2.1587969990558844e-05,-0.02803836896261558,-5.304798448176051e-05,-0.027978583081406327,-1.159711595508095e-05,-0.03265059808999382,3.89283923048489e-05
0.12,0.0010022601537173024,6.444477094226747e-06,0.8757913952659786,1.0498320019021246e-06,-0.0027227513422206626,9.298868571767855e-07,0.999996293304711,0.0066842871566123035,5.5396428066255554e-05,-0.03328023346986487,1.741509603877353e-05,-0.047892775389620085,2.1977253913607333e-05,-0.028046048986814398,-6.289368288965591e-05,-0.028353941634734703,-1.3387002422926564e-05,-0.034625701034059375,2.8452329466271964e-05
0.13,0.0010682060455310216,6.993013412012629e-06,0.8754561271333176,1.1361589981118701e-06,-0.0029639455286832174,1.0411773505096732e-06,0.9999956075026171,0.0064038266667441595,5.4767491237359e-05,-0.03356377288621221,1.7281226014544265e-05,-0.04823903239996068,2.226177720827005e-05,-0.028272188431644807,-7.085482572331825e-05,-0.028728414438455196,-1.4503910890917293e-05,-0.03654165785175678,2.000823772224658e-05
0.14,0.001131504835139292,7.53453720227388e-06,0.8751180007390831,1.221759672509122e-06,-0.003206966616222233,1.1534639649801996e-06,0.9999948576679278,0.006121104782427712,5.405894298012581e-05,-0.033851057030596765,1.7136186905635093e-05,-0.048604448978478244,2.2461859585492518e-05,-0.028657206330802154,-7.740075887767428e-05,-0.029101812886262124,-1.5005936281620169e-05,-0.03840851984097782,1.3157324025930839e-05
0.15,0.0011921223322635857,8.068393237460286e-06,0.8747769760737087,1.3066100866025581e-06,-0.0034519079289168073,1.2664036211052792e-06,0.9999940421464216,0.00583453271911969,5.328493539134907e-05,-0.034142075159459384,1.6986127542818893e-05,-0.048988534176888025,2.2593432825751828e-05,-0.02915678463801541,-8.290311691529217e-05,-0.029474089215606014,-1.4937626900302092e-05,-0.04023428863471423,7.548076015828631e-06
0.16,0.0012500130431826156,8.594030543937304e-06,0.8744330130845385,1.390714789634564e-06,-0.003698860735186399,1.3797153954612987e-06,0.9999931591893136,0.005542964872739536,5.245590422219615e-05,-0.03443681605161544,1.6836751273815872e-05,-0.04939087706323517,2.2668913585910113e-05,-0.02973791524993885,-8.765648480055233e-05,-0.029845286582063757,-1.4331876855233627e-05,-0.042025417450489044,2.901067652549827e-06
0.17,0.0013051234732683213,9.11097297396372e-06,0.8740860716710562,1.4741051808026289e-06,-0.003947914570382592,1.493166564474229e-06,0.9999922069527054,0.0052455857202401476,5.1579339374190624e-05,-0.03473526891743608,1.6693432505263535e-05,-0.04981113123774006,2.2697924262435612e-05,-0.030375918723319018,-9.18945824596451e-05,-0.03021550795995598,-1.3212529150874452e-05,-0.04378720031700567,-1.0091574954296245e-06
0.18,0.0013573945969306714,9.618795862540733e-06,0.873736111675138,1.5568383266914772e-06,-0.004199157501418945,1.606561347104729e-06,0.9999911834967714,0.004941826533006957,5.066039354959417e-05,-0.03503742399703564,1.656130721375479e-05,-0.05024900324091011,2.2687832687481316e-05,-0.031052186898868683,-9.58031706228546e-05,-0.030584895834668835,-1.1595419569021548e-05,-0.045524069618466,-4.362788589451494e-06
