t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.87955,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.795063258713245,8.404314355365507,-9.484424259529689,27.505173847799547,-36.207523559300306,10.527524020177012
0.01,0.0008807770411844499,0.0008421966650003844,0.8786043087757299,0.001375257444143577,-0.0018103745347864916,0.0005263757232462289,0.9999972770660949,0.08795063258713245,0.08404314355365507,-0.09484424259529689,0.27505173847799547,-0.3620752355930031,0.10527524020177012,7.690085397088926,3.939660079159462,-9.067676291855806,1.1926317010776124,-20.395739853818817,1.269596611980285
0.02,0.002539170705523911,0.002087039299326141,0.8767649570155135,0.00281055602867948,-0.004640571569005279,0.001114931871223332,0.9999846612809844,0.16485148655802173,0.12343974434524968,-0.18552100551385495,0.2869780554887716,-0.5660326341311912,0.11797120632157297,6.601155410151537,2.9656403903286837,-8.020616012378191,0.7379236296922596,-16.348121169305063,1.3380287426436972
0.03,0.004877434574728541,0.0036434036816925313,0.8741486831181606,0.004283312722966092,-0.008288243195598994,0.001768246902349641,0.9999549147635308,0.2308630406595371,0.1530961482485365,-0.2657271656376369,0.2943572917856942,-0.7295138458242418,0.13135149374800995,4.842254358280163,2.576956172343742,-3.276348350462932,0.5634263002982713,-4.934930468361323,1.4016071241786783
0.04,0.007722904438920182,0.005473736173606957,0.8712397180043276,0.0057840218563291294,-0.012182758341219997,0.002490785374774607,0.9999059563171837,0.27928558424233874,0.17886570997197393,-0.2984906491422662,0.2999915547886769,-0.778863150507855,0.14536756498979672,3.5851330597313815,2.0827666804471345,-2.0294187537655795,0.3624095794721498,-1.699297014582946,1.4389637703468239
0.05,0.010951269144970395,0.007530050046061933,0.8681688315018039,0.00730207840546706,-0.01616237687269543,0.003284948531458737,0.999837319936564,0.31513691483965256,0.19969337677644527,-0.31878483667992197,0.3036156505833984,-0.7958561206536845,0.15975720269326496,2.69968939934771,1.662864679951877,-1.708580891547439,0.2170247952629829,-0.6122096462332038,1.451988087355975
0.06,0.014475336649381443,0.009771986110604123,0.8649718809624872,0.008829772902504337,-0.02017278831503038,0.004151588521607666,0.9997488974911822,0.34213380883312966,0.21632202357596406,-0.33587064559539637,0.3057858985360282,-0.8019782171160166,0.1742770835668247,1.8351928582469323,1.345846234653461,-1.4474721431509483,0.08026953594407793,0.19450027651642898,1.4380040793931137
0.07,0.018209283069642757,0.012168965792689567,0.8616762711135117,0.010359819434810784,-0.024173707881174383,0.005090197507602799,0.999641133546378,0.360485737415599,0.22978048592249867,-0.35034536702690583,0.306588593895469,-0.8000332143508523,0.18865712436075582,1.223128844721602,1.1025832574979524,-1.3491857809486296,0.04045120532525637,0.519717699262344,1.4574941295509447
0.08,0.022092598768199648,0.014697790756674923,0.8582920384126393,0.0118897948591365,-0.028148931258283244,0.006101875132519199,0.9995144008802931,0.37271702586281497,0.2408063184974782,-0.36383722483639214,0.30699310594872153,-0.7948360373582288,0.20323206565626528,0.8066969894817202,0.9094607738743994,-1.3455126334381013,-0.0038700637587947284,0.6198201207649277,1.454069444762446
0.09,0.026084613770618034,0.017340383656550527,0.8548192927223278,0.01341711375045768,-0.032093505779084076,0.007186466970604177,0.9993689722209188,0.38078399575763217,0.24990092623622218,-0.37729235117077314,0.3069544053111336,-0.7886378361505796,0.21777276010388974,0.49935740645408266,0.648530598039443,-1.328493232809084,-0.027522276395381517,0.7051981549161432,1.4698172673651673
