t[s],Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter,Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter
0.0,9.319620078130104,30.83976682755582,44.035416954531975,-19.939019507710018,7.565520710903767,0.0539020911229753,9.901230952751243,36.26300235357469,168.21191154528842,-22.888546868484127,7.149381422624823,-1.0983462440553868
0.03,33.61643313089936,-5.05935610058348,311.3003885605448,-36.31167607298431,12.426271300982046,9.171180606035053,0.0,0.0,0.0,0.0,0.0,0.0
0.06,14.338338446367905,3.898469460439579,224.5291641853167,-28.7873683229192,8.361757885905757,2.1044508056762297,0.0,0.0,0.0,0.0,0.0,0.0
0.09,4.844935445009157,-1.5013624782693156,217.2761078823731,-20.631476652220577,4.4283553935539475,0.18888274894733045,0.0,0.0,0.0,0.0,0.0,0.0
0.12,2.747844655957975,-7.8215181471556585,212.84897882625245,-13.71747765216539,2.63026836612733,-0.20033764625653722,0.0,0.0,0.0,0.0,0.0,0.0
0.15,3.281447688884377,-13.359604536194858,208.84948041390967,-7.8707327578567075,2.2064486740618854,-0.18937949323570005,0.0,0.0,0.0,0.0,0.0,0.0
0.18,4.446383293087248,-17.549610452351676,204.54109060434013,-3.0552675068223567,2.454790584428016,-0.15448108394202847,0.0,0.0,0.0,0.0,0.0,0.0
0.21,5.442419695930778,-19.96154088659412,199.56158092388264,0.48759640457398323,2.815727978999951,-0.17860915734527502,0.0,0.0,0.0,0.0,0.0,0.0
0.24,5.96831694346128,-20.20286712241859,194.24104483109522,2.058138675710208,2.7701739426394347,-0.2505981190976154,0.0,0.0,0.0,0.0,0.0,0.0
0.27,5.638264125419598,-19.87060852604305,199.02573351003375,0.3320347740459811,1.4759850586152268,-0.24864574786648064,0.0,0.0,0.0,0.0,0.0,0.0
0.3,4.257510162936126,-16.951710777120994,203.62809440504662,-3.7156238781961415,-0.9660880093823385,-0.2908003375808679,0.0,0.0,0.0,0.0,0.0,0.0
0.33,1.2520368791290921,-11.482404717675495,207.82325025692913,-9.651776255733475,-4.775307888628429,-0.4132653380948546,0.0,0.0,0.0,0.0,0.0,0.0
0.36,-4.015975829224534,-3.361778701976327,212.03544461913208,-17.618136248226634,-10.339529273656463,-0.693263997957528,0.0,0.0,0.0,0.0,0.0,0.0
0.39,-12.629666796555497,7.840021462726884,217.16325191795903,-28.43254937642456,-18.30500413178651,-1.3327977288706045,0.0,0.0,0.0,0.0,0.0,0.0
0.42,-26.647067966089857,22.26283213133914,226.38776299922054,-43.99826634694371,-29.697046376877395,-2.8563652924975487,0.0,0.0,0.0,0.0,0.0,0.0
0.45,-53.44508215914005,29.519243593361708,319.30333267505847,-65.75753578871293,-48.34347021109482,-5.062289852716139,0.0,0.0,0.0,0.0,0.0,0.0
0.48,17.33436053189718,0.7033117844968485,51.78699558710306,-0.0595171323669073,3.1504312272073847,0.012748361369986297,0.0,0.0,0.0,0.0,0.0,0.0
0.51,41.534577883708835,-37.72193991192296,176.88389204158264,23.349099179809784,27.69072863952637,1.931471187852769,29.307758268988955,-29.310314089884994,41.8395130716462,17.910198135128095,26.251038039842463,0.2524257732912265
0.54,0.0,0.0,0.0,0.0,0.0,0.0,76.74528858345724,7.3545212683424115,317.0984566432846,35.98822053097135,48.99215389886332,-17.876785002752136
0.57,0.0,0.0,0.0,0.0,0.0,0.0,32.349029433084446,-3.950154663107867,225.07246237272864,29.510519617341227,31.50211415327178,-4.484871450560007
0.6,0.0,0.0,0.0,0.0,0.0,0.0,8.806446087319422,1.080323657337729,217.20091629723487,21.45034488790549,17.73796527165541,-0.4542162013011669
0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.2958667488115217,7.418340092382675,211.9506952245561,14.36410189876934,9.437566312599781,0.4419607488165258
0.66,0.0,0.0,0.0,0.0,0.0,0.0,-2.2765049229718337,13.115872995850422,207.50536257629363,8.299149528961337,4.723713756042811,0.49066754436664445
0.69,0.0,0.0,0.0,0.0,0.0,0.0,-2.6120316861994546,17.518113948980115,203.11438460710957,3.2725087635772154,2.139484667069801,0.44032263420141904
0.72,0.0,0.0,0.0,0.0,0.0,0.0,-2.1165255425837075,20.145269370726034,198.22468115474285,-0.4698887562534463,0.6941949401652965,0.4596159701846906
0.75,0.0,0.0,0.0,0.0,0.0,0.0,-1.4024250447399411,20.54159698644564,193.01349939034233,-2.2053298950190237,-0.35181611574335614,0.5486437084340516
0.78,0.0,0.0,0.0,0.0,0.0,0.0,-1.5445430462876029,20.226785894572384,198.11928102765393,-0.5290500511796907,-1.996261563472303,0.6166924958877822
0.81,0.0,0.0,0.0,0.0,0.0,0.0,-2.627421858607027,17.319557872199884,202.95485302872316,3.462867044408409,-4.694466462066167,0.7452914201785661
0.84,0.0,0.0,0.0,0.0,0.0,0.0,-5.744566999171108,11.942731960909105,207.37095365977115,9.284285779418976,-9.154540090240978,0.9936118094012463
0.87,0.0,0.0,0.0,0.0,0.0,0.0,-12.285047762345615,3.9954878536189695,211.8505087892763,17.082505539947626,-16.237081073241455,1.528765025055931
0.9,0.0,0.0,0.0,0.0,0.0,0.0,-24.618318194906475,-7.106469247682339,217.27139148200354,27.773483554439487,-27.127200604268833,2.778662017135915
