t[s],q_BodyPitch,q_BodyRoll,q_BodyYaw,q_ALShoulder1,q_ALShoulder2,q_ALShoulder3,q_ARShoulder1,q_ARShoulder2,q_ARShoulder3,q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,qd_BodyPitch,qd_BodyRoll,qd_BodyYaw,qd_ALShoulder1,qd_ALShoulder2,qd_ALShoulder3,qd_ARShoulder1,qd_ARShoulder2,qd_ARShoulder3,qd_LLHip1,qd_LLHip2,qd_LLHip3,qd_LLKnee,qd_LLAnkleRoll,qd_LLAnklePitch,qd_LRHip1,qd_LRHip2,qd_LRHip3,qd_LRKnee,qd_LRAnkleRoll,qd_LRAnklePitch,qdd_BodyPitch,qdd_BodyRoll,qdd_BodyYaw,qdd_ALShoulder1,qdd_ALShoulder2,qdd_ALShoulder3,qdd_ARShoulder1,qdd_ARShoulder2,qdd_ARShoulder3,qdd_LLHip1,qdd_LLHip2,qdd_LLHip3,qdd_LLKnee,qdd_LLAnkleRoll,qdd_LLAnklePitch,qdd_LRHip1,qdd_LRHip2,qdd_LRHip3,qdd_LRKnee,qdd_LRAnkleRoll,qdd_LRAnklePitch,Tau_BodyPitch,Tau_BodyRoll,Tau_BodyYaw,Tau_ALShoulder1,Tau_ALShoulder2,Tau_ALShoulder3,Tau_ARShoulder1,Tau_ARShoulder2,Tau_ARShoulder3,Tau_LLHip1,Tau_LLHip2,Tau_LLHip3,Tau_LLKnee,Tau_LLAnkleRoll,Tau_LLAnklePitch,Tau_LRHip1,Tau_LRHip2,Tau_LRHip3,Tau_LRKnee,Tau_LRAnkleRoll,Tau_LRAnklePitch,q_ALElbow,q_ALWristRoll,q_ALWristYaw,q_ALWristPitch,q_ARElbow,q_ARWristRoll,q_ARWristYaw,q_ARWristPitch,q_HeadPitch,q_HeadRoll,q_HeadYaw,qd_ALElbow,qd_ALWristRoll,qd_ALWristYaw,qd_ALWristPitch,qd_ARElbow,qd_ARWristRoll,qd_ARWristYaw,qd_ARWristPitch,qd_HeadPitch,qd_HeadRoll,qd_HeadYaw,qdd_ALElbow,qdd_ALWristRoll,qdd_ALWristYaw,qdd_ALWristPitch,qdd_ARElbow,qdd_ARWristRoll,qdd_ARWristYaw,qdd_ARWristPitch,qdd_HeadPitch,qdd_HeadRoll,qdd_HeadYaw
0.0,0.2,0.0,0.0,-0.25,0.1,0.0,0.25,-0.1,0.0,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.731223095912032,0.009128044834140802,0.0013333911748770189,1.0801123993023936,-0.20347007205315348,-0.033907887634543,-1.0770736072496403,0.18479370533023487,0.033678421935024516,0.0014066185938190756,-0.007239672861389934,-4.792213669800162,18.097247215914763,0.0055431605800748684,-9.89521662141965,0.0014066167352524417,-0.007239680021154271,-4.794520557279725,18.1005057493731,0.005543160052113194,-9.89689638794357,-22.61764893101063,0.06264545871987318,0.017354649493936905,-0.09415751469704507,1.2510136273568384,0.0018113693833654203,0.10272899091806843,-1.247440811329742,-0.002047990764180871,-0.0024348782777679876,-0.018074280959754947,7.759829674420103,-20.25117863081551,0.0077034710347634976,4.344703006940461,-0.002434882330376569,-0.018074325434019538,7.75290557285701,-20.232467164508467,0.007703478065333585,4.334176031867316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.2002731223095912,9.128044834140802e-07,1.333391174877019e-07,-0.24989198876006977,0.0999796529927947,-3.3907887634543e-06,0.24989229263927504,-0.09998152062946698,3.3678421935024517e-06,1.4066185938190758e-07,-7.239672861389934e-07,-0.33047922136698005,0.6318097247215915,5.543160580074869e-07,-0.30098952166214193,1.4066167352524418e-07,-7.239680021154271e-07,-0.330479452055728,0.6318100505749373,5.543160052113194e-07,-0.30098968963879436,0.02731223095912032,9.128044834140802e-05,1.333391174877019e-05,0.010801123993023935,-0.002034700720531535,-0.00033907887634543,-0.010770736072496402,0.0018479370533023487,0.0003367842193502452,1.4066185938190757e-05,-7.239672861389935e-05,-0.047922136698001626,0.18097247215914763,5.543160580074869e-05,-0.0989521662141965,1.4066167352524417e-05,-7.239680021154272e-05,-0.04794520557279725,0.181005057493731,5.5431600521131945e-05,-0.09896896387943571,1.1902142422168929,0.0030985801448129707,0.0014633531485177542,0.36716938964216705,-0.19518751950192725,-0.011762813272803263,-0.3651790938854802,0.19599148896209184,0.011703421969208094,-3.3444145856265095e-05,-0.0007133717909653114,-0.15855836490734987,2.629789645264509,0.0009726939150880298,-1.4928700783755176,-3.3440201193002395e-05,-0.0007133727634034415,-0.1582392562343955,2.629389164457848,0.0009726977619095578,-1.4927713952592967,-25.528129199534398,0.056363614593373274,0.015959913976935115,-0.5872172682878091,1.4585983587830513,0.016998058872657422,0.5930968827832808,-1.450753821400202,-0.017164418987933933,-0.002622598940810497,-0.01630625863593321,7.549247307329991,-27.010033361357355,0.005462781853931325,8.372501245427394,-0.0026225972202482115,-0.01630630615696311,7.541969075682873,-26.990695855762677,0.005462791835687698,8.361799531247256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.2006652660434041,2.1354669813094577e-06,4.130135498271792e-07,-0.2497472605811753,0.0999397872336392,-7.957858854188928e-06,0.24974806736916152,-0.09994344211003775,7.906026583925713e-06,2.7797930417818865e-07,-1.5192717513745179e-06,-0.3309742985704508,0.6338824284077094,1.2059015075237766e-06,-0.30212833033212144,2.779793269311881e-07,-1.5192732805711984e-06,-0.3309747280370794,0.6338830400663205,1.2059017866135946e-06,-0.3021286564171146,0.03921437338128925,0.00012226624978953774,2.7967443233947732e-05,0.014472817889445606,-0.003986575915550808,-0.0004567070090734627,-0.014422527011351204,0.003807851942923267,0.00045381843904232613,1.3731744479628105e-05,-7.953044652355246e-05,-0.049507720347075124,0.20727036861179274,6.515854495162899e-05,-0.11388086699795168,1.3731765340594393e-05,-7.953052784557714e-05,-0.04952759813514121,0.20729894913830949,6.515857814022752e-05,-0.11389667783202868,0.46454062009295427,0.0015611305366064476,0.001278543177107072,0.14393279434840967,-0.10155639080588141,-0.004775912965031548,-0.14279232683283105,0.10353605368119656,0.004733747902628871,-0.00019895188111718198,-0.0004136832778147692,-0.10862204178556567,0.4916501300058371,0.0004391775286620714,-0.2211588602597203,-0.00019894895017102954,-0.0004136842468991375,-0.10841419308007971,0.4916366685332605,0.0004391800806047286,-0.22125026294474992,-26.152390442361142,0.05374440941998247,0.014609397548690431,-0.8428865626436696,1.6126807812602655,0.0253666926956045,0.8474046465042481,-1.606413561739229,-0.025485102541864972,-0.00234983950048353,-0.015529193730054567,7.520091095106529,-28.09324615489516,0.004673457657571364,9.020873648253872,-0.0023498305292876955,-0.01552924291502415,7.51258150018642,-28.07400556818276,0.00467347114706743,9.010359023353036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03,0.2011038638392263,3.5142425328654795e-06,8.205422998773638e-07,-0.249588139122846,0.0998897658354031,-1.3002520241426709e-05,0.24958956286636472,-0.0998950099852404,1.2917585764611861e-05,3.954015608627515e-07,-2.3559445443915194e-06,-0.3314802379781001,0.6360042971068278,1.9014047099062737e-06,-0.3032892548881269,3.9540208532002906e-07,-2.3559469837168834e-06,-0.3314808454377388,0.6360051932245568,1.9014055760763427e-06,-0.3032897482217294,0.04385977958221879,0.00013787755515560222,4.075287500501845e-05,0.015912145832929703,-0.005002139823609622,-0.0005044661387237782,-0.015850450279679514,0.004843212479735233,0.0005011559180686148,1.1742225668456285e-05,-8.366727930170015e-05,-0.05059394076493078,0.21218686991185112,6.95503202382497e-05,-0.11609245560054889,1.1742275838884098e-05,-8.366737031456852e-05,-0.050611740065942004,0.2122153158236421,6.95503789462748e-05,-0.11610918046147618,0.3326826962000098,0.001109246552843085,0.0010372362120876777,0.05245542559380034,-0.04455622493537548,-0.0017925690505009584,-0.0516369747593588,0.046083014882252527,0.001761083820012832,-0.0001869844822905975,-0.000315221071901739,-0.10312611549267103,0.16951882395471785,0.0003046300809899094,-0.029172542589549266,-0.00018698091109570214,-0.0003152220967788111,-0.10296460449617939,0.16955517400697317,0.00030463265920843696,-0.029273614049998287,-26.40164306796559,0.05190637013493215,0.013483995288473632,-0.9583482153234236,1.6904501148631723,0.029220123902685913,0.96203126554544,-1.6856116349682049,-0.029305190713779943,-0.0020463312614225227,-0.014894543178515612,7.562209293449343,-28.32966091089446,0.004122200976619043,9.149948968373266,-0.0020463147080212246,-0.014894593878091953,7.554539238315807,-28.310667211196584,0.004122218247574149,9.139684580949046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04,0.2015757299046685,5.00394273970581e-06,1.3317946711363161e-06,-0.24942377212195732,0.09983528881467346,-1.822643853371459e-05,0.249425894666092,-0.09984196955895482,1.8105253327299293e-05,4.941253693182546e-07,-3.224139444598695e-06,-0.3319964899972987,0.6381431176883418,2.6273709203877615e-06,-0.3044530966983914,4.941267525992999e-07,-3.2241428965404497e-06,-0.3319972592988478,0.638144301900194,2.6273726314599346e-06,-0.30445376738774915,0.047186606544218884,0.00014897002068403308,5.112523712589523e-05,0.016436700088867707,-0.005447702072963377,-0.0005223918292287878,-0.0163668200272731,0.005304042628557758,0.0005187667562687431,9.87238084555031e-06,-8.681949002071754e-05,-0.05162520191985749,0.2138820581513983,7.25966210481488e-05,-0.11638418102644438,9.872466727927077e-06,-8.681959128235662e-05,-0.0516413861109038,0.21391086756371183,7.259670553835918e-05,-0.11640191660197617,0.2846630703988495,0.0008323099543531554,0.0008204510967707024,0.017415406708738423,-0.01759692898663756,-0.0006285139745225155,-0.016765824693933062,0.018761565635428967,0.0006039887203572736,-0.00015226812151070135,-0.00023047444526724803,-0.09444383008252544,0.1196010015257798,0.00021981448388430636,-0.005446436716056269,-0.00015226425693981582,-0.0002304753974620155,-0.09431254516010767,0.11962945859215779,0.00021981700058404385,-0.00552735974611096,-26.565823910085356,0.05042080352048957,0.012587369676682898,-1.0195320615930683,1.7291488466575113,0.03128298722629669,1.0225980377083868,-1.7253085381343656,-0.03134310675692967,-0.0017921228254181428,-0.01435889381194531,7.608988101965262,-28.435720110176856,0.0036715812644870947,9.20344514691959,-0.0017920984643400451,-0.014358946206662964,7.601200715178545,-28.416966591639643,0.0036716025985073157,9.193406682021863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,0.20207606227715055,6.576873941981457e-06,1.9250921520723386e-06,-0.24925766358039778,0.09977905210104517,-2.3513208223454717e-05,0.24926054988334986,-0.0997870529761057,2.335331976202245e-05,5.776223656226876e-07,-4.115381789332595e-06,-0.33252218639950554,0.6402938983700083,3.3753185792576804e-06,-0.30561748315232745,5.77624994184589e-07,-4.1153863491102176e-06,-0.33252310441447286,0.6402953735216903,3.375321386901931e-06,-0.3056183392897435,0.05003323724820738,0.00015729312022756464,5.932974809360226e-05,0.01661085415595509,-0.005623671362829753,-0.000528676968974013,-0.016534478274212432,0.005491658284912048,0.0005248066434723159,8.349699630443297e-06,-8.912423447339001e-05,-0.052569640220682744,0.2150780681666561,7.479476588699186e-05,-0.11643864539360493,8.34982415852892e-06,-8.912434525697679e-05,-0.052584511562504876,0.2151071621496334,7.479487554419962e-05,-0.11645719019943727,0.2542572744420646,0.0006158619647441133,0.0006448592191853342,0.0006408154520682885,-0.004692662092231847,-6.557620435732048e-05,-0.00011371340438248723,0.005624285992251843,4.6188718085815594e-05,-0.00012142220297306494,-0.0001558497033009587,-0.08546828120591954,0.11212351072845195,0.0001505488390591836,-0.007415310657052032,-0.00012141821702016387,-0.00015585056356037796,-0.0853590153896846,0.1121364566711236,0.000150551260105658,-0.007474670547026108,-26.691915581588447,0.04919497490709384,0.011881746842108364,-1.0575007459722772,1.7493746007779132,0.03256962788073852,1.060085984438771,-1.7462497327486233,-0.03261056433212105,-0.0015888569623692859,-0.013913317253633477,7.647762866938266,-28.522165026286444,0.003297144492418875,9.25112853717171,-0.001588824613379704,-0.013913371541494598,7.639887976008514,-28.503619983517645,0.0032971701427979556,9.24128083172078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06,0.20260182037707683,8.211391340731515e-06,2.582875554926895e-06,-0.24909149095729302,0.09972234612120764,-2.880653553363058e-05,0.2490951937292673,-0.09973157396465736,2.8606005068554192e-05,6.48977141629814e-07,-5.022209104396591e-06,-0.33305642962983295,0.6424558914027477,4.138321122033517e-06,-0.3067826111373292,6.489814140678618e-07,-5.022214858036023e-06,-0.3330574854316369,0.6424576587888537,4.138325268354493e-06,-0.3067836586587926,0.05257580999262802,0.00016345173987500578,6.57783402854556e-05,0.016617262310475774,-0.0056705979837520714,-0.0005293327310175862,-0.01653561540825626,0.005547901144834566,0.000525268530653174,7.1354776007126475e-06,-9.06827315063996e-05,-0.05342432303274194,0.2161993032739406,7.63002542775837e-05,-0.11651279850017546,7.135641988327281e-06,-9.068285089258057e-05,-0.053438101716401724,0.21622852671634465,7.63003881452562e-05,-0.11653193690490754,0.23186996634330015,0.000442698183907797,0.0005055446620068071,-0.00966711517580432,0.0019196880423202334,0.0002812961736957109,0.01009638802969981,-0.0011494994645314671,-0.000296703719094793,-9.673971536727777e-05,-9.402685681614287e-05,-0.07795850770583002,0.11146772371023417,9.416918561555576e-05,-0.012108616539762806,-9.673570654911146e-05,-9.402762869648029e-05,-0.07786600909707886,0.11146633600196765,9.417150022272835e-05,-0.012149652200378114,-26.792711739371416,0.048179142961994666,0.011328539768337042,-1.0826014706939886,1.7604473340016178,0.03342368962395712,1.0848112625026072,-1.7578516834437357,-0.033449804061500915,-0.001427540531658813,-0.013544492830972527,7.677866894565279,-28.60647932863916,0.002983830518182406,9.302709503439667,-0.001427500070909585,-0.013544549175588226,7.669925443118609,-28.588109727079292,0.0029838606687871607,9.293020293898856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07,0.20315076547363745,9.890178557872352e-06,3.2912134239821318e-06,-0.24892628504570585,0.09966583211017435,-3.407173322643687e-05,0.2489308472139877,-0.09967620990315547,3.3829020003176454e-05,7.106579461002127e-07,-5.938439105142201e-06,-0.33359846871093096,0.6446290312078582,4.9107405833709096e-06,-0.3079489499839849,7.106642632962235e-07,-5.938446129831477e-06,-0.3335996530497106,0.6446310906896174,4.910746299829328e-06,-0.3079501929930617,0.054894509656061026,0.00016787872171408375,7.083378690552367e-05,0.01652059115871773,-0.005651401103328869,-0.000526519769280629,-0.01643465152795926,0.0055364061501892515,0.0005223014934622261,6.16808044703987e-06,-9.162300007456103e-05,-0.05420390810980024,0.21731398051104295,7.724194613373925e-05,-0.11663388466557309,6.168284922836166e-06,-9.162312717954536e-05,-0.05421676180737251,0.21734319007636432,7.724210314748348e-05,-0.11665343342691133,0.2150560656570626,0.00030515470938935474,0.00039520519402008736,-0.01692185783394251,0.00558286794599816,0.000525276669321173,0.017272292071235817,-0.004932809791080239,-0.000537557768743202,-7.720699232294237e-05,-4.434540501030426e-05,-0.07210407008750508,0.11197384305830838,4.9144927032784835e-05,-0.016022470717643955,-7.720302745894969e-05,-4.43460959385078e-05,-0.07202465433826433,0.11196058351436022,4.914713176162877e-05,-0.016048662578214135,-26.8750738952773,0.047333817663576805,0.010896213575935513,-1.0990270970403284,1.7666236767177794,0.03398610954017137,1.1009460593581533,-1.764423790089645,-0.0340008003964662,-0.0012996939360942264,-0.013238264346213767,7.700877605440401,-28.691500856345108,0.0027181134809208737,9.358329484213455,-0.0012996452789740467,-0.013238322878131082,7.692884172445774,-28.673276298211007,0.002718148278433098,9.348771119102722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0.20372121617676375,1.1599481245952124e-05,4.039071812439377e-06,-0.24876277131990207,0.09960987638593566,-3.9284403252311045e-05,0.24876822792791523,-0.09962133912263268,3.899827916092439e-05,7.646180513383172e-07,-6.859103646388842e-06,-0.3341477181990377,0.6468133683972744,5.688074537411581e-06,-0.3091168910777124,7.646268097786902e-07,-6.859112011220781e-06,-0.33414902313321815,0.6468157186487326,5.688082044480326e-06,-0.30911833219358864,0.05704507031263165,0.0001709302688079773,7.478583884572454e-05,0.016351372580378307,-0.005595572423868888,-0.0005212670025874173,-0.016261928607246904,0.005487078052278449,0.0005169259157747941,5.396010523810446e-06,-9.206645412466407e-05,-0.05492494881067529,0.21843371894162603,7.77333954040671e-05,-0.11679410937274953,5.39625464824667e-06,-9.206658813893044e-05,-0.05493700835075516,0.2184627959115079,7.773357446509977e-05,-0.11681392005269346,0.20242613746160387,0.00019664039052041948,0.0003077429506385676,-0.022272008783345676,0.007765179263327315,0.0007050131892125111,0.022559210134551755,-0.0072078767512696595,-0.0007148259801241785,-6.173170372392178e-05,-4.910915722966536e-06,-0.06763885870344666,0.11270771173565208,1.3511893101281203e-05,-0.018856841509432343,-6.172782958913103e-05,-4.9115332085847285e-06,-0.06756980130577972,0.11268495053730021,1.351398915971913e-05,-0.018871183958481197,-26.943866762624555,0.046626701437129735,0.01055985989630279,-1.1090892512296218,1.7699658204995918,0.03433491120072289,1.1107852477248108,-1.7680607633567336,-0.03434084881843144,-0.0011985096900102555,-0.012982169764615,7.718457785624554,-28.77770697230015,0.0024884315285296494,9.41686094709624,-0.0011984527795970655,-0.012982230588820098,7.71042216334627,-28.75959994237879,0.0024884710791376226,9.40740992040473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09,0.20431190949363623,1.332844797308394e-05,4.817704495960479e-06,-0.24860148479497662,0.0995546971796233,-4.4426571959263966e-05,0.24860786456285622,-0.09956718912978503,4.409605572065992e-05,8.124049862040295e-07,-7.780259279207779e-06,-0.3347037315730148,0.6490089763578643,6.46675968076238e-06,-0.3102867178555908,8.124165733022438e-07,-7.780269045930944e-06,-0.33470515019685626,0.6490116151029014,6.466769188047295e-06,-0.3102883585125114,0.05906933168724769,0.0001728966727131815,7.786326835211022e-05,0.01612865249254485,-0.005517920631235615,-0.0005142168706952922,-0.016036336505901385,0.005414999284765753,0.0005097776559735523,4.778693486571228e-06,-9.211556328189374e-05,-0.05560133739770976,0.21956079605898254,7.78685143350799e-05,-0.11698267778784385,4.778976352355359e-06,-9.21157034710163e-05,-0.05561270636381296,0.21958964541688092,7.786871435669696e-05,-0.11700263189227827,0.1929470429587603,0.00011146359173141995,0.00023839331322372814,-0.026258900757042625,0.009147458231301586,0.0008388600334823804,0.02649556881673476,-0.008662905654471587,-0.000846718581513084,-4.9462271796585355e-05,2.6240132287469464e-05,-0.06424890123375349,0.11350202943776821,-1.4629105706376322e-05,-0.020796991564111522,-4.9458521843348535e-05,2.623958162217832e-05,-0.06418813873443696,0.11347183394923377,-1.4627117735699358e-05,-0.020801955930437543,-27.00271659020942,0.04603179749290367,0.010299802018270592,-1.1143592734928716,1.7715466230980037,0.03452306370848058,1.1158864311952175,-1.769858191392908,-0.03452235291774837,-0.0011186062734120175,-0.012765967422502472,7.731962252560719,-28.865177823937213,0.002285334305173977,9.477245304897286,-0.0011185410806569852,-0.012766030625192808,7.723890514666287,-28.84716327864619,0.0022853786901891283,9.467881515168221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
