t[s],Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter,Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter
0.0,4.322699556555194,14.22324379388678,78.23472836559363,-8.181140764526333,4.131955236158114,-0.015033363785984917,5.185958281591447,14.338717482375387,141.1962253209167,-8.28185644520495,3.9023238878529867,-0.3055382320273811
0.03,10.27704700716257,-12.779821685771559,248.07755323329948,-17.720221134596237,4.341686210655014,3.0195119284886127,0.0,0.0,0.0,0.0,0.0,0.0
0.06,4.044008375180339,-5.32662769222487,222.42502023851316,-19.97782407165969,2.80993703711181,0.6916372535363143,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.7763220628931699,-3.297225066045885,222.34923342803276,-21.315710870254456,1.1541208701430894,0.054589070921439505,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-0.2689467667599031,-2.1552834223187505,222.63169195279553,-22.250765948758545,0.13341216708336126,-0.09548980248820653,0.0,0.0,0.0,0.0,0.0,0.0
0.15,-0.5134658052105107,-1.4341262847362901,222.79701987486916,-22.846406678796114,-0.4385338681973353,-0.10540630885811593,0.0,0.0,0.0,0.0,0.0,0.0
0.18,-0.495655135834371,-0.9806816293376688,222.86722318437674,-23.201038031854058,-0.7528395623635054,-0.08646009673142131,0.0,0.0,0.0,0.0,0.0,0.0
0.21,-0.3957461042131616,-0.7108982546448638,222.88089201721414,-23.398532940021536,-0.9407501601262325,-0.0660394983046452,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.2768602483041089,-0.5615359577043804,222.8646116898314,-23.49987344178353,-1.0774724848109265,-0.048881250778727035,0.0,0.0,0.0,0.0,0.0,0.0
0.27,-0.16362577032979692,-0.48496301056214297,222.83260609954237,-23.546213081642843,-1.200591770531531,-0.035323228145896515,0.0,0.0,0.0,0.0,0.0,0.0
0.3,-0.06496318340342318,-0.4485623096195083,222.79129753173171,-23.563758967370386,-1.326195887102788,-0.02507492556217675,0.0,0.0,0.0,0.0,0.0,0.0
0.33,0.018102973974936685,-0.43203359322431617,222.7429920541216,-23.568284723950708,-1.4593510293497456,-0.01765915875018175,0.0,0.0,0.0,0.0,0.0,0.0
0.36,0.08843663109176954,-0.42374669175690977,222.68795836821582,-23.56872245489173,-1.6000316307838576,-0.012474757574777316,0.0,0.0,0.0,0.0,0.0,0.0
0.39,0.15035779574841535,-0.41754589986212826,222.62542441990857,-23.5697527594513,-1.7461981705569931,-0.008897444694393774,0.0,0.0,0.0,0.0,0.0,0.0
0.42,0.2083054945960561,-0.410486914214246,222.55400907915723,-23.573519498159477,-1.895272772394667,-0.006369797830783722,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.26625199430128244,-0.40144463931824903,222.47188622333516,-23.58067013992051,-2.0447751806873455,-0.004445467122775024,0.0,0.0,0.0,0.0,0.0,0.0
0.48,0.32753817131348545,-0.39037241955273166,222.37681961485325,-23.590914707401073,-2.192552701961297,-0.0027979084644537285,0.0,0.0,0.0,0.0,0.0,0.0
0.51,0.39487714875929636,-0.3780092759140573,222.2661234525323,-23.603254600444668,-2.33684539050018,-0.0012170546934975085,0.0,0.0,0.0,0.0,0.0,0.0
0.54,0.47035760261644827,-0.3658841049213713,222.1365591456631,-23.61599097869007,-2.476321532438835,0.00038499081608280044,0.0,0.0,0.0,0.0,0.0,0.0
0.57,0.5553271942781202,-0.3564823861603836,221.9841369167011,-23.62660055110546,-2.610161423316509,0.0019416301429454165,0.0,0.0,0.0,0.0,0.0,0.0
