t[s],Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter,Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter
0.0,7.8110757405268485,24.836820627966784,53.14865994617422,-14.60681743442515,7.117376452368599,-0.19814429717258739,7.503501597025918,24.97416809908047,168.2609147712992,-14.73223883893448,6.305285356199161,-0.5618983443918868
0.03,20.848920688631026,-7.6001472371137755,263.8093558542369,-25.064887152120942,8.2842499305095,5.366171640242226,0.0,0.0,0.0,0.0,0.0,0.0
0.06,7.89714976483345,-0.16945697370040477,224.3733813051727,-24.757095010911893,4.795175354618556,1.235018528355296,0.0,0.0,0.0,0.0,0.0,0.0
0.09,1.721718823626449,-0.18662034491589388,222.40040642879546,-23.248693189414293,1.8448294375941996,0.05106635705309929,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-0.10423205331318207,-1.1186397050715944,221.66425751495217,-21.828086187774367,0.160232485479293,-0.20136282645707748,0.0,0.0,0.0,0.0,0.0,0.0
0.15,-0.3515721964501729,-2.1398149220900082,221.17565786938113,-20.54994619110185,-0.7179071033932508,-0.1848693641975685,0.0,0.0,0.0,0.0,0.0,0.0
0.18,-0.09378286278657143,-3.076611012078805,220.7132569588627,-19.372326417343103,-1.1419431678662957,-0.12071996616761724,0.0,0.0,0.0,0.0,0.0,0.0
0.21,0.3208947533281653,-3.955480762067552,220.186825479327,-18.24031910742757,-1.3263508322656599,-0.06441476086489985,0.0,0.0,0.0,0.0,0.0,0.0
0.24,0.7875541464699959,-4.829038657564318,219.55602437190086,-17.114924418846257,-1.3885719029506305,-0.023877730385085793,0.0,0.0,0.0,0.0,0.0,0.0
0.27,1.268795197745562,-5.718387225346218,218.79058293746056,-15.983321812913637,-1.3911875350430742,0.001764708087492601,0.0,0.0,0.0,0.0,0.0,0.0
0.3,1.738045777924756,-6.5920537649707915,217.85492549513205,-14.865701648500776,-1.3723305115555673,0.013231781693589633,0.0,0.0,0.0,0.0,0.0,0.0
0.33,2.1619916662728995,-7.350209025268909,216.70734670441172,-13.825911748683524,-1.3659079846541065,0.011312889965688832,0.0,0.0,0.0,0.0,0.0,0.0
0.36,2.5032920029847063,-7.823397668600615,215.32492037928873,-12.99144399577426,-1.416133372052275,-0.0003493707552638116,0.0,0.0,0.0,0.0,0.0,0.0
0.39,2.7508508304311907,-7.8532779111651845,213.8353591216006,-12.596288253284497,-1.5913908428362098,-0.0157253702685975,0.0,0.0,0.0,0.0,0.0,0.0
0.42,2.829672819320421,-7.886102371413089,215.21441601493365,-13.016818653608723,-2.0625543575584553,-0.0025387742361798484,0.0,0.0,0.0,0.0,0.0,0.0
0.45,2.7911876593440206,-7.451629951914331,216.4967104947021,-13.899105739498369,-2.71155557999136,0.010168603398362513,0.0,0.0,0.0,0.0,0.0,0.0
0.48,2.6059139967835856,-6.695124691994302,217.56580902297662,-15.021849651306773,-3.5050271441362923,0.0181596517500626,0.0,0.0,0.0,0.0,0.0,0.0
0.51,2.2726707740782834,-5.768666747288875,218.4524500092359,-16.27368970658437,-4.432511148289607,0.016411167406286682,0.0,0.0,0.0,0.0,0.0,0.0
0.54,1.7719184411176798,-4.737738005003185,219.20934328475852,-17.620413453967704,-5.512270580403843,0.0009701035643739091,0.0,0.0,0.0,0.0,0.0,0.0
0.57,1.0371030391839107,-3.567417664425788,219.8904714290153,-19.096206151488797,-6.801659174454656,-0.03329569516444708,0.0,0.0,0.0,0.0,0.0,0.0
0.6,-0.07106848177526513,-2.1145346857719143,220.55406718444343,-20.8090085310514,-8.412967581789099,-0.09536405834976253,0.0,0.0,0.0,0.0,0.0,0.0
0.63,-1.8050156272328641,-0.10688109754358278,221.2767045236787,-22.961581658881137,-10.53699719991809,-0.20350183916964884,0.0,0.0,0.0,0.0,0.0,0.0
0.66,-4.608237144895849,2.877001086103163,222.19132607632295,-25.900867790990837,-13.47533899219056,-0.4031921363477509,0.0,0.0,0.0,0.0,0.0,0.0
0.69,-9.267295989036283,7.374804310250065,223.595491256778,-30.230010998564964,-17.677599599702624,-0.8199598114177539,0.0,0.0,0.0,0.0,0.0,0.0
0.72,-17.195525202012586,13.810048041010065,226.67377532589686,-37.03223302120102,-23.78539442147507,-1.7631494302923612,0.0,0.0,0.0,0.0,0.0,0.0
0.75,-31.92333438824931,18.098138838315098,263.94971814575285,-47.258958019902956,-33.50815091900058,-3.2708456922797513,0.0,0.0,0.0,0.0,0.0,0.0
0.78,18.009883223343127,0.5415384508441332,54.13430753204561,-0.0396160801663384,3.290705797224729,0.026619897220207477,0.0,0.0,0.0,0.0,0.0,0.0
0.81,23.306031103381073,-27.510578514616768,185.9790017909883,14.577927151382157,12.342342013946102,0.7551923326081987,15.780670463078701,-25.79168252647895,36.83959672015644,13.384292199103683,13.879375701965204,0.784129592439862
0.84,0.0,0.0,0.0,0.0,0.0,0.0,20.306496403017015,7.305751224460422,265.4109739767006,25.266658547525758,20.472029700910902,-5.759958977578182
0.87,0.0,0.0,0.0,0.0,0.0,0.0,8.760590524676324,0.040720490213891264,224.18305863903038,24.578559707302265,15.830586948488918,-1.3463957478328805
0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.6892463107205302,0.13213273020227145,222.33269684171594,22.91818830934027,11.688711249163212,-0.04485143046701232
0.93,0.0,0.0,0.0,0.0,0.0,0.0,-0.9303309309432112,1.0503392390251833,221.54265706065655,21.417852639741984,9.023200751999765,0.250405552506368
0.96,0.0,0.0,0.0,0.0,0.0,0.0,-1.8539223902654312,2.045695220923387,220.98723560965942,20.073552913503693,7.298007528353453,0.2557085033582948
0.99,0.0,0.0,0.0,0.0,0.0,0.0,-2.1976416694666687,2.9662033672957184,220.5042092974066,18.82946334899546,6.1037865413495735,0.21000296630481183
1.02,0.0,0.0,0.0,0.0,0.0,0.0,-2.3517968301338814,3.8388711434018448,220.00190352559915,17.629283697129594,5.188641444433527,0.17265674972518713
1.05,0.0,0.0,0.0,0.0,0.0,0.0,-2.4476633275165485,4.7127666539313235,219.42637990380192,16.434505574122326,4.415377641991836,0.1515546858197342
1.08,0.0,0.0,0.0,0.0,0.0,0.0,-2.5258763671804925,5.606653039991881,218.73763939534143,15.23232879283856,3.719272825146112,0.1444763066296957
1.11,0.0,0.0,0.0,0.0,0.0,0.0,-2.5867401383089828,6.488325200999689,217.89544865222473,14.042102585184782,3.0796401227586334,0.14822562992796934
1.14,0.0,0.0,0.0,0.0,0.0,0.0,-2.601336243389468,7.2577192166677555,216.85474155277944,12.925683830864315,2.5037868172159965,0.15835473545948534
1.17,0.0,0.0,0.0,0.0,0.0,0.0,-2.5137927812412078,7.744487282763921,215.5847657090131,12.007539595227167,2.0185691370698833,0.1678056088147588
1.2,0.0,0.0,0.0,0.0,0.0,0.0,-2.26760874775683,7.7904805913655135,214.19511511365928,11.520063448858094,1.6638453833738078,0.17324615661853002
1.23,0.0,0.0,0.0,0.0,0.0,0.0,-2.172860835140697,7.826963764290038,215.62239095689728,11.853296613640701,1.4138440873288476,0.16896719519754777
1.26,0.0,0.0,0.0,0.0,0.0,0.0,-1.9367852842682705,7.400950529092383,216.92449226686944,12.638298752549478,1.2474849505870387,0.15730005972339461
1.29,0.0,0.0,0.0,0.0,0.0,0.0,-1.6470036386125004,6.657530808133067,217.99591152102917,13.654168152969572,1.0980055784638039,0.13889666387361563
1.32,0.0,0.0,0.0,0.0,0.0,0.0,-1.3822930096769772,5.750536477367377,218.87176701647115,14.790720117501401,0.9177004930050159,0.12085438363269546
1.35,0.0,0.0,0.0,0.0,0.0,0.0,-1.1984017230267396,4.7498469283249305,219.601602951472,16.01110144949559,0.6678400133012611,0.10879523755049604
1.38,0.0,0.0,0.0,0.0,0.0,0.0,-1.1458060984021294,3.630501684040706,220.2290423806936,17.34066098580607,0.3062437501653874,0.10743486121133504
1.41,0.0,0.0,0.0,0.0,0.0,0.0,-1.2939275660796037,2.2684817482549997,220.79342771397233,18.870183496659674,-0.22717764730660187,0.12337670740807562
1.44,0.0,0.0,0.0,0.0,0.0,0.0,-1.769471717074053,0.4251711618350256,221.34185457160518,20.77407864214072,-1.0282247564376819,0.1717435235003081
1.47,0.0,0.0,0.0,0.0,0.0,0.0,-2.8395565059542944,-2.264208510370659,221.96723993012662,23.354906402399383,-2.249858759599836,0.296273120925556
1.5,0.0,0.0,0.0,0.0,0.0,0.0,-5.097057451908144,-6.2442726876552985,222.92126128907995,27.143964661169036,-4.12283839507873,0.6230225922858238
1.53,0.0,0.0,0.0,0.0,0.0,0.0,-9.839644571884453,-11.806439078024157,225.325269852205,33.09571197387015,-6.978684403218614,1.4558709578982634
1.56,0.0,0.0,0.0,0.0,0.0,0.0,-22.02996189380459,-15.313737135957284,261.1716539116529,42.03193436160046,-12.230720490381795,2.8839547058438852
1.59,0.0,0.0,0.0,0.0,0.0,0.0,16.100424461953125,-1.1441603745343687,56.14838045964963,0.06468843415407542,3.1537923022436547,-0.12769303587509165
