t[s],q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,qd_LLHip1,qd_LLHip2,qd_LLHip3,qd_LLKnee,qd_LLAnkleRoll,qd_LLAnklePitch,qd_LRHip1,qd_LRHip2,qd_LRHip3,qd_LRKnee,qd_LRAnkleRoll,qd_LRAnklePitch,qdd_LLHip1,qdd_LLHip2,qdd_LLHip3,qdd_LLKnee,qdd_LLAnkleRoll,qdd_LLAnklePitch,qdd_LRHip1,qdd_LRHip2,qdd_LRHip3,qdd_LRKnee,qdd_LRAnkleRoll,qdd_LRAnklePitch,Tau_LLHip1,Tau_LLHip2,Tau_LLHip3,Tau_LLKnee,Tau_LLAnkleRoll,Tau_LLAnklePitch,Tau_LRHip1,Tau_LRHip2,Tau_LRHip3,Tau_LRKnee,Tau_LRAnkleRoll,Tau_LRAnklePitch
0.0,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5298810435047017,-2.127994915479178,-0.45817445619246655,1.9938824506920128,3.9929295128540616,-2.022915546244974,0.5298865730479747,-2.127989540290571,0.9192556515737209,-0.8922196213291613,3.9929328734770024,-0.7885322512235291,0.8335880473461255,-5.237781217316749,-3.33819173451927,-6.1375423402096665,11.662794063256,-4.910522879466417,0.8336080275082364,-5.237762735648542,2.093858599473406,-16.234759942814232,11.662806790142236,-0.6768586929048372
0.03,0.00047689293915423146,-0.00191519542393126,-0.33041235701057325,0.6317944942056228,0.003593636561568655,-0.30182062399162046,0.00047689791574317725,-0.0019151905862615137,-0.3291726699135837,0.6291970023408038,0.0035936395861293022,-0.3007096790261012,0.01589643130514105,-0.06383984746437533,-0.013745233685773996,0.05981647352076038,0.11978788538562185,-0.06068746638734922,0.01589659719143924,-0.06383968620871712,0.027577669547211626,-0.026766588639874838,0.11978798620431007,-0.02365596753670587,-1.4933278577811961,7.073001576681975,5.827249838590205,-7.687448437848559,-1.0095790489394858,3.575505880503897,-1.541950870018944,7.418825921589303,-7.8639538617880085,9.323156996717167,-1.1441261381443368,1.078077125182073,-9.564061799106026,31.88218971803391,17.367348688521602,-20.377248340260874,26.208929339865474,1.5901720804193036,-4.812098924923441,-0.14728412444319325,-18.054894329542893,-1.2343180729193364,0.021440974145869443,-0.6678901792718644
0.06,-0.00039020919369461344,0.0025353105711512568,-0.3255801891664153,0.6266702848171819,0.006278651979091773,-0.30042329269078744,-0.000433959951530695,0.002846562156907345,-0.33542289830277655,0.636784845978653,0.0061575656479287005,-0.3004490886395385,-0.028903404428294834,0.14835019983608388,0.16107226147193215,-0.17080697961469637,0.08950051391743728,0.046577710027767685,-0.030361928909129077,0.15872509143896196,-0.2083409463064286,0.2529281212616401,0.08546420205997995,0.00868634621875632,-0.2769166849461726,0.2673706762393522,0.5578021846378647,-0.024963691778850716,0.05833265833371115,-0.30541933700010304,-0.23306101200976137,-0.2489170190046046,-0.674860947110286,0.263035999973539,0.1980791192370699,0.24819083015940713,-2.748844118551755,25.85082796443524,6.123595469947052,-19.846198772035393,24.02850260823289,2.557316039652113,-1.9137782436824546,-0.9037946839660832,-6.901552187802033,1.3466234675163664,-0.030236330761965653,-0.2884182546142258
0.09,-0.0015065363429950138,0.0072264501748491895,-0.3202459993560832,0.62152360810614,0.00901616678911523,-0.2993008387932545,-0.0015545727296133525,0.00738428958297206,-0.3422805015443687,0.6446094220164784,0.008899762917041462,-0.29996512650583235,-0.03721090497668001,0.15637132012326446,0.1778063270110681,-0.1715558903680619,0.09125049366744861,0.03741512991776459,-0.037353759269421916,0.15125758086882382,-0.22858677471973718,0.2608192012608463,0.09140657563709205,0.01613207112353853,0.011522794191705543,-0.051979819114762904,-0.05674381410869955,0.09212340049714385,-0.025889495185765554,-0.25478707797560673,0.040023755150146556,-0.11933357285864332,0.3112062111565841,0.05040872153006859,0.06331103544025574,-0.1869494873118107,-0.8973044567818335,24.69155611758015,3.3081111769616283,-19.75366667798408,22.246507282176296,4.810104420321602,-1.1273746645127334,-0.26367971698674925,-4.051627953242095,2.4150718605252477,-0.0018322658927209172,-0.1652093580131668
0.12,-0.002612492977522879,0.011870807941343837,-0.314962878978449,0.6164598424555456,0.0117303810534715,-0.2984076932658996,-0.002639164128060878,0.011814616793463996,-0.34885801919591986,0.6524793659036808,0.011698940118050453,-0.29964941891070684,-0.03686522115092884,0.15481192554982157,0.1761040125878071,-0.16879218835314758,0.09047380881187564,0.02977151757849639,-0.03615304661491752,0.14767757368306453,-0.21925058838503966,0.26233146290674836,0.09330590670029972,0.01052358650418421,0.07401868104329878,-0.1370873417210987,-0.20757111011329243,0.17303601032546112,-0.10837402538982133,-0.19889889611613398,0.08517009867840741,-0.12490828738932436,0.438364822106287,-0.1960875593276583,-0.06404625684150389,-0.29286787024737215,-0.5860220574081311,24.44537175971773,3.1358124213741543,-18.862463715797855,20.904415318795895,6.2838630767695385,-1.0944039465293391,-0.2643930362265944,-3.8106038784037812,2.5006051848716493,0.0026046593881660124,-0.15552545198139942
0.15,-0.0036518327991117757,0.016391787100289493,-0.30986657259991673,0.6115518092142441,0.01434705869497693,-0.2976935567450492,-0.0036471024376978373,0.016132526545305538,-0.35504100850757536,0.6601728309874884,0.01444047568790209,-0.29959729239880395,-0.03464466071962988,0.15069930529818862,0.16987687928440834,-0.16360110804338374,0.087222588050181,0.02380455069501237,-0.033597943654565296,0.14393032506138478,-0.20609964372185105,0.2564488361269186,0.09138451899505459,0.0017375503967630452,0.06650171680485073,-0.18250132264859076,-0.23231417842140445,0.2764925047601423,-0.17751384620714816,-0.19916356827297932,0.0689295393121192,-0.18725080105963698,0.37803622739420817,-0.3485153115142552,-0.1471628542310457,-0.18830038904403423,-0.6709798576494101,24.418696401523352,3.5371624918545295,-18.01849014257681,19.784025840183354,7.121775164089831,-1.2383626909618732,-0.41816139725685286,-4.159171091311094,2.380092081910516,0.001007223848421925,-0.1678959246270529
0.18,-0.004631321075576306,0.02074851506885142,-0.30497934898196377,0.6068926192272267,0.016803973874895926,-0.2971586674356445,-0.004593004161953889,0.020281910576193406,-0.3608837652145761,0.6675526322909331,0.017049564688945786,-0.2997146362370407,-0.032649609215484356,0.1452242656187309,0.1629074539317662,-0.15530633290057946,0.08189717266396655,0.01782964364682299,-0.03153005747520172,0.13831280102959567,-0.1947585569000248,0.24599337678149094,0.08696963336812322,-0.003911461274557982,0.04874538800072514,-0.23197367593888885,-0.2389165935654205,0.3788517186872582,-0.23814906966799754,-0.23741867694002394,0.047084229197002614,-0.25749426871591474,0.3293266955733536,-0.45525845422537614,-0.2088039751369939,-0.035969213541283906,-0.7970497087298792,24.399350728224967,3.910450854631792,-17.390240226837886,18.764550446740014,7.558586073894863,-1.3826322450159694,-0.5695529381810888,-4.502649973331865,2.2708766919556336,-0.0007951774970590396,-0.17815331187436395
0.21,-0.005566938502840185,0.024896466729068346,-0.30030715029821964,0.6025743957870279,0.019046554892113723,-0.29683745493548586,-0.005496530079932638,0.02419954976523695,-0.36643012789556084,0.674522700985575,0.019470730112366188,-0.2998643523674646,-0.031187247575462602,0.1382650553405642,0.1557399561248036,-0.14394078133996172,0.07475270057392663,0.010707083338622272,-0.03011753059929164,0.13058797296811822,-0.1848787560328242,0.23233562315472966,0.0807055141140134,-0.004990537680796499,0.03807427202661984,-0.29728904036358017,-0.25670298279214876,0.48238040285707484,-0.29493254451062967,-0.3009127420029927,0.0316426977706854,-0.33185891797720046,0.32680981846164414,-0.564090879491733,-0.26681589622987545,0.09862309631357924,-0.8904402808381382,24.34361131103286,4.163715463718378,-16.93293488127312,17.779600794054723,7.7700656155808145,-1.4964636508363875,-0.6961691948611624,-4.742696873145592,2.2004052817748145,-0.0019296674819810102,-0.18356745834774987
0.24,-0.006468289085280105,0.028776858252958053,-0.29586598429898847,0.5986903147094004,0.021023696619271955,-0.29678706390312987,-0.006371577569917771,0.027818515928101015,-0.3716823617399301,0.6809850878886743,0.0216517612291797,-0.2999253077112063,-0.030045019414664007,0.12934638412965682,0.14803886664103913,-0.12946936925424948,0.06590472423860774,0.0016797010785324917,-0.029168249666171077,0.12063220542880221,-0.17507446147897487,0.21541289676997769,0.07270103722711714,-0.002031844791389122,0.0364785988267613,-0.38196111721671855,-0.2908781554164648,0.594878347379165,-0.35116800311334373,-0.38291841171258056,0.022654851473717486,-0.41607235291617606,0.3643343429003192,-0.6980770340578744,-0.32935333883957085,0.2067771046662923,-0.949996170174487,24.24909813241509,4.321738895839762,-16.582499602738057,16.794235178595923,7.8616010079668595,-1.584259434081449,-0.8037878123368574,-4.897459312478514,2.1556903677614043,-0.0025964846941792363,-0.18566351890530167
0.27,-0.00733680892877594,0.03231348477135271,-0.29168660863963214,0.5953416241444142,0.022684787143628177,-0.2970812994413152,-0.007226235693576557,0.03106301697334052,-0.376606694675689,0.6868192054611215,0.023536374341037603,-0.2998001636607483,-0.028950661449861168,0.11788755061315527,0.13931252197854518,-0.11162301883287454,0.05536968414520743,-0.009807851272844925,-0.02848860412195955,0.10815003484131692,-0.1641444311919653,0.19447058574824144,0.06282043706193001,0.004171468348599647,0.04262635550333016,-0.4899835308341949,-0.34236349988918846,0.7238053422844928,-0.40808897638180497,-0.4808859026745722,0.01891646451518092,-0.5150512085325722,0.4338791754936011,-0.8671673152108532,-0.40009998074051634,0.2976418882361882,-0.9834880641697589,24.112838558218105,4.411376407850249,-16.298066722275895,15.79824109472432,7.890999170311156,-1.6512340876179836,-0.8938511607268005,-4.989535918431657,2.124411000452665,-0.002883178778321092,-0.18571411217156417
