t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.8793,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4567552049681125,2.657261844015765,0.1637723803029596,-1.474883775524205,0.6680297751258522,0.6698891162165808
0.03,0.0004104026774672948,0.00239175651243615,0.8794456843473375,-0.0006636976302118559,0.0003006133676563118,0.0003014500710604383,0.9999996891324084,0.013702656149043375,0.07971785532047294,0.004913171409088788,-0.04424651326572615,0.020040893253775564,0.02009667348649742,0.08791555978380905,-0.7806416636873772,0.9035938100230969,-3.5510867034070692,-1.2174408330851652,0.5371535762622983
0.06,0.0008990055582462876,0.0040847108300228335,0.8804000712810398,-0.0029251419518388057,5.305658628987987e-05,0.0008454617755918576,0.999995362951222,0.01634012294255765,0.056298605409851626,0.032020985709781694,-0.15077911436793823,-0.01648233173877939,0.036211280774366375,0.09958898681353945,-0.10441966370163547,0.0027836885445546855,-0.12083992563589518,-0.20706404854936977,0.11684984807347831
0.09,0.0014749554639243282,0.0056888241803205244,0.8813502785970582,-0.005240865692717106,-0.00028757094269103766,0.0014423262504132835,0.9999851850526242,0.019327792546963832,0.053166015498802566,0.03210449636611833,-0.15440431213701508,-0.022694253195260486,0.03971677621657072,0.04651771001742999,-0.06645515059917217,0.0024121594130992463,0.023350050830131863,0.07475686349894062,-0.02185600792949849
0.12,0.0020904575766509796,0.007238362116796841,0.8822964066265485,-0.007546097434983919,-0.0005945931418796063,0.002029174044170569,0.9999692921911132,0.020723323847486732,0.0511723609808274,0.03217686114851131,-0.15370381061211114,-0.020451547290292266,0.03906109597868577,0.008034881482536838,-0.055000802616429034,-5.319235723089122e-05,0.0498325282554255,0.09506466988419504,-0.05194206228373055
0.15,0.002711092465493339,0.00874347266260265,0.8832365882432378,-0.009828935385462171,-0.0008589651045399086,0.0025923276656807355,0.9999479656689199,0.020964370291962835,0.04952233690233453,0.03217526537779438,-0.15220883476444838,-0.017599607193766416,0.037502834110173855,-0.011881226894203456,-0.05087092907322832,-0.00556755471418402,0.05122352961990728,0.05260535990208837,-0.0473708499849419
0.18,0.00331916427203443,0.010207581062740402,0.8841662091013671,-0.012088712735834665,-0.0010998109331841128,0.00313393833938165,0.999921412847423,0.02060793348513673,0.047996209030137675,0.03200823873636886,-0.15067212887585116,-0.016021446396703765,0.036081708610625596,-0.018906988266269797,-0.04934639157656573,-0.009684337975656376,0.048753340045976756,0.015890351560404525,-0.036839171909312185
0.21,0.00390853610713674,0.011631762938786542,0.8850819437674811,-0.014326491785130962,-0.001333632385686397,0.0036588934811955225,0.9998897867046566,0.02004072383714864,0.0465158172828407,0.03171770859709917,-0.14920952867447185,-0.01554473584989163,0.03497653345334623,-0.019086969552652433,-0.048835324925432744,-0.012234590008351809,0.04798663836651329,-0.004772197273780421,-0.02864755295546395
0.24,0.004479194780096586,0.013016216326713717,0.8859819055064423,-0.016542578526390933,-0.0015696997232112558,0.004170998894183352,0.9998532301826613,0.019468114750569067,0.04505075753507772,0.03135067089684862,-0.14776992952347645,-0.015687901768105042,0.03411710686468231,-0.016351279499627225,-0.048931981244940914,-0.013939279435983387,0.049647939591977774,-0.013965781442252023,-0.02366000150688663
0.27,0.005033731078350156,0.01436062090796982,0.886864994564223,-0.018736198462529045,-0.0018121255542746055,0.00467257632621549,0.9998119013587625,0.01897757636558025,0.0435827980977295,0.03093249251376912,-0.1462804913357171,-0.016106875211372603,0.033407306819475714,-0.01272150041779696,-0.04959234779977528,-0.015389212444941514,0.05352951362024427,-0.016892551845479886,-0.021029969952184757
0.3,0.005575535028939999,0.015664159598366926,0.887730370063064,-0.0209055870740144,-0.002062207172315112,0.005164854462270013,0.9997659866233962,0.01859593135304634,0.04209502766373624,0.030470816140420874,-0.1446746059271098,-0.016613651766737,0.03277640772091017,-0.009043013569877134,-0.05086294645693812,-0.016937773910640885,0.059521085128928064,-0.01672010383787992,-0.019939345135949083
0.33,0.00610804537587833,0.016925459411613875,0.8885771407301997,-0.02304803662102239,-0.0023198501027798207,0.005648348958030457,0.9997157108185631,0.018324640945950026,0.040569139270028094,0.029962682923101648,-0.14288897337324194,-0.017115254881873397,0.0321782273668317,-0.00555518661166432,-0.0528190872209775,-0.01878949496671911,0.0677368082691494,-0.015006369024147759,-0.019884140170482567
0.36,0.006634541781905744,0.018142509485845112,0.889404193388816,-0.02515984322657077,-0.002584266845967089,0.006123097249833289,0.9996613484244313,0.018157985347600096,0.03898456665339877,0.029398998074100076,-0.14085686912516746,-0.01756544595259783,0.031581703161717226,-0.0022215808201999643,-0.05556097282031658,-0.021081865659703602,0.07846787384518805,-0.012416110573790107,-0.020604030090055403
0.39,0.007158184246967478,0.019312558761685507,0.8902100852416418,-0.027236175379209138,-0.002854273919424027,0.006588780050220474,0.9996032372139236,0.018091337922994097,0.037317737468789275,0.028766542104308967,-0.1385028329098118,-0.017937929269811533,0.030963582259015562,0.0011049684338417798,-0.05921909439383821,-0.023933182903018047,0.0921450009091842,-0.009173963536754925,-0.02198764715305046
0.42,0.0076821522735787615,0.020431986973419726,0.8909929570782359,-0.029270880396315386,-0.003128391036076065,0.007044773395687135,0.9995417949731534,0.018124486976009352,0.035541164636974126,0.028048546617218426,-0.1357384828825363,-0.01821314817591418,0.03030395284442405,0.004607844264884475,-0.06395774370193497,-0.027467589294570605,0.10932924434484548,-0.00529090559807166,-0.024013133011987264
0.45,0.008209817371282688,0.021496144571710025,0.8917504451416672,-0.0312562327640808,-0.0034048441594320042,0.007490158948535399,0.9994775397519312,0.018262722303955887,0.03362243232591608,0.02722451893838131,-0.1324586055521909,-0.01837187534385633,0.029583558854064433,0.008475990766515507,-0.06997462630337825,-0.031828694432166404,0.13071896361103086,-0.000668003415784213,-0.026717046799284105
0.48,0.008744921655106678,0.02249916100810201,0.8924795794025618,-0.033182621105453246,-0.00368151896337432,0.007923707106705554,0.9994111140768754,0.018517002026951352,0.03152319353681473,0.02626965810541632,-0.12853703664386,-0.018391915446329857,0.02878204745008591,0.012891818591564963,-0.07749471693087617,-0.03718792041354435,0.15716268193705218,0.004857002594935267,-0.030179214509757912
