t[s],Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter,Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter
0.0,53.0121940555,10.0025678605,75.7287475238,-4.8793861071,46.4020729775,0.723295613171,62.5711647063,10.1679801245,131.624863982,-5.01545871211,49.5743725102,-0.467586916032
0.03,81.3096543246,-14.2382760863,253.517888455,-19.430807182,42.3295611079,16.2545047013,0.0,0.0,0.0,0.0,0.0,0.0
0.06,19.4518056519,-3.69226025371,219.909719236,-20.6565960045,13.5130428231,3.05067055392,0.0,0.0,0.0,0.0,0.0,0.0
0.09,-6.5861024107,-2.05317921904,221.40972834,-21.9800850087,-3.60221849744,-1.28068679995,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-14.7494625188,-1.22066429369,222.500560743,-23.148248465,-12.2651158819,-2.30321476414,0.0,0.0,0.0,0.0,0.0,0.0
0.15,-15.4986783662,-0.60220273074,223.162306311,-23.9606333753,-15.7059080159,-2.22549146215,0.0,0.0,0.0,0.0,0.0,0.0
0.18,-13.4132242488,-0.14097150938,223.397634432,-24.4563162795,-16.3308934083,-1.85485492004,0.0,0.0,0.0,0.0,0.0,0.0
0.21,-10.3965329044,0.153267732394,223.251547011,-24.7037747031,-15.6444827187,-1.44573908646,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-7.23283563064,0.291366072672,222.794738335,-24.7595153264,-14.4671930822,-1.07072818174,0.0,0.0,0.0,0.0,0.0,0.0
0.27,-4.22724431378,0.297844819398,222.078804436,-24.6619258618,-13.187876048,-0.748000278966,0.0,0.0,0.0,0.0,0.0,0.0
0.3,-1.48343865646,0.202421213783,221.114618761,-24.4326677572,-11.9630179765,-0.480828143268,0.0,0.0,0.0,0.0,0.0,0.0
0.33,0.942166426171,0.0535594760565,219.861789691,-24.0851100695,-10.8585537824,-0.271168081135,0.0,0.0,0.0,0.0,0.0,0.0
0.36,2.94680644271,-0.0522499355541,218.228302959,-23.6463047315,-9.95441176987,-0.121782715494,0.0,0.0,0.0,0.0,0.0,0.0
0.39,4.39449604512,0.0210872293351,216.140600155,-23.2137594802,-9.43444577949,-0.0251546983193,0.0,0.0,0.0,0.0,0.0,0.0
0.42,5.4507037752,0.00828347908883,215.231448336,-23.0694545325,-9.66508658881,0.0879240220883,0.0,0.0,0.0,0.0,0.0,0.0
0.45,6.19384480823,-0.107951794518,215.664016652,-23.2246236428,-10.6872193666,0.229935457349,0.0,0.0,0.0,0.0,0.0,0.0
0.48,6.49542409884,-0.0729425959418,215.922372896,-23.4105458671,-12.1520437492,0.343335173435,0.0,0.0,0.0,0.0,0.0,0.0
0.51,6.478657379,-0.014352517244,216.066172685,-23.5376927708,-13.8841370904,0.420800155211,0.0,0.0,0.0,0.0,0.0,0.0
0.54,6.15130238161,-0.0086321045045,216.185093135,-23.5951363383,-15.8981249698,0.451995483338,0.0,0.0,0.0,0.0,0.0,0.0
0.57,5.26045998568,-0.0668040849644,216.384117717,-23.6069988523,-18.4289422823,0.404588600606,0.0,0.0,0.0,0.0,0.0,0.0
0.6,3.19174092682,-0.147310884747,216.820297517,-23.6265743295,-21.9930824987,0.208931452053,0.0,0.0,0.0,0.0,0.0,0.0
0.63,-1.16375070145,-0.14259474789,217.738341311,-23.750861568,-27.4772628957,-0.258461095623,0.0,0.0,0.0,0.0,0.0,0.0
0.66,-9.61340335309,0.168135616307,219.478116686,-24.1663732065,-36.2329489894,-1.20694243122,0.0,0.0,0.0,0.0,0.0,0.0
0.69,-24.9567523516,1.17060873361,222.443054168,-25.2872716784,-50.1149064357,-3.02009319761,0.0,0.0,0.0,0.0,0.0,0.0
0.72,-51.2538316519,3.29053099671,227.55630097,-28.1335073459,-71.3280706685,-6.46154474646,0.0,0.0,0.0,0.0,0.0,0.0
0.75,-92.9207037137,0.0959458308696,288.483261875,-33.3060426089,-102.808088616,-11.1308214471,0.0,0.0,0.0,0.0,0.0,0.0
0.78,25.2467834217,1.00456842333,66.8002085027,-0.0676220039008,4.41875941846,0.0553587080531,0.0,0.0,0.0,0.0,0.0,0.0
0.81,84.3411246213,-13.5591601978,170.628456479,2.91035838462,45.7502178416,2.5677544563,27.8336671843,-12.8869894946,39.5786920115,2.16996839772,28.0739652446,4.39795409462
0.84,0.0,0.0,0.0,0.0,0.0,0.0,164.58517446,19.0005776309,322.244401118,27.1329799534,130.253171656,-36.0433084292
0.87,0.0,0.0,0.0,0.0,0.0,0.0,68.7379767479,1.82481191916,221.364890294,22.4661401066,78.8196660139,-9.67169134105
0.9,0.0,0.0,0.0,0.0,0.0,0.0,14.9021680786,1.78627310532,218.922263998,21.5557813758,43.2367939956,-0.949981723646
0.93,0.0,0.0,0.0,0.0,0.0,0.0,-5.89965909308,1.42465545483,216.206181851,22.1008931297,22.944965265,1.57340111738
0.96,0.0,0.0,0.0,0.0,0.0,0.0,-12.677185382,0.784228557271,214.997932661,22.7794218937,12.339190731,2.10467621063
0.99,0.0,0.0,0.0,0.0,0.0,0.0,-13.6497647115,0.221254360811,215.036086666,23.3223252031,7.16094380711,2.02769566548
