t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.9039,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3321924971580748,1.5254046429092671,-1.2368063180137199,5.65158802291705,0.49046911133730653,-0.6190818535057945
0.03,0.0011991109683690483,0.0013753555760128214,0.9027901053815295,0.002543211815208595,0.00022071085753063674,-0.00027858652789849363,0.9999967028695279,0.03996577491474224,0.045762139287278014,-0.03710418954041159,0.1695476406875115,0.014714073340119196,-0.018572455605173833,0.376704807073434,-1.3925972037960062,1.8476084872740275,-8.88822878713406,-0.6881632405202032,0.9558124148327884
0.06,0.002737360205878994,0.00149226321318023,0.9033397140444511,0.0010867347195227136,0.00013176897542879602,-0.00012696281683695555,0.9999993927623304,0.05126691912694526,0.003984223173397833,0.018324065077809232,-0.0970992229265103,-0.005930823875486898,0.010101916839809818,0.09466534827293005,-0.06710813253770187,-0.16393093672027081,1.6001241386272227,0.010578121894942782,-0.11802632351705
0.09,0.004360647816675664,0.0015505623736310154,0.9037416913874669,0.00035030472776558495,4.75533407634135e-05,-2.8540409767598448e-05,0.9999999371053593,0.05410687957513316,0.001970979197266777,0.013406136976201109,-0.04909549876769362,-0.005613480218638615,0.006561127134298318,-0.10971043797418634,-0.09965826683559342,-0.09654358977295807,0.8843472278231772,0.1281954946592343,-0.11424961111303134
0.12,0.005885136120462958,0.0015198698033019554,0.9040568706071829,1.182998460745158e-05,2.1032303797084705e-05,1.8470977660744e-05,0.9999999995382584,0.050815566435907567,-0.0010187688078010255,0.010509829283012367,-0.022565081932998304,-0.001767615378861586,0.003133638800907378,-0.20751122638528496,-0.07094657759793144,-0.05479846190889859,0.3948908519911605,0.05998664665746389,-0.06709945474268686
0.15,0.007222859396006285,0.0014255631950547383,0.9043228028984862,-0.00014894501568386197,2.1508895295103412e-05,3.528419186928955e-05,0.9999999880538877,0.04459022964434902,-0.0031471661357389685,0.00886587542574541,-0.010718356373263491,3.1984020862330835e-05,0.0011206551586267722,-0.2288601793320802,-0.03609390940204982,-0.03769199522397404,0.1612898146625632,0.0024940117856502297,-0.029995861980159688
0.18,0.008354611846634349,0.0012988368998179413,0.9045548548305239,-0.00023713992823306767,2.3108342179414062e-05,3.8597539532094575e-05,0.999999970870444,0.037724424264386616,-0.004229983417800463,0.007735115569026189,-0.005879661933386596,0.00010680437443183772,0.00022077929922198166,-0.2076785640438767,-0.01071731241530749,-0.03152679436925521,0.06397309450460753,-0.017219258666258952,-0.009274172202841768
0.21,0.009299452444988662,0.001162472651393402,0.9047585691494772,-0.00029654674518645835,1.6959244231487232e-05,3.7738681888499547e-05,0.9999999551741009,0.031494067343070316,-0.004551502790259688,0.006789311737948533,-0.00396046909824837,-0.0004097733855559308,-5.744586686327137e-05,-0.1692693064561525,0.004518855311093972,-0.02990542037191979,0.02554492507668371,-0.016532310572635822,-0.00013627005338712195
0.24,0.010091945554835157,0.001030166953671959,0.9049354023756061,-0.00034445806577081974,3.3710224396422214e-06,3.6820513830483495e-05,0.9999999399907616,0.02641598814938574,-0.004415937130926869,0.00589214912679094,-0.0031941213459478583,-0.0009057427027350055,-6.153396846488502e-05,-0.12837435968436103,0.012241157778971612,-0.030244660458159434,0.009657674625771051,-0.01033020461559886,0.0029325348157414055
0.27,0.010768895543668366,0.0009088655795619923,0.9050850433453511,-0.0003880232566144304,-1.486517657592857e-05,3.722357286781707e-05,0.9999999239156894,0.02256475735885491,-0.004048702397557721,0.0049848093130461565,-0.0029043911071747266,-0.0012156488412029712,2.6442076007357135e-05,-0.0918427224139661,0.015210213623602087,-0.03153000597363409,0.0017967176511142213,-0.004996457644026009,0.003445245635894878
