t[s],Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter,Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter
0.0,17.531482619982818,9.448052786866539,76.68869542892025,-4.658025838662141,14.110031254694615,0.2910512820942832,22.118183636873926,9.5667580902264,125.64170264137022,-4.756077362548995,15.300243843993353,-0.13574698105450567
0.03,16.59732779456334,-13.846669936354822,267.5864326337324,-21.55123183910575,9.250683837497968,4.695179053773564,0.0,0.0,0.0,0.0,0.0,0.0
0.06,3.7363001233633506,-3.0148884188457266,220.41108598467747,-21.39015253035886,2.567324321658361,0.6966039715957416,0.0,0.0,0.0,0.0,0.0,0.0
0.09,-2.9199944682575376,-1.9175754662973914,221.58611790397435,-22.076272460676176,-1.6772415374004017,-0.4379905101395174,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-4.813109397096355,-1.325379543032681,222.6125074282336,-23.036990769862545,-3.69149228935591,-0.7063102665606121,0.0,0.0,0.0,0.0,0.0,0.0
0.15,-4.784471204752186,-0.7643894732362156,223.08241324666363,-23.786515529616114,-4.392663642489433,-0.6781478496986687,0.0,0.0,0.0,0.0,0.0,0.0
0.18,-4.100124005437715,-0.3017161307684564,223.2132748804556,-24.27068130628077,-4.442244580159736,-0.5732074573615987,0.0,0.0,0.0,0.0,0.0,0.0
0.21,-3.278631189514768,0.006174309407294746,223.17419588027954,-24.544777771206963,-4.242639557318448,-0.46505121555706486,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-2.524429937596446,0.17282845522960957,223.0561796492841,-24.67590024558112,-4.006254761672614,-0.3751076554473976,0.0,0.0,0.0,0.0,0.0,0.0
0.27,-1.9070854275937248,0.24218916430738416,222.89987777294925,-24.71885538144502,-3.8270069869652636,-0.30754228592436633,0.0,0.0,0.0,0.0,0.0,0.0
0.3,-1.434705004776767,0.25723683724062146,222.7202815185376,-24.712503807973743,-3.7331459525074533,-0.26066247909250234,0.0,0.0,0.0,0.0,0.0,0.0
0.33,-1.0878074200031485,0.24858271855477812,222.52026985678157,-24.681537924377956,-3.7205170423186904,-0.23078497550116514,0.0,0.0,0.0,0.0,0.0,0.0
0.36,-0.8368746437321507,0.23383455182917404,222.29674153368504,-24.639456497590956,-3.7714277884644134,-0.2138571020136328,0.0,0.0,0.0,0.0,0.0,0.0
0.39,-0.6514872045115603,0.22017672184690534,222.04306047652221,-24.591279785170254,-3.864420181676141,-0.20626047547247192,0.0,0.0,0.0,0.0,0.0,0.0
0.42,-0.5046709364591625,0.20685861364691363,221.74975617760623,-24.535494372843395,-3.9788729599143067,-0.20521963477642985,0.0,0.0,0.0,0.0,0.0,0.0
0.45,-0.37492214736115903,0.18703322656564816,221.40409546407076,-24.465259576188355,-4.097030159794381,-0.20902731384169287,0.0,0.0,0.0,0.0,0.0,0.0
0.48,-0.24784030979039,0.15013919375726786,220.98817054085018,-24.36934937896155,-4.2051266807295615,-0.21724507419920955,0.0,0.0,0.0,0.0,0.0,0.0
0.51,-0.11865143176642898,0.08788483018306906,220.4740882517676,-24.233789997272428,-4.294768086976045,-0.23069913739713876,0.0,0.0,0.0,0.0,0.0,0.0
0.54,0.004833257831918224,0.00848886584596563,219.81435202103927,-24.046230085467062,-4.36565031712216,-0.2505545088915716,0.0,0.0,0.0,0.0,0.0,0.0
0.57,0.10424164182432825,-0.040107458502252884,218.93010652801297,-23.80881494809667,-4.431136038078663,-0.275275511925528,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.170939496010723,0.03287854704926756,217.73589674479345,-23.578632518399154,-4.529032780402741,-0.29776276686250613,0.0,0.0,0.0,0.0,0.0,0.0
0.63,0.20644726124647955,0.03337631833638225,217.5737609787588,-23.55536195947899,-4.7503587856129155,-0.29234985693415844,0.0,0.0,0.0,0.0,0.0,0.0
0.66,0.21465254538209066,-0.0425370559848915,218.4915935112698,-23.74282952259127,-5.105378549685996,-0.25815108974162854,0.0,0.0,0.0,0.0,0.0,0.0
0.69,0.18832282611886114,-0.002373972885503356,219.16548842417492,-23.943090398273277,-5.509496371866995,-0.22086813552027906,0.0,0.0,0.0,0.0,0.0,0.0
0.72,0.1332254493649724,0.06359223753873532,219.6635320776893,-24.09730603577213,-5.921380775057985,-0.18830704298980158,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.07348862699587419,0.10798834538471663,220.04663647757857,-24.201187466036313,-6.31894110395233,-0.16237945581923713,0.0,0.0,0.0,0.0,0.0,0.0
0.78,0.02923675961113117,0.12273721717657357,220.34716879287217,-24.264958950498524,-6.69043063557442,-0.14126855150837087,0.0,0.0,0.0,0.0,0.0,0.0
0.81,0.012915253878365337,0.11577431791791944,220.58044320871838,-24.300601310456194,-7.0295098272210055,-0.12250504502802043,0.0,0.0,0.0,0.0,0.0,0.0
0.84,0.03174118952733697,0.09722826896366853,220.75365047066202,-24.317779458375323,-7.332685839917315,-0.10408348904241004,0.0,0.0,0.0,0.0,0.0,0.0
0.87,0.08999488017449873,0.07436516460159538,220.87019542400503,-24.32285815776756,-7.598281206788354,-0.08457770908158138,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.18936850734700483,0.050843385129585465,220.93147137365145,-24.319209959702196,-7.826755436860822,-0.06312870894481441,0.0,0.0,0.0,0.0,0.0,0.0
0.93,0.3268030614986015,0.02766337518915362,220.93756959099625,-24.308147013460108,-8.022664036436634,-0.03965418828964079,0.0,0.0,0.0,0.0,0.0,0.0
0.96,0.4889911912951957,0.005090503057151155,220.88753858379647,-24.29035070238916,-8.198882091484997,-0.015468859111514105,0.0,0.0,0.0,0.0,0.0,0.0
0.99,0.6420604371507656,-0.013692623096831101,220.77908970865207,-24.268047994653106,-8.384021992874377,0.005556039098057195,0.0,0.0,0.0,0.0,0.0,0.0
1.02,0.7144358684390361,-0.014956462204387507,220.6069720493185,-24.248491621600355,-8.634194229739236,0.015259243061648414,0.0,0.0,0.0,0.0,0.0,0.0
1.05,0.5715643833288373,0.04049383267771207,220.35917777616282,-24.249800843999715,-9.050253658543909,-0.0008396600621356717,0.0,0.0,0.0,0.0,0.0,0.0
1.08,-0.014279088928024802,0.2392080307449948,220.01433940035628,-24.31243977008445,-9.801152025454067,-0.06528576049650887,0.0,0.0,0.0,0.0,0.0,0.0
1.11,-1.382814095124033,0.7217562764358564,219.56313938357104,-24.529226565173662,-11.152286925108472,-0.21115388044930497,0.0,0.0,0.0,0.0,0.0,0.0
1.14,-3.9545062415555394,1.586397941869913,219.14361885821202,-25.13730439305425,-13.492999263727212,-0.4952139556979183,0.0,0.0,0.0,0.0,0.0,0.0
1.17,-8.168857990842259,2.380581514604205,220.43905948162384,-26.74873111032204,-17.37492799342654,-1.032089187049234,0.0,0.0,0.0,0.0,0.0,0.0
1.2,-18.872044421346175,-5.627134948310398,289.45484158014625,-28.927578406153106,-25.670436924558757,-0.6002466026691653,0.0,0.0,0.0,0.0,0.0,0.0
1.23,17.9725604269459,0.6402355252343608,53.525421531444984,-0.04938082216435841,3.268566655403346,0.024196851159195325,0.0,0.0,0.0,0.0,0.0,0.0
1.26,14.449914925624448,-11.429257929662205,141.23936668207702,5.587878483076938,6.175094464807654,0.45773040347645655,4.505438161930493,-11.412792952213044,78.36601201422937,5.385304738410134,6.385679515804078,0.5171789273092484
